time,open,high,low,close,tick_volume,spread,real_volume
1764172800,277.27,278.88,276.78,276.84,1410,17,0
1764176400,276.91,278.15,276.57,278.00,2127,17,0
1764180000,278.01,279.44,277.79,279.23,1701,17,0
1764183600,279.22,279.34,278.69,278.81,1519,17,0
1764187200,278.80,278.99,277.91,278.04,1539,17,0
1764190800,278.03,278.37,277.85,278.34,1331,17,0
1764194400,278.40,278.86,277.13,277.19,1508,17,0
1764345600,277.07,278.09,275.94,276.21,1316,17,0
1764349200,276.20,276.81,276.06,276.37,1758,17,0
1764352800,276.37,276.81,275.91,276.58,1552,17,0
1764356400,276.58,278.92,276.35,278.73,1803,17,0
1764604800,277.94,278.64,276.04,277.46,2689,17,0
1764608400,277.45,278.22,276.81,277.98,3135,17,0
1764612000,277.97,279.18,277.58,278.73,1803,17,0
1764615600,278.72,279.85,278.69,279.41,1683,17,0
1764619200,279.42,280.95,279.42,280.84,1577,17,0
1764622800,280.83,281.62,280.66,281.44,1779,17,0
1764626400,281.42,282.72,281.40,282.44,1690,17,0
1764691200,282.76,284.93,282.58,283.28,1548,17,0
1764694800,283.28,286.88,283.18,286.87,2592,17,0
1764698400,286.86,287.30,284.77,285.08,2374,17,0
1764702000,285.09,286.25,284.75,285.08,1628,17,0
1764705600,285.06,285.37,284.86,285.05,1649,17,0
1764709200,285.05,286.56,285.04,286.32,1696,17,0
1764712800,286.36,286.74,285.64,285.80,1626,17,0
1764777600,286.32,288.49,285.90,287.69,1956,17,0
1764781200,287.63,288.13,285.97,285.97,2580,17,0
1764784800,285.97,286.70,285.56,285.76,2062,17,0
1764788400,285.75,286.35,285.44,285.79,1544,17,0
1764792000,285.79,286.01,285.26,285.39,1418,17,0
1764795600,285.37,285.55,284.29,284.71,1599,17,0
1764799200,284.68,284.75,283.57,283.68,1564,17,0
1764864000,283.92,284.58,281.12,281.33,1842,17,0
1764867600,281.34,281.99,280.19,280.69,2499,17,0
1764871200,280.69,280.92,279.74,280.26,2096,17,0
1764874800,280.25,280.65,279.73,280.23,1619,17,0
1764878400,280.22,280.23,279.31,279.31,1401,17,0
1764882000,279.30,280.27,278.51,280.27,1770,17,0
1764885600,280.25,280.64,279.57,279.57,1589,17,0
1764950400,280.56,280.90,279.18,280.08,2389,17,0
1764954000,280.08,281.04,279.62,280.02,2114,17,0
1764957600,279.98,280.23,278.68,278.70,1859,17,0
1764961200,278.64,279.36,277.97,279.31,1644,17,0
1764964800,279.30,279.49,278.49,278.58,1301,17,0
1764968400,278.62,279.36,278.58,278.80,1178,17,0
1764972000,278.80,278.95,278.28,278.28,1379,17,0
1765209600,277.92,279.54,277.37,277.90,1431,17,0
1765213200,277.87,278.43,276.98,277.26,2036,17,0
1765216800,277.24,277.68,276.63,277.40,1922,17,0
1765220400,277.40,277.71,276.81,277.26,1679,17,0
1765224000,277.25,277.75,276.13,276.30,1641,17,0
1765227600,276.29,276.64,276.09,276.23,1401,17,0
1765231200,276.23,277.63,276.23,277.29,1411,17,0
1765296000,278.23,279.93,278.01,278.46,1512,17,0
1765299600,278.46,278.46,277.14,277.75,2026,17,0
1765303200,277.74,277.93,276.95,277.90,1549,17,0
1765306800,277.90,278.51,277.30,278.22,1455,17,0
1765310400,278.25,278.64,278.04,278.58,1341,17,0
1765314000,278.59,278.79,277.69,277.74,1188,17,0
1765317600,277.77,278.05,277.09,277.13,1336,17,0
1765382400,277.84,278.68,276.49,277.88,1262,17,0
1765386000,277.80,277.88,276.53,276.63,1830,17,0
1765389600,276.64,278.80,276.35,278.66,1615,17,0
1765393200,278.65,279.17,278.17,278.56,1367,17,0
1765396800,278.55,278.89,277.98,278.29,1434,17,0
1765400400,278.30,279.49,277.63,279.29,2663,17,0
1765404000,279.30,279.66,278.78,278.85,2036,17,0
1765468800,278.94,279.39,273.75,274.11,1624,17,0
1765472400,274.00,276.46,273.93,275.84,2590,17,0
1765476000,275.83,277.62,275.61,276.66,2257,17,0
1765479600,276.64,278.26,276.58,277.53,1829,17,0
1765483200,277.52,278.13,277.32,277.63,1623,17,0
1765486800,277.62,277.94,277.45,277.57,1505,17,0
1765490400,277.58,278.13,277.43,277.47,1419,17,0
1765555200,277.64,279.11,276.75,278.88,1462,17,0
1765558800,278.85,279.05,277.46,277.78,2558,17,0
1765562400,277.75,278.23,277.20,277.62,2736,17,0
1765566000,277.57,279.10,277.56,278.67,2030,17,0
1765569600,278.68,279.05,278.23,278.26,1949,17,0
1765573200,278.26,278.35,277.66,278.29,1777,17,0
1765576800,278.32,278.72,276.85,277.80,1979,17,0
1765814400,279.91,279.91,274.10,274.70,1622,17,0
1765818000,274.57,275.47,273.56,274.30,2741,17,0
1765821600,274.28,275.61,273.94,274.87,2254,17,0
1765825200,274.86,275.07,274.30,274.60,2008,17,0
1765828800,274.63,274.72,273.38,273.83,1855,17,0
1765832400,273.83,274.05,272.80,273.47,1841,17,0
1765836000,273.47,274.42,273.15,273.96,1739,17,0
1765900800,272.66,273.84,271.72,273.53,1504,18,0
