time,open,high,low,close,tick_volume,spread,real_volume
946864800,0.47,0.50,0.45,0.50,8,0,0
946951200,0.48,0.49,0.45,0.46,7,0,0
947037600,0.46,0.49,0.46,0.46,7,0,0
947124000,0.47,0.48,0.42,0.42,8,0,0
947210400,0.43,0.45,0.43,0.44,4,0,0
947469600,0.46,0.46,0.42,0.44,7,0,0
947556000,0.43,0.44,0.40,0.41,7,0,0
947642400,0.42,0.43,0.39,0.39,6,0,0
947728800,0.42,0.44,0.41,0.43,6,0,0
947815200,0.45,0.46,0.44,0.45,5,0,0
948160800,0.45,0.47,0.45,0.46,4,0,0
948247200,0.47,0.49,0.46,0.48,6,0,0
948333600,0.52,0.54,0.51,0.51,6,0,0
948420000,0.51,0.51,0.49,0.50,4,0,0
948679200,0.48,0.50,0.47,0.47,6,0,0
948765600,0.47,0.50,0.46,0.50,6,0,0
948852000,0.49,0.51,0.49,0.49,5,0,0
948938400,0.49,0.50,0.48,0.49,5,0,0
949024800,0.48,0.49,0.45,0.45,6,0,0
949284000,0.45,0.46,0.42,0.46,8,0,0
949370400,0.46,0.47,0.45,0.45,4,0,0
949456800,0.45,0.46,0.43,0.44,6,0,0
949543200,0.45,0.47,0.45,0.46,4,0,0
949629600,0.46,0.49,0.46,0.48,5,0,0
949888800,0.48,0.51,0.47,0.51,6,0,0
949975200,0.51,0.52,0.50,0.51,5,0,0
950061600,0.51,0.52,0.50,0.50,4,0,0
950148000,0.50,0.51,0.49,0.51,4,0,0
950234400,0.51,0.51,0.48,0.49,5,0,0
950493600,0.49,0.52,0.48,0.52,6,0,0
950580000,0.51,0.54,0.51,0.53,5,0,0
950666400,0.53,0.53,0.50,0.51,5,0,0
950752800,0.51,0.52,0.50,0.51,5,0,0
950839200,0.51,0.52,0.49,0.50,6,0,0
951184800,0.49,0.52,0.48,0.51,7,0,0
951271200,0.51,0.53,0.50,0.52,6,0,0
951357600,0.52,0.53,0.50,0.51,6,0,0
