time,open,high,low,close,tick_volume,spread,real_volume
1627862400,325.11,328.52,319.16,320.98,247,0,0
1627948800,319.67,322.97,302.86,308.19,238,0,0
1628035200,307.59,341.15,301.70,339.19,544,0,0
1628121600,339.20,379.89,337.65,373.23,384,0,0
1628208000,372.88,376.71,359.43,369.86,298,0,0
1628294400,368.57,398.27,366.24,384.39,339,0,0
1628380800,384.32,387.83,352.43,361.36,291,0,0
1628467200,357.27,383.49,349.64,374.11,240,0,0
1628553600,374.38,399.17,368.50,384.27,589,0,0
1628640000,385.22,420.05,383.32,408.53,68073,0,0
1628726400,408.47,418.34,375.07,390.67,123539,0,0
1628812800,391.50,427.85,379.73,423.47,94208,0,0
1629072000,403.65,447.56,398.22,417.84,103566,0,0
1629158400,417.84,448.51,379.15,396.63,115419,0,0
1629244800,396.82,397.21,359.13,372.95,129774,0,0
1629331200,373.04,399.45,368.75,397.02,129018,0,0
1629417600,396.83,420.86,393.99,412.17,82472,0,0
1629504000,412.25,416.07,391.92,396.01,89887,0,0
1629590400,396.93,409.06,383.39,387.87,65525,0,0
1629676800,388.85,414.64,386.06,410.33,47473,0,0
1629763200,407.81,410.83,367.27,386.04,93198,0,0
1629849600,385.61,387.06,362.77,381.30,94868,0,0
1629936000,380.92,388.98,339.36,355.49,99472,0,0
1630022400,355.76,375.02,342.86,370.25,106264,0,0
1630108800,370.07,375.79,361.57,364.79,74728,0,0
1630195200,365.63,377.77,355.05,365.85,88071,0,0
1630281600,365.96,368.39,350.41,354.72,43578,0,0
1630368000,375.99,387.89,349.75,382.25,269196,0,0
1630454400,383.31,412.57,380.54,409.44,300329,0,0
1630540800,409.26,414.97,399.46,400.69,242011,0,0
1630627200,400.75,408.00,387.64,394.19,221011,0,0
1630713600,393.85,407.11,389.14,399.69,207362,0,0
1630800000,399.76,425.93,394.35,421.39,256601,0,0
1630886400,421.55,425.67,392.80,412.50,273273,0,0
1630972800,412.87,413.97,305.19,345.99,303073,0,0
1631059200,348.16,353.06,311.55,329.00,325089,0,0
1631145600,328.89,350.27,324.05,334.65,257707,0,0
1631232000,334.50,339.93,303.60,312.93,212108,0,0
1631318400,312.31,339.96,304.11,331.70,228550,0,0
1631404800,331.62,347.95,321.11,323.45,235213,0,0
1631491200,323.66,336.95,302.44,317.76,249493,0,0
1631577600,317.87,387.09,316.51,379.75,230041,0,0
1631664000,379.87,400.34,374.54,398.39,270473,0,0
1631750400,398.62,417.07,370.55,373.07,302633,0,0
1631836800,373.75,389.91,354.92,359.49,312901,0,0
1631923200,359.05,368.63,346.27,348.66,277086,0,0
1632009600,348.31,357.76,338.14,347.80,245354,0,0
1632096000,347.72,348.95,288.27,292.87,339833,0,0
1632182400,293.03,306.18,267.40,269.20,301586,0,0
1632268800,268.85,302.82,259.36,297.92,310299,0,0
1632355200,297.73,308.65,293.63,305.27,350811,0,0
1632441600,305.34,311.13,261.55,283.16,338742,0,0
1632528000,282.91,286.53,267.35,274.27,264775,0,0
1632614400,273.67,300.14,261.97,295.70,222138,0,0
1632700800,296.02,308.95,275.62,276.37,285835,0,0
1632787200,276.39,282.39,260.83,268.17,272421,0,0
1632873600,268.16,277.16,258.40,261.29,284712,0,0
1632960000,261.45,280.85,259.24,271.34,227000,0,0
1633046400,271.46,303.87,271.19,300.44,210227,0,0
1633132800,300.62,323.43,295.96,318.44,222776,0,0
1633219200,318.66,323.27,308.17,312.77,219880,0,0
1633305600,312.77,312.80,290.51,300.73,272704,0,0
1633392000,300.69,309.00,295.26,307.91,256641,0,0
1633478400,308.02,317.90,284.07,307.24,321903,0,0
1633564800,307.63,313.41,298.41,309.70,294035,0,0
1633651200,309.51,324.67,302.70,308.67,263722,0,0
1633737600,308.76,313.06,303.56,307.76,224686,0,0
1633824000,307.47,308.13,295.11,295.17,213939,0,0
1633910400,295.17,301.29,284.40,285.33,100247,0,0
1633996800,285.08,290.64,270.26,282.79,266014,0,0
1634083200,283.19,302.63,281.35,295.42,255222,0,0
1634169600,295.16,310.69,293.26,301.40,255153,0,0
1634256000,301.31,309.38,293.59,303.32,233484,0,0
1634342400,303.47,316.21,298.90,307.74,193575,0,0
1634428800,307.59,317.67,295.16,296.56,117424,0,0
1634515200,295.95,307.97,289.23,294.55,220186,0,0
1634601600,293.92,302.81,292.12,300.98,67572,0,0
1634688000,300.87,315.43,295.52,313.61,65185,0,0
1634774400,313.75,337.26,309.60,317.01,324621,0,0
1634860800,316.66,326.29,304.57,311.36,401875,0,0
1634947200,311.30,321.35,306.22,317.19,407734,0,0
1635033600,317.51,324.46,299.42,305.88,401303,0,0
1635120000,305.97,315.99,305.19,308.86,403314,0,0
1635206400,308.74,344.03,308.42,340.44,126526,0,0
1635292800,341.63,455.49,324.65,337.34,124797,0,0
1635379200,337.42,345.66,315.94,336.05,121510,0,0
1635465600,335.38,346.94,326.29,329.25,100197,0,0
1635552000,329.10,330.01,313.18,317.70,80715,0,0
1635638400,317.77,322.10,302.54,310.84,93384,0,0
1635724800,310.84,323.60,301.82,321.42,97287,0,0
1635811200,321.88,327.51,316.86,321.69,85952,0,0
1635897600,321.27,325.73,310.06,321.72,101152,0,0
1635984000,321.92,328.56,312.02,326.74,94008,0,0
1636070400,327.05,345.65,322.91,326.22,98699,0,0
1636156800,324.35,328.29,305.80,316.75,79782,0,0
1636243200,316.56,323.20,315.92,319.65,74822,0,0
1636329600,319.64,334.67,317.04,329.98,105422,0,0
1636416000,330.03,349.21,326.23,341.59,114316,0,0
1636502400,341.55,345.35,294.20,306.85,113114,0,0
1636588800,305.99,318.22,301.87,312.40,109757,0,0
1636675200,312.52,314.49,295.16,306.54,103166,0,0
1636761600,307.07,311.91,302.10,310.95,81413,0,0
1636848000,311.19,316.47,308.39,312.67,72642,0,0
1636934400,313.02,316.15,297.95,302.76,99098,0,0
1637020800,302.61,303.83,263.08,280.61,127962,0,0
1637107200,280.40,286.71,266.30,282.29,121896,0,0
1637193600,282.51,287.17,254.00,260.48,126497,0,0
1637280000,260.67,279.81,256.55,278.56,116910,0,0
1637366400,278.62,280.20,266.29,273.51,94016,0,0
1637452800,273.45,274.82,264.52,271.46,59727,0,0
1637539200,271.42,271.73,255.28,260.33,115597,0,0
1637625600,260.26,276.42,260.07,268.16,114033,0,0
1637712000,268.06,271.20,249.79,253.31,100138,0,0
1637798400,253.67,262.68,251.10,258.82,88484,0,0
1637884800,258.91,263.14,224.04,233.57,109046,0,0
1637971200,233.37,242.03,228.71,231.85,84966,0,0
1638057600,231.64,235.58,217.28,234.69,77378,0,0
1638144000,234.86,250.25,231.91,248.01,77114,0,0
1638230400,248.34,263.11,243.55,253.72,107518,0,0
1638316800,253.85,268.04,248.08,250.68,97041,0,0
1638403200,250.57,251.58,239.62,244.43,92625,0,0
1638489600,244.21,245.39,216.58,225.53,82065,0,0
1638576000,225.29,226.15,158.55,197.24,119184,0,0
1638662400,197.49,205.05,185.60,190.17,115524,0,0
1638748800,189.78,193.25,167.16,181.81,109296,0,0
1638835200,182.43,196.21,179.54,186.58,92400,0,0
1638921600,186.43,196.81,178.30,195.02,103311,0,0
1639008000,195.56,202.78,175.38,178.55,109120,0,0
1639094400,178.52,180.40,167.26,171.68,107195,0,0
1639180800,171.56,178.34,165.17,178.08,80568,0,0
1639267200,178.34,181.20,174.51,179.05,71490,0,0
1639353600,178.98,179.96,156.37,160.65,102186,0,0
1639440000,160.28,169.12,157.31,167.80,103541,0,0
1639526400,167.88,174.67,157.88,173.99,93928,0,0
1639612800,173.77,179.87,170.85,177.73,84114,0,0
1639699200,177.65,178.02,160.74,171.48,101330,0,0
1639785600,171.06,200.86,166.47,193.35,105626,0,0
1639872000,193.68,194.21,181.14,182.22,85998,0,0
1639958400,182.15,186.18,166.19,178.56,95949,0,0
1640044800,178.54,184.89,177.36,184.27,85959,0,0
1640131200,184.38,215.26,183.29,209.23,101684,0,0
1640217600,209.07,247.33,202.84,245.75,126979,0,0
1640304000,245.60,278.12,241.78,275.38,120006,0,0
1640390400,275.53,279.57,256.45,262.39,109785,0,0
1640476800,262.38,276.52,249.22,270.45,106445,0,0
1640563200,270.46,292.45,264.66,281.15,115028,0,0
1640649600,281.73,295.84,253.22,253.99,137740,0,0
1640736000,253.74,258.33,237.12,241.77,121427,0,0
1640822400,242.04,264.54,229.76,263.28,126360,0,0
1640908800,263.33,273.66,247.93,255.10,131534,0,0
1640995200,255.62,264.40,249.48,258.15,106942,0,0
1641081600,258.18,266.64,251.90,261.47,98249,0,0
1641168000,261.15,285.19,261.05,268.07,126781,0,0
1641254400,267.73,274.31,248.37,255.39,120437,0,0
1641340800,254.66,258.28,228.60,230.11,117259,0,0
1641427200,229.24,232.19,213.64,220.90,137414,0,0
1641513600,220.91,223.28,198.57,211.24,135860,0,0
1641600000,210.97,229.74,199.29,207.62,117455,0,0
1641686400,207.73,217.92,206.68,213.19,108782,0,0
1641772800,213.28,214.97,186.40,197.30,127772,0,0
1641859200,197.45,215.75,195.55,213.19,119514,0,0
1641945600,213.15,221.49,209.45,217.10,107471,0,0
1642032000,216.83,220.96,205.94,211.79,105147,0,0
1642118400,211.74,223.86,203.29,223.44,107978,0,0
1642204800,223.84,242.36,221.25,237.76,106007,0,0
1642291200,237.62,244.37,229.22,236.84,95793,0,0
1642377600,236.63,243.35,220.25,223.51,106390,0,0
1642464000,222.91,239.40,220.43,233.75,128065,0,0
1642550400,233.36,235.93,210.66,211.59,110156,0,0
1642636800,211.28,220.01,202.05,202.63,88487,0,0
1642723200,201.76,204.02,165.05,169.08,397193,0,0
1642809600,169.54,174.19,134.57,148.05,406286,0,0
1642896000,147.71,161.86,141.72,147.96,393488,0,0
1642982400,147.99,157.95,129.86,150.46,405568,0,0
1643068800,150.52,155.08,144.70,146.96,407556,0,0
1643155200,146.88,162.74,142.02,142.19,404298,0,0
1643241600,142.29,150.15,136.19,139.45,403998,0,0
1643295600,146.67,148.47,146.29,148.04,16703,0,0
1643299200,148.06,150.15,147.35,148.07,17049,0,0
1643302800,148.07,149.51,145.55,146.78,16900,0,0
1643306400,146.78,149.03,145.43,146.96,16949,0,0
1643310000,146.97,147.30,144.20,145.52,16802,0,0
1643313600,145.50,145.99,143.84,145.16,16673,0,0
1643317200,145.21,145.80,140.91,141.13,16558,0,0
1643320800,141.14,142.73,137.13,137.34,16889,0,0
1643324400,137.28,139.74,136.19,139.45,16346,0,0
1643328000,139.44,142.18,137.82,140.37,16843,0,0
1643331600,140.34,143.65,140.32,143.31,16949,0,0
1643335200,143.28,144.92,141.73,144.45,17002,0,0
1643338800,144.45,146.54,141.37,142.95,17036,0,0
1643342400,142.96,144.20,141.02,144.09,16743,0,0
1643346000,144.07,147.48,143.73,146.36,17112,0,0
1643349600,146.38,147.23,143.64,144.44,17049,0,0
1643353200,144.47,145.78,143.72,145.27,17032,0,0
1643356800,145.23,146.63,143.10,143.18,16613,0,0
1643360400,143.11,144.63,142.36,142.91,17011,0,0
1643364000,142.85,143.29,140.03,142.44,16810,0,0
1643367600,142.44,143.37,140.33,141.27,16803,0,0
1643371200,141.28,141.99,139.56,140.58,16813,0,0
1643374800,140.54,140.97,138.35,140.12,17095,0,0
1643378400,140.14,142.33,138.17,139.69,17159,0,0
1643382000,139.71,144.14,139.35,143.60,17160,0,0
1643385600,143.48,144.12,140.63,141.30,16725,0,0
1643389200,141.31,144.75,141.23,144.12,16678,0,0
1643392800,144.03,146.75,143.59,145.71,17075,0,0
1643396400,145.73,146.62,144.20,144.92,17120,0,0
1643400000,144.93,146.81,144.83,145.86,16706,0,0
1643403600,145.93,146.35,143.49,145.21,16896,0,0
1643407200,145.22,148.50,144.76,147.58,17107,0,0
1643410800,147.53,149.52,147.53,148.21,16655,0,0
1643414400,148.03,148.32,146.36,146.48,16740,0,0
1643418000,146.41,148.49,146.37,147.78,16847,0,0
1643421600,147.85,149.32,147.23,148.47,17163,0,0
1643425200,148.44,149.13,146.53,147.16,17230,0,0
1643428800,147.15,148.12,146.89,147.49,17150,0,0
1643432400,147.53,148.68,147.37,148.25,16800,0,0
1643436000,148.15,148.94,147.98,148.74,16731,0,0
1643439600,148.62,148.86,147.76,148.84,17218,0,0
1643443200,148.75,150.17,148.25,149.95,17073,0,0
1643446800,149.99,152.37,149.87,152.25,17000,0,0
1643450400,152.30,152.74,151.19,151.35,17179,0,0
1643454000,151.34,151.65,149.99,151.59,16861,0,0
1643457600,151.62,151.62,150.42,151.34,17025,0,0
1643461200,151.42,151.42,150.23,151.10,17170,0,0
1643464800,151.11,153.50,150.97,153.38,17176,0,0
1643468400,153.38,155.29,152.89,155.22,17196,0,0
1643472000,155.16,155.85,151.03,151.74,16666,0,0
1643475600,151.81,153.35,150.39,151.79,17122,0,0
1643479200,151.69,152.54,150.56,152.54,17159,0,0
1643482800,152.49,153.50,151.63,151.69,17303,0,0
1643486400,151.68,153.67,151.50,153.14,17235,0,0
1643490000,153.15,154.09,152.92,153.01,16854,0,0
1643493600,153.02,155.74,152.33,153.72,17150,0,0
1643497200,153.77,155.41,153.20,154.71,16841,0,0
1643500800,154.47,154.81,153.34,153.47,17241,0,0
1643504400,153.45,153.47,151.17,152.80,17189,0,0
1643508000,152.68,153.43,149.82,150.69,16937,0,0
1643511600,150.67,152.24,150.62,151.24,16888,0,0
1643515200,151.29,151.50,150.10,150.50,17135,0,0
1643518800,150.54,151.48,149.69,149.89,17256,0,0
1643522400,149.91,151.81,149.74,151.60,17207,0,0
1643526000,151.68,153.70,151.32,153.63,16777,0,0
1643529600,153.65,153.78,152.14,153.05,17045,0,0
1643533200,153.10,154.38,152.85,153.77,17174,0,0
1643536800,153.82,154.20,152.41,152.43,16963,0,0
1643540400,152.49,153.19,151.40,151.71,17161,0,0
1643544000,151.74,153.80,151.20,153.74,16781,0,0
1643547600,153.74,153.91,152.30,153.22,17063,0,0
1643551200,153.16,153.84,151.58,152.05,17007,0,0
1643554800,152.03,152.73,151.15,151.80,16801,0,0
1643558400,151.74,152.29,149.40,151.02,17147,0,0
1643562000,150.96,153.09,150.69,151.95,16855,0,0
1643565600,151.91,152.79,149.70,150.20,17145,0,0
1643569200,150.19,151.53,149.30,151.13,17166,0,0
1643572800,151.26,151.81,149.86,150.26,17112,0,0
1643576400,150.34,150.42,146.22,146.56,17126,0,0
1643580000,146.57,147.97,145.36,147.15,16495,0,0
1643583600,147.21,147.43,145.30,145.83,16707,0,0
1643587200,145.94,146.81,144.71,146.39,17241,0,0
1643590800,146.28,149.29,146.27,147.78,17124,0,0
1643594400,147.66,148.18,142.61,143.28,17100,0,0
1643598000,143.28,144.26,142.39,142.44,16699,0,0
1643601600,142.48,143.47,140.50,142.57,17135,0,0
1643605200,142.60,143.09,141.95,142.83,17235,0,0
1643608800,142.83,142.83,140.36,141.31,17037,0,0
1643612400,141.29,142.00,140.66,141.81,17038,0,0
1643616000,141.77,142.63,141.75,141.81,16602,0,0
1643619600,141.86,143.52,141.53,143.51,16849,0,0
1643623200,143.53,144.40,143.19,143.89,17078,0,0
1643626800,143.96,145.23,143.18,145.15,16999,0,0
1643630400,145.11,146.55,144.83,146.37,16600,0,0
1643634000,146.35,147.03,143.96,146.27,16964,0,0
1643637600,146.23,147.38,144.32,145.93,16987,0,0
1643641200,145.95,148.10,144.52,147.44,17202,0,0
1643644800,147.46,149.64,146.98,149.57,16813,0,0
1643648400,149.57,152.76,149.53,152.49,17230,0,0
1643652000,152.48,157.52,151.98,156.84,17013,0,0
1643655600,156.90,157.29,155.16,156.45,16777,0,0
1643659200,156.51,157.02,154.90,155.87,17003,0,0
1643662800,155.87,157.53,155.30,156.00,17081,0,0
1643666400,156.05,156.52,154.89,155.24,17106,0,0
1643670000,155.25,157.34,155.06,156.20,16422,0,0
1643673600,156.30,157.04,155.55,156.05,17042,0,0
1643677200,156.03,156.83,155.58,156.29,17012,0,0
1643680800,156.38,158.78,156.05,157.53,17081,0,0
