time,open,high,low,close,tick_volume,spread,real_volume
1607565600,147.50,165.00,141.32,144.99,4486,0,0
1607652000,144.99,151.36,135.21,137.65,2497,0,0
1607911200,137.70,137.89,125.18,127.40,1513,0,0
1607997600,127.36,128.67,121.51,124.13,1110,0,0
1608084000,124.14,142.00,124.00,139.18,2097,0,0
1608170400,139.15,152.43,138.38,147.66,1960,0,0
1608256800,147.45,159.66,147.40,159.66,1232,0,0
1608343200,159.64,159.92,158.73,159.87,216,0,0
1608516000,156.50,171.96,145.16,163.68,4643,0,0
1608602400,163.65,174.81,161.17,162.77,2641,0,0
1608688800,162.82,168.21,155.71,158.08,2027,0,0
1608775200,158.25,162.77,154.13,155.67,1471,0,0
1609120800,158.79,163.57,147.56,148.99,2223,0,0
1609207200,148.95,154.08,143.24,149.30,2134,0,0
1609293600,149.42,152.77,145.65,148.73,1356,0,0
1609380000,148.70,150.50,144.62,146.25,932,0,0
1609466400,146.38,146.39,146.13,146.39,52,0,0
1609725600,146.80,152.25,137.12,140.02,2349,0,0
1609812000,140.05,148.68,136.52,146.28,1810,0,0
1609898400,146.25,148.26,141.18,143.31,1123,0,0
1609984800,143.41,154.33,142.99,151.00,1510,0,0
1610071200,151.04,155.47,147.42,149.99,1506,0,0
1610157600,149.79,150.05,149.35,149.75,137,0,0
1610330400,148.64,150.37,144.11,147.94,1183,0,0
1610416800,147.94,163.94,143.67,161.89,2660,0,0
1610503200,161.44,178.47,157.60,169.88,3331,0,0
1610589600,169.85,187.26,169.70,182.30,2268,0,0
1610676000,182.24,185.81,164.93,169.15,2868,0,0
1610762400,169.15,169.40,168.88,169.18,102,0,0
1611021600,174.25,178.47,166.77,174.30,2336,0,0
1611108000,174.30,177.88,161.03,162.88,2229,0,0
1611194400,162.92,183.39,155.49,179.81,3892,0,0
1611280800,179.62,185.31,173.42,181.10,2231,0,0
1611367200,181.15,181.79,181.15,181.79,65,0,0
1611540000,180.29,192.34,170.12,178.25,4241,0,0
1611626400,178.38,193.17,177.40,190.89,1904,0,0
1611712800,190.88,215.76,181.46,197.40,6209,0,0
1611799200,197.20,212.44,187.10,188.76,4225,0,0
1611885600,188.76,193.88,179.64,183.77,2350,0,0
1611972000,183.82,183.82,183.32,183.35,54,0,0
1612144800,188.22,188.94,179.74,181.32,1151,0,0
1612231200,181.38,186.80,177.28,180.35,1802,0,0
1612317600,180.35,190.67,179.70,184.88,1742,0,0
1612404000,185.00,195.83,185.00,195.50,1117,0,0
1612490400,195.43,197.76,190.41,195.13,1441,0,0
1612576800,195.05,195.15,195.05,195.15,11,0,0
1612749600,195.00,201.86,191.65,200.25,1518,0,0
1612836000,200.28,209.06,196.32,201.76,2401,0,0
1612922400,201.88,214.62,201.65,212.16,1567,0,0
1613008800,211.53,219.94,207.26,215.51,2139,0,0
1613095200,215.53,218.42,209.35,212.36,1498,0,0
1613181600,212.37,212.46,212.16,212.36,60,0,0
1613440800,217.05,218.80,209.18,209.91,1211,0,0
1613527200,209.90,212.08,196.21,202.44,2429,0,0
1613613600,202.70,204.16,192.35,197.55,1848,0,0
1613700000,197.52,205.31,195.95,201.70,1455,0,0
1613786400,201.70,201.76,200.85,201.76,177,0,0
1613959200,197.80,204.75,193.61,196.13,2062,0,0
1614045600,196.18,201.13,175.01,187.63,4370,0,0
1614132000,187.63,208.09,186.49,201.83,2901,0,0
1614218400,201.88,203.51,180.01,185.60,3073,0,0
1614304800,185.60,214.05,181.25,204.94,4627,0,0
1614391200,204.93,205.30,201.55,202.03,461,0,0
1614564000,208.25,210.01,193.20,198.25,2363,0,0
1614650400,198.50,200.00,185.10,187.18,1849,0,0
1614736800,187.18,193.77,178.86,179.90,2255,0,0
1614823200,179.86,183.84,171.02,176.07,2186,0,0
1614909600,176.28,183.48,162.18,180.46,3843,0,0
1614996000,180.40,180.78,180.13,180.45,126,0,0
1615168800,176.00,186.32,171.89,181.95,2292,0,0
1615255200,181.90,190.01,180.64,183.48,1717,0,0
1615341600,183.50,190.95,181.62,184.59,1758,0,0
1615428000,184.58,200.88,184.05,200.01,1824,0,0
1615514400,200.08,208.65,190.63,205.51,3062,0,0
1615600800,205.51,206.20,205.12,206.20,148,0,0
1615773600,207.25,213.62,204.05,209.54,1686,0,0
1615860000,212.76,215.41,198.36,199.78,2113,0,0
1615946400,197.76,203.34,193.40,203.07,1458,0,0
1616032800,197.96,202.91,190.74,191.81,1820,0,0
1616119200,192.61,197.88,188.13,194.26,1786,0,0
1616378400,196.50,203.30,194.39,194.39,1572,0,0
1616464800,197.78,197.78,185.81,186.83,1300,0,0
1616551200,187.20,190.82,178.57,180.35,1766,0,0
1616637600,181.90,182.06,170.60,177.50,1853,0,0
1616724000,179.68,181.43,168.30,174.75,2134,0,0
1616986800,171.21,185.40,171.01,182.57,1743,0,0
1617073200,186.28,186.28,178.32,183.45,1310,0,0
1617159600,184.11,192.28,183.15,188.15,1423,0,0
1617246000,190.64,193.80,185.48,188.59,1460,0,0
1617591600,189.99,192.08,185.90,187.63,1001,0,0
1617678000,188.98,194.33,187.29,190.65,1242,0,0
1617764400,190.50,191.55,179.53,180.95,1450,0,0
1617850800,181.73,183.82,179.48,180.79,775,0,0
1617937200,181.96,182.39,177.32,178.56,675,0,0
1618196400,179.75,181.37,175.41,175.63,781,0,0
1618282800,179.00,179.37,172.29,178.21,1338,0,0
1618369200,178.50,181.44,175.32,176.37,1012,0,0
1618455600,176.56,179.18,174.29,175.38,861,0,0
1618542000,175.81,179.50,172.98,177.44,1142,0,0
1618801200,180.03,181.05,171.57,174.79,1373,0,0
1618887600,174.23,176.28,165.59,170.03,1719,0,0
1618974000,169.05,171.50,164.21,167.02,1256,0,0
1619060400,168.19,176.75,167.19,171.48,1584,0,0
1619146800,173.31,178.24,171.60,174.53,1207,0,0
1619406000,174.51,176.99,171.10,175.14,1116,0,0
1619492400,174.75,179.59,174.75,177.48,696,0,0
1619578800,178.72,181.65,173.35,180.35,1498,0,0
1619665200,180.80,182.78,173.41,176.95,1490,0,0
1619751600,176.95,176.99,172.16,172.96,568,0,0
1620010800,173.84,174.31,167.85,168.70,779,0,0
1620097200,170.50,171.00,161.98,168.64,1619,0,0
1620183600,166.36,170.76,162.13,163.35,1426,0,0
1620270000,164.18,165.80,150.76,156.20,2211,0,0
1620356400,156.02,158.74,148.78,151.82,1573,0,0
1620615600,155.25,155.25,144.54,146.09,1227,0,0
1620702000,149.20,149.20,136.15,143.25,2016,0,0
1620788400,143.76,144.70,138.76,140.32,845,0,0
1620874800,137.93,142.77,127.19,133.42,2666,0,0
1620961200,136.96,142.43,131.73,142.39,1598,0,0
1621220400,143.46,143.88,130.26,133.64,1743,0,0
1621306800,137.23,138.37,131.63,135.27,1153,0,0
1621393200,133.76,138.45,129.72,137.41,1382,0,0
1621479600,138.48,140.31,135.81,136.37,690,0,0
1621566000,136.60,137.80,132.91,134.62,781,0,0
1621825200,136.63,137.96,134.38,136.25,679,0,0
1621911600,137.10,138.80,133.58,134.72,807,0,0
1621998000,136.29,136.29,133.76,135.05,383,0,0
1622084400,133.67,144.06,133.67,143.81,1065,0,0
1622170800,144.40,145.86,140.27,141.83,862,0,0
1622516400,143.53,145.96,141.64,144.42,776,0,0
1622602800,144.89,152.69,143.91,150.93,1153,0,0
1622689200,150.05,152.38,143.84,144.82,1186,0,0
1622775600,144.81,151.55,144.72,150.61,787,0,0
1623034800,146.92,151.83,146.45,148.92,877,0,0
1623121200,148.38,150.84,145.87,147.16,873,0,0
1623207600,148.07,149.30,144.45,144.60,624,0,0
1623294000,145.75,147.47,141.07,145.96,1260,0,0
1623380400,147.23,148.94,145.20,148.31,641,0,0
1623639600,148.80,149.53,146.91,148.70,515,0,0
1623726000,149.30,153.69,148.36,151.82,815,0,0
1623812400,151.50,152.32,147.03,148.56,765,0,0
1623898800,148.50,152.25,147.59,150.92,691,0,0
1623985200,150.40,154.79,149.09,152.17,964,0,0
1624244400,153.82,153.82,145.89,150.52,1257,0,0
1624330800,149.68,151.55,148.37,149.85,620,0,0
1624417200,149.15,154.59,147.82,152.18,1052,0,0
1624503600,150.98,153.58,149.88,150.71,714,0,0
1624590000,151.24,153.15,149.23,149.50,611,0,0
1624849200,151.01,151.01,147.20,149.73,635,0,0
1624935600,149.81,150.70,145.79,146.43,645,0,0
1625022000,146.03,154.08,144.49,154.00,1122,0,0
1625108400,154.15,157.39,151.44,153.31,1107,0,0
1625194800,153.29,154.85,149.56,149.99,729,0,0
1625540400,151.66,152.78,147.87,148.20,637,0,0
1625626800,148.32,150.16,143.59,144.16,899,0,0
1625713200,142.97,144.00,138.94,142.41,957,0,0
1625799600,142.78,150.26,142.57,149.38,879,0,0
1626058800,148.91,150.42,146.03,147.15,703,0,0
1626145200,146.77,149.38,143.10,143.33,913,0,0
1626231600,143.13,144.89,139.05,139.34,790,0,0
1626318000,139.59,140.67,136.54,137.25,593,0,0
1626404400,138.14,139.75,133.52,134.09,842,0,0
1626663600,133.92,134.48,130.35,132.73,708,0,0
1626750000,133.81,137.44,131.74,136.49,873,0,0
1626836400,136.97,140.12,135.72,139.74,604,0,0
1626922800,138.52,142.33,137.67,140.08,777,0,0
1627009200,140.39,141.26,137.46,138.57,579,0,0
1627268400,138.63,142.19,136.22,141.86,872,0,0
1627354800,141.18,142.52,138.32,140.91,814,0,0
1627441200,138.50,143.74,138.50,142.99,600,0,0
1627527600,142.96,144.96,141.72,141.80,533,0,0
1627614000,141.87,144.68,140.54,144.21,595,0,0
1627873200,143.87,146.27,143.20,145.65,437,0,0
1627959600,147.26,148.21,143.26,145.10,775,0,0
1628046000,145.41,147.41,145.10,147.13,291,0,0
1628132400,147.97,150.41,146.41,149.11,687,0,0
1628218800,149.27,150.07,147.57,149.60,468,0,0
1628478000,149.38,150.98,148.19,149.30,551,0,0
1628564400,149.50,150.72,147.69,147.70,427,0,0
1628650800,147.76,149.26,145.23,148.18,765,0,0
1628737200,147.67,156.61,142.55,144.19,2465,0,0
1628823600,144.64,153.76,143.23,152.87,1284,0,0
1629082800,150.65,152.00,145.05,148.02,1128,0,0
1629169200,148.27,148.41,143.63,143.75,505,0,0
1629255600,144.06,148.69,141.74,146.20,1177,0,0
1629342000,146.48,146.48,141.60,142.75,604,0,0
1629428400,141.92,143.93,141.65,143.50,299,0,0
1629687600,143.24,147.58,143.09,147.06,517,0,0
1629774000,148.04,161.97,145.56,160.27,2060,0,0
1629860400,159.00,163.04,157.48,159.99,1014,0,0
1629946800,159.68,159.81,151.47,152.27,928,0,0
1630033200,152.40,156.40,151.61,154.22,777,0,0
1630292400,153.59,157.49,151.98,155.31,931,0,0
1630378800,155.86,158.16,153.58,154.95,826,0,0
1630465200,155.92,158.62,154.17,156.37,846,0,0
1630551600,157.30,159.43,155.34,157.28,817,0,0
1630638000,157.32,160.57,156.10,157.87,840,0,0
1630983600,158.23,165.74,158.07,164.86,872,0,0
1631070000,164.48,166.56,161.69,163.24,851,0,0
1631156400,163.62,166.96,160.92,165.74,997,0,0
1631242800,165.54,168.23,164.50,164.86,679,0,0
1631502000,164.55,164.87,154.86,160.20,1568,0,0
1631588400,159.64,164.70,157.78,163.61,988,0,0
1631674800,164.53,166.63,160.55,166.27,1043,0,0
1631761200,165.78,169.42,164.75,167.91,722,0,0
1631847600,168.14,169.97,163.98,166.35,1020,0,0
1632106800,164.85,166.53,159.44,161.30,1064,0,0
1632193200,162.73,170.00,161.60,168.71,1083,0,0
1632279600,169.24,171.74,167.40,170.50,743,0,0
1632366000,170.96,175.96,170.07,175.38,737,0,0
1632452400,174.04,176.93,173.17,175.80,577,0,0
1632711600,175.60,176.84,172.06,174.10,807,0,0
1632798000,172.79,173.58,166.94,168.65,915,0,0
1632884400,168.60,171.36,166.59,168.36,931,0,0
1632970800,169.04,169.95,165.75,167.95,732,0,0
1633057200,167.95,173.55,166.88,173.41,789,0,0
1633143600,172.00,173.40,172.00,173.40,141,0,0
1633316400,172.72,173.43,164.09,165.04,1101,0,0
1633402800,165.44,166.95,162.46,164.48,803,0,0
1633489200,162.64,168.56,160.46,168.56,1029,0,0
1633575600,168.42,171.26,167.60,170.08,567,0,0
1633662000,169.42,174.04,169.00,169.76,975,0,0
1633921200,169.32,171.57,166.54,166.71,746,0,0
1634007600,162.63,175.82,162.63,172.56,1646,0,0
1634094000,174.08,175.14,171.86,174.28,637,0,0
1634180400,175.13,176.69,170.06,171.05,919,0,0
1634266800,171.24,173.50,168.59,169.34,793,0,0
1634526000,168.85,172.85,167.33,172.60,730,0,0
1634612400,172.94,173.75,170.08,170.83,524,0,0
1634698800,170.16,171.94,168.22,169.54,683,0,0
1634785200,169.84,171.36,167.71,170.00,715,0,0
1634871600,169.48,171.20,165.20,166.42,895,0,0
1635130800,166.56,170.32,166.56,169.37,472,0,0
1635217200,169.96,172.02,167.90,171.33,688,0,0
1635303600,170.96,172.61,168.91,169.62,607,0,0
1635390000,170.05,171.82,168.79,171.16,496,0,0
1635476400,171.15,171.69,168.85,170.79,533,0,0
1635732000,168.05,175.42,168.05,174.43,837,0,0
1635818400,174.30,175.40,170.57,172.79,816,0,0
1635904800,173.78,176.54,171.02,176.24,859,0,0
1635991200,175.55,187.19,167.38,180.41,3477,0,0
1636077600,185.00,203.27,182.50,201.57,2498,0,0
1636336800,200.08,211.30,199.83,200.05,2292,0,0
1636423200,200.20,202.76,187.71,193.25,2316,0,0
1636509600,193.43,194.65,188.43,192.78,1180,0,0
1636596000,192.80,197.89,190.80,192.28,1367,0,0
1636682400,192.28,208.14,191.64,206.48,1881,0,0
1636768800,206.47,206.47,206.25,206.36,34,0,0
1636941600,205.67,209.19,204.21,206.95,869,0,0
1637028000,206.92,209.91,202.61,207.08,1445,0,0
1637114400,207.20,212.52,198.21,199.25,2068,0,0
1637200800,199.40,204.79,196.04,203.76,1315,0,0
1637287200,203.91,204.09,190.60,195.86,1894,0,0
1637373600,195.77,195.77,195.22,195.63,97,0,0
1637546400,195.40,195.74,176.87,181.45,2380,0,0
1637632800,181.43,183.90,175.26,179.05,1491,0,0
1637719200,179.17,182.67,174.67,180.48,1470,0,0
1637805600,180.50,180.93,180.50,180.93,44,0,0
1637892000,176.30,176.30,162.50,173.74,2505,0,0
1638151200,174.84,180.66,174.74,180.37,632,0,0
1638237600,180.39,180.76,170.99,173.38,1254,0,0
1638324000,173.63,180.06,162.10,164.79,2709,0,0
1638410400,164.95,170.28,160.49,168.64,1590,0,0
1638496800,168.75,170.76,162.22,166.65,1499,0,0
1638583200,166.60,166.81,166.59,166.73,32,0,0
1638756000,168.30,181.88,162.87,181.01,2532,0,0
1638842400,180.98,187.28,180.70,183.25,1090,0,0
1638928800,182.93,187.41,180.60,186.75,981,0,0
1639015200,186.75,186.85,179.28,181.40,980,0,0
1639101600,181.10,183.45,176.11,180.59,1418,0,0
1639188000,180.30,180.60,180.30,180.60,31,0,0
1639360800,181.40,187.89,168.90,171.15,2774,0,0
1639447200,171.18,172.07,164.52,167.85,1178,0,0
1639533600,167.74,172.08,160.19,171.49,2004,0,0
1639620000,171.24,171.24,152.55,154.75,2090,0,0
1639706400,154.82,158.19,149.44,157.60,1473,0,0
1639792800,157.60,157.63,157.40,157.59,46,0,0
1639965600,154.64,158.43,149.75,157.45,1456,0,0
1640052000,157.45,167.23,157.45,165.15,1187,0,0
1640138400,165.14,170.67,162.85,170.19,1060,0,0
1640224800,170.18,171.98,166.84,171.21,926,0,0
1640311200,171.20,171.27,171.15,171.15,20,0,0
1640397600,171.15,171.51,169.35,171.15,433,0,0
1640570400,172.36,172.43,166.50,171.52,1103,0,0
1640656800,171.50,172.65,167.71,169.50,789,0,0
1640743200,169.75,170.92,165.06,166.68,866,0,0
1640829600,166.68,170.83,165.60,168.82,833,0,0
1640916000,168.78,170.67,166.07,166.40,683,0,0
1641002400,166.40,166.41,166.40,166.40,3,0,0
1641175200,167.14,172.85,164.16,172.23,1230,0,0
1641261600,172.25,175.81,167.23,170.22,1514,0,0
1641348000,170.20,175.10,160.48,161.80,2085,0,0
1641434400,161.65,163.74,156.35,160.15,1329,0,0
1641520800,160.25,166.84,158.15,165.77,1187,0,0
1641607200,165.76,165.76,165.72,165.72,5,0,0
1641780000,163.44,165.04,152.12,160.81,2322,0,0
1641866400,160.86,169.34,158.89,168.50,1327,0,0
1641952800,168.49,171.04,165.10,169.32,1106,0,0
1642039200,169.30,171.95,165.25,165.85,996,0,0
1642125600,165.85,168.44,160.23,164.27,1485,0,0
1642212000,164.37,164.53,164.36,164.36,34,0,0
1642471200,162.36,162.36,153.92,157.02,1155,0,0
1642557600,157.02,160.23,154.28,154.42,931,0,0
1642644000,154.50,165.16,154.20,157.00,1943,0,0
1642730400,157.00,160.12,152.49,156.24,1451,0,0
1642816800,155.65,155.65,155.65,155.65,1,0,0
