time,open,high,low,close,tick_volume,spread,real_volume
946864800,35.25,36.00,34.75,35.00,226,0,0
946951200,34.44,34.75,33.75,34.00,157,0,0
947037600,33.56,34.31,33.56,33.94,113,0,0
947124000,34.00,35.25,33.81,35.13,176,0,0
947210400,34.50,36.25,34.50,35.50,251,0,0
947469600,36.00,36.06,34.88,35.25,162,0,0
947556000,34.38,35.19,34.38,34.75,126,0,0
947642400,34.81,35.00,34.00,34.06,126,0,0
947728800,34.06,34.38,33.69,33.75,108,0,0
947815200,34.50,34.63,34.00,34.50,127,0,0
948160800,33.81,34.50,33.13,33.75,269,0,0
948247200,32.88,33.44,32.88,33.06,95,0,0
948333600,32.69,32.88,31.69,32.06,176,0,0
948420000,31.50,31.62,30.75,31.19,144,0,0
948679200,30.62,30.87,30.00,30.00,113,0,0
948765600,30.00,30.56,29.37,29.62,201,0,0
948852000,29.81,30.00,29.44,29.69,101,0,0
948938400,29.75,31.19,29.62,30.81,209,0,0
949024800,31.19,32.19,31.06,31.87,159,0,0
949284000,31.87,32.88,30.94,32.56,320,0,0
949370400,32.38,32.88,31.87,32.88,153,0,0
949456800,32.75,33.25,32.75,33.06,70,0,0
949543200,33.00,33.44,32.94,33.25,76,0,0
949629600,33.81,35.06,33.81,34.44,188,0,0
949888800,34.50,34.56,33.38,33.81,168,0,0
949975200,34.19,34.50,33.50,34.13,195,0,0
950061600,34.69,36.50,34.56,36.06,252,0,0
950148000,36.00,36.00,34.69,35.13,176,0,0
950234400,35.19,35.19,34.00,34.00,120,0,0
950493600,34.75,35.19,34.38,35.06,132,0,0
950580000,35.19,35.38,34.56,35.13,159,0,0
950666400,34.75,35.13,34.56,34.69,109,0,0
950752800,34.94,35.25,34.13,34.25,156,0,0
950839200,34.00,34.44,32.38,32.63,276,0,0
951184800,33.44,33.50,32.81,33.38,133,0,0
951271200,32.38,33.00,31.81,32.13,214,0,0
951357600,32.25,32.56,31.00,31.75,263,0,0
951444000,31.87,32.75,31.75,32.06,182,0,0
951703200,33.50,33.69,32.63,33.13,176,0,0
951789600,33.13,33.56,32.63,33.00,174,0,0
951876000,33.13,34.00,32.75,33.81,183,0,0
951962400,33.81,33.94,32.94,33.50,170,0,0
952048800,32.75,33.13,31.87,32.44,222,0,0
952308000,32.19,32.19,31.00,31.25,145,0,0
952394400,31.19,31.25,29.50,29.62,194,0,0
952480800,30.12,31.44,30.06,31.00,189,0,0
952567200,30.25,31.44,30.06,31.25,177,0,0
952653600,31.44,31.94,30.50,30.94,239,0,0
952912800,30.00,30.69,29.87,30.56,109,0,0
952999200,30.87,31.44,30.75,31.12,114,0,0
953085600,30.94,32.88,30.62,32.50,297,0,0
953172000,33.50,34.88,33.25,34.50,227,0,0
953258400,34.50,34.88,33.38,33.50,201,0,0
953517600,34.25,34.44,33.50,33.88,152,0,0
953604000,34.38,34.44,32.94,33.69,232,0,0
953690400,33.50,34.44,33.44,34.31,120,0,0
953776800,34.25,34.31,33.50,33.81,119,0,0
953863200,33.88,34.13,33.50,33.63,102,0,0
954126000,33.50,33.88,33.13,33.25,126,0,0
954212400,33.06,34.00,32.56,33.88,207,0,0
954298800,34.13,35.50,33.94,34.88,238,0,0
954385200,35.38,36.00,34.75,35.50,239,0,0
954471600,35.50,35.94,34.44,35.19,270,0,0
954730800,35.56,37.38,35.38,37.00,257,0,0
954817200,37.19,39.75,36.94,39.44,338,0,0
954903600,38.63,38.69,37.00,37.13,189,0,0
954990000,37.13,38.50,37.13,37.81,207,0,0
955076400,37.81,38.00,36.44,36.63,195,0,0
955335600,36.25,38.00,35.56,37.06,408,0,0
955422000,36.94,38.50,36.94,38.06,201,0,0
955508400,38.75,40.06,38.25,39.63,275,0,0
955594800,39.25,39.88,38.56,39.19,259,0,0
955681200,38.81,39.00,36.50,36.81,301,0,0
955940400,37.00,37.88,36.56,37.69,196,0,0
956026800,37.69,38.63,37.13,38.19,251,0,0
956113200,38.44,38.81,37.69,38.38,219,0,0
956199600,38.56,39.38,38.25,39.25,158,0,0
956545200,38.75,40.25,38.63,40.06,194,0,0
956631600,40.00,40.13,39.00,39.75,202,0,0
956718000,38.56,39.00,38.44,39.00,69,0,0
956804400,38.50,39.06,38.31,39.00,101,0,0
956890800,38.75,38.75,37.69,38.44,182,0,0
957150000,38.13,38.19,37.31,38.06,170,0,0
957236400,37.63,38.38,36.75,38.19,271,0,0
957322800,37.94,38.25,37.13,37.63,194,0,0
957409200,37.38,37.69,36.81,37.25,164,0,0
957495600,37.00,37.94,36.81,37.94,133,0,0
957754800,38.00,38.81,37.56,38.81,170,0,0
957841200,38.19,39.00,38.19,39.00,82,0,0
957927600,38.25,38.88,38.00,38.56,146,0,0
958014000,38.88,38.88,37.69,37.81,132,0,0
958100400,37.44,37.50,36.75,37.00,107,0,0
958359600,37.44,39.19,37.38,38.94,213,0,0
958446000,38.94,39.00,38.25,38.63,120,0,0
958532400,38.38,39.19,38.25,38.56,171,0,0
958618800,39.00,40.69,38.88,40.56,207,0,0
958705200,40.31,41.88,40.13,41.56,226,0,0
958964400,41.63,42.81,41.56,42.75,139,0,0
959050800,42.75,42.94,42.25,42.75,139,0,0
959137200,42.94,44.00,42.63,43.47,222,0,0
959223600,42.81,43.25,42.50,42.75,145,0,0
959310000,42.75,43.00,41.38,41.69,219,0,0
959655600,41.69,41.75,40.63,41.13,169,0,0
959742000,41.44,41.50,40.44,40.69,138,0,0
959828400,40.75,41.69,40.38,40.88,250,0,0
959914800,41.13,41.19,38.94,39.13,251,0,0
960174000,38.88,40.19,38.88,39.75,176,0,0
960260400,39.19,40.50,38.81,40.19,239,0,0
960346800,40.06,40.69,40.06,40.19,114,0,0
960433200,40.94,41.00,40.00,40.63,170,0,0
960519600,40.75,41.75,40.50,40.81,245,0,0
960778800,40.88,41.50,40.31,40.31,182,0,0
