time,open,high,low,close,tick_volume,spread,real_volume
995598000,15.05,15.05,14.80,15.01,47,0,0
995857200,15.00,15.01,14.55,15.00,93,0,0
995943600,14.95,14.97,14.70,14.86,46,0,0
996030000,14.70,14.95,14.65,14.95,36,0,0
996116400,14.95,14.99,14.50,14.50,54,0,0
996202800,14.51,14.59,14.50,14.51,19,0,0
996462000,14.50,14.78,14.50,14.70,37,0,0
996548400,14.71,15.01,14.60,14.96,58,0,0
996634800,15.00,15.50,14.90,15.50,71,0,0
996721200,15.40,15.50,15.10,15.40,81,0,0
996807600,15.40,15.40,14.98,15.15,60,0,0
997066800,15.15,15.22,15.02,15.10,36,0,0
997153200,15.10,15.55,15.10,15.50,51,0,0
997239600,15.40,15.60,15.00,15.00,81,0,0
997326000,15.05,15.50,15.00,15.50,56,0,0
997412400,15.40,15.40,15.12,15.19,36,0,0
997671600,15.15,15.34,14.90,15.01,75,0,0
997758000,15.05,15.06,14.65,14.70,48,0,0
997844400,14.75,14.90,14.70,14.79,37,0,0
997930800,14.78,14.78,14.05,14.05,74,0,0
998017200,14.06,14.80,13.90,14.52,135,0,0
998276400,14.60,15.35,14.49,15.35,98,0,0
998362800,15.25,15.60,15.01,15.46,98,0,0
998449200,15.32,15.39,14.78,15.34,121,0,0
998535600,15.45,15.45,15.25,15.25,21,0,0
998622000,15.25,15.48,15.00,15.40,82,0,0
998881200,15.48,15.65,15.40,15.48,51,0,0
998967600,15.42,15.58,15.25,15.36,61,0,0
999054000,15.29,15.31,15.00,15.01,35,0,0
999140400,14.85,15.04,14.85,14.95,29,0,0
999226800,15.00,15.10,14.90,14.90,31,0,0
999572400,15.00,15.65,15.00,15.38,93,0,0
999658800,15.38,15.38,14.90,14.91,50,0,0
999745200,14.75,15.01,14.40,14.50,98,0,0
999831600,14.45,14.64,14.35,14.52,52,0,0
1000090800,14.58,15.16,14.55,15.15,66,0,0
1000695600,15.14,15.14,14.47,14.60,81,0,0
1000782000,14.60,15.00,14.35,14.55,126,0,0
1000868400,14.60,14.69,13.72,13.95,130,0,0
1000954800,13.90,13.90,12.84,12.95,118,0,0
1001041200,12.85,13.00,12.16,12.75,159,0,0
1001300400,13.00,13.28,12.95,13.20,47,0,0
1001386800,13.20,13.20,12.70,12.80,61,0,0
1001473200,12.80,12.96,12.20,12.20,93,0,0
1001559600,12.26,12.26,11.61,11.85,90,0,0
1001646000,12.10,13.45,12.10,12.75,206,0,0
1001905200,12.65,13.00,12.65,12.70,66,0,0
1001991600,12.55,12.70,12.12,12.58,114,0,0
1002078000,12.62,13.06,12.60,12.95,60,0,0
1002164400,12.97,13.80,12.97,13.49,115,0,0
1002250800,13.50,13.74,13.32,13.55,80,0,0
1002510000,13.60,13.69,13.23,13.23,56,0,0
1002596400,13.48,13.80,13.38,13.40,77,0,0
1002682800,13.35,13.75,13.30,13.67,59,0,0
1002769200,15.50,15.50,14.70,15.16,127,0,0
1002855600,15.26,16.55,15.26,16.55,130,0,0
1003114800,16.51,17.95,16.51,17.50,190,0,0
1003201200,17.65,18.05,16.90,17.45,211,0,0
1003287600,17.65,17.74,16.85,16.98,112,0,0
1003374000,16.98,16.98,16.61,16.70,47,0,0
1003460400,16.70,16.85,16.54,16.85,48,0,0
1003719600,17.00,17.57,16.97,17.50,71,0,0
1003806000,17.50,17.73,17.27,17.62,81,0,0
1003892400,17.68,17.76,17.57,17.74,33,0,0
1003978800,17.74,17.75,17.13,17.74,125,0,0
1004065200,17.70,17.78,17.50,17.62,49,0,0
1004320800,17.72,17.73,17.40,17.55,50,0,0
1004407200,17.45,17.46,17.15,17.35,53,0,0
1004493600,17.42,17.60,17.10,17.57,86,0,0
1004580000,17.52,18.59,17.52,18.31,136,0,0
1004666400,18.50,19.10,18.10,18.25,176,0,0
1004925600,18.25,18.27,17.77,18.10,86,0,0
1005012000,17.98,17.98,17.35,17.97,126,0,0
1005098400,17.98,18.90,17.96,18.90,97,0,0
1005184800,18.70,19.97,18.70,19.95,130,0,0
1005271200,19.75,19.95,19.65,19.95,41,0,0
1005530400,19.75,19.75,19.00,19.49,125,0,0
1005616800,19.70,21.24,19.66,20.80,207,0,0
1005703200,21.00,21.40,19.97,20.21,208,0,0
1005789600,20.05,20.45,20.05,20.25,61,0,0
1005876000,20.25,21.25,20.20,21.04,132,0,0
1006135200,21.10,22.25,21.10,22.00,141,0,0
1006221600,21.96,21.96,21.15,21.25,92,0,0
1006308000,21.20,21.21,19.80,20.35,198,0,0
1006480800,20.34,20.62,20.26,20.55,52,0,0
1006740000,20.68,21.60,20.27,21.50,185,0,0
1006826400,21.60,22.75,21.50,22.50,161,0,0
1006912800,22.00,22.10,20.86,21.85,234,0,0
1006999200,21.83,22.24,21.01,21.43,207,0,0
1007085600,21.46,22.66,21.41,22.60,137,0,0
1007344800,22.75,24.00,22.50,22.90,286,0,0
1007431200,22.75,24.50,22.65,24.20,226,0,0
1007517600,24.40,26.80,24.34,26.65,268,0,0
1007604000,26.65,27.17,25.90,26.25,215,0,0
1007690400,25.90,25.95,24.80,24.86,127,0,0
1007949600,25.00,26.20,24.50,24.60,301,0,0
1008036000,24.55,24.88,24.50,24.76,56,0,0
1008122400,24.75,25.30,24.54,25.17,111,0,0
