time,open,high,low,close,tick_volume,spread,real_volume
1629158400,2.1186,2.1187,1.9208,2.0201,284838,0,0
1629244800,2.0246,2.1647,1.8675,2.0468,471371,0,0
1629331200,2.0461,2.4450,2.0328,2.3617,480628,0,0
1629417600,2.3661,2.5827,2.3438,2.4873,549567,0,0
1629676800,2.5715,2.9600,2.5583,2.9147,220030,0,0
1629763200,2.9136,2.9665,2.5950,2.8268,298011,0,0
1629849600,2.8244,2.8390,2.6026,2.7295,432611,0,0
1629936000,2.7236,2.7885,2.4700,2.5377,451204,0,0
1630022400,2.5385,2.8933,2.4937,2.8842,472677,0,0
1630108800,2.8824,2.9531,2.7790,2.8385,315082,0,0
1630195200,2.8358,2.9235,2.7210,2.8927,295010,0,0
1630281600,2.8936,2.9035,2.7493,2.8161,286420,0,0
1630368000,2.8185,2.8844,2.6988,2.7556,291384,0,0
1630454400,2.7585,2.9080,2.7156,2.8298,393711,0,0
1630540800,2.8332,3.1078,2.8293,2.9730,547098,0,0
1630627200,2.9734,3.0355,2.9007,2.9689,454418,0,0
1630713600,2.9681,2.9822,2.7981,2.8592,384832,0,0
1630800000,2.8596,2.9535,2.8185,2.9535,427103,0,0
1630886400,2.9532,2.9657,2.7889,2.8461,356749,0,0
1630972800,2.8438,2.8782,2.0162,2.3969,585554,0,0
1631059200,2.4009,2.5600,2.2010,2.3941,745334,0,0
1631145600,2.3914,2.6164,2.3621,2.4927,643736,0,0
1631232000,2.4901,2.5818,2.2685,2.3571,499510,0,0
1631318400,2.3542,2.7968,2.3136,2.7133,624617,0,0
1631404800,2.7118,2.7878,2.5057,2.5496,667279,0,0
1631491200,2.5497,2.6259,2.3067,2.4331,640362,0,0
1631577600,2.4348,2.4508,2.3145,2.3845,415088,0,0
1631664000,2.3829,2.5806,2.3485,2.4816,424652,0,0
1631750400,2.4801,2.5171,2.3799,2.3840,377223,0,0
1631836800,2.3883,2.4408,2.3274,2.3355,378262,0,0
1631923200,2.3321,2.4374,2.3090,2.3645,366389,0,0
1632009600,2.3641,2.3952,2.2989,2.3245,355370,0,0
1632096000,2.3230,2.3415,1.9732,2.0787,998163,0,0
1632182400,2.0785,2.2269,1.9670,1.9864,1063578,0,0
1632268800,1.9847,2.2529,1.9064,2.2439,1074140,0,0
1632355200,2.2447,2.2888,2.1783,2.2480,912938,0,0
1632441600,2.2491,2.3464,2.0643,2.2872,1088593,0,0
1632528000,2.2873,2.4585,2.2381,2.3567,1048969,0,0
1632614400,2.3534,2.3558,2.2086,2.2677,755499,0,0
1632700800,2.2679,2.2770,2.1549,2.1590,817248,0,0
1632787200,2.1607,2.1990,2.0266,2.0692,801187,0,0
1632873600,2.0692,2.1412,2.0174,2.0425,538080,0,0
1632960000,2.0406,2.1353,2.0333,2.0967,436062,0,0
1633046400,2.0973,2.2609,2.0901,2.2433,445982,0,0
1633132800,2.2447,2.3221,2.1916,2.2937,440118,0,0
1633219200,2.2913,2.3146,2.2204,2.2609,433764,0,0
1633305600,2.2609,2.2624,2.1487,2.1815,507399,0,0
1633392000,2.1808,2.2469,2.1725,2.2339,446549,0,0
1633478400,2.2352,2.2578,2.1102,2.2144,512194,0,0
1633564800,2.2183,2.3755,2.1498,2.2980,578036,0,0
1633651200,2.2980,2.3136,2.2151,2.2308,366784,0,0
1633737600,2.2315,2.3009,2.2188,2.2672,378537,0,0
1633824000,2.2655,2.2773,2.2159,2.2232,382381,0,0
1633910400,2.2243,2.2466,2.1334,2.1484,131809,0,0
1633996800,2.1439,2.1718,2.0694,2.1352,461165,0,0
1634083200,2.1379,2.1726,2.0789,2.1556,381050,0,0
1634169600,2.1538,2.2243,2.1538,2.1658,315626,0,0
1634256000,2.1645,2.2432,2.1377,2.2266,389176,0,0
1634342400,2.2258,2.2492,2.1695,2.1881,236610,0,0
1634428800,2.1877,2.1887,2.0896,2.1181,146770,0,0
1634515200,2.1181,2.1751,2.1040,2.1311,321065,0,0
1634601600,2.1302,2.1565,2.1024,2.1089,71088,0,0
1634688000,2.1082,2.2085,2.0922,2.1799,99409,0,0
1634774400,2.1813,2.3004,2.1400,2.1545,525539,0,0
1634860800,2.1543,2.2105,2.1247,2.1590,661800,0,0
1634947200,2.1588,2.1742,2.1348,2.1483,672008,0,0
1635033600,2.1492,2.1685,2.0942,2.1223,655822,0,0
1635120000,2.1241,2.1799,2.1135,2.1443,658616,0,0
1635206400,2.1445,2.2009,2.1413,2.1913,448861,0,0
1635292800,2.1936,2.1985,1.9018,1.9349,453112,0,0
1635379200,1.9343,2.0591,1.9051,2.0112,441056,0,0
1635465600,2.0102,2.0480,1.9794,2.0088,451048,0,0
1635552000,2.0090,2.0199,1.9417,1.9739,439727,0,0
1635638400,1.9731,2.0306,1.9224,1.9601,448939,0,0
1635724800,1.9587,2.0178,1.9172,1.9399,437855,0,0
1635811200,1.9399,1.9981,1.9312,1.9659,435370,0,0
1635897600,1.9660,2.1441,1.9514,2.0900,453409,0,0
1635984000,2.0914,2.1049,1.9343,1.9857,451257,0,0
1636070400,1.9842,2.0182,1.9602,1.9659,436377,0,0
1636156800,1.9635,2.0409,1.9409,1.9885,432079,0,0
1636243200,1.9885,2.0325,1.9789,2.0199,434954,0,0
1636329600,2.0203,2.1415,2.0099,2.1079,447971,0,0
1636416000,2.1064,2.3764,2.1064,2.2863,464485,0,0
1636502400,2.2804,2.3187,1.9813,2.0488,461495,0,0
1636588800,2.0450,2.1527,2.0196,2.0990,475599,0,0
1636675200,2.0994,2.1042,1.9906,2.0564,457993,0,0
1636761600,2.0563,2.0768,2.0212,2.0478,430647,0,0
1636848000,2.0493,2.0704,2.0100,2.0371,434994,0,0
1636934400,2.0378,2.0900,2.0112,2.0297,444152,0,0
1637020800,2.0278,2.0288,1.7722,1.8980,474828,0,0
1637107200,1.8960,1.9050,1.7943,1.8625,481867,0,0
1637193600,1.8641,1.9065,1.7007,1.7996,479121,0,0
1637280000,1.7985,1.8932,1.7530,1.8597,477683,0,0
1637366400,1.8599,1.9546,1.8535,1.9161,463769,0,0
1637452800,1.9158,1.9268,1.8540,1.8750,362580,0,0
1637539200,1.8737,1.8788,1.7570,1.7781,472375,0,0
1637625600,1.7788,1.8154,1.7539,1.7638,457852,0,0
1637712000,1.7636,1.7672,1.5860,1.6449,463693,0,0
1637798400,1.6454,1.7490,1.6196,1.6824,466346,0,0
1637884800,1.6819,1.7007,1.4900,1.5562,470774,0,0
1637971200,1.5538,1.5843,1.5247,1.5487,458369,0,0
1638057600,1.5489,1.5824,1.4138,1.5799,394989,0,0
1638144000,1.5773,1.6359,1.5493,1.6125,465870,0,0
1638230400,1.6128,1.6296,1.5446,1.5659,469154,0,0
1638316800,1.5654,1.6232,1.5366,1.5482,456411,0,0
1638403200,1.5483,1.7591,1.5184,1.7104,478937,0,0
1638489600,1.7119,1.7344,1.5066,1.5742,474575,0,0
1638576000,1.5725,1.5771,1.1975,1.4080,486163,0,0
1638662400,1.4088,1.4373,1.2828,1.3624,476055,0,0
1638748800,1.3591,1.3957,1.2543,1.3823,488792,0,0
1638835200,1.3871,1.4782,1.3803,1.3880,477025,0,0
1638921600,1.3861,1.4214,1.3374,1.4037,468690,0,0
1639008000,1.4055,1.4077,1.2895,1.3051,461202,0,0
1639094400,1.3060,1.3318,1.2429,1.2500,465736,0,0
1639180800,1.2486,1.3502,1.2056,1.3413,420453,0,0
1639267200,1.3476,1.4125,1.3180,1.3564,447433,0,0
1639353600,1.3568,1.3651,1.1973,1.2301,466433,0,0
1639440000,1.2267,1.2827,1.1974,1.2689,464396,0,0
1639526400,1.2692,1.3300,1.2023,1.3156,463546,0,0
1639612800,1.3143,1.3298,1.2539,1.2686,455928,0,0
1639699200,1.2676,1.2700,1.1804,1.2316,460375,0,0
1639785600,1.2300,1.2654,1.1977,1.2452,452799,0,0
1639872000,1.2464,1.3101,1.2373,1.2408,448370,0,0
1639958400,1.2421,1.2620,1.1996,1.2422,454815,0,0
1640044800,1.2417,1.2857,1.2261,1.2794,449223,0,0
1640131200,1.2806,1.3678,1.2753,1.3430,450887,0,0
1640217600,1.3425,1.4720,1.3052,1.4703,462570,0,0
1640304000,1.4672,1.4891,1.4013,1.4117,464457,0,0
1640390400,1.4125,1.4595,1.3796,1.4504,462556,0,0
1640476800,1.4494,1.4664,1.4055,1.4560,464180,0,0
1640563200,1.4551,1.5912,1.4493,1.5283,462708,0,0
1640649600,1.5286,1.5379,1.3754,1.4017,481750,0,0
1640736000,1.4018,1.4366,1.3309,1.3537,464254,0,0
1640822400,1.3552,1.3756,1.2956,1.3477,468310,0,0
1640908800,1.3487,1.3816,1.2792,1.3098,462538,0,0
1640995200,1.3115,1.3619,1.3033,1.3595,451558,0,0
1641081600,1.3600,1.3898,1.3409,1.3621,447209,0,0
1641168000,1.3614,1.3793,1.3092,1.3253,450250,0,0
1641254400,1.3231,1.3503,1.2934,1.3207,451715,0,0
1641340800,1.3185,1.3518,1.2214,1.2448,457740,0,0
1641427200,1.2412,1.2947,1.1841,1.2701,468827,0,0
1641513600,1.2709,1.2842,1.1873,1.2239,477674,0,0
1641600000,1.2228,1.2527,1.1230,1.1851,432713,0,0
1641686400,1.1847,1.2305,1.1457,1.1824,432021,0,0
1641772800,1.1811,1.1914,1.0661,1.1333,462613,0,0
1641859200,1.1339,1.1942,1.1200,1.1858,459130,0,0
1641945600,1.1857,1.3036,1.1736,1.2973,455969,0,0
1642032000,1.2957,1.3530,1.2306,1.2490,466838,0,0
1642118400,1.2488,1.3093,1.2185,1.2937,470808,0,0
1642204800,1.2986,1.3185,1.2500,1.3070,453997,0,0
1642291200,1.3061,1.4220,1.2853,1.3964,454707,0,0
1642377600,1.3958,1.5715,1.3865,1.5289,495511,0,0
1642464000,1.5267,1.6353,1.4115,1.4718,501008,0,0
1642550400,1.4707,1.5330,1.3289,1.3308,495040,0,0
1642636800,1.3300,1.4241,1.2838,1.2894,482967,0,0
1642723200,1.2830,1.3035,1.1077,1.1352,471130,0,0
1642809600,1.1386,1.1551,0.9198,1.0909,490028,0,0
1642896000,1.0870,1.1668,1.0472,1.0667,460150,0,0
1642982400,1.0659,1.1392,0.9490,1.0769,475296,0,0
1643068800,1.0763,1.0784,0.9905,1.0261,468367,0,0
1643155200,1.0254,1.1546,1.0203,1.0377,467045,0,0
1643241600,1.0354,1.0870,0.9985,1.0336,463201,0,0
1643295600,1.0485,1.0582,1.0438,1.0545,19211,0,0
1643299200,1.0546,1.0763,1.0545,1.0602,19883,0,0
1643302800,1.0598,1.0679,1.0404,1.0475,19988,0,0
1643306400,1.0477,1.0594,1.0373,1.0423,19593,0,0
1643310000,1.0423,1.0454,1.0232,1.0317,19153,0,0
1643313600,1.0313,1.0350,1.0212,1.0318,18876,0,0
1643317200,1.0320,1.0372,1.0187,1.0230,18305,0,0
1643320800,1.0241,1.0356,1.0025,1.0047,19969,0,0
1643324400,1.0051,1.0373,1.0039,1.0336,19491,0,0
1643328000,1.0318,1.0486,1.0226,1.0358,19591,0,0
1643331600,1.0358,1.0447,1.0324,1.0412,19829,0,0
1643335200,1.0411,1.0585,1.0376,1.0463,19883,0,0
1643338800,1.0465,1.0532,1.0207,1.0323,19324,0,0
1643342400,1.0323,1.0497,1.0198,1.0446,19279,0,0
1643346000,1.0449,1.0572,1.0425,1.0469,19525,0,0
1643349600,1.0473,1.0506,1.0315,1.0402,19450,0,0
1643353200,1.0399,1.0482,1.0365,1.0422,19033,0,0
1643356800,1.0426,1.0526,1.0319,1.0322,18838,0,0
1643360400,1.0319,1.0414,1.0285,1.0317,19807,0,0
1643364000,1.0317,1.0364,1.0193,1.0297,19278,0,0
1643367600,1.0300,1.0337,1.0158,1.0219,18816,0,0
1643371200,1.0217,1.0237,1.0074,1.0218,18957,0,0
1643374800,1.0216,1.0244,1.0073,1.0174,18924,0,0
1643378400,1.0172,1.0225,1.0092,1.0184,19561,0,0
1643382000,1.0186,1.0371,1.0145,1.0317,19870,0,0
1643385600,1.0320,1.0353,1.0151,1.0211,19373,0,0
1643389200,1.0211,1.0366,1.0180,1.0361,18950,0,0
1643392800,1.0363,1.0449,1.0316,1.0362,19204,0,0
1643396400,1.0364,1.0417,1.0247,1.0259,18933,0,0
1643400000,1.0266,1.0373,1.0254,1.0322,19075,0,0
1643403600,1.0321,1.0370,1.0236,1.0355,19134,0,0
1643407200,1.0358,1.0481,1.0306,1.0448,18606,0,0
1643410800,1.0449,1.0569,1.0437,1.0454,18643,0,0
1643414400,1.0447,1.0527,1.0412,1.0421,18077,0,0
1643418000,1.0424,1.0514,1.0393,1.0467,18271,0,0
1643421600,1.0466,1.0556,1.0424,1.0494,18810,0,0
1643425200,1.0494,1.0539,1.0365,1.0400,18944,0,0
1643428800,1.0401,1.0494,1.0393,1.0489,18812,0,0
1643432400,1.0489,1.0536,1.0457,1.0494,19102,0,0
1643436000,1.0496,1.0556,1.0477,1.0481,18961,0,0
1643439600,1.0483,1.0490,1.0435,1.0490,18558,0,0
1643443200,1.0488,1.0561,1.0478,1.0552,18601,0,0
1643446800,1.0551,1.0746,1.0549,1.0721,18851,0,0
1643450400,1.0722,1.0742,1.0637,1.0667,18724,0,0
1643454000,1.0662,1.0726,1.0568,1.0725,18580,0,0
1643457600,1.0726,1.0726,1.0615,1.0648,18669,0,0
1643461200,1.0646,1.0676,1.0616,1.0623,19330,0,0
1643464800,1.0622,1.0694,1.0553,1.0677,19084,0,0
1643468400,1.0676,1.0787,1.0625,1.0777,19324,0,0
1643472000,1.0780,1.0822,1.0535,1.0545,19034,0,0
1643475600,1.0547,1.0602,1.0440,1.0523,19985,0,0
1643479200,1.0517,1.0554,1.0398,1.0545,19494,0,0
1643482800,1.0547,1.0589,1.0467,1.0508,19101,0,0
1643486400,1.0507,1.0612,1.0488,1.0597,18898,0,0
1643490000,1.0593,1.0630,1.0525,1.0535,19014,0,0
1643493600,1.0536,1.0705,1.0520,1.0647,18842,0,0
1643497200,1.0649,1.0736,1.0620,1.0654,18758,0,0
1643500800,1.0638,1.0655,1.0589,1.0638,18698,0,0
1643504400,1.0636,1.0640,1.0528,1.0579,18715,0,0
1643508000,1.0582,1.0630,1.0484,1.0508,18737,0,0
1643511600,1.0509,1.0570,1.0500,1.0549,18724,0,0
1643515200,1.0548,1.0634,1.0515,1.0613,18793,0,0
1643518800,1.0608,1.0642,1.0570,1.0589,18635,0,0
1643522400,1.0585,1.0713,1.0577,1.0663,18366,0,0
1643526000,1.0665,1.0736,1.0649,1.0712,18414,0,0
1643529600,1.0709,1.0718,1.0655,1.0687,18054,0,0
1643533200,1.0691,1.0760,1.0672,1.0724,18232,0,0
1643536800,1.0727,1.0750,1.0614,1.0615,18860,0,0
1643540400,1.0617,1.0655,1.0577,1.0607,18666,0,0
1643544000,1.0607,1.0687,1.0595,1.0687,18532,0,0
1643547600,1.0684,1.0703,1.0604,1.0649,18714,0,0
1643551200,1.0651,1.0672,1.0532,1.0557,19122,0,0
1643554800,1.0555,1.0582,1.0519,1.0566,17929,0,0
1643558400,1.0565,1.0590,1.0456,1.0542,18641,0,0
1643562000,1.0543,1.0567,1.0482,1.0521,18606,0,0
1643565600,1.0522,1.0567,1.0452,1.0478,18565,0,0
1643569200,1.0479,1.0502,1.0425,1.0498,18177,0,0
1643572800,1.0498,1.0509,1.0414,1.0431,18318,0,0
1643576400,1.0429,1.0434,1.0224,1.0280,19410,0,0
1643580000,1.0284,1.0403,1.0253,1.0383,18067,0,0
1643583600,1.0365,1.0381,1.0255,1.0336,18247,0,0
1643587200,1.0332,1.0368,1.0293,1.0351,18142,0,0
1643590800,1.0351,1.0469,1.0312,1.0334,18931,0,0
1643594400,1.0334,1.0356,1.0095,1.0148,18851,0,0
1643598000,1.0146,1.0212,1.0126,1.0134,18150,0,0
1643601600,1.0132,1.0239,1.0064,1.0222,18832,0,0
1643605200,1.0225,1.0247,1.0154,1.0195,18502,0,0
1643608800,1.0195,1.0211,1.0093,1.0112,18170,0,0
1643612400,1.0113,1.0176,1.0081,1.0165,17998,0,0
1643616000,1.0164,1.0205,1.0137,1.0139,17777,0,0
1643619600,1.0139,1.0236,1.0126,1.0213,18197,0,0
1643623200,1.0212,1.0241,1.0190,1.0208,18388,0,0
1643626800,1.0207,1.0230,1.0167,1.0208,17779,0,0
1643630400,1.0217,1.0233,1.0161,1.0219,17638,0,0
1643634000,1.0217,1.0253,1.0113,1.0210,18389,0,0
1643637600,1.0215,1.0262,1.0101,1.0172,18011,0,0
1643641200,1.0171,1.0234,1.0110,1.0212,18643,0,0
1643644800,1.0211,1.0233,1.0149,1.0221,17622,0,0
1643648400,1.0224,1.0382,1.0221,1.0341,18763,0,0
1643652000,1.0342,1.0530,1.0304,1.0510,19328,0,0
1643655600,1.0509,1.0577,1.0434,1.0481,18706,0,0
1643659200,1.0479,1.0514,1.0413,1.0475,18703,0,0
1643662800,1.0475,1.0524,1.0410,1.0419,18711,0,0
1643666400,1.0421,1.0457,1.0364,1.0448,18580,0,0
1643670000,1.0449,1.0519,1.0427,1.0460,17331,0,0
1643673600,1.0461,1.0530,1.0450,1.0475,18070,0,0
1643677200,1.0478,1.0529,1.0447,1.0505,18159,0,0
1643680800,1.0504,1.0541,1.0418,1.0429,18420,0,0
1643684400,1.0429,1.0459,1.0390,1.0425,18759,0,0
1643688000,1.0422,1.0444,1.0331,1.0437,18175,0,0
1643691600,1.0437,1.0560,1.0417,1.0557,18670,0,0
1643695200,1.0554,1.0623,1.0499,1.0529,18757,0,0
1643698800,1.0527,1.0565,1.0505,1.0509,17833,0,0
1643702400,1.0508,1.0511,1.0426,1.0479,18269,0,0
1643706000,1.0477,1.0549,1.0474,1.0544,18061,0,0
1643709600,1.0544,1.0614,1.0523,1.0607,18308,0,0
1643713200,1.0608,1.0710,1.0459,1.0489,19439,0,0
1643716800,1.0488,1.0532,1.0426,1.0473,18426,0,0
1643720400,1.0475,1.0600,1.0458,1.0532,18956,0,0
1643724000,1.0532,1.0626,1.0519,1.0620,18852,0,0
1643727600,1.0622,1.0697,1.0580,1.0631,19007,0,0
1643731200,1.0630,1.0727,1.0534,1.0589,18997,0,0
1643734800,1.0591,1.0649,1.0506,1.0639,19461,0,0
1643738400,1.0636,1.0774,1.0607,1.0733,18961,0,0
1643742000,1.0733,1.0754,1.0625,1.0685,18709,0,0
1643745600,1.0703,1.0758,1.0638,1.0667,18561,0,0
1643749200,1.0668,1.0694,1.0595,1.0637,18433,0,0
1643752800,1.0637,1.0768,1.0636,1.0667,18611,0,0
1643756400,1.0669,1.0778,1.0667,1.0738,18093,0,0
1643760000,1.0804,1.0813,1.0681,1.0742,18151,0,0
1643763600,1.0741,1.0948,1.0702,1.0941,19007,0,0
1643767200,1.0944,1.1009,1.0808,1.0876,19154,0,0
1643770800,1.0875,1.0951,1.0838,1.0848,19479,0,0
1643774400,1.0849,1.0942,1.0802,1.0925,19187,0,0
1643778000,1.0926,1.0988,1.0881,1.0893,18224,0,0
1643781600,1.0893,1.0894,1.0823,1.0827,18027,0,0
1643785200,1.0828,1.0828,1.0684,1.0763,18345,0,0
1643788800,1.0763,1.0797,1.0638,1.0680,18743,0,0
1643792400,1.0681,1.0697,1.0563,1.0590,18566,0,0
1643796000,1.0587,1.0653,1.0556,1.0637,17759,0,0
1643799600,1.0623,1.0714,1.0595,1.0697,18384,0,0
1643803200,1.0698,1.0711,1.0660,1.0702,18569,0,0
1643806800,1.0702,1.0705,1.0646,1.0669,18068,0,0
1643810400,1.0667,1.0820,1.0658,1.0783,18767,0,0
1643814000,1.0781,1.0803,1.0690,1.0725,18387,0,0
1643817600,1.0727,1.0761,1.0364,1.0429,19294,0,0
1643821200,1.0430,1.0531,1.0411,1.0445,18956,0,0
1643824800,1.0446,1.0503,1.0297,1.0454,18911,0,0
1643828400,1.0454,1.0517,1.0403,1.0471,18819,0,0
1643832000,1.0471,1.0519,1.0441,1.0513,18542,0,0
1643835600,1.0512,1.0577,1.0476,1.0534,18764,0,0
1643839200,1.0532,1.0561,1.0445,1.0492,18843,0,0
1643842800,1.0493,1.0519,1.0203,1.0286,19584,0,0
1643846400,1.0300,1.0359,1.0251,1.0315,18726,0,0
1643850000,1.0312,1.0385,1.0225,1.0248,19334,0,0
1643853600,1.0248,1.0350,1.0216,1.0302,19524,0,0
1643857200,1.0301,1.0333,1.0173,1.0213,18801,0,0
1643860800,1.0212,1.0295,1.0176,1.0283,19080,0,0
1643864400,1.0278,1.0307,1.0237,1.0268,18576,0,0
1643868000,1.0270,1.0315,1.0248,1.0285,18160,0,0
1643871600,1.0286,1.0406,1.0266,1.0362,17665,0,0
1643875200,1.0364,1.0366,1.0309,1.0345,18350,0,0
1643878800,1.0347,1.0416,1.0342,1.0394,18148,0,0
1643882400,1.0395,1.0418,1.0347,1.0387,18295,0,0
1643886000,1.0385,1.0397,1.0204,1.0212,18010,0,0
1643889600,1.0216,1.0236,1.0149,1.0201,19037,0,0
1643893200,1.0201,1.0325,1.0168,1.0294,18584,0,0
1643896800,1.0295,1.0310,1.0167,1.0302,18904,0,0
1643900400,1.0302,1.0347,1.0261,1.0296,18306,0,0
1643904000,1.0297,1.0365,1.0282,1.0341,19406,0,0
1643907600,1.0340,1.0486,1.0326,1.0443,19374,0,0
1643911200,1.0444,1.0518,1.0420,1.0454,18385,0,0
1643914800,1.0455,1.0501,1.0411,1.0496,18784,0,0
1643918400,1.0496,1.0545,1.0460,1.0517,18607,0,0
1643922000,1.0516,1.0551,1.0393,1.0436,18859,0,0
1643925600,1.0435,1.0498,1.0361,1.0374,18430,0,0
1643929200,1.0373,1.0579,1.0369,1.0544,18580,0,0
1643932800,1.0550,1.0561,1.0457,1.0501,18064,0,0
1643936400,1.0502,1.0608,1.0477,1.0600,18238,0,0
1643940000,1.0599,1.0607,1.0502,1.0526,18343,0,0
1643943600,1.0525,1.0526,1.0444,1.0474,18411,0,0
1643947200,1.0472,1.0567,1.0463,1.0515,18170,0,0
1643950800,1.0517,1.0556,1.0501,1.0518,18055,0,0
1643954400,1.0519,1.0539,1.0485,1.0520,17481,0,0
