time,open,high,low,close,tick_volume,spread,real_volume
1537056000,106.13,106.13,106.13,106.13,1,0,0
1661853600,101.59,101.67,101.59,101.67,2,0,0
1662379200,96.41,96.41,96.41,96.41,1,0,0
1663066800,100.17,100.17,100.17,100.17,1,0,0
1663599600,93.60,93.60,93.60,93.60,2,0,0
1663758000,91.93,91.93,91.93,91.93,1,0,0
1664280000,91.26,91.26,91.26,91.26,1,0,0
1665568800,93.82,93.86,92.93,93.06,1855,21,0
1665572400,93.05,93.82,92.98,93.64,1819,21,0
1665576000,93.63,94.31,93.55,93.95,1617,21,0
1665579600,93.94,94.10,93.47,93.65,1792,21,0
1665583200,93.66,93.86,93.30,93.51,1673,22,0
1665586800,93.51,93.95,92.87,92.93,3206,22,0
1665590400,92.93,93.48,92.36,93.25,3756,22,0
1665594000,93.26,93.73,92.63,92.69,4025,22,0
1665597600,92.69,93.25,92.66,93.20,1338,22,0
1665655200,92.99,95.85,92.97,95.77,2700,22,0
1665658800,95.78,96.58,95.38,96.35,2140,22,0
1665662400,96.35,96.80,96.00,96.02,1827,22,0
1665666000,96.02,96.10,95.42,95.46,1498,22,0
1665669600,95.46,97.31,95.39,96.50,2782,22,0
1665673200,96.50,96.68,93.62,94.57,5581,22,0
1665676800,94.54,95.21,93.40,95.21,5940,22,0
1665680400,95.22,96.05,95.04,95.63,6332,22,0
1665684000,95.62,97.19,95.61,96.97,2815,22,0
1665741600,98.80,99.14,96.95,97.55,3822,22,0
1665745200,97.55,97.78,96.73,96.77,2564,22,0
1665748800,96.75,97.81,96.65,97.75,2829,22,0
1665752400,97.76,98.45,97.63,98.22,2974,22,0
1665756000,98.22,98.47,97.24,97.25,2502,22,0
1665759600,97.25,98.95,97.21,98.79,2790,22,0
1665763200,98.79,99.20,98.05,98.15,4394,22,0
1665766800,98.15,98.15,96.22,96.77,5446,22,0
1665770400,96.78,97.02,96.14,96.73,1787,22,0
1666000800,96.73,97.97,96.63,97.82,2223,21,0
1666004400,97.85,98.08,97.46,97.70,1849,21,0
1666008000,97.76,97.93,97.58,97.78,1428,21,0
1666011600,97.76,98.11,97.67,97.93,1999,21,0
1666015200,97.94,98.08,97.61,97.71,1757,22,0
1666018800,97.71,98.41,97.68,98.27,1980,22,0
1666022400,98.28,99.22,98.24,98.68,3297,22,0
1666026000,98.68,99.76,98.58,99.08,3246,22,0
1666029600,99.09,99.28,98.75,99.24,1251,22,0
1666087200,100.98,100.98,99.42,99.79,3433,22,0
1666090800,99.80,100.10,99.52,99.79,2169,22,0
1666094400,99.81,100.03,99.42,99.77,2602,22,0
1666098000,99.76,100.08,99.56,99.70,1892,22,0
1666101600,99.71,100.21,99.68,99.82,1519,22,0
1666105200,99.81,101.48,99.81,101.42,1678,22,0
1666108800,101.41,101.85,101.00,101.21,2805,22,0
1666112400,101.22,101.54,100.55,100.84,2257,22,0
1666116000,100.83,100.85,100.26,100.34,1165,22,0
1666173600,100.90,101.24,100.30,100.85,2798,22,0
1666177200,100.84,100.86,99.80,99.96,2081,22,0
1666180800,99.95,101.04,99.95,100.99,1891,22,0
1666184400,101.01,101.07,100.53,100.80,1973,22,0
1666188000,100.81,100.96,100.24,100.59,2187,22,0
1666191600,100.56,100.92,100.02,100.88,2186,22,0
1666195200,100.89,101.18,99.94,100.32,2791,22,0
1666198800,100.31,101.58,100.16,100.98,2640,22,0
1666202400,100.97,101.16,100.71,100.97,995,22,0
1666260000,100.70,100.73,99.91,100.31,3063,22,0
1666263600,100.32,100.68,100.01,100.23,2039,22,0
1666267200,100.24,100.66,100.24,100.55,1628,22,0
1666270800,100.54,100.87,100.24,100.69,1640,22,0
1666274400,100.70,100.92,100.38,100.52,1851,22,0
1666278000,100.51,101.68,100.49,100.98,3221,22,0
1666281600,100.99,101.63,100.98,101.41,3335,22,0
1666285200,101.42,101.80,100.97,101.32,2894,22,0
1666288800,101.33,101.47,101.02,101.11,890,22,0
1666346400,100.50,101.06,99.85,99.92,2901,22,0
1666350000,99.91,100.08,99.25,99.96,2437,22,0
1666353600,99.97,100.09,99.44,99.87,2477,22,0
1666357200,99.87,100.06,99.58,99.89,1805,22,0
1666360800,99.89,100.14,99.55,99.64,1620,22,0
1666364400,99.64,100.17,99.27,99.69,2365,22,0
1666368000,99.69,101.24,99.66,101.24,4984,22,0
1666371600,101.25,101.62,100.21,100.21,4208,22,0
1666375200,100.22,100.75,100.06,100.71,1567,22,0
1666605600,102.17,103.27,101.38,101.58,3638,22,0
1666609200,101.56,101.72,101.19,101.59,3029,22,0
1666612800,101.58,102.66,101.44,102.64,1390,22,0
1666616400,102.65,103.09,102.42,102.87,1959,22,0
1666620000,102.88,103.31,102.48,102.99,1894,22,0
1666623600,102.98,103.67,102.59,103.67,1612,22,0
1666627200,103.66,103.68,102.70,103.10,3738,22,0
1666630800,103.09,103.14,101.44,102.65,3968,22,0
1666634400,102.66,102.75,102.33,102.59,1245,22,0
1666692000,103.13,103.45,102.55,103.05,2152,22,0
1666695600,103.07,103.22,102.43,102.48,1439,22,0
1666699200,102.47,102.60,102.28,102.50,994,22,0
1666702800,102.48,102.64,102.09,102.64,1012,22,0
1666706400,102.63,103.28,102.52,103.14,854,22,0
1666710000,103.13,103.20,102.70,103.13,1448,22,0
1666713600,103.12,104.48,103.11,104.35,2611,22,0
1666717200,104.36,104.43,103.68,103.98,2598,22,0
1666720800,103.99,104.42,103.99,104.21,807,22,0
1666778400,104.55,105.17,104.20,105.10,2455,22,0
1666782000,105.11,105.77,105.02,105.65,1926,22,0
1666785600,105.63,105.70,104.88,105.06,2028,22,0
1666789200,105.07,105.24,104.89,105.08,1954,22,0
1666792800,105.09,105.40,104.84,105.17,1837,22,0
1666796400,105.16,105.42,104.86,105.25,1497,22,0
1666800000,105.24,105.77,105.07,105.40,2495,22,0
1666803600,105.44,106.10,105.42,105.72,2414,22,0
1666807200,105.73,106.00,105.66,105.85,667,22,0
1666864800,106.18,106.37,104.53,105.10,3176,22,0
1666868400,105.09,105.95,104.86,105.67,1803,22,0
1666872000,105.69,105.83,105.21,105.53,1556,22,0
1666875600,105.55,105.78,105.37,105.54,1572,22,0
1666879200,105.53,105.74,105.38,105.60,1817,22,0
1666882800,105.59,106.41,105.47,106.20,3830,22,0
1666886400,106.21,106.86,105.94,106.33,4244,22,0
1666890000,106.32,107.13,105.91,105.92,3728,22,0
1666893600,105.93,106.14,105.78,105.86,853,22,0
1666951200,103.59,106.68,103.59,105.91,3600,22,0
1666954800,105.92,106.32,105.37,106.01,2532,22,0
1666958400,106.00,106.89,105.76,106.87,2181,22,0
1666962000,106.88,107.36,106.24,107.34,1515,22,0
1666965600,107.33,107.56,107.04,107.38,1916,22,0
1666969200,107.37,108.40,107.14,108.35,2997,22,0
1666972800,108.37,109.86,108.36,109.24,3109,22,0
1666976400,109.23,109.51,108.77,109.44,3040,22,0
1666980000,109.45,109.87,109.34,109.58,785,22,0
1667210400,109.63,109.71,108.39,109.25,1916,22,0
1667214000,109.27,109.48,108.86,109.47,1237,22,0
1667217600,109.48,109.80,108.94,109.23,1585,22,0
1667221200,109.24,109.67,109.16,109.46,1021,22,0
1667224800,109.45,109.50,109.25,109.40,863,22,0
1667228400,109.41,109.62,108.85,108.90,1454,22,0
1667232000,108.89,109.56,108.88,109.26,1543,22,0
1667235600,109.28,109.52,109.10,109.18,1349,22,0
1667239200,109.19,109.77,109.11,109.47,695,22,0
1667296800,111.07,112.38,110.55,111.96,1448,22,0
1667300400,111.98,112.11,111.30,111.47,759,22,0
1667304000,111.49,111.54,110.96,111.20,499,22,0
1667307600,111.18,111.88,111.02,111.86,479,22,0
1667311200,111.86,112.10,111.82,111.94,594,22,0
1667314800,111.92,112.74,111.88,112.56,822,22,0
1667318400,112.55,112.67,111.33,111.62,1686,22,0
1667322000,111.62,112.26,111.43,112.20,1056,22,0
1667325600,112.20,112.28,111.94,112.22,341,22,0
1667383200,112.48,112.51,111.54,111.56,1197,22,0
1667386800,111.56,111.70,110.80,111.00,924,22,0
1667390400,110.98,111.84,110.93,111.60,657,22,0
1667394000,111.58,112.08,111.39,111.90,538,22,0
1667397600,111.92,112.14,111.47,111.64,1124,22,0
1667401200,111.63,111.72,111.40,111.45,1482,22,0
1667404800,111.47,111.76,111.02,111.44,1131,22,0
1667408400,111.45,112.12,111.36,111.93,932,22,0
1667412000,111.94,112.02,111.50,111.65,428,22,0
1667469600,111.07,112.32,111.01,111.70,2831,14,0
1667473200,111.70,111.82,111.32,111.68,1665,14,0
1667476800,111.68,111.82,111.40,111.66,1305,14,0
1667480400,111.66,111.84,111.42,111.44,859,14,0
1667484000,111.44,111.70,111.18,111.42,2435,14,0
1667487600,111.42,111.60,110.96,111.28,2381,14,0
1667491200,111.28,112.26,111.24,111.60,4477,14,0
1667494800,111.60,111.80,111.22,111.44,2782,14,0
1667498400,111.44,111.74,111.44,111.66,782,14,0
1667556000,111.86,112.24,111.14,111.92,4432,14,0
1667559600,111.92,113.16,111.48,113.06,4425,14,0
1667563200,113.06,114.22,113.06,113.92,2723,14,0
1667566800,113.94,114.32,113.44,113.82,1959,14,0
1667570400,113.82,114.28,112.96,114.20,3349,14,0
1667574000,114.20,114.82,114.12,114.58,3406,14,0
1667577600,114.58,115.58,114.46,115.28,4665,14,0
1667581200,115.28,115.38,113.88,113.98,3158,14,0
1667584800,113.98,114.30,113.54,114.24,1350,14,0
1667815200,113.58,114.04,112.94,114.02,4526,14,0
1667818800,114.02,114.38,113.88,113.96,3686,14,0
1667822400,113.96,114.74,113.88,114.28,2675,14,0
1667826000,114.28,114.42,113.94,113.96,1662,14,0
1667829600,113.96,114.10,113.76,114.10,1864,14,0
1667833200,114.10,114.48,113.70,113.90,3288,14,0
1667836800,113.90,114.12,113.50,113.62,3335,14,0
1667840400,113.62,114.16,113.60,113.80,2705,14,0
1667844000,113.80,113.88,113.54,113.82,883,14,0
1667901600,113.53,113.62,112.72,113.12,4794,14,0
1667905200,113.12,113.62,113.04,113.32,2288,14,0
1667908800,113.32,113.60,113.28,113.36,1180,14,0
1667912400,113.38,113.58,113.08,113.24,1424,14,0
1667916000,113.24,113.42,112.92,113.30,1379,14,0
1667919600,113.30,113.46,112.84,112.86,1309,14,0
1667923200,112.86,112.94,112.24,112.42,1773,14,0
1667926800,112.42,112.80,112.26,112.48,2691,14,0
1667930400,112.48,113.06,112.44,112.96,1401,14,0
1667988000,112.86,113.86,112.64,113.70,4220,14,0
1667991600,113.70,113.74,112.92,113.00,2420,14,0
1667995200,113.00,113.68,112.84,113.63,665,14,0
1667998800,113.63,113.66,113.44,113.61,479,22,0
1668002400,113.62,113.80,113.36,113.37,416,22,0
1668006000,113.36,113.37,112.80,113.20,1289,14,0
1668009600,113.20,113.40,112.68,112.90,2111,14,0
1668013200,112.90,113.58,112.78,113.12,3590,14,0
1668016800,113.12,113.44,113.10,113.28,982,14,0
1668074400,112.76,113.68,112.74,112.98,2937,14,0
1668078000,112.98,113.38,112.84,112.90,1777,14,0
1668081600,112.90,113.04,112.38,112.64,1524,14,0
1668085200,112.64,112.98,112.30,112.36,2007,14,0
1668088800,112.36,112.50,111.84,112.02,2059,14,0
1668092400,112.02,115.34,112.02,114.78,11456,14,0
1668096000,114.78,114.92,111.60,112.92,15886,14,0
1668099600,112.92,113.88,112.74,113.06,13614,14,0
1668103200,113.06,113.28,112.68,112.86,6536,14,0
1668160800,113.70,114.90,113.04,113.98,10850,14,0
1668164400,113.98,114.72,113.94,114.26,5650,14,0
1668168000,114.26,114.56,113.84,114.36,6984,14,0
1668171600,114.36,114.88,114.26,114.40,4048,14,0
1668175200,114.40,114.40,113.54,113.78,3605,14,0
1668178800,113.78,113.82,113.16,113.42,3812,14,0
1668182400,113.42,113.42,112.36,112.70,6351,14,0
1668186000,112.70,113.50,112.34,113.10,9541,14,0
1668189600,113.10,113.38,112.84,113.18,3387,14,0
1668420000,112.78,113.68,112.65,112.93,3085,22,0
1668423600,112.90,112.92,111.72,112.72,2662,22,0
1668427200,112.71,113.69,112.70,113.68,2191,22,0
1668430800,113.69,113.70,113.19,113.26,1564,22,0
1668434400,113.24,113.41,112.94,113.12,1114,22,0
1668438000,113.12,113.39,112.85,113.26,1304,22,0
1668441600,113.27,113.88,113.20,113.84,1646,14,0
1668445200,113.84,113.96,112.82,113.12,2703,14,0
1668448800,113.12,113.12,112.48,112.66,1068,14,0
1668506400,113.16,113.64,112.56,113.16,3068,14,0
1668510000,113.16,113.36,112.88,113.04,2226,14,0
1668513600,113.04,113.28,112.76,112.86,1760,14,0
1668517200,112.86,113.08,112.68,113.06,1231,14,0
1668520800,113.06,113.54,112.84,113.50,1062,14,0
1668524400,113.50,114.86,113.50,114.68,3221,14,0
1668528000,114.68,114.92,113.94,114.42,3989,14,0
1668531600,114.42,114.46,113.84,114.16,2261,14,0
1668535200,114.16,114.28,113.94,114.10,891,14,0
1668592800,114.72,115.28,114.34,114.48,3080,14,0
1668596400,114.48,114.64,113.72,114.08,2108,14,0
1668600000,114.08,114.80,114.08,114.48,1621,14,0
1668603600,114.48,114.52,113.90,114.50,1367,14,0
1668607200,114.50,114.50,113.78,113.98,1545,14,0
1668610800,113.98,114.54,113.36,114.34,2380,14,0
1668614400,114.34,114.68,113.46,113.52,2607,14,0
1668618000,113.52,114.50,113.30,114.16,2383,14,0
1668621600,114.16,114.54,114.12,114.48,738,14,0
1668679200,114.44,114.64,112.96,113.30,2960,14,0
1668682800,113.30,113.88,112.80,112.82,1785,14,0
1668686400,112.82,112.96,112.08,112.10,1393,14,0
1668690000,112.10,112.96,112.10,112.62,2060,14,0
1668693600,112.62,113.04,112.44,112.58,1362,14,0
1668697200,112.58,112.62,112.18,112.34,1579,14,0
1668700800,112.34,112.96,112.28,112.80,1493,14,0
1668704400,112.80,113.16,112.56,112.58,1371,14,0
1668708000,112.58,112.86,112.58,112.76,393,14,0
1668765600,113.96,114.34,113.00,113.84,2654,14,0
1668769200,113.84,114.56,113.80,113.98,1862,14,0
1668772800,113.98,114.50,113.84,114.40,2096,14,0
1668776400,114.40,114.48,114.06,114.38,1360,14,0
1668780000,114.38,114.78,114.20,114.30,1362,14,0
1668783600,114.30,114.62,113.94,114.42,1336,14,0
1668787200,114.42,114.48,113.94,114.42,1166,14,0
1668790800,114.42,114.68,114.02,114.38,1088,14,0
1668794400,114.38,114.80,114.24,114.78,402,14,0
1669024800,113.94,114.08,113.06,113.40,2475,14,0
1669028400,113.40,114.26,113.26,114.16,1016,14,0
1669032000,114.16,114.34,113.78,113.94,847,14,0
1669035600,113.94,114.30,113.80,113.94,757,14,0
1669039200,113.94,114.16,113.80,113.88,701,14,0
1669042800,113.88,114.14,113.78,114.04,593,14,0
1669046400,114.04,114.54,113.94,114.50,817,14,0
1669050000,114.50,114.58,113.70,114.00,1151,14,0
1669053600,114.00,114.28,113.94,114.24,340,14,0
1669111200,114.44,114.58,113.66,114.00,2041,14,0
1669114800,114.00,114.80,114.00,114.74,1142,14,0
1669118400,114.74,114.88,114.46,114.50,627,14,0
1669122000,114.50,114.68,114.10,114.10,744,14,0
1669125600,114.06,114.50,113.86,114.46,766,14,0
1669129200,114.46,114.60,114.24,114.52,555,14,0
1669132800,114.52,114.70,114.28,114.32,909,14,0
1669136400,114.32,114.46,114.10,114.14,797,14,0
1669140000,114.14,114.26,113.94,114.26,367,14,0
1669197600,114.28,114.34,113.64,114.18,1869,14,0
1669201200,114.18,114.18,113.76,114.10,963,14,0
1669204800,114.10,114.66,114.08,114.32,868,14,0
1669208400,114.32,114.40,114.14,114.26,611,14,0
1669212000,114.26,114.36,114.14,114.14,485,14,0
1669215600,114.14,114.38,113.50,113.84,1594,14,0
1669219200,113.84,114.10,113.72,113.94,1222,14,0
1669222800,113.94,113.98,113.50,113.50,1160,14,0
1669226400,113.50,113.70,113.48,113.68,324,14,0
1669284000,113.50,113.92,112.76,113.86,2057,14,0
1669287600,113.86,114.00,113.50,113.66,932,14,0
1669291200,113.66,113.80,113.50,113.74,704,14,0
1669294800,113.74,113.74,113.36,113.56,681,14,0
1669298400,113.56,113.66,113.34,113.40,477,14,0
1669302000,113.40,113.40,113.14,113.30,595,14,0
1669305600,113.30,113.40,113.14,113.28,455,14,0
1669309200,113.28,113.42,113.12,113.26,516,14,0
1669312800,113.26,113.56,113.24,113.42,332,14,0
1669370400,113.50,113.82,113.28,113.56,1357,14,0
1669374000,113.56,113.64,113.20,113.52,855,14,0
1669377600,113.52,113.70,113.02,113.50,1184,14,0
1669381200,113.50,113.58,113.20,113.34,543,14,0
1669384800,113.34,113.52,113.18,113.24,657,14,0
1669388400,113.24,113.70,113.16,113.66,770,14,0
1669392000,113.66,113.76,113.42,113.68,668,14,0
1669395600,113.68,114.08,113.62,114.02,417,14,0
1669399200,114.02,114.38,113.29,113.78,1632,14,0
1669629600,110.28,112.18,109.99,111.06,2909,14,0
1669633200,111.06,111.10,109.98,110.00,1215,14,0
1669636800,110.00,110.36,109.74,110.28,824,14,0
1669640400,110.28,110.32,109.76,109.78,930,14,0
1669644000,109.78,109.96,109.16,109.16,777,14,0
1669647600,109.16,109.30,108.46,108.46,1008,14,0
1669651200,108.46,108.68,107.66,107.74,1744,14,0
1669654800,107.74,108.26,107.64,107.66,1081,14,0
1669658400,107.68,107.82,107.14,107.28,557,14,0
1669716000,108.04,108.78,107.68,108.32,2204,14,0
1669719600,108.32,108.70,107.98,108.48,1635,14,0
1669723200,108.48,108.92,108.18,108.34,1435,14,0
1669726800,108.34,108.50,108.20,108.46,693,14,0
1669730400,108.46,108.48,108.18,108.34,528,14,0
1669734000,108.34,108.36,108.00,108.28,843,14,0
1669737600,108.28,108.64,108.20,108.58,972,14,0
1669741200,108.58,109.04,108.56,108.76,1016,14,0
1669744800,108.76,108.82,108.48,108.82,494,14,0
1669802400,109.92,110.56,109.58,109.60,2576,14,0
1669806000,109.60,110.08,109.52,109.90,1209,14,0
1669809600,109.90,110.04,109.58,109.76,962,14,0
1669813200,109.76,109.86,109.38,109.48,824,14,0
1669816800,109.48,109.66,109.12,109.52,1221,14,0
1669820400,109.52,109.54,109.00,109.16,1069,14,0
1669824000,109.16,109.28,108.22,108.38,1256,14,0
1669827600,108.38,109.00,108.26,108.78,1455,14,0
1669831200,108.78,109.16,108.72,109.02,304,14,0
1669888800,109.79,110.12,108.36,108.66,2301,14,0
