time,open,high,low,close,tick_volume,spread,real_volume
1661760000,127.18,127.18,127.18,127.18,1,0,0
1661763600,127.20,127.20,127.20,127.20,1,0,0
1661767200,126.65,127.25,126.65,127.23,3,0,0
1661770800,126.70,126.85,126.70,126.85,6,0,0
1661778000,128.00,128.13,128.00,128.13,3,0,0
1661785200,128.10,128.10,128.10,128.10,1,0,0
1661853600,130.05,130.05,129.85,129.85,4,0,0
1661947200,126.85,126.85,126.85,126.85,1,0,0
1662030000,123.25,123.55,123.25,123.55,2,0,0
1662033600,124.13,124.15,124.03,124.03,3,0,0
1662037200,123.68,123.68,123.68,123.68,1,0,0
1662105600,122.63,122.63,122.63,122.63,1,0,0
1662109200,122.53,122.53,122.53,122.53,1,0,0
1662112800,121.83,121.95,121.83,121.95,2,0,0
1662116400,122.15,122.15,121.93,121.93,2,0,0
1662123600,123.70,123.70,123.70,123.70,1,0,0
1662375600,121.38,121.38,121.38,121.38,1,0,0
1662379200,121.13,121.13,120.83,120.83,3,0,0
1662382800,120.95,120.95,120.95,120.95,1,0,0
1662458400,121.78,121.78,121.78,121.78,1,0,0
1662537600,121.90,121.90,121.90,121.90,1,0,0
1662548400,122.28,122.28,122.28,122.28,1,0,0
1662555600,122.08,122.08,122.08,122.08,1,0,0
1662631200,123.15,123.18,123.10,123.10,4,0,0
1662634800,122.63,122.63,122.63,122.63,2,0,0
1662710400,123.55,123.55,123.55,123.55,1,0,0
1662721200,123.55,123.58,123.48,123.48,3,0,0
1662732000,123.28,123.28,123.28,123.28,1,0,0
1662980400,125.25,125.30,125.25,125.30,3,0,0
1662984000,125.53,125.53,125.53,125.53,1,0,0
1662991200,126.60,126.60,126.60,126.60,1,0,0
1663056000,127.13,127.13,127.13,127.13,1,0,0
1663063200,126.63,126.63,126.63,126.63,1,0,0
1663066800,127.18,127.35,127.18,127.35,2,0,0
1663146000,124.50,124.50,124.50,124.50,1,0,0
1663149600,124.30,124.30,124.30,124.30,1,0,0
1663153200,124.25,124.25,123.93,123.93,2,0,0
1663160400,123.60,123.60,123.60,123.60,1,0,0
1663228800,123.60,123.60,123.60,123.60,1,0,0
1663236000,123.50,123.50,123.38,123.38,2,0,0
1663239600,123.10,123.10,123.05,123.05,4,0,0
1663250400,122.63,122.63,122.63,122.63,1,0,0
