time,open,high,low,close,tick_volume,spread,real_volume
1336014000,84.99,84.99,84.66,84.84,52,0,0
1336100400,84.15,85.40,83.83,84.16,314,0,0
1336359600,82.37,84.52,81.62,84.26,392,0,0
1336446000,84.47,84.98,82.89,83.31,303,0,0
1336532400,84.11,84.30,81.27,83.25,521,0,0
1336618800,79.65,80.60,78.73,80.02,338,0,0
1336705200,80.10,80.28,78.57,80.07,340,0,0
1336964400,78.72,79.27,76.18,77.12,459,0,0
1337050800,77.47,78.58,76.30,76.61,371,0,0
1337137200,75.33,77.41,75.05,76.21,385,0,0
1337223600,76.52,76.61,74.23,74.90,315,0,0
1337310000,74.14,76.51,73.37,75.24,519,0,0
1337569200,75.49,76.31,74.64,76.04,280,0,0
1337655600,76.64,77.61,76.10,77.38,229,0,0
1337742000,76.29,76.94,74.90,75.54,334,0,0
1337828400,76.21,76.33,74.79,75.58,246,0,0
1337914800,75.61,77.18,75.07,75.88,396,0,0
1338174000,76.62,76.98,74.88,75.04,263,0,0
1338260400,75.58,75.76,74.12,74.65,236,0,0
1338346800,74.52,75.71,73.37,74.39,456,0,0
1339038000,73.44,74.15,72.60,72.69,236,0,0
1339124400,72.00,72.73,71.11,72.38,287,0,0
1339383600,74.46,75.25,72.29,72.49,396,0,0
1339470000,72.27,72.94,71.19,72.09,333,0,0
1339556400,72.26,73.13,71.76,72.19,268,0,0
1339642800,71.96,73.42,71.96,73.24,165,0,0
1339729200,73.43,75.51,73.33,74.79,301,0,0
1339988400,76.14,76.48,73.55,73.89,362,0,0
1340074800,73.71,75.32,72.93,75.31,319,0,0
1340161200,75.63,76.73,75.20,76.15,255,0,0
1340247600,75.68,78.00,75.45,76.50,429,0,0
1340334000,75.70,76.58,75.28,75.74,257,0,0
1340593200,75.71,75.72,73.15,73.82,326,0,0
1340679600,73.71,74.90,73.30,74.27,265,0,0
1340766000,74.73,75.58,74.21,75.34,214,0,0
1340852400,75.45,75.80,73.81,74.75,329,0,0
1340938800,76.86,79.29,76.57,79.13,318,0,0
1341198000,78.83,81.00,78.78,80.07,321,0,0
1341284400,80.67,82.24,80.38,81.07,333,0,0
1341370800,81.01,81.57,79.59,80.23,319,0,0
1341457200,80.30,81.43,78.64,79.27,456,0,0
1341543600,79.37,79.78,77.76,77.89,257,0,0
1341802800,77.82,78.76,77.17,78.13,288,0,0
1341889200,78.67,79.60,77.67,78.55,375,0,0
1341975600,77.40,79.03,77.33,78.07,274,0,0
1342062000,77.69,78.31,76.68,77.62,320,0,0
1342148400,78.00,79.04,77.31,78.72,275,0,0
1342407600,79.06,79.88,78.77,79.74,155,0,0
1342494000,79.81,80.78,79.43,79.47,237,0,0
1342580400,79.88,80.94,79.84,80.80,129,0,0
1342666800,80.90,81.32,79.91,80.99,274,0,0
1342753200,80.86,82.15,79.66,79.76,389,0,0
1343012400,78.69,78.85,75.23,75.89,445,0,0
1343098800,75.51,76.25,73.16,74.36,504,0,0
1343185200,73.53,74.96,73.18,74.05,305,0,0
1343271600,74.07,77.96,73.61,77.61,517,0,0
1343358000,78.23,79.01,77.18,77.97,341,0,0
1343617200,80.20,81.97,80.05,81.35,270,0,0
1343703600,81.29,82.07,80.72,81.25,267,0,0
1343790000,81.10,82.28,81.02,81.72,191,0,0
1343876400,81.98,82.74,77.79,78.30,623,0,0
1343962800,79.61,84.60,77.76,83.68,962,0,0
1344222000,84.14,85.46,83.51,84.78,327,0,0
1344308400,84.61,86.47,84.61,86.08,226,0,0
1344394800,85.34,86.55,84.82,86.33,248,0,0
1344481200,86.65,87.08,85.86,86.65,245,0,0
1344567600,85.93,86.71,85.57,86.52,170,0,0
1344826800,86.32,87.74,86.21,86.81,258,0,0
1344913200,87.32,87.60,86.22,86.99,244,0,0
1344999600,86.05,86.74,85.54,86.50,196,0,0
1345086000,86.61,87.42,85.89,87.12,256,0,0
1345172400,86.61,88.53,86.61,87.45,301,0,0
1345431600,87.71,89.17,87.47,87.91,321,0,0
1345518000,88.07,88.78,87.56,88.28,224,0,0
1345604400,87.38,89.21,87.36,88.14,295,0,0
1345690800,88.44,89.28,87.10,87.77,370,0,0
1345777200,87.37,87.61,85.82,87.26,348,0,0
1346036400,86.61,88.29,86.52,87.92,224,0,0
1346122800,87.43,88.13,86.90,87.75,215,0,0
1346209200,87.84,87.92,86.76,87.03,152,0,0
1346295600,86.36,86.95,85.36,86.07,290,0,0
1346382000,85.47,87.96,85.47,87.24,322,0,0
1346641200,87.02,88.02,86.96,87.51,164,0,0
1346727600,87.84,88.78,87.54,88.24,209,0,0
1346814000,87.90,89.18,87.75,88.87,190,0,0
1346900400,89.10,91.70,88.33,91.35,450,0,0
1346986800,91.29,93.21,91.24,92.74,250,0,0
1347246000,92.16,93.23,92.16,93.00,131,0,0
1347332400,92.47,94.14,92.08,94.04,256,0,0
1347418800,94.29,96.42,94.07,95.00,400,0,0
1347505200,95.28,95.29,93.75,94.37,218,0,0
1347591600,96.04,97.35,95.56,96.56,307,0,0
1347850800,94.96,96.68,94.19,96.00,395,0,0
1347937200,94.70,95.47,94.38,95.38,151,0,0
1348023600,95.21,95.57,93.60,94.79,353,0,0
1348110000,94.15,94.64,93.05,94.04,308,0,0
1348196400,94.20,95.74,94.20,94.91,238,0,0
1348455600,94.37,94.87,93.89,94.29,189,0,0
1348542000,93.98,95.80,93.87,95.29,256,0,0
1348628400,94.80,95.09,93.29,94.02,283,0,0
1348714800,94.40,94.43,92.88,93.22,193,0,0
1348801200,93.64,94.04,92.25,92.88,283,0,0
1349060400,92.93,94.22,92.43,94.05,247,0,0
1349146800,93.36,94.99,92.95,93.47,398,0,0
1349233200,92.77,92.98,91.83,91.94,148,0,0
1349319600,92.39,93.05,92.02,92.70,176,0,0
1349406000,92.16,93.01,91.87,92.74,171,0,0
1349665200,91.94,92.25,91.30,91.93,190,0,0
1349751600,92.26,92.43,91.07,91.31,178,0,0
1349838000,91.55,91.97,91.10,91.24,144,0,0
1349924400,90.84,92.53,90.34,92.10,313,0,0
1350010800,92.35,93.20,91.89,92.24,252,0,0
1350270000,92.18,93.10,91.95,92.93,156,0,0
1350356400,93.86,95.22,93.43,94.95,250,0,0
