time,open,high,low,close,tick_volume,spread,real_volume
1764172800,230.60,230.64,228.71,229.59,1093,17,0
1764176400,229.71,230.64,228.98,230.53,1859,17,0
1764180000,230.53,231.66,230.49,231.33,1397,17,0
1764183600,231.34,231.48,230.31,230.47,1465,17,0
1764187200,230.49,230.75,229.21,229.48,1475,17,0
1764190800,229.46,229.82,229.05,229.17,1253,17,0
1764194400,229.18,229.72,228.97,229.13,1235,17,0
1764345600,231.18,232.20,230.14,231.39,912,17,0
1764349200,231.46,231.95,231.09,231.89,1408,17,0
1764352800,231.89,232.79,231.65,232.59,1503,17,0
1764356400,232.53,233.20,231.74,233.15,1546,17,0
1764604800,232.98,235.68,232.50,234.39,1751,17,0
1764608400,234.37,234.88,232.18,234.18,4191,17,0
1764612000,234.24,234.28,233.21,234.08,1676,17,0
1764615600,234.07,234.50,233.90,234.16,1271,17,0
1764619200,234.14,235.40,234.14,234.92,1065,17,0
1764622800,234.92,234.92,233.44,233.63,1397,17,0
1764626400,233.62,234.47,233.53,233.56,1289,17,0
1764691200,234.48,235.43,233.98,234.44,994,17,0
1764694800,234.45,236.61,234.34,236.34,1747,17,0
1764698400,236.23,238.88,233.48,234.96,2121,17,0
1764702000,234.93,236.28,234.66,234.67,1549,17,0
1764705600,234.66,235.64,234.47,234.64,1480,17,0
1764709200,234.66,235.27,234.58,235.17,1211,17,0
1764712800,235.22,235.56,234.37,234.44,1205,17,0
1764777600,233.21,233.21,230.59,231.98,1121,17,0
1764781200,231.99,233.08,230.64,232.33,1975,17,0
1764784800,232.33,232.70,231.76,232.05,1636,17,0
1764788400,232.05,232.62,231.83,232.14,1464,17,0
1764792000,232.12,232.55,231.73,231.93,1120,17,0
1764795600,231.91,232.50,231.64,232.42,987,17,0
1764799200,232.46,232.67,232.21,232.28,1069,17,0
1764864000,232.56,233.33,228.53,228.86,1102,17,0
1764867600,228.85,229.00,227.45,227.48,1909,17,0
1764871200,227.49,227.87,226.73,227.36,1638,17,0
1764874800,227.36,228.10,227.04,227.87,1365,17,0
1764878400,227.85,228.73,227.71,228.65,1162,17,0
1764882000,228.68,229.35,227.83,229.05,1443,17,0
1764885600,229.02,229.17,228.45,228.92,1199,17,0
1764950400,230.29,231.06,229.92,230.25,1003,17,0
1764954000,230.29,231.15,229.74,230.22,1677,17,0
1764957600,230.19,230.40,229.14,229.33,1619,17,0
1764961200,229.32,229.73,228.65,229.56,1374,17,0
1764964800,229.59,229.88,229.33,229.72,1201,17,0
1764968400,229.72,229.79,229.36,229.63,1072,17,0
1764972000,229.60,229.65,228.47,229.27,1113,17,0
1765209600,229.38,230.73,228.90,229.62,1032,17,0
1765213200,229.59,229.97,227.72,227.90,1704,17,0
1765216800,227.93,228.30,227.48,227.80,1487,17,0
1765220400,227.79,227.83,227.13,227.63,1367,17,0
