time,open,high,low,close,tick_volume,spread,real_volume
946864800,81.50,89.56,79.05,89.38,1315,0,0
946951200,85.37,91.50,81.75,81.94,1608,0,0
947037600,70.50,75.13,68.00,69.75,1352,0,0
947124000,71.31,72.69,64.00,65.56,1164,0,0
947210400,67.00,70.50,66.19,69.56,607,0,0
947469600,72.56,72.62,65.56,69.19,1076,0,0
947556000,66.88,70.00,65.00,66.75,988,0,0
947642400,67.88,68.00,63.00,63.56,569,0,0
947728800,64.94,67.19,63.13,65.94,713,0,0
947815200,66.75,68.62,64.00,64.25,675,0,0
948160800,63.44,65.19,63.00,64.12,371,0,0
948247200,64.12,67.50,63.00,66.81,632,0,0
948333600,66.94,67.00,63.94,64.75,394,0,0
948420000,64.63,64.63,60.00,62.06,670,0,0
948679200,67.56,73.37,67.50,70.12,919,0,0
948765600,70.00,71.25,66.00,69.25,976,0,0
948852000,68.62,70.00,64.75,64.81,670,0,0
948938400,65.19,67.75,64.63,66.94,450,0,0
949024800,65.00,66.44,60.00,61.69,958,0,0
949284000,60.38,64.75,58.44,64.56,845,0,0
949370400,67.50,70.63,64.37,67.44,1247,0,0
949456800,67.94,72.25,67.75,69.44,751,0,0
949543200,81.13,85.94,77.38,84.19,1407,0,0
949629600,82.75,82.75,77.87,78.56,558,0,0
949888800,76.19,76.88,73.12,75.00,634,0,0
949975200,74.00,84.00,73.44,83.12,1201,0,0
950061600,80.55,83.73,80.02,80.25,713,0,0
950148000,78.50,79.88,75.50,76.19,646,0,0
950234400,77.12,79.12,75.50,76.19,632,0,0
950493600,75.69,75.75,73.56,74.44,314,0,0
950580000,73.44,76.19,70.63,73.81,1076,0,0
950666400,72.75,73.44,70.63,70.69,357,0,0
950752800,71.25,71.31,68.00,69.00,438,0,0
950839200,68.44,69.00,63.88,64.75,656,0,0
951184800,64.94,66.50,63.06,63.56,551,0,0
951357600,70.56,71.38,65.62,68.44,941,0,0
951444000,67.44,69.38,65.19,69.13,670,0,0
951703200,66.56,67.19,64.12,65.75,534,0,0
951789600,66.00,68.97,65.87,68.87,334,0,0
951876000,67.63,68.50,65.00,65.87,525,0,0
951962400,64.94,65.00,62.19,62.56,325,0,0
952048800,63.25,64.75,62.06,62.50,464,0,0
952308000,62.87,67.25,62.81,63.94,782,0,0
952394400,64.88,65.81,62.12,63.50,601,0,0
952480800,63.25,64.75,60.56,63.62,802,0,0
952567200,63.00,69.00,62.19,68.81,782,0,0
952653600,67.25,68.53,65.00,66.88,670,0,0
952912800,64.00,66.62,63.00,65.31,594,0,0
952999200,66.06,66.94,63.38,65.62,669,0,0
953085600,64.75,65.12,62.00,63.75,525,0,0
953172000,62.25,66.38,60.00,66.25,877,0,0
953258400,66.06,66.38,64.50,64.81,252,0,0
953517600,63.50,64.50,62.38,64.19,356,0,0
953604000,65.12,73.00,62.25,72.38,1425,0,0
953690400,70.88,74.00,69.25,70.69,932,0,0
953776800,69.50,70.94,67.50,67.69,508,0,0
953863200,74.62,75.25,71.31,72.69,596,0,0
954126000,72.25,75.13,71.75,73.12,590,0,0
954212400,72.38,72.75,69.47,70.12,431,0,0
954298800,69.50,69.88,65.00,66.25,652,0,0
954385200,64.50,67.37,64.00,66.50,475,0,0
954471600,66.75,67.12,63.00,67.00,800,0,0
954730800,65.44,65.69,62.00,63.56,551,0,0
954817200,62.87,65.44,55.75,63.94,1832,0,0
954903600,61.75,64.94,60.50,62.19,845,0,0
954990000,63.44,65.50,61.88,64.25,644,0,0
955076400,65.12,68.62,64.12,67.56,657,0,0
955335600,67.25,68.44,63.25,63.38,652,0,0
955422000,62.50,66.00,61.25,63.38,863,0,0
955508400,64.00,64.37,56.25,56.38,863,0,0
955594800,57.88,58.75,47.94,48.00,1175,0,0
955681200,47.87,52.37,40.81,46.88,2214,0,0
