time,open,high,low,close,tick_volume,spread,real_volume
1764172800,28.83,28.95,28.65,28.68,444,32,0
1764176400,28.68,28.83,28.62,28.71,658,32,0
1764180000,28.71,29.03,28.71,29.00,481,32,0
1764183600,29.01,29.72,28.96,29.67,654,32,0
1764187200,29.67,29.87,29.61,29.77,594,32,0
1764190800,29.77,29.79,29.64,29.71,456,32,0
1764194400,29.71,29.77,29.56,29.68,460,32,0
1764345600,30.74,30.75,30.34,30.49,488,32,0
1764349200,30.49,30.67,30.40,30.52,538,32,0
1764352800,30.52,30.53,30.04,30.06,603,32,0
1764356400,30.06,30.15,29.83,29.95,622,32,0
1764604800,28.49,28.63,28.35,28.42,506,32,0
1764608400,28.42,28.45,27.67,27.96,933,32,0
1764612000,27.96,28.22,27.74,27.92,794,32,0
1764615600,27.92,28.15,27.88,28.04,573,32,0
1764619200,28.04,28.26,27.96,28.13,600,32,0
1764622800,28.14,28.17,27.93,28.08,566,32,0
1764626400,28.08,28.34,28.07,28.22,636,32,0
1764691200,29.29,29.49,29.19,29.49,501,32,0
1764694800,29.49,30.12,29.49,30.02,1094,32,0
1764698400,30.01,30.15,29.80,29.99,833,32,0
1764702000,29.99,30.40,29.99,30.22,643,32,0
1764705600,30.22,30.47,30.21,30.39,606,32,0
1764709200,30.39,30.50,30.36,30.37,417,32,0
1764712800,30.37,30.38,29.99,30.08,573,32,0
1764777600,30.58,30.95,30.44,30.51,708,32,0
1764781200,30.51,30.73,30.36,30.52,959,32,0
1764784800,30.52,30.65,30.32,30.47,687,32,0
1764788400,30.47,30.75,30.46,30.72,594,32,0
1764792000,30.72,30.91,30.52,30.60,523,32,0
1764795600,30.60,30.76,30.57,30.74,418,32,0
1764799200,30.74,30.86,30.67,30.71,482,32,0
1764864000,30.66,30.66,30.32,30.36,510,32,0
1764867600,30.35,30.81,30.35,30.73,796,32,0
1764871200,30.73,30.79,30.48,30.54,637,32,0
1764874800,30.54,30.58,30.31,30.54,560,32,0
1764878400,30.54,30.59,30.37,30.45,530,32,0
1764882000,30.45,30.46,30.03,30.39,759,32,0
1764885600,30.39,30.58,30.30,30.57,590,32,0
1764950400,29.88,29.98,29.71,29.84,531,32,0
1764954000,29.84,30.22,29.82,29.89,926,32,0
1764957600,29.89,29.91,29.11,29.35,1087,32,0
1764961200,29.35,29.58,29.28,29.53,719,32,0
1764964800,29.52,29.69,29.38,29.39,617,32,0
1764968400,29.39,29.69,29.35,29.63,566,32,0
1764972000,29.63,29.66,29.47,29.51,444,32,0
1765209600,30.18,30.30,29.98,30.01,563,32,0
1765213200,30.01,30.06,29.60,29.71,955,32,0
1765216800,29.71,29.89,29.61,29.72,694,32,0
1765220400,29.72,29.84,29.62,29.81,583,32,0
1765224000,29.81,29.90,29.62,29.69,602,32,0
1765227600,29.69,29.85,29.67,29.76,530,32,0
1765231200,29.76,30.03,29.76,29.98,537,32,0
1765296000,29.81,29.92,29.73,29.85,449,32,0
1765299600,29.85,30.69,29.82,30.63,1028,32,0
1765303200,30.63,31.23,30.63,31.13,875,32,0
1765306800,31.13,31.27,30.91,31.04,608,32,0
1765310400,31.03,31.12,30.94,31.03,437,32,0
1765314000,31.03,31.12,30.94,30.99,393,32,0
1765317600,30.99,31.01,30.64,30.75,586,32,0
1765382400,30.37,30.43,30.25,30.34,430,32,0
1765386000,30.34,30.45,30.25,30.42,660,32,0
1765389600,30.42,30.58,30.35,30.44,568,32,0
1765393200,30.44,30.57,30.41,30.52,451,32,0
1765396800,30.52,30.74,30.39,30.56,557,32,0
1765400400,30.55,30.80,30.32,30.72,1304,32,0
1765404000,30.73,31.23,30.51,30.55,1118,32,0
1765468800,29.77,29.90,29.48,29.58,515,32,0
1765472400,29.57,29.93,29.52,29.68,884,32,0
1765476000,29.67,29.78,29.50,29.63,671,32,0
1765479600,29.62,29.81,29.59,29.71,463,32,0
1765483200,29.71,30.12,29.68,29.96,611,32,0
1765486800,29.97,30.24,29.92,30.00,619,32,0
1765490400,30.00,30.32,29.99,30.31,567,32,0
1765555200,30.43,30.62,30.36,30.54,454,32,0
1765558800,30.54,30.55,29.65,29.70,1059,32,0
1765562400,29.70,29.87,29.54,29.74,982,32,0
1765566000,29.74,29.94,29.67,29.76,716,32,0
1765569600,29.76,29.95,29.74,29.85,610,32,0
1765573200,29.85,29.86,29.72,29.79,541,32,0
1765576800,29.79,29.85,29.68,29.79,449,32,0
1765814400,29.51,29.68,29.00,29.06,608,32,0
1765818000,29.07,29.12,28.59,28.72,1174,32,0
1765821600,28.73,28.79,28.41,28.51,818,32,0
1765825200,28.52,28.55,28.24,28.31,655,32,0
1765828800,28.31,28.47,28.11,28.44,595,32,0
1765832400,28.44,28.56,28.34,28.42,657,32,0
1765836000,28.42,28.44,28.24,28.31,525,32,0
1765900800,28.69,28.97,28.65,28.82,673,32,0
1765904400,28.82,29.09,28.67,29.04,1001,32,0
1765908000,29.04,29.07,28.85,28.90,859,32,0
1765911600,28.90,28.98,28.75,28.76,522,32,0
1765915200,28.76,29.05,28.74,28.98,531,32,0
1765918800,28.98,28.98,28.80,28.91,467,32,0
1765922400,28.92,29.00,28.82,28.91,471,32,0
1765987200,28.95,29.61,28.78,29.61,611,32,0
1765990800,29.60,29.83,28.76,28.78,1294,32,0
1765994400,28.78,28.95,28.42,28.72,1094,32,0
1765998000,28.71,28.74,28.46,28.51,733,32,0
1766001600,28.51,28.65,28.25,28.31,683,32,0
1766005200,28.32,28.45,28.14,28.38,748,32,0
1766008800,28.39,28.46,28.26,28.34,552,32,0
1766073600,29.22,29.41,28.96,29.17,694,32,0
1766077200,29.17,29.49,29.03,29.21,935,32,0
1766080800,29.20,29.21,28.99,29.03,677,32,0
1766084400,29.04,29.04,28.19,28.53,1142,32,0
1766088000,28.53,28.66,28.28,28.37,682,32,0
1766091600,28.37,28.38,27.87,27.87,910,32,0
1766095200,27.87,28.13,27.86,27.93,791,32,0
1766160000,29.06,29.22,28.89,29.10,570,32,0
1766163600,29.10,29.51,28.94,29.03,997,32,0
1766167200,29.03,29.34,28.99,29.03,676,32,0
1766170800,29.03,29.15,28.67,28.69,747,32,0
1766174400,28.69,28.86,28.65,28.75,530,32,0
1766178000,28.75,29.07,28.74,28.97,524,32,0
1766181600,28.97,29.16,28.89,29.04,548,32,0
1766419200,29.69,29.82,29.52,29.76,577,32,0
1766422800,29.76,29.85,29.44,29.62,884,32,0
1766426400,29.61,29.75,29.55,29.56,500,32,0
1766430000,29.55,29.56,29.40,29.48,411,32,0
1766433600,29.48,29.55,29.41,29.41,333,32,0
1766437200,29.41,29.41,29.02,29.05,477,32,0
1766440800,29.05,29.20,29.00,29.16,500,32,0
1766505600,28.90,28.95,28.57,28.65,490,32,0
1766509200,28.65,28.89,28.60,28.85,593,32,0
1766512800,28.85,29.10,28.81,29.04,522,32,0
1766516400,29.03,29.13,28.76,28.76,472,32,0
1766520000,28.76,29.08,28.76,29.02,434,32,0
1766523600,29.02,29.05,28.91,28.95,344,32,0
1766527200,28.95,29.16,28.87,28.93,399,32,0
1766592000,28.77,28.80,28.50,28.70,404,32,0
1766595600,28.70,28.78,28.55,28.71,568,32,0
1766599200,28.71,28.92,28.67,28.79,440,32,0
1766602800,28.79,28.89,28.77,28.80,318,32,0
1766606400,28.80,28.82,28.74,28.74,74,33,0
1766764800,29.38,29.39,28.81,28.82,524,32,0
1766768400,28.82,28.82,28.57,28.73,764,32,0
1766772000,28.73,28.83,28.64,28.64,487,32,0
1766775600,28.64,28.85,28.64,28.80,340,32,0
1766779200,28.80,28.82,28.74,28.78,285,32,0
1766782800,28.78,28.89,28.77,28.86,203,32,0
1766786400,28.86,28.96,28.83,28.88,244,32,0
1767024000,28.84,29.09,28.78,28.83,497,32,0
1767027600,28.83,28.99,28.75,28.91,633,32,0
1767031200,28.91,28.97,28.83,28.90,471,32,0
1767034800,28.90,28.98,28.80,28.98,340,32,0
1767038400,28.98,29.03,28.80,28.84,351,32,0
1767042000,28.84,28.92,28.79,28.80,321,32,0
1767045600,28.80,28.89,28.70,28.75,330,32,0
1767110400,29.06,29.37,28.98,29.32,465,32,0
1767114000,29.31,29.41,29.09,29.36,674,32,0
1767117600,29.38,29.51,29.22,29.28,574,32,0
1767121200,29.28,29.33,29.08,29.16,402,32,0
1767124800,29.16,29.20,29.07,29.14,312,32,0
1767128400,29.14,29.17,29.01,29.11,313,32,0
1767132000,29.11,29.11,28.98,29.00,261,32,0
1767196800,29.35,29.35,29.11,29.19,414,32,0
1767200400,29.18,29.19,28.94,28.99,579,32,0
1767204000,28.99,29.03,28.81,28.90,481,32,0
1767207600,28.90,28.93,28.83,28.87,289,32,0
1767211200,28.87,29.01,28.86,28.99,131,32,0
1767369600,29.33,29.77,29.19,29.58,588,32,0
1767373200,29.57,29.69,29.29,29.52,963,32,0
1767376800,29.52,30.00,29.44,29.85,855,32,0
1767380400,29.85,30.05,29.78,29.85,633,32,0
1767384000,29.86,29.92,29.57,29.64,526,32,0
1767387600,29.64,29.78,29.60,29.69,551,32,0
1767391200,29.69,29.75,29.59,29.65,377,32,0
1767628800,30.61,30.93,30.50,30.86,594,32,0
1767632400,30.86,31.06,30.76,31.05,771,32,0
1767636000,31.05,31.09,30.92,30.96,504,32,0
1767639600,30.96,31.21,30.80,31.17,464,32,0
1767643200,31.18,31.23,31.02,31.21,425,32,0
