time,open,high,low,close,tick_volume,spread,real_volume
1337050800,36.948,37.246,36.913,37.166,449,0,0
1337137200,37.030,37.653,36.722,36.830,1663,0,0
1337223600,36.775,36.820,35.872,35.932,1054,0,0
1337310000,36.278,36.298,35.340,35.568,1207,0,0
1337569200,35.368,36.211,35.280,35.761,1470,0,0
1337655600,35.825,36.833,35.825,36.750,1092,0,0
1337742000,36.635,36.675,36.075,36.285,851,0,0
1337828400,36.468,37.073,36.383,36.986,863,0,0
1337914800,37.093,37.488,36.200,36.585,2069,0,0
1338174000,36.883,37.428,36.760,37.211,1009,0,0
1338260400,37.398,37.966,37.398,37.831,704,0,0
1338346800,37.503,37.708,36.988,37.080,1018,0,0
1339038000,37.863,38.311,37.723,37.936,1104,0,0
1339124400,37.500,38.408,37.345,38.340,1287,0,0
1339383600,38.740,38.890,38.370,38.557,858,0,0
1339470000,38.358,38.878,38.015,38.813,1272,0,0
1339556400,39.330,39.945,38.957,39.738,1569,0,0
1339642800,39.658,39.693,38.853,39.238,1261,0,0
1339729200,39.235,39.428,38.822,39.207,1185,0,0
1339988400,39.643,39.878,39.405,39.668,922,0,0
1340074800,39.978,40.268,39.783,40.156,793,0,0
1340161200,40.273,40.338,39.768,39.860,728,0,0
1340247600,39.725,41.430,39.515,40.883,2673,0,0
1340334000,40.390,40.680,39.492,39.790,1777,0,0
1340593200,39.348,39.698,38.998,39.203,1256,0,0
1340679600,39.308,39.573,38.155,38.283,1812,0,0
1340766000,38.970,39.503,38.385,39.490,1717,0,0
1340852400,39.458,39.463,38.530,39.020,1429,0,0
1340938800,39.890,40.243,39.357,39.978,1685,0,0
1341198000,40.485,41.410,40.400,41.160,1346,0,0
1341284400,41.420,41.860,41.060,41.818,1203,0,0
1341370800,41.640,42.035,41.480,41.983,768,0,0
1341457200,41.885,41.918,41.325,41.707,1009,0,0
1341543600,41.545,41.820,40.477,40.480,1622,0,0
1341802800,40.333,40.373,39.603,39.800,1008,0,0
1341889200,43.243,44.183,42.293,43.225,3763,0,0
1341975600,42.878,43.233,41.858,41.950,1823,0,0
1342062000,41.718,42.418,41.073,41.630,2603,0,0
1342148400,41.538,41.723,40.903,41.475,1578,0,0
1342407600,41.785,42.023,41.372,41.767,1285,0,0
1342494000,41.655,42.230,41.440,41.462,1388,0,0
1342580400,41.203,44.178,40.485,44.133,4457,0,0
1342666800,44.360,45.965,43.817,45.343,3314,0,0
1342753200,44.930,46.090,44.922,45.610,1657,0,0
1343012400,45.060,45.430,44.767,45.388,999,0,0
1343098800,45.560,45.728,44.555,45.275,2062,0,0
1343185200,44.838,46.013,44.608,45.198,2451,0,0
1343271600,45.053,46.266,44.610,46.093,2273,0,0
1343358000,46.450,46.975,46.032,46.468,1869,0,0
1343617200,47.263,48.328,47.028,48.068,1796,0,0
1343703600,48.388,48.388,47.243,47.338,1241,0,0
