time,open,high,low,close,tick_volume,spread,real_volume
1557446400,3.998,4.227,3.761,3.761,6770,0,0
1557532800,3.730,4.220,3.730,4.000,6007,0,0
1557619200,4.000,4.059,3.845,3.981,10048,0,0
1557705600,3.985,4.548,3.925,4.099,951,0,0
1557792000,3.900,4.185,3.840,3.946,1803,0,0
1557878400,4.073,4.671,4.073,4.329,4757,0,0
1557964800,4.609,4.796,4.188,4.315,1236,0,0
1558051200,4.351,4.699,4.131,4.395,2866,0,0
1558137600,4.445,4.894,4.445,4.783,980,0,0
1558224000,4.768,5.160,4.599,4.900,1467,0,0
1558310400,4.694,4.919,4.546,4.904,282,0,0
1558396800,4.646,4.843,4.499,4.643,1264,0,0
1558483200,4.802,4.814,4.498,4.561,405,0,0
1558569600,4.290,4.352,4.110,4.270,182,0,0
1558656000,4.353,4.628,4.353,4.461,1434,0,0
1558742400,4.601,4.601,4.341,4.341,85,0,0
1558828800,4.356,4.585,4.331,4.529,638,0,0
1558915200,4.581,4.699,4.538,4.699,752,0,0
1559001600,4.627,4.799,4.504,4.797,1354,0,0
1559088000,4.650,4.804,4.650,4.804,3081,0,0
1559174400,4.920,6.429,4.920,6.004,10901,0,0
1559260800,5.800,5.999,5.520,5.979,13179,0,0
1559347200,6.278,6.777,5.995,6.321,314,0,0
1559433600,6.756,6.756,5.691,6.356,201,0,0
1559520000,6.184,7.199,6.131,6.549,3607,0,0
1559606400,6.400,6.715,5.890,5.891,1940,0,0
1559692800,5.968,6.248,5.680,6.057,4342,0,0
1559779200,6.035,6.145,5.696,5.951,3644,0,0
1559865600,5.967,6.494,5.967,6.290,4380,0,0
1559952000,6.235,6.256,6.015,6.015,222,0,0
1560038400,6.010,6.085,5.696,5.696,724,0,0
1560124800,5.831,6.072,5.831,5.989,808,0,0
1560211200,6.106,6.106,5.840,5.970,456,0,0
1560297600,6.030,6.282,6.030,6.178,1229,0,0
1560384000,6.168,6.463,6.095,6.299,922,0,0
1560470400,6.230,6.260,5.897,6.259,1399,0,0
1560556800,6.227,6.253,6.184,6.196,461,0,0
1560643200,6.185,6.736,6.151,6.736,3058,0,0
1560729600,6.737,7.055,6.478,7.052,582,0,0
1560816000,7.000,7.000,6.496,6.514,2150,0,0
1560902400,6.742,6.834,6.600,6.600,2033,0,0
1560988800,6.641,6.826,6.400,6.441,315,0,0
1561075200,6.423,6.580,6.406,6.562,835,0,0
1561161600,6.469,6.934,6.469,6.727,6058,0,0
1561248000,6.950,7.167,6.831,6.831,1852,0,0
1561334400,6.816,6.816,6.609,6.630,408,0,0
1561420800,6.640,6.660,6.488,6.502,227,0,0
1561507200,6.637,6.792,6.100,6.348,2060,0,0
1561593600,6.245,6.245,5.286,5.510,2927,0,0
1561680000,5.702,5.894,5.420,5.860,1400,0,0
1561766400,5.810,6.119,5.656,6.020,4275,0,0
1561852800,6.028,6.028,5.640,5.640,436,0,0
1561939200,5.605,5.684,5.200,5.337,565,0,0
1562025600,5.383,5.564,5.147,5.405,1305,0,0
1562112000,5.493,5.563,5.361,5.563,157,0,0
1562198400,5.600,5.710,5.526,5.571,476,0,0
1562284800,5.495,5.495,5.400,5.430,514,0,0
1562371200,5.432,5.432,5.286,5.299,135,0,0
1562457600,5.286,5.338,5.276,5.338,52,0,0
1562544000,5.425,5.515,5.147,5.173,519,0,0
1562630400,5.215,5.215,4.912,5.015,1239,0,0
1562716800,4.961,4.961,4.204,4.430,4427,0,0
1562803200,4.397,4.590,4.100,4.345,1833,0,0
1562889600,4.451,4.590,4.398,4.451,688,0,0
1562976000,4.475,4.475,4.150,4.193,683,0,0
1563062400,4.185,4.185,3.867,4.010,1454,0,0
1563148800,3.750,4.361,3.672,4.150,2849,0,0
1563235200,4.135,4.182,3.567,3.670,1260,0,0
1563321600,3.668,3.981,3.578,3.877,2030,0,0
1563408000,3.780,4.079,3.700,4.013,421,0,0
1563494400,3.925,3.947,3.874,3.914,407,0,0
1563580800,3.980,4.137,3.980,4.137,1011,0,0
1563667200,4.023,4.249,3.991,4.073,173,0,0
1563753600,4.257,4.257,3.901,3.917,529,0,0
1563840000,3.990,3.990,3.750,3.824,140,0,0
1563926400,3.700,3.949,3.700,3.883,601,0,0
1564012800,3.950,3.959,3.839,3.874,667,0,0
1564099200,3.777,3.829,3.730,3.829,25,0,0
1564185600,3.940,3.959,3.592,3.592,548,0,0
1564272000,3.639,3.639,3.500,3.596,176,0,0
1564358400,3.694,3.694,3.520,3.577,212,0,0
1564444800,3.501,3.665,3.501,3.620,11227,0,0
1564531200,3.668,3.739,3.640,3.658,640,0,0
1564617600,3.620,3.620,3.500,3.525,626,0,0
1564704000,3.710,3.710,3.571,3.630,126,0,0
1564790400,3.668,3.762,3.668,3.746,224,0,0
1564876800,3.749,3.749,3.610,3.610,55,0,0
1564963200,3.650,3.921,3.630,3.839,2974,0,0
1565049600,3.760,3.793,3.542,3.542,1221,0,0
1565136000,3.625,3.625,3.500,3.500,305,0,0
1565222400,3.500,3.500,3.244,3.263,1559,0,0
1565308800,3.281,3.293,3.111,3.144,2401,0,0
1565395200,3.150,3.357,3.150,3.268,678,0,0
1565481600,3.360,3.512,3.320,3.512,171,0,0
1565568000,3.596,3.633,3.355,3.374,574,0,0
1565654400,3.362,3.362,3.213,3.278,1755,0,0
1565740800,3.218,3.282,2.950,2.950,16204,0,0
1565827200,2.895,3.012,2.735,2.933,4014,0,0
1565913600,2.926,2.999,2.850,2.979,2844,0,0
1566000000,2.862,2.903,2.848,2.855,764,0,0
1566086400,2.889,2.985,2.889,2.966,363,0,0
1566172800,2.976,2.976,2.832,2.885,1965,0,0
1566259200,2.912,2.912,2.800,2.910,556,0,0
1566345600,2.841,2.841,2.610,2.665,1858,0,0
1566432000,2.657,2.739,2.600,2.739,462,0,0
1566518400,2.695,2.745,2.689,2.689,3875,0,0
1566604800,2.724,2.724,2.607,2.684,458,0,0
1566691200,2.706,2.722,2.628,2.630,210,0,0
1566777600,2.668,2.668,2.622,2.622,360,0,0
1566864000,2.579,2.579,2.510,2.563,194,0,0
1566950400,2.535,2.583,2.322,2.336,4808,0,0
1567036800,2.294,2.294,2.161,2.190,21252,0,0
1567123200,2.190,2.234,2.127,2.169,5310,0,0
1567209600,2.138,2.138,1.996,2.026,4448,0,0
1567296000,2.016,2.183,2.016,2.135,518,0,0
1567382400,2.083,2.153,2.083,2.132,126,0,0
1567468800,2.187,2.198,2.150,2.167,1409,0,0
1567555200,2.114,2.120,1.980,2.055,7438,0,0
1567641600,1.977,1.984,1.900,1.958,4900,0,0
1567728000,1.980,2.245,1.961,2.044,7237,0,0
1567814400,2.090,2.275,2.029,2.191,712,0,0
1567900800,2.212,2.684,2.212,2.684,1200,0,0
1567987200,2.706,2.913,2.459,2.729,3407,0,0
1568073600,2.811,2.946,2.541,2.561,1294,0,0
1568160000,2.610,2.708,2.439,2.516,258,0,0
1568246400,2.530,3.171,2.530,3.053,945,0,0
1568332800,3.070,3.295,3.060,3.156,2198,0,0
1568419200,3.000,3.220,3.000,3.197,452,0,0
1568505600,3.190,3.523,3.190,3.411,1952,0,0
1568592000,3.570,3.572,3.171,3.347,1019,0,0
1568678400,3.332,3.429,3.285,3.383,712,0,0
1568764800,3.325,3.378,3.292,3.324,1272,0,0
1568851200,3.238,3.262,2.950,3.055,1759,0,0
1568937600,3.184,3.203,3.074,3.182,826,0,0
1569024000,3.245,3.245,3.060,3.083,873,0,0
1569110400,3.030,3.030,2.800,2.884,827,0,0
1569196800,2.853,2.853,2.575,2.575,550,0,0
1569283200,2.553,2.641,2.163,2.230,1393,0,0
1569369600,2.307,2.419,2.157,2.309,5673,0,0
1569456000,2.302,2.328,2.073,2.234,554,0,0
1569542400,2.219,2.253,2.202,2.240,391,0,0
1569628800,2.273,2.273,2.224,2.245,64,0,0
1569715200,2.201,2.205,2.149,2.205,31,0,0
1569801600,2.223,2.722,2.221,2.597,617,0,0
