time,open,high,low,close,tick_volume,spread,real_volume
1536321600,0.94019,0.94043,0.93969,0.93982,1435,8,0
1536325200,0.93982,0.94085,0.93929,0.94072,2616,8,0
1536328800,0.94072,0.94105,0.93921,0.93922,2383,8,0
1536332400,0.93922,0.94114,0.93874,0.93914,6050,8,0
1536336000,0.93914,0.94001,0.93845,0.93868,4533,8,0
1536339600,0.93868,0.94019,0.93841,0.93996,4514,8,0
1536343200,0.93996,0.94015,0.93907,0.93957,3730,8,0
1536346800,0.93958,0.93963,0.93648,0.93696,6065,8,0
1536350400,0.93693,0.93698,0.93551,0.93553,2559,8,0
1536354000,0.93554,0.93648,0.93523,0.93644,2603,8,0
1536357600,0.93645,0.93651,0.93580,0.93635,1780,12,0
1536361200,0.93634,0.93695,0.93457,0.93511,1160,8,0
1536537600,0.93460,0.93581,0.93454,0.93580,664,15,0
1536541200,0.93578,0.93696,0.93538,0.93655,920,8,0
1536544800,0.93655,0.93724,0.93636,0.93703,1264,8,0
1536548400,0.93703,0.93758,0.93664,0.93736,2632,8,0
1536552000,0.93734,0.93743,0.93612,0.93618,3483,8,0
1536555600,0.93619,0.93708,0.93609,0.93670,2532,8,0
1536559200,0.93669,0.93709,0.93632,0.93663,1810,8,0
1536562800,0.93666,0.93726,0.93643,0.93726,1675,8,0
1536566400,0.93726,0.93787,0.93670,0.93767,2086,8,0
1536570000,0.93767,0.93818,0.93653,0.93682,2725,8,0
1536573600,0.93684,0.93845,0.93676,0.93842,2655,8,0
1536577200,0.93842,0.93863,0.93709,0.93789,1700,8,0
1536580800,0.93789,0.93859,0.93771,0.93829,1650,8,0
1536584400,0.93829,0.93979,0.93820,0.93970,1505,8,0
1536588000,0.93971,0.93974,0.93840,0.93852,1293,8,0
1536591600,0.93851,0.93912,0.93840,0.93857,2496,8,0
1536595200,0.93856,0.93859,0.93692,0.93771,2969,8,0
1536598800,0.93771,0.93831,0.93688,0.93699,2702,8,0
1536602400,0.93699,0.93747,0.93660,0.93662,2627,8,0
1536606000,0.93662,0.93684,0.93575,0.93575,2164,8,0
1536609600,0.93574,0.93610,0.93519,0.93520,1068,8,0
1536613200,0.93520,0.93578,0.93517,0.93541,826,8,0
1536616800,0.93545,0.93629,0.93545,0.93623,1098,10,0
1536620400,0.93623,0.93641,0.93591,0.93610,709,11,0
1536624000,0.93563,0.93628,0.93535,0.93590,2026,16,0
1536627600,0.93590,0.93629,0.93578,0.93614,1187,12,0
1536631200,0.93611,0.93637,0.93561,0.93571,1086,8,0
1536634800,0.93573,0.93604,0.93531,0.93542,1930,8,0
1536638400,0.93542,0.93591,0.93418,0.93571,3849,8,0
1536642000,0.93571,0.93573,0.93489,0.93567,2153,8,0
1536645600,0.93568,0.93644,0.93561,0.93610,2315,8,0
1536649200,0.93611,0.93662,0.93608,0.93622,1503,8,0
1536652800,0.93623,0.93636,0.93553,0.93611,1954,8,0
1536656400,0.93613,0.93640,0.93538,0.93578,2623,8,0
1536660000,0.93579,0.93627,0.93471,0.93585,2449,8,0
1536663600,0.93585,0.93618,0.93473,0.93505,3456,8,0
1536667200,0.93506,0.93537,0.93437,0.93479,2764,8,0
1536670800,0.93475,0.93490,0.93378,0.93445,1761,8,0
1536674400,0.93446,0.93465,0.93401,0.93407,1260,8,0
1536678000,0.93406,0.93468,0.93305,0.93405,3572,8,0
1536681600,0.93405,0.93417,0.93261,0.93313,2515,8,0
1536685200,0.93317,0.93365,0.93179,0.93250,3170,8,0
1536688800,0.93253,0.93297,0.93200,0.93280,2656,8,0
1536692400,0.93279,0.93322,0.93258,0.93281,1869,8,0
1536696000,0.93281,0.93285,0.93208,0.93216,950,9,0
1536699600,0.93216,0.93271,0.93206,0.93225,785,8,0
1536703200,0.93225,0.93268,0.93163,0.93230,1636,8,0
1536706800,0.93229,0.93244,0.92860,0.93027,3900,8,0
1536710400,0.93006,0.93012,0.92869,0.92950,1336,27,0
1536714000,0.92921,0.92995,0.92919,0.92953,932,11,0
1536717600,0.92947,0.92955,0.92872,0.92877,1399,11,0
1536721200,0.92879,0.92894,0.92752,0.92872,2862,8,0
1536724800,0.92872,0.92878,0.92751,0.92773,2552,8,0
1536728400,0.92776,0.92835,0.92753,0.92801,3215,8,0
1536732000,0.92801,0.92833,0.92757,0.92760,1253,8,0
1536735600,0.92760,0.92766,0.92710,0.92756,990,8,0
1536739200,0.92755,0.92851,0.92739,0.92794,1984,8,0
1536742800,0.92794,0.92887,0.92742,0.92765,2403,8,0
1536746400,0.92765,0.92923,0.92747,0.92891,2704,8,0
1536750000,0.92891,0.93016,0.92872,0.92977,3055,8,0
1536753600,0.92964,0.93015,0.92929,0.92951,1882,8,0
1536757200,0.92952,0.92966,0.92841,0.92862,1904,8,0
1536760800,0.92867,0.93046,0.92839,0.93036,2626,8,0
1536764400,0.93036,0.93146,0.92944,0.93114,3410,8,0
1536768000,0.93114,0.93125,0.92780,0.92930,2780,8,0
1536771600,0.92931,0.92943,0.92763,0.92843,4939,8,0
1536775200,0.92843,0.93310,0.92765,0.93116,7157,8,0
1536778800,0.93116,0.93261,0.93056,0.93114,3976,8,0
1536782400,0.93114,0.93221,0.93054,0.93199,3396,8,0
1536786000,0.93198,0.93327,0.93196,0.93217,2186,9,0
1536789600,0.93216,0.93275,0.93192,0.93252,2331,8,0
1536793200,0.93250,0.93314,0.93174,0.93195,1458,11,0
1536796800,0.93132,0.93206,0.93078,0.93196,1463,29,0
1536800400,0.93200,0.93225,0.93164,0.93198,1173,12,0
1536804000,0.93197,0.93269,0.93190,0.93225,1966,12,0
1536807600,0.93224,0.93250,0.93165,0.93247,2427,9,0
1536811200,0.93245,0.93544,0.93218,0.93490,3386,8,0
1536814800,0.93492,0.93505,0.93380,0.93442,1965,8,0
1536818400,0.93443,0.93533,0.93432,0.93496,1687,8,0
1536822000,0.93497,0.93529,0.93444,0.93470,1157,8,0
1536825600,0.93470,0.93499,0.93421,0.93423,1931,8,0
1536829200,0.93427,0.93513,0.93411,0.93477,2220,8,0
1536832800,0.93476,0.93555,0.93428,0.93435,2273,8,0
1536836400,0.93434,0.93486,0.93381,0.93470,2002,8,0
1536840000,0.93469,0.93509,0.93370,0.93379,1657,8,0
1536843600,0.93379,0.93516,0.93364,0.93475,1498,8,0
1536847200,0.93479,0.93579,0.93451,0.93483,2602,7,0
1536850800,0.93483,0.93778,0.93377,0.93760,5850,8,0
1536854400,0.93760,0.93881,0.93702,0.93815,4207,8,0
1536858000,0.93814,0.93904,0.93497,0.93515,5553,8,0
1536861600,0.93516,0.93578,0.93473,0.93520,3572,8,0
1536865200,0.93518,0.93588,0.93493,0.93497,2769,8,0
1536868800,0.93496,0.93559,0.93445,0.93559,1942,8,0
1536872400,0.93559,0.93584,0.93445,0.93449,2404,8,0
1536876000,0.93452,0.93530,0.93426,0.93530,2448,8,0
1536879600,0.93523,0.93531,0.93421,0.93434,1648,11,0
1536883200,0.93483,0.93490,0.93387,0.93434,836,37,0
1536886800,0.93427,0.93535,0.93427,0.93460,2489,10,0
1536890400,0.93454,0.93524,0.93445,0.93462,2047,10,0
1536894000,0.93462,0.93488,0.93401,0.93479,2734,8,0
1536897600,0.93482,0.93484,0.93285,0.93319,2781,8,0
1536901200,0.93333,0.93423,0.93319,0.93421,2393,8,0
1536904800,0.93420,0.93490,0.93404,0.93469,1344,8,0
1536908400,0.93465,0.93513,0.93449,0.93504,1229,8,0
1536912000,0.93503,0.93589,0.93488,0.93534,1598,8,0
1536915600,0.93537,0.93615,0.93486,0.93604,2459,8,0
1536919200,0.93604,0.93728,0.93556,0.93683,2688,8,0
1536922800,0.93685,0.93713,0.93638,0.93671,1991,8,0
1536926400,0.93671,0.93710,0.93606,0.93615,1734,8,0
1536930000,0.93616,0.93624,0.93505,0.93515,1709,8,0
1536933600,0.93515,0.93535,0.93408,0.93503,2283,8,0
1536937200,0.93501,0.93521,0.93374,0.93382,4315,8,0
1536940800,0.93389,0.93575,0.93369,0.93538,3372,8,0
1536944400,0.93534,0.93642,0.93509,0.93605,3726,8,0
1536948000,0.93606,0.93616,0.93505,0.93524,2895,8,0
1536951600,0.93523,0.93526,0.93291,0.93400,4947,8,0
1536955200,0.93400,0.93471,0.93385,0.93438,2777,8,0
1536958800,0.93438,0.93447,0.93325,0.93372,2253,8,0
1536962400,0.93373,0.93383,0.93243,0.93243,2373,11,0
1536966000,0.93241,0.93292,0.93117,0.93185,985,16,0
1537142400,0.93260,0.93332,0.93191,0.93278,485,23,0
1537146000,0.93286,0.93311,0.93247,0.93247,852,9,0
1537149600,0.93242,0.93277,0.93158,0.93165,1352,9,0
1537153200,0.93164,0.93305,0.93160,0.93298,2354,8,0
1537156800,0.93298,0.93315,0.93243,0.93247,2607,8,0
1537160400,0.93244,0.93308,0.93208,0.93269,2219,9,0
1537164000,0.93270,0.93308,0.93231,0.93277,1781,8,0
1537167600,0.93278,0.93305,0.93258,0.93270,1609,8,0
1537171200,0.93270,0.93323,0.93208,0.93312,2165,9,0
1537174800,0.93312,0.93341,0.93253,0.93286,2381,8,0
1537178400,0.93285,0.93404,0.93264,0.93377,2002,8,0
1537182000,0.93381,0.93468,0.93381,0.93447,1721,8,0
1537185600,0.93447,0.93482,0.93421,0.93450,1526,8,0
1537189200,0.93448,0.93465,0.93398,0.93408,1754,8,0
1537192800,0.93408,0.93514,0.93366,0.93471,2818,8,0
1537196400,0.93471,0.93545,0.93407,0.93509,2847,8,0
1537200000,0.93508,0.93635,0.93504,0.93579,2340,8,0
1537203600,0.93579,0.93620,0.93492,0.93553,2511,8,0
1537207200,0.93553,0.93613,0.93500,0.93520,2804,8,0
1537210800,0.93520,0.93580,0.93517,0.93560,2312,8,0
1537214400,0.93560,0.93594,0.93512,0.93545,1533,8,0
1537218000,0.93545,0.93600,0.93516,0.93555,1326,9,0
1537221600,0.93554,0.93564,0.93484,0.93500,2776,8,0
1537225200,0.93499,0.93603,0.93487,0.93602,1179,8,0
1537228800,0.93579,0.93580,0.93500,0.93559,2654,27,0
1537232400,0.93560,0.93624,0.93365,0.93381,3232,10,0
1537236000,0.93376,0.93449,0.93328,0.93333,2630,8,0
1537239600,0.93334,0.93514,0.93319,0.93499,3100,8,0
1537243200,0.93499,0.93633,0.93453,0.93550,3832,8,0
1537246800,0.93551,0.93698,0.93544,0.93690,3103,8,0
1537250400,0.93690,0.93972,0.93690,0.93811,4886,8,0
1537254000,0.93811,0.93886,0.93751,0.93810,3308,8,0
1537257600,0.93809,0.93954,0.93792,0.93941,4065,8,0
1537261200,0.93945,0.94033,0.93921,0.93976,3991,8,0
1537264800,0.93976,0.93976,0.93754,0.93808,5579,8,0
1537268400,0.93808,0.93888,0.93803,0.93851,2811,8,0
1537272000,0.93847,0.93939,0.93788,0.93788,2297,8,0
1537275600,0.93789,0.93852,0.93767,0.93829,1950,8,0
1537279200,0.93829,0.93867,0.93777,0.93819,2330,8,0
1537282800,0.93816,0.93824,0.93584,0.93609,3678,8,0
1537286400,0.93609,0.93759,0.93601,0.93697,4533,8,0
