time,open,high,low,close,tick_volume,spread,real_volume
1536544800,0.68860,0.68924,0.68854,0.68914,1018,13,0
1536548400,0.68914,0.68978,0.68888,0.68946,2537,11,0
1536552000,0.68945,0.68945,0.68845,0.68867,3228,11,0
1536555600,0.68868,0.68921,0.68842,0.68894,2750,12,0
1536559200,0.68893,0.68931,0.68865,0.68899,2291,10,0
1536562800,0.68899,0.68943,0.68879,0.68943,1530,12,0
1536566400,0.68943,0.68995,0.68911,0.68978,1751,11,0
1536570000,0.68978,0.69045,0.68873,0.68878,3598,11,0
1536573600,0.68879,0.69053,0.68860,0.69048,4688,10,0
1536577200,0.69048,0.69183,0.69020,0.69172,4100,10,0
1536580800,0.69172,0.69336,0.69163,0.69316,3027,10,0
1536584400,0.69312,0.69369,0.69265,0.69367,2975,10,0
1536588000,0.69367,0.69429,0.69295,0.69312,3163,8,0
1536591600,0.69312,0.69417,0.69283,0.69409,4103,8,0
1536595200,0.69406,0.69408,0.69296,0.69357,5456,10,0
1536598800,0.69357,0.69365,0.69205,0.69237,4546,10,0
1536602400,0.69238,0.69348,0.69224,0.69319,3680,9,0
1536606000,0.69317,0.69377,0.69286,0.69305,3321,10,0
1536609600,0.69305,0.69323,0.69273,0.69285,2521,11,0
1536613200,0.69285,0.69344,0.69259,0.69308,1841,11,0
1536616800,0.69310,0.69364,0.69304,0.69344,1611,12,0
1536620400,0.69346,0.69356,0.69319,0.69337,824,12,0
1536624000,0.69336,0.69368,0.69301,0.69330,1980,25,0
1536627600,0.69319,0.69325,0.69291,0.69318,726,18,0
1536631200,0.69318,0.69346,0.69284,0.69291,902,13,0
1536634800,0.69292,0.69375,0.69276,0.69335,1685,12,0
1536638400,0.69335,0.69387,0.69200,0.69372,3590,12,0
1536642000,0.69373,0.69373,0.69293,0.69350,2380,12,0
1536645600,0.69351,0.69429,0.69343,0.69411,2683,12,0
1536649200,0.69412,0.69449,0.69411,0.69423,1398,12,0
1536652800,0.69424,0.69452,0.69368,0.69440,2050,12,0
1536656400,0.69441,0.69520,0.69418,0.69476,3738,10,0
1536660000,0.69475,0.69475,0.69280,0.69383,4399,10,0
1536663600,0.69382,0.69420,0.69257,0.69282,4822,8,0
1536667200,0.69280,0.69297,0.69182,0.69246,4442,10,0
1536670800,0.69245,0.69268,0.69106,0.69155,3721,8,0
1536674400,0.69156,0.69171,0.69107,0.69136,2963,8,0
1536678000,0.69136,0.69183,0.69041,0.69085,5266,10,0
1536681600,0.69084,0.69100,0.69023,0.69061,4284,10,0
1536685200,0.69056,0.69121,0.69010,0.69110,5260,8,0
