time,open,high,low,close,tick_volume,spread,real_volume
1536652800,79.338,79.444,79.277,79.402,2010,9,0
1536656400,79.401,79.439,79.350,79.398,2681,9,0
1536660000,79.398,79.479,79.343,79.460,3209,9,0
1536663600,79.458,79.486,79.189,79.226,4198,9,0
1536667200,79.226,79.245,79.084,79.135,3911,9,0
1536670800,79.135,79.161,79.018,79.112,2794,9,0
1536674400,79.114,79.114,79.026,79.070,2116,9,0
1536678000,79.069,79.070,78.904,79.003,4404,9,0
1536681600,79.004,79.061,78.939,79.040,3632,9,0
1536685200,79.038,79.181,79.015,79.077,4095,9,0
1536688800,79.081,79.248,79.081,79.243,3115,9,0
1536692400,79.242,79.305,79.231,79.275,2331,9,0
1536696000,79.275,79.275,79.220,79.220,1844,10,0
1536699600,79.220,79.242,79.202,79.229,1409,10,0
1536703200,79.229,79.334,79.229,79.331,1765,11,0
1536706800,79.333,79.503,79.321,79.456,1981,9,0
1536710400,79.423,79.487,79.383,79.421,2224,19,0
1536714000,79.419,79.463,79.408,79.456,1681,9,0
1536717600,79.454,79.482,79.347,79.370,1528,10,0
1536721200,79.371,79.371,79.120,79.242,3587,10,0
1536724800,79.241,79.252,79.073,79.108,2984,10,0
1536728400,79.111,79.171,79.078,79.166,2074,9,0
1536732000,79.166,79.178,79.117,79.126,1206,10,0
1536735600,79.126,79.173,79.101,79.173,1058,9,0
1536739200,79.174,79.249,79.125,79.197,2165,9,0
1536742800,79.196,79.316,79.128,79.154,2888,10,0
1536746400,79.154,79.349,79.132,79.325,3329,9,0
1536750000,79.325,79.427,79.279,79.400,3614,9,0
1536753600,79.399,79.404,79.306,79.351,2657,10,0
1536757200,79.351,79.395,79.325,79.334,2203,9,0
1536760800,79.334,79.418,79.278,79.316,3190,9,0
1536764400,79.316,79.412,79.262,79.275,3562,9,0
1536768000,79.275,79.313,79.234,79.291,3449,9,0
1536771600,79.291,79.518,79.280,79.405,4451,9,0
1536775200,79.406,80.004,79.352,79.688,7609,9,0
1536778800,79.688,79.840,79.667,79.763,4255,9,0
1536782400,79.763,79.812,79.678,79.760,3180,9,0
1536786000,79.759,79.896,79.741,79.834,2071,9,0
