time,open,high,low,close,tick_volume,spread,real_volume
1536580800,1.09026,1.09059,1.08891,1.08938,1954,8,0
1536584400,1.08938,1.09011,1.08894,1.08997,2291,10,0
1536588000,1.08995,1.09000,1.08867,1.08885,1959,8,0
1536591600,1.08889,1.08982,1.08879,1.08952,3524,10,0
1536595200,1.08952,1.09003,1.08839,1.08877,4229,8,0
1536598800,1.08877,1.08905,1.08813,1.08875,3087,9,0
1536602400,1.08874,1.08926,1.08848,1.08885,2440,10,0
1536606000,1.08886,1.08926,1.08853,1.08890,2080,8,0
1536609600,1.08890,1.09014,1.08884,1.08960,2026,8,0
1536613200,1.08960,1.09013,1.08952,1.08998,2134,11,0
1536616800,1.08997,1.09060,1.08997,1.09059,1311,9,0
1536620400,1.09057,1.09061,1.09012,1.09013,792,9,0
1536624000,1.08992,1.09041,1.08961,1.09023,3030,19,0
1536627600,1.09014,1.09058,1.09000,1.09027,1552,18,0
1536631200,1.09027,1.09078,1.08987,1.09020,1108,9,0
1536634800,1.09020,1.09041,1.08968,1.08979,2908,10,0
1536638400,1.08977,1.08990,1.08776,1.08880,4309,11,0
1536642000,1.08879,1.08962,1.08851,1.08954,2470,10,0
1536645600,1.08952,1.09072,1.08942,1.09060,2200,9,0
1536649200,1.09058,1.09124,1.09043,1.09085,1792,8,0
1536652800,1.09085,1.09092,1.09015,1.09047,2215,9,0
1536656400,1.09047,1.09067,1.08892,1.08934,2745,8,0
1536660000,1.08936,1.09062,1.08891,1.09051,2889,9,0
1536663600,1.09052,1.09103,1.08931,1.08949,3979,9,0
1536667200,1.08949,1.08983,1.08875,1.08910,3562,9,0
1536670800,1.08909,1.09033,1.08909,1.09007,2554,9,0
1536674400,1.09007,1.09030,1.08968,1.09001,2227,10,0
1536678000,1.09000,1.09059,1.08899,1.09024,4405,9,0
1536681600,1.09023,1.09043,1.08938,1.08954,3419,9,0
1536685200,1.08956,1.09075,1.08949,1.09048,3559,9,0
1536688800,1.09054,1.09114,1.09046,1.09085,2055,10,0
