time,open,high,low,close,tick_volume,spread,real_volume
1536656400,0.71250,0.71279,0.71192,0.71229,2025,9,0
1536660000,0.71229,0.71282,0.71149,0.71240,2336,9,0
1536663600,0.71239,0.71272,0.71097,0.71120,3166,9,0
1536667200,0.71120,0.71139,0.71009,0.71038,2370,9,0
1536670800,0.71038,0.71055,0.70918,0.71002,1911,9,0
1536674400,0.71002,0.71035,0.70971,0.71000,1420,9,0
1536678000,0.71000,0.71018,0.70868,0.70917,3307,9,0
1536681600,0.70917,0.70947,0.70850,0.70867,2641,9,0
1536685200,0.70866,0.70982,0.70847,0.70942,2629,9,0
1536688800,0.70944,0.71037,0.70898,0.71032,2042,9,0
1536692400,0.71032,0.71073,0.71018,0.71023,1492,9,0
1536696000,0.71023,0.71039,0.70995,0.71010,1220,9,0
1536699600,0.71010,0.71026,0.70986,0.70997,1038,9,0
1536703200,0.70997,0.71090,0.70997,0.71089,1424,9,0
1536706800,0.71090,0.71255,0.71089,0.71201,1596,9,0
1536710400,0.71145,0.71222,0.71130,0.71163,885,15,0
1536714000,0.71159,0.71192,0.71152,0.71178,743,9,0
1536717600,0.71178,0.71208,0.71095,0.71099,727,9,0
1536721200,0.71099,0.71104,0.70945,0.71046,2040,9,0
1536724800,0.71046,0.71047,0.70930,0.70952,1794,9,0
1536728400,0.70953,0.71013,0.70932,0.71003,1409,9,0
1536732000,0.71003,0.71012,0.70968,0.70974,806,9,0
1536735600,0.70974,0.71003,0.70952,0.71002,827,9,0
1536739200,0.71002,0.71064,0.70968,0.71015,1833,9,0
1536742800,0.71015,0.71109,0.70948,0.70969,2071,9,0
1536746400,0.70969,0.71174,0.70952,0.71149,2278,9,0
1536750000,0.71149,0.71249,0.71131,0.71222,2864,9,0
1536753600,0.71222,0.71226,0.71148,0.71197,1989,9,0
1536757200,0.71194,0.71236,0.71139,0.71148,1930,9,0
1536760800,0.71149,0.71179,0.71112,0.71149,2536,9,0
1536764400,0.71149,0.71282,0.71145,0.71227,2419,9,0
1536768000,0.71227,0.71269,0.71161,0.71249,2462,9,0
1536771600,0.71249,0.71434,0.71243,0.71367,3064,9,0
1536775200,0.71368,0.71808,0.71308,0.71598,5114,9,0
1536778800,0.71598,0.71718,0.71591,0.71658,2646,9,0
1536782400,0.71658,0.71746,0.71658,0.71737,2351,9,0
1536786000,0.71737,0.71820,0.71699,0.71773,1682,9,0
1536789600,0.71772,0.71779,0.71703,0.71722,1281,9,0
1536793200,0.71725,0.71751,0.71687,0.71702,513,10,0
1536796800,0.71641,0.71731,0.71636,0.71721,1374,16,0
1536800400,0.71722,0.71740,0.71676,0.71702,1276,10,0
1536804000,0.71701,0.71743,0.71695,0.71701,1118,9,0
1536807600,0.71700,0.71753,0.71674,0.71741,1970,9,0
1536811200,0.71741,0.71990,0.71706,0.71892,2301,9,0
1536814800,0.71892,0.71903,0.71776,0.71858,1585,9,0
1536818400,0.71858,0.71921,0.71837,0.71900,1333,9,0
1536822000,0.71900,0.71943,0.71829,0.71829,852,9,0
1536825600,0.71829,0.71865,0.71781,0.71786,1202,9,0
1536829200,0.71786,0.71893,0.71767,0.71851,1995,9,0
1536832800,0.71851,0.71931,0.71829,0.71852,1766,9,0
1536836400,0.71852,0.71904,0.71795,0.71853,1764,9,0
1536840000,0.71853,0.71898,0.71756,0.71760,1646,9,0
1536843600,0.71760,0.71859,0.71757,0.71845,1008,9,0
1536847200,0.71845,0.71977,0.71845,0.71871,2158,9,0
1536850800,0.71871,0.72246,0.71809,0.72227,4541,9,0
1536854400,0.72227,0.72288,0.72150,0.72229,3774,9,0
1536858000,0.72229,0.72262,0.71824,0.71874,4692,9,0
1536861600,0.71875,0.71951,0.71851,0.71905,2002,9,0
1536865200,0.71905,0.72034,0.71903,0.71953,1538,9,0
1536868800,0.71953,0.71990,0.71931,0.71961,1375,9,0
1536872400,0.71961,0.71999,0.71919,0.71941,1656,9,0
1536876000,0.71944,0.71949,0.71880,0.71918,1920,9,0
1536879600,0.71917,0.71918,0.71879,0.71907,486,9,0
1536883200,0.71892,0.71918,0.71868,0.71884,602,19,0
1536886800,0.71883,0.71961,0.71882,0.71908,1554,10,0
1536890400,0.71906,0.71935,0.71857,0.71862,1278,9,0
1536894000,0.71862,0.71925,0.71843,0.71897,1891,9,0
1536897600,0.71896,0.71922,0.71764,0.71811,2114,9,0
1536901200,0.71811,0.71902,0.71811,0.71895,1874,9,0
1536904800,0.71894,0.71954,0.71891,0.71929,1339,9,0
1536908400,0.71929,0.71962,0.71908,0.71959,1229,9,0
1536912000,0.71958,0.72039,0.71949,0.71992,1219,9,0
1536915600,0.71996,0.72088,0.71957,0.72050,2527,9,0
1536919200,0.72051,0.72157,0.71995,0.72116,2598,9,0
1536922800,0.72116,0.72132,0.72016,0.72049,2104,9,0
1536926400,0.72049,0.72078,0.71971,0.72002,1841,9,0
1536930000,0.72002,0.72020,0.71952,0.71968,1284,9,0
1536933600,0.71967,0.71994,0.71846,0.71870,2018,9,0
1536937200,0.71870,0.71968,0.71718,0.71737,3483,9,0
1536940800,0.71736,0.71813,0.71699,0.71802,2827,9,0
1536944400,0.71802,0.71823,0.71686,0.71809,2799,9,0
1536948000,0.71811,0.71863,0.71764,0.71774,2310,9,0
1536951600,0.71774,0.71779,0.71533,0.71619,3794,9,0
1536955200,0.71618,0.71635,0.71559,0.71635,2437,9,0
1536958800,0.71634,0.71654,0.71552,0.71648,1769,9,0
1536962400,0.71648,0.71655,0.71502,0.71504,1766,9,0
