time,open,high,low,close,tick_volume,spread,real_volume
1516996800,6063.2,6067.2,6063.2,6065.2,162,9,0
1517000400,6064.2,6066.2,6061.2,6064.2,158,22,0
1517004000,6064.2,6069.3,6063.3,6068.2,227,22,0
1517187600,6059.1,6063.5,6057.5,6061.0,78,15,0
1517191200,6062.5,6073.5,6062.0,6070.5,504,7,0
1517194800,6071.1,6082.5,6070.0,6078.7,753,8,0
1517198400,6079.0,6086.5,6077.5,6086.5,860,7,0
1517202000,6086.0,6086.6,6077.0,6080.1,1096,7,0
1517205600,6080.5,6088.1,6079.5,6080.5,403,8,0
1517209200,6080.1,6080.1,6057.0,6059.0,665,3,0
1517212800,6059.5,6069.3,6057.0,6064.0,178,10,0
1517216400,6066.0,6075.0,6066.0,6069.0,443,3,0
1517220000,6069.0,6069.0,6055.0,6056.0,141,3,0
1517223600,6056.0,6065.1,6044.0,6044.0,481,3,0
1517227200,6043.0,6052.1,6042.0,6052.0,338,3,0
1517230800,6052.1,6053.1,6044.0,6053.0,262,3,0
1517234400,6053.0,6053.0,6042.0,6042.0,150,3,0
1517238000,6043.0,6048.0,6042.0,6044.0,123,3,0
1517241600,6043.0,6056.0,6041.0,6056.0,1002,3,0
1517245200,6056.3,6057.0,6041.0,6048.1,1887,3,0
1517248800,6048.0,6050.0,6040.0,6043.0,1071,3,0
1517252400,6042.0,6052.3,6041.0,6050.1,685,3,0
1517256000,6051.3,6055.1,6050.0,6053.0,605,3,0
1517259600,6053.1,6056.1,6049.1,6054.0,750,3,0
1517263200,6054.0,6054.0,6029.0,6037.0,417,3,0
1517274000,6036.8,6042.8,6036.8,6040.8,121,16,0
1517277600,6041.3,6042.5,6032.3,6036.9,543,7,0
1517281200,6035.9,6044.3,6032.3,6041.8,824,7,0
1517284800,6041.3,6056.9,6039.9,6052.8,709,7,0
1517288400,6053.5,6056.8,6023.2,6023.5,1466,3,0
1517292000,6023.3,6029.2,6013.8,6025.5,1476,3,0
1517295600,6025.3,6027.5,6007.8,6009.8,1134,3,0
1517299200,6009.3,6019.3,6009.3,6016.3,208,9,0
1517302800,6018.8,6019.9,6005.2,6008.5,767,3,0
1517306400,6008.3,6020.4,6008.3,6012.4,486,6,0
1517310000,6012.4,6018.3,6010.5,6017.4,280,11,0
1517313600,6017.4,6017.4,6005.3,6010.3,250,21,0
1517317200,6011.3,6014.3,6008.3,6008.3,73,22,0
1517320800,6007.3,6010.4,6001.3,6009.4,239,20,0
1517324400,6010.3,6014.4,6003.4,6003.4,258,21,0
1517328000,6003.4,6009.3,5991.3,5993.3,1956,4,0
1517331600,5992.3,6007.4,5985.3,6005.3,1790,12,0
1517335200,6004.3,6009.3,5992.4,5993.4,1442,12,0
1517338800,5994.3,5997.3,5990.3,5994.3,850,12,0
1517342400,5993.3,6000.4,5987.3,5998.3,1020,12,0
1517346000,5999.3,6005.4,5991.4,5995.3,683,12,0
1517349600,5994.3,6004.3,5992.3,5995.3,445,21,0
1517360400,5999.6,6001.6,5995.1,5995.2,125,7,0
1517364000,5996.1,6016.6,5991.6,6007.6,784,7,0
1517367600,6007.4,6027.1,6006.6,6025.1,850,7,0
1517371200,6024.6,6031.7,6018.6,6031.2,768,7,0
1517374800,6031.5,6035.6,6029.2,6034.2,588,5,0
1517378400,6033.2,6041.6,6031.7,6035.1,326,5,0
1517382000,6035.1,6040.6,6025.1,6030.6,733,5,0
1517385600,6030.6,6037.4,6022.1,6036.6,411,3,0
1517389200,6039.1,6045.6,6036.2,6041.6,266,12,0
1517392800,6040.6,6046.1,6038.6,6043.1,460,12,0
1517396400,6043.6,6049.1,6040.1,6043.2,454,7,0
1517400000,6042.7,6042.7,6035.7,6040.6,477,3,0
1517403600,6040.1,6043.2,6028.6,6032.6,271,11,0
1517407200,6033.1,6045.1,6032.6,6045.1,331,7,0
1517410800,6044.6,6045.6,6036.1,6040.6,371,14,0
1517414400,6039.6,6044.1,6033.6,6035.6,1016,7,0
1517418000,6035.3,6037.7,6022.6,6027.1,1486,7,0
1517421600,6027.6,6037.6,6024.6,6035.6,991,14,0
1517425200,6036.1,6048.1,6034.6,6047.6,375,14,0
1517428800,6047.1,6056.7,6046.6,6048.6,550,7,0
1517432400,6049.6,6056.6,6025.6,6031.6,1382,21,0
1517436000,6030.6,6045.6,6026.6,6032.6,850,11,0
1517446800,6075.1,6080.9,6073.9,6080.9,215,17,0
1517450400,6081.0,6087.9,6076.9,6079.9,804,7,0
1517454000,6079.4,6086.5,6077.4,6083.9,813,7,0
1517457600,6084.5,6085.5,6075.4,6079.4,676,6,0
1517461200,6079.1,6086.5,6078.4,6086.0,341,12,0
1517464800,6085.0,6094.0,6085.0,6090.4,344,7,0
1517468400,6089.9,6093.5,6085.9,6091.4,611,12,0
1517472000,6091.9,6092.4,6083.4,6083.4,185,12,0
1517475600,6090.4,6096.5,6088.9,6096.4,218,12,0
1517479200,6095.4,6100.0,6089.9,6091.9,500,12,0
1517482800,6091.4,6092.9,6085.5,6085.5,396,7,0
1517486400,6085.9,6087.5,6078.4,6081.4,424,12,0
1517490000,6080.9,6081.9,6074.8,6074.9,357,7,0
1517493600,6074.8,6080.9,6072.4,6080.9,536,3,0
1517497200,6080.4,6080.9,6063.4,6069.4,1245,3,0
1517500800,6070.4,6072.4,6055.4,6066.4,1094,21,0
1517504400,6067.4,6071.4,6062.4,6066.4,1001,12,0
1517508000,6065.4,6085.4,6062.4,6085.4,961,12,0
1517511600,6085.4,6087.4,6075.4,6083.4,495,21,0
1517515200,6083.4,6089.5,6081.4,6083.4,382,21,0
1517518800,6083.4,6085.4,6071.4,6079.4,820,21,0
1517522400,6078.4,6082.5,6060.4,6073.4,667,3,0
1517533200,6090.9,6096.5,6089.5,6096.5,112,5,0
1517536800,6096.9,6114.5,6091.9,6111.5,702,7,0
1517540400,6110.5,6114.5,6095.4,6104.0,1177,3,0
1517544000,6103.5,6109.5,6099.9,6106.4,826,7,0
1517547600,6107.0,6118.9,6105.9,6114.0,598,7,0
1517551200,6114.9,6120.5,6112.4,6118.9,408,7,0
1517554800,6118.4,6127.5,6114.9,6116.9,529,7,0
1517558400,6116.4,6127.5,6114.9,6126.9,216,15,0
1517562000,6123.0,6125.9,6118.4,6122.9,402,7,0
1517565600,6122.5,6123.4,6106.4,6107.9,1077,3,0
1517569200,6108.1,6112.9,6100.4,6100.9,1086,12,0
1517572800,6100.4,6103.9,6089.9,6099.5,804,7,0
1517576400,6099.9,6106.0,6097.4,6100.5,482,7,0
1517580000,6100.9,6103.2,6097.9,6101.9,736,7,0
1517583600,6101.5,6105.5,6093.4,6096.5,1001,7,0
1517587200,6097.4,6099.4,6088.5,6091.4,1395,7,0
1517590800,6090.4,6091.4,6081.4,6083.4,1537,9,0
1517594400,6082.5,6088.5,6078.5,6078.5,1299,12,0
1517598000,6077.5,6091.5,6077.4,6084.5,812,12,0
1517601600,6083.5,6086.5,6075.5,6078.5,1092,9,0
1517605200,6077.5,6078.5,6061.5,6065.4,1561,3,0
1517608800,6064.4,6071.5,6053.4,6057.4,1418,12,0
1517792400,6044.4,6044.4,6038.5,6043.5,184,7,0
1517796000,6043.9,6053.5,6039.2,6048.4,1609,5,0
1517799600,6047.9,6047.9,6029.9,6031.0,736,3,0
1517803200,6029.9,6031.0,6014.9,6016.0,391,3,0
1517806800,6014.9,6036.0,6013.9,6029.9,390,7,0
1517810400,6030.9,6030.9,6017.9,6021.0,237,7,0
1517814000,6020.9,6029.0,6011.4,6015.9,497,7,0
1517817600,6015.4,6016.9,6004.4,6007.9,401,7,0
1517821200,6016.4,6016.9,6004.4,6006.9,773,12,0
1517824800,6006.4,6010.4,5999.4,6009.9,957,10,0
1517828400,6009.9,6021.0,6009.5,6015.9,572,10,0
