time,open,high,low,close,tick_volume,spread,real_volume
1764118800,14.037,14.257,14.037,14.067,55,200,0
1764122400,14.072,14.200,14.072,14.187,227,200,0
1764126000,14.187,14.227,14.057,14.112,247,200,0
1764129600,14.112,14.137,14.020,14.022,162,200,0
1764133200,14.022,14.047,13.907,13.920,143,200,0
1764136800,13.917,13.947,13.895,13.895,163,200,0
1764140400,13.895,13.957,13.892,13.917,123,200,0
1764144000,13.927,13.977,13.897,13.955,128,200,0
1764147600,13.955,13.990,13.917,13.990,123,199,0
1764151200,13.970,13.977,13.887,13.897,125,200,0
1764154800,13.897,13.917,13.867,13.900,154,200,0
1764158400,13.897,13.930,13.877,13.910,119,200,0
1764162000,13.907,13.957,13.875,13.897,156,200,0
1764165600,13.897,13.907,13.807,13.827,191,200,0
1764169200,13.827,13.897,13.817,13.867,192,200,0
1764172800,13.857,13.887,13.797,13.837,323,200,0
1764176400,13.832,13.867,13.802,13.867,260,200,0
1764180000,13.857,14.027,13.847,13.997,258,200,0
1764183600,13.997,14.347,13.972,14.287,383,200,0
1764187200,14.292,14.480,14.287,14.477,379,200,0
1764190800,14.477,14.497,14.357,14.437,268,200,0
1764194400,14.437,14.567,14.397,14.557,236,200,0
1764198000,14.567,14.637,14.527,14.557,181,200,0
1764201600,14.550,14.627,14.539,14.595,148,200,0
1764205200,14.595,14.847,14.595,14.847,202,200,0
1764208800,14.847,14.887,14.785,14.837,432,200,0
1764212400,14.840,14.892,14.800,14.862,218,200,0
1764216000,14.862,14.907,14.802,14.812,183,200,0
1764219600,14.812,14.852,14.800,14.812,138,200,0
1764223200,14.812,14.840,14.800,14.812,93,200,0
1764226800,14.812,14.852,14.767,14.822,147,200,0
1764230400,14.822,14.867,14.800,14.817,132,200,0
1764234000,14.827,14.865,14.802,14.847,127,215,0
1764237600,14.840,14.850,14.750,14.842,125,200,0
1764241200,14.830,14.867,14.812,14.815,105,200,0
1764244800,14.815,14.857,14.802,14.847,75,200,0
1764248400,14.847,14.857,14.815,14.822,59,200,0
1764252000,14.810,14.847,14.800,14.827,115,200,0
1764255600,14.827,14.877,14.797,14.845,173,200,0
1764259200,14.845,14.867,14.800,14.837,110,200,0
1764262800,14.837,14.867,14.812,14.847,142,200,0
1764266400,14.850,15.040,14.832,15.002,253,199,0
1764270000,15.002,15.047,14.982,15.000,137,200,0
1764273600,14.997,15.047,14.972,15.045,124,200,0
1764277200,15.045,15.045,14.897,14.927,112,200,0
1764280800,14.927,14.947,14.900,14.927,94,200,0
1764284400,14.927,14.967,14.905,14.932,115,200,0
1764288000,14.960,14.960,14.870,14.927,120,200,0
1764291600,14.927,14.957,14.895,14.917,119,200,0
1764295200,14.917,14.947,14.897,14.930,115,200,0
1764298800,14.922,14.937,14.892,14.905,137,200,0
1764302400,14.905,14.957,14.890,14.932,167,200,0
1764306000,14.932,14.947,14.907,14.935,107,200,0
1764309600,14.935,14.947,14.907,14.907,97,200,0
1764313200,14.907,14.977,14.897,14.930,106,200,0
1764316800,14.927,14.947,14.897,14.937,96,200,0
1764320400,14.947,14.950,14.897,14.910,114,200,0
1764324000,14.907,15.002,14.907,14.967,179,215,0
1764327600,14.977,14.987,14.915,14.927,123,200,0
1764331200,14.927,14.950,14.897,14.940,96,200,0
1764334800,14.927,14.927,14.684,14.912,240,200,0
1764338400,14.912,14.947,14.895,14.902,125,200,0
1764342000,14.902,15.007,14.887,14.967,141,200,0
1764345600,14.967,15.067,14.947,15.002,233,200,0
1764349200,15.002,15.157,14.962,14.972,229,200,0
1764352800,14.982,14.982,14.717,14.737,341,200,0
1764356400,14.747,14.777,14.697,14.737,273,211,0
1764360000,14.747,14.787,14.717,14.757,153,200,0
1764363600,14.757,14.777,14.737,14.777,114,200,0
1764367200,14.757,14.777,14.727,14.767,137,215,0
1764370800,14.757,14.777,14.682,14.727,127,200,0
1764439200,14.752,14.760,14.747,14.750,11,190,0
1764468000,14.132,14.167,14.092,14.110,92,199,0
1764471600,14.102,14.217,14.097,14.177,128,200,0
1764475200,14.177,14.227,14.127,14.137,99,200,0
1764478800,14.137,14.147,14.027,14.107,159,200,0
1764482400,14.107,14.110,14.025,14.047,133,200,0
1764486000,14.047,14.047,13.922,13.922,145,200,0
1764489600,13.922,13.987,13.877,13.987,164,200,0
1764493200,13.987,14.047,13.967,14.037,167,200,0
1764496800,14.032,14.087,13.932,14.062,207,200,0
1764500400,14.062,14.107,14.027,14.037,179,200,0
1764504000,14.037,14.037,13.977,13.987,131,200,0
1764507600,13.987,14.017,13.937,13.952,130,200,0
1764511200,13.952,14.117,13.940,14.077,160,200,0
1764514800,14.077,14.192,14.077,14.167,175,200,0
1764518400,14.167,14.167,13.997,14.047,181,199,0
1764522000,14.047,14.087,13.977,14.057,152,200,0
1764525600,14.067,14.177,14.057,14.150,135,200,0
1764529200,14.137,14.137,14.047,14.102,177,200,0
1764532800,14.100,14.107,13.722,13.850,338,200,0
1764536400,13.830,13.917,13.830,13.897,171,200,0
1764540000,13.887,13.927,13.837,13.867,153,200,0
1764543600,13.860,13.869,13.652,13.727,192,190,0
1764547200,13.732,13.827,13.722,13.817,157,200,0
1764550800,13.817,13.817,13.557,13.607,284,200,0
1764554400,13.602,13.627,12.995,13.005,1591,216,0
1764558000,13.015,13.147,12.977,13.007,660,200,0
1764561600,13.007,13.090,12.982,13.030,298,199,0
1764565200,13.027,13.027,12.827,12.847,292,200,0
1764568800,12.852,12.877,12.767,12.817,264,200,0
1764572400,12.817,12.867,12.780,12.807,188,200,0
1764576000,12.797,12.912,12.797,12.847,168,200,0
1764579600,12.857,12.987,12.842,12.967,189,200,0
1764583200,12.957,12.977,12.900,12.957,159,200,0
1764586800,12.947,12.997,12.880,12.907,180,200,0
1764590400,12.907,12.917,12.860,12.877,91,199,0
1764594000,12.877,12.910,12.837,12.837,124,200,0
1764597600,12.837,12.837,12.667,12.802,281,200,0
1764601200,12.802,12.867,12.647,12.720,446,190,0
1764604800,12.730,12.855,12.697,12.767,425,190,0
1764608400,12.767,12.777,12.507,12.587,673,200,0
1764612000,12.592,12.617,12.439,12.512,469,190,0
1764615600,12.512,12.637,12.502,12.587,311,200,0
1764619200,12.587,12.667,12.517,12.607,250,200,0
1764622800,12.607,12.607,12.507,12.507,211,200,0
1764626400,12.502,12.657,12.482,12.547,325,200,0
1764630000,12.537,12.727,12.532,12.687,309,200,0
1764633600,12.752,12.752,12.632,12.680,194,200,0
1764637200,12.682,12.757,12.647,12.647,145,200,0
1764640800,12.647,12.692,12.605,12.687,208,200,0
1764644400,12.677,12.907,12.667,12.737,417,215,0
1764648000,12.730,12.847,12.727,12.817,211,200,0
1764651600,12.810,12.857,12.702,12.842,216,200,0
1764655200,12.842,12.882,12.790,12.790,159,200,0
1764658800,12.797,12.837,12.752,12.827,133,200,0
1764662400,12.820,12.907,12.812,12.897,116,199,0
1764666000,12.890,12.937,12.852,12.920,149,200,0
1764669600,12.920,12.967,12.795,12.837,448,200,0
1764673200,12.837,12.920,12.807,12.850,178,200,0
1764676800,12.852,13.017,12.852,12.987,200,190,0
1764680400,12.987,12.997,12.767,12.797,358,200,0
1764684000,12.802,12.827,12.727,12.797,220,200,0
1764687600,12.797,12.927,12.772,12.907,204,200,0
1764691200,12.907,13.157,12.897,13.142,476,200,0
1764694800,13.142,13.607,13.142,13.562,1021,216,0
1764698400,13.567,13.627,13.447,13.477,525,200,0
1764702000,13.477,13.597,13.437,13.472,313,200,0
1764705600,13.472,13.607,13.472,13.542,209,200,0
1764709200,13.557,13.597,13.517,13.537,163,200,0
1764712800,13.547,13.587,13.452,13.542,228,200,0
1764716400,13.542,13.567,13.505,13.552,163,200,0
1764720000,13.579,13.647,13.547,13.627,131,190,0
1764723600,13.617,13.617,13.517,13.517,141,200,0
1764727200,13.517,13.577,13.475,13.547,207,210,0
1764730800,13.547,13.657,13.522,13.597,218,200,0
1764734400,13.600,13.737,13.600,13.677,236,200,0
1764738000,13.677,13.727,13.667,13.702,179,200,0
1764741600,13.702,13.817,13.687,13.805,211,200,0
1764745200,13.805,13.947,13.805,13.937,261,200,0
1764748800,13.947,14.240,13.947,14.007,425,200,0
1764752400,14.007,14.067,13.967,14.017,224,200,0
1764756000,14.017,14.077,13.947,14.047,230,200,0
1764759600,14.037,14.047,13.907,13.977,182,200,0
1764763200,13.977,14.012,13.927,13.935,149,200,0
1764766800,13.935,13.977,13.900,13.952,176,200,0
1764770400,13.952,14.007,13.937,13.997,219,200,0
1764774000,13.997,14.127,13.997,14.077,211,200,0
1764777600,14.087,14.182,13.777,13.997,1140,216,0
1764781200,14.000,14.107,13.957,14.057,508,216,0
1764784800,14.062,14.227,13.967,14.170,345,200,0
1764788400,14.180,14.327,14.170,14.277,387,200,0
1764792000,14.277,14.387,14.237,14.267,332,200,0
1764795600,14.270,14.390,14.257,14.380,190,200,0
1764799200,14.387,14.417,14.302,14.347,242,200,0
1764802800,14.347,14.807,14.322,14.797,509,200,0
1764806400,14.772,14.807,14.640,14.747,463,200,0
1764810000,14.760,14.797,14.657,14.677,205,200,0
1764813600,14.690,14.777,14.622,14.707,229,200,0
1764817200,14.697,14.767,14.577,14.597,297,200,0
1764820800,14.607,14.677,14.587,14.640,191,200,0
1764824400,14.627,14.647,14.597,14.615,134,200,0
1764828000,14.615,14.637,14.587,14.627,135,200,0
1764831600,14.627,14.647,14.597,14.637,114,200,0
1764835200,14.637,14.650,14.602,14.602,119,200,0
1764838800,14.602,14.647,14.577,14.612,133,200,0
1764842400,14.607,14.650,14.605,14.620,110,200,0
1764846000,14.617,14.677,14.607,14.637,120,200,0
1764849600,14.637,14.647,14.602,14.627,109,199,0
1764853200,14.617,14.647,14.597,14.637,145,200,0
1764856800,14.637,14.657,14.600,14.627,115,200,0
