time,open,high,low,close,tick_volume,spread,real_volume
946864800,164.50,164.50,156.00,157.25,976,0,0
946951200,155.31,155.88,149.13,151.31,951,0,0
947037600,150.50,153.13,147.25,147.25,852,0,0
947124000,145.50,152.38,145.50,150.25,902,0,0
947210400,150.75,153.50,148.50,152.44,832,0,0
947469600,153.00,156.56,151.88,154.56,781,0,0
947556000,154.38,160.00,153.75,156.00,1089,0,0
947642400,155.94,158.88,153.44,155.19,1014,0,0
947728800,156.50,158.25,154.25,156.00,751,0,0
947815200,157.94,161.13,157.69,159.50,533,0,0
948160800,158.00,158.00,151.50,151.56,657,0,0
948247200,153.50,154.75,148.75,148.94,745,0,0
948333600,150.25,154.63,148.38,151.41,1135,0,0
948420000,153.00,153.75,150.94,151.69,432,0,0
948679200,154.25,158.00,150.63,152.00,1250,0,0
948765600,151.63,158.75,151.63,158.38,750,0,0
948852000,160.00,164.06,159.50,159.75,888,0,0
948938400,161.00,164.25,160.06,162.94,645,0,0
949024800,161.13,162.25,157.75,158.25,613,0,0
949284000,157.00,165.75,156.81,164.75,1014,0,0
949370400,164.56,169.50,163.81,169.00,695,0,0
949456800,168.50,168.50,163.63,164.19,544,0,0
949543200,164.50,165.50,160.63,162.88,813,0,0
949629600,162.88,163.63,160.63,161.44,457,0,0
949888800,161.44,163.88,160.94,162.44,489,0,0
949975200,163.50,165.31,162.75,163.00,463,0,0
950061600,162.88,162.88,155.00,156.56,945,0,0
950148000,156.63,159.50,153.63,154.50,962,0,0
950234400,155.00,158.06,151.94,153.50,1075,0,0
950493600,153.50,157.94,153.50,154.00,839,0,0
950580000,154.25,159.63,153.81,159.13,677,0,0
950666400,156.50,156.75,152.13,153.84,659,0,0
950752800,154.25,155.50,142.88,147.94,1894,0,0
950839200,147.88,147.94,135.38,138.25,1550,0,0
951184800,139.50,140.25,137.63,139.13,488,0,0
951271200,139.00,140.69,136.69,138.13,714,0,0
951357600,137.63,138.56,128.88,130.00,1174,0,0
951444000,131.13,134.00,124.00,124.75,1363,0,0
951703200,126.50,135.50,126.50,132.63,1188,0,0
951789600,136.00,136.19,131.50,134.19,758,0,0
951876000,137.00,137.44,132.19,135.50,901,0,0
951962400,137.00,137.44,132.38,133.56,669,0,0
952048800,137.75,138.38,131.25,133.50,1002,0,0
952308000,133.50,133.75,128.63,129.25,600,0,0
952394400,129.50,130.00,124.12,126.37,864,0,0
952480800,126.62,126.62,121.06,122.75,726,0,0
952567200,123.87,124.37,119.50,122.75,863,0,0
952653600,123.12,129.81,121.81,126.69,1244,0,0
952912800,123.75,131.38,122.37,126.56,1522,0,0
952999200,129.75,132.38,127.87,128.44,772,0,0
953085600,128.75,134.25,127.19,132.88,1000,0,0
953172000,137.00,146.56,136.50,143.75,1338,0,0
953258400,142.50,147.00,141.06,143.63,1076,0,0
953517600,145.00,147.00,140.94,142.00,913,0,0
953604000,142.00,149.00,138.50,145.88,1713,0,0
953690400,146.63,147.75,143.38,147.75,763,0,0
953776800,147.75,156.00,145.25,156.00,1326,0,0
953863200,155.88,157.31,153.81,155.63,676,0,0
954126000,155.50,156.00,149.13,150.50,875,0,0
954212400,149.63,154.88,148.94,152.50,902,0,0
954298800,152.13,154.63,149.25,151.63,1027,0,0
954385200,151.50,152.63,147.88,149.00,701,0,0
954471600,148.50,150.50,146.50,148.94,757,0,0
954730800,149.75,157.19,149.44,155.50,976,0,0
954817200,155.50,157.81,142.69,147.00,2175,0,0
954903600,146.00,147.25,143.31,144.50,639,0,0
954990000,144.00,144.06,140.06,141.00,501,0,0
955076400,141.38,141.38,138.63,139.06,319,0,0
955335600,139.06,145.00,138.19,143.19,950,0,0
955422000,144.38,146.50,141.00,145.19,1020,0,0
955508400,146.25,154.00,146.19,150.75,1113,0,0
955594800,150.75,151.38,145.00,146.00,802,0,0
955681200,143.50,144.00,131.81,134.00,1489,0,0
955940400,133.00,136.38,131.88,134.00,801,0,0
956026800,135.25,140.63,135.00,139.94,658,0,0
956113200,139.50,140.75,137.81,139.50,589,0,0
956199600,139.25,143.88,138.69,143.00,664,0,0
956545200,142.75,151.13,142.00,150.06,1096,0,0
956631600,151.00,158.00,150.94,158.00,713,0,0
956718000,158.00,159.75,154.50,154.63,714,0,0
956804400,152.50,155.19,150.00,155.00,789,0,0
956890800,155.00,156.88,149.50,149.50,927,0,0
957150000,149.63,153.25,146.44,151.38,1188,0,0
957236400,151.38,151.38,147.50,148.06,445,0,0
957322800,147.63,149.75,140.00,142.00,1388,0,0
957409200,143.38,147.25,143.06,144.75,702,0,0
957495600,144.75,146.69,141.50,146.63,851,0,0
957754800,145.00,152.31,144.88,152.06,781,0,0
957841200,152.06,154.13,147.63,148.00,895,0,0
957927600,148.50,150.38,142.63,143.38,1039,0,0
958014000,47.75,49.50,47.50,49.50,226,0,0
958100400,49.13,50.63,49.00,50.25,215,0,0
958359600,50.50,52.38,50.19,52.19,270,0,0
958446000,52.56,52.63,51.06,51.13,172,0,0
958532400,51.00,51.75,50.25,50.94,295,0,0
958618800,50.75,52.31,50.75,51.81,207,0,0
958705200,50.81,51.13,49.75,50.31,227,0,0
958964400,50.25,50.63,48.69,49.63,327,0,0
959050800,49.25,50.88,49.25,50.75,177,0,0
959137200,50.75,52.38,49.38,50.00,526,0,0
959223600,50.00,51.19,48.50,48.88,427,0,0
959310000,49.25,49.94,48.69,49.06,232,0,0
959655600,49.63,50.75,49.63,50.63,125,0,0
959742000,50.69,54.38,50.25,54.00,496,0,0
959828400,53.81,54.88,53.00,53.88,370,0,0
959914800,55.81,57.00,55.50,56.50,232,0,0
960174000,56.25,56.25,54.81,55.63,227,0,0
960260400,55.38,55.38,53.50,54.00,239,0,0
960346800,54.25,56.94,54.19,56.44,332,0,0
960433200,56.19,56.50,55.00,55.00,182,0,0
960519600,55.50,56.31,53.50,53.81,394,0,0
960778800,53.75,54.50,53.50,53.66,192,0,0
960865200,53.75,54.69,52.81,54.50,302,0,0
960951600,54.75,57.19,54.63,56.75,313,0,0
961038000,56.38,56.88,53.94,55.50,501,0,0
961124400,55.50,55.69,51.38,51.50,463,0,0
961383600,52.19,55.06,51.94,53.50,494,0,0
961470000,52.75,54.63,52.75,54.00,252,0,0
961556400,54.06,54.06,52.13,52.63,244,0,0
961642800,52.38,53.50,51.94,53.44,207,0,0
961729200,53.44,54.31,52.75,53.63,294,0,0
961988400,53.63,56.50,53.56,56.19,333,0,0
962074800,56.00,56.31,53.75,54.19,332,0,0
962161200,53.19,54.94,53.19,53.25,345,0,0
962247600,52.81,53.19,52.00,52.50,208,0,0
962334000,51.69,52.23,51.00,52.13,203,0,0
962593200,50.88,52.63,50.88,52.38,201,0,0
962766000,52.75,52.94,51.56,52.13,215,0,0
962852400,51.31,52.06,50.69,51.94,212,0,0
962938800,52.50,53.81,52.06,53.75,226,0,0
963198000,53.63,55.06,52.81,54.88,326,0,0
963284400,54.88,55.44,53.25,54.06,357,0,0
963370800,54.25,55.56,53.69,55.00,300,0,0
963457200,55.63,55.63,54.63,55.06,144,0,0
963543600,55.19,57.13,54.94,56.56,302,0,0
963802800,57.00,57.38,55.00,56.31,408,0,0
963889200,56.00,56.06,54.25,55.19,282,0,0
963975600,55.13,55.69,54.50,55.06,232,0,0
964062000,55.13,57.75,55.13,56.88,350,0,0
964148400,56.75,59.56,56.75,59.25,313,0,0
964407600,59.25,59.75,56.19,57.06,494,0,0
964494000,57.25,57.63,55.63,55.88,264,0,0
964580400,55.19,56.88,55.13,55.63,307,0,0
964666800,56.25,58.44,56.13,58.31,257,0,0
964753200,58.75,58.75,55.06,56.00,464,0,0
965012400,55.88,57.38,55.81,56.69,234,0,0
965098800,57.00,57.50,56.50,56.94,195,0,0
965185200,56.94,57.94,56.19,57.38,307,0,0
965271600,55.88,58.56,55.88,58.00,325,0,0
965358000,58.88,60.19,58.19,59.81,308,0,0
965617200,59.25,59.81,58.19,58.31,231,0,0
965703600,58.88,58.88,57.50,58.75,264,0,0
965790000,58.13,60.13,58.13,59.63,251,0,0
965876400,59.69,60.00,58.50,58.63,195,0,0
965962800,58.75,60.44,58.44,59.75,301,0,0
966222000,60.13,60.44,58.75,60.00,326,0,0
966308400,59.94,59.94,58.69,59.19,176,0,0
966394800,58.75,59.69,57.25,57.31,345,0,0
966481200,57.44,59.00,57.31,58.50,233,0,0
966567600,59.00,59.19,58.25,58.50,139,0,0
966826800,59.00,60.06,58.75,59.13,250,0,0
966913200,59.50,59.63,57.44,57.94,283,0,0
966999600,58.31,58.31,57.00,57.31,163,0,0
967086000,58.00,58.00,55.75,56.50,301,0,0
967172400,56.63,57.19,56.56,56.56,120,0,0
967431600,57.50,59.94,57.00,59.88,351,0,0
967518000,59.13,59.69,58.31,59.25,265,0,0
967604400,58.81,59.69,58.63,58.94,200,0,0
967690800,59.00,60.38,59.00,59.02,275,0,0
967777200,59.50,59.88,58.38,58.44,195,0,0
968122800,58.44,59.94,58.38,59.75,182,0,0
968209200,60.00,61.88,59.50,60.00,477,0,0
968295600,60.00,60.00,58.50,59.31,232,0,0
968382000,59.19,60.69,58.94,60.63,207,0,0
968641200,60.00,61.94,60.00,61.81,208,0,0
968727600,61.94,61.94,60.56,61.38,221,0,0
968814000,61.88,62.25,60.31,61.31,332,0,0
968900400,61.19,61.88,60.50,60.81,239,0,0
968986800,60.56,61.19,58.75,59.31,364,0,0
969246000,58.69,59.00,58.00,58.00,132,0,0
969332400,58.00,59.88,58.00,59.81,196,0,0
969418800,57.56,58.19,56.38,58.00,319,0,0
969505200,56.81,58.44,55.88,58.25,369,0,0
969591600,58.25,59.25,57.88,58.75,225,0,0
969850800,59.00,60.38,58.38,60.00,301,0,0
969937200,60.06,60.69,58.81,59.56,327,0,0
970023600,59.00,59.31,58.38,58.75,162,0,0
970110000,58.75,62.00,58.75,60.94,432,0,0
970196400,61.31,61.94,60.69,60.75,195,0,0
970455600,61.00,63.00,59.88,63.00,425,0,0
970542000,62.44,62.69,61.38,61.50,169,0,0
970628400,61.56,61.81,60.88,60.88,119,0,0
970714800,61.69,62.50,60.75,61.00,282,0,0
970801200,60.56,60.75,57.50,57.94,389,0,0
971060400,58.00,58.00,56.44,56.63,176,0,0
971146800,56.94,56.94,55.00,55.50,245,0,0
971233200,54.88,55.94,54.06,54.38,327,0,0
971319600,56.00,56.88,51.19,51.88,727,0,0
971406000,51.44,54.31,51.44,53.94,325,0,0
971665200,54.50,56.63,54.00,55.75,402,0,0
971751600,55.25,56.00,53.13,53.75,425,0,0
971838000,52.88,55.63,50.63,54.25,864,0,0
971924400,55.25,56.88,55.19,56.06,258,0,0
972010800,55.44,56.88,55.44,56.06,227,0,0
972270000,56.56,56.56,54.00,54.38,295,0,0
972356400,54.81,57.38,54.69,57.13,307,0,0
972442800,57.75,58.75,57.00,57.38,314,0,0
972529200,56.44,56.56,53.06,54.44,501,0,0
972615600,55.88,56.25,54.81,55.81,282,0,0
972871200,56.38,58.88,56.31,58.44,309,0,0
972957600,58.38,60.19,57.38,60.00,401,0,0
973044000,59.88,60.13,57.13,58.38,451,0,0
973130400,58.50,59.06,57.56,57.63,214,0,0
973216800,58.50,60.38,57.75,59.63,414,0,0
973476000,59.88,60.63,59.31,60.63,190,0,0
973562400,60.38,61.44,60.19,60.94,195,0,0
973648800,61.31,61.31,57.88,58.00,356,0,0
973735200,58.19,59.19,57.06,58.25,421,0,0
973821600,57.88,59.38,57.06,57.06,383,0,0
974080800,56.94,58.00,55.56,55.88,383,0,0
974167200,55.88,58.88,55.88,57.31,458,0,0
974253600,57.25,59.50,56.50,57.69,557,0,0
974340000,57.50,58.75,57.00,57.75,326,0,0
974426400,57.19,57.75,55.13,56.06,412,0,0
974685600,56.06,56.06,52.56,52.63,358,0,0
974772000,52.50,53.50,50.06,53.25,614,0,0
