time,open,high,low,close,tick_volume,spread,real_volume
1411095600,92.73,99.68,89.96,93.47,1871,0,0
1411354800,95.80,96.81,88.57,89.11,980,0,0
1411441200,88.60,89.61,86.63,87.67,504,0,0
1411527600,87.82,91.13,87.25,91.13,446,0,0
1411614000,90.97,91.49,88.51,89.12,412,0,0
1411700400,89.37,90.56,88.67,90.45,271,0,0
1411959600,90.52,91.24,88.06,88.59,444,0,0
1412046000,88.70,90.86,88.44,88.68,483,0,0
1412132400,89.13,89.17,86.01,86.20,340,0,0
1412218800,86.40,88.18,85.63,87.13,438,0,0
1412305200,87.18,89.93,86.48,88.29,580,0,0
1412564400,88.59,89.64,88.06,88.22,280,0,0
1412650800,88.18,89.69,87.06,87.75,484,0,0
1412737200,88.29,88.88,87.07,88.28,362,0,0
1412823600,88.38,90.35,87.91,88.86,441,0,0
1412910000,89.07,89.34,85.26,85.94,504,0,0
1413169200,85.27,86.99,84.69,85.18,452,0,0
1413255600,85.41,85.98,83.23,85.43,549,0,0
1413342000,85.60,86.48,83.95,84.91,438,0,0
1413428400,85.33,89.17,85.33,89.09,393,0,0
1413514800,88.54,90.91,87.65,87.97,596,0,0
1413774000,88.36,89.49,87.61,88.43,370,0,0
1413860400,88.44,92.49,88.44,91.15,540,0,0
1413946800,90.93,93.50,90.75,91.91,453,0,0
1414033200,91.62,94.69,91.62,93.92,385,0,0
1414119600,94.23,98.00,93.26,96.09,763,0,0
1414375200,97.55,98.85,95.93,97.77,563,0,0
1414461600,97.80,100.67,97.75,99.23,442,0,0
1414548000,100.20,100.82,96.83,98.36,615,0,0
1414634400,98.60,99.44,97.32,98.89,396,0,0
1414720800,99.45,100.48,98.13,98.92,418,0,0
1414980000,99.07,103.88,98.73,103.63,575,0,0
1415066400,103.65,106.42,99.30,106.09,1181,0,0
1415152800,106.10,110.14,106.10,108.79,540,0,0
1415239200,108.79,112.62,107.24,112.47,709,0,0
1415325600,112.45,114.98,111.78,114.98,388,0,0
1415584800,115.86,119.67,115.20,117.51,730,0,0
1415671200,117.53,119.84,113.70,114.88,964,0,0
1415757600,114.88,119.07,114.03,118.16,681,0,0
1415844000,118.15,120.00,114.57,115.07,779,0,0
1415930400,115.10,116.00,113.36,115.32,507,0,0
1416016800,115.28,115.41,115.20,115.41,30,0,0
1416189600,115.32,115.85,113.16,114.04,411,0,0
1416276000,114.05,114.70,110.42,110.78,530,0,0
1416362400,110.81,110.90,107.22,108.41,497,0,0
1416448800,108.42,112.44,107.29,110.07,866,0,0
1416535200,110.07,113.22,109.87,110.64,614,0,0
1416621600,110.64,110.73,110.51,110.70,39,0,0
1416794400,111.35,114.15,111.14,114.15,323,0,0
1416880800,114.12,115.19,112.33,113.53,514,0,0
1416967200,113.53,114.25,112.34,112.69,299,0,0
1417053600,112.67,112.83,112.67,112.71,29,0,0
1417140000,112.69,113.22,111.13,111.49,299,0,0
1417399200,111.09,111.15,103.89,105.84,928,0,0
1417485600,105.85,110.76,105.68,110.48,554,0,0
1417572000,110.41,111.68,108.82,110.43,571,0,0
1417658400,110.42,110.88,108.93,109.23,272,0,0
1417744800,109.24,110.33,107.76,107.82,373,0,0
1417831200,107.84,107.98,107.82,107.95,22,0,0
1418004000,108.15,108.15,104.22,105.17,489,0,0
1418090400,105.17,107.93,101.20,107.26,1138,0,0
1418176800,107.28,107.80,103.54,103.78,503,0,0
1418263200,103.79,106.83,103.53,105.06,534,0,0
1418349600,105.04,107.39,103.78,105.22,705,0,0
1418436000,105.22,105.33,105.22,105.26,19,0,0
1418608800,105.31,107.73,103.72,104.90,762,0,0
1418695200,104.90,107.68,103.39,106.20,729,0,0
1418781600,108.57,109.38,107.26,109.29,353,0,0
1418868000,109.29,111.20,108.26,109.30,588,0,0
1418954400,109.33,110.24,108.06,110.20,350,0,0
1419040800,110.21,110.25,110.08,110.12,26,0,0
1419213600,110.67,111.00,108.53,108.67,295,0,0
1419300000,108.67,109.23,103.91,105.58,756,0,0
1419386400,105.55,107.21,105.46,105.95,311,0,0
1419559200,106.61,106.89,105.52,106.01,215,0,0
1419645600,106.01,106.04,105.98,106.04,10,0,0
1419818400,106.30,107.64,105.30,106.09,448,0,0
1419904800,106.07,106.67,105.13,105.76,278,0,0
