time,open,high,low,close,tick_volume,spread,real_volume
946864800,50.25,50.25,48.00,48.44,270,0,0
946951200,47.75,47.94,44.94,45.56,382,0,0
947037600,45.06,46.44,44.50,46.06,289,0,0
947124000,46.94,50.00,46.75,50.00,345,0,0
947210400,49.63,49.63,48.00,48.69,233,0,0
947469600,48.94,48.94,46.69,47.00,257,0,0
947556000,45.56,46.94,45.56,46.00,233,0,0
947642400,46.00,47.06,46.00,46.50,163,0,0
947728800,47.00,47.88,46.88,47.56,145,0,0
947815200,49.94,50.56,48.81,50.50,295,0,0
948160800,50.00,50.00,47.81,48.00,239,0,0
948247200,47.88,49.19,46.69,48.00,489,0,0
948333600,47.50,48.00,46.00,47.08,359,0,0
948420000,46.50,46.69,45.56,45.69,146,0,0
948679200,45.75,46.25,44.50,44.56,232,0,0
948765600,44.94,45.69,44.69,45.13,182,0,0
948852000,45.75,47.31,45.38,47.13,249,0,0
948938400,47.56,48.38,47.06,48.13,208,0,0
949024800,47.88,47.88,45.75,45.75,214,0,0
949284000,46.50,48.44,46.31,48.44,233,0,0
949370400,48.13,49.00,48.00,49.00,114,0,0
949456800,47.50,48.50,47.38,47.75,200,0,0
949543200,47.69,48.06,45.44,46.44,400,0,0
949629600,46.94,47.13,45.31,45.88,259,0,0
949888800,45.31,45.50,44.88,45.31,125,0,0
949975200,45.81,47.25,45.69,47.13,181,0,0
950061600,47.13,47.25,46.06,46.06,132,0,0
950148000,46.06,46.50,44.69,44.88,245,0,0
950234400,45.00,46.63,45.00,45.19,308,0,0
950493600,45.69,45.94,44.06,44.25,233,0,0
950580000,44.06,46.00,44.06,45.63,232,0,0
950666400,46.25,46.50,45.13,45.19,169,0,0
950752800,45.44,46.31,44.31,44.63,320,0,0
950839200,44.56,44.69,43.38,43.75,182,0,0
951184800,43.19,45.88,43.00,44.75,421,0,0
951271200,45.00,46.63,44.44,45.75,364,0,0
951357600,45.88,46.25,43.88,44.81,368,0,0
951444000,44.75,45.81,44.13,44.13,275,0,0
951703200,44.75,46.94,44.56,45.94,358,0,0
951789600,45.94,46.44,45.06,46.00,271,0,0
951876000,46.00,46.19,44.81,45.56,233,0,0
951962400,45.56,45.56,44.63,45.06,137,0,0
952048800,45.75,46.13,44.63,45.00,226,0,0
952308000,45.00,45.94,44.00,44.50,339,0,0
952394400,45.00,45.19,43.75,44.00,189,0,0
952480800,44.00,44.63,43.56,43.63,178,0,0
952567200,43.63,44.00,42.81,43.06,182,0,0
952653600,42.94,43.25,42.31,42.88,183,0,0
952912800,42.88,44.06,42.50,43.19,282,0,0
952999200,43.56,43.81,42.50,42.63,170,0,0
953085600,42.88,46.06,42.63,45.88,387,0,0
953172000,47.00,49.50,46.63,49.25,350,0,0
953258400,49.38,50.75,49.00,50.00,289,0,0
953517600,50.00,50.25,48.38,49.63,338,0,0
953604000,49.63,51.75,49.50,51.00,314,0,0
953690400,51.44,51.94,50.06,51.44,377,0,0
953776800,52.25,54.19,51.13,54.19,419,0,0
953863200,53.94,55.19,53.25,54.63,320,0,0
954126000,54.50,55.00,53.19,54.13,326,0,0
954212400,52.63,54.69,52.63,53.56,320,0,0
954298800,53.00,53.13,51.88,52.00,151,0,0
954385200,52.25,52.44,50.44,50.81,257,0,0
954471600,51.00,53.25,50.63,52.44,381,0,0
954730800,52.06,55.56,52.06,55.50,357,0,0
954817200,55.63,56.56,53.31,54.19,507,0,0
954903600,53.94,55.25,53.63,54.00,319,0,0
954990000,54.25,54.56,53.00,53.44,232,0,0
955076400,53.06,53.81,52.00,52.31,288,0,0
955335600,52.31,53.88,52.13,52.81,301,0,0
955422000,52.75,53.38,51.81,52.34,274,0,0
955508400,53.13,56.00,53.13,54.56,432,0,0
955594800,54.63,55.25,52.56,52.81,357,0,0
955681200,51.88,51.88,48.63,49.94,457,0,0
955940400,49.94,51.00,48.13,50.31,538,0,0
956026800,51.00,51.19,49.75,51.00,289,0,0
956113200,50.94,50.94,48.94,49.44,251,0,0
956199600,50.13,50.19,49.44,49.56,94,0,0
956545200,49.56,51.50,49.38,51.50,231,0,0
956631600,51.06,53.69,51.00,53.44,301,0,0
956718000,52.69,52.94,51.19,51.75,257,0,0
956804400,50.50,51.63,50.06,51.25,240,0,0
956890800,51.13,51.38,48.38,49.00,388,0,0
957150000,49.06,50.94,48.31,50.00,433,0,0
957236400,49.31,50.94,49.31,49.63,295,0,0
957322800,49.63,50.81,48.31,49.00,438,0,0
957409200,48.69,48.94,47.69,48.00,182,0,0
957495600,47.25,48.56,47.13,47.56,256,0,0
957754800,47.19,48.81,47.19,48.19,225,0,0
957841200,48.50,49.69,47.63,48.19,382,0,0
957927600,47.94,48.44,46.38,46.50,269,0,0
958014000,47.75,47.94,46.56,47.38,240,0,0
958100400,47.38,48.94,46.31,48.59,406,0,0
958359600,48.63,50.88,48.56,50.63,265,0,0
958446000,50.94,51.63,49.19,49.69,364,0,0
958532400,49.06,49.81,48.56,49.31,226,0,0
958618800,49.38,50.81,49.31,50.31,208,0,0
958705200,49.56,50.19,49.13,49.75,194,0,0
958964400,49.75,50.31,48.75,50.25,263,0,0
959050800,50.44,53.13,50.25,52.56,365,0,0
959137200,53.50,56.13,53.38,55.94,307,0,0
959223600,55.00,56.06,54.50,55.31,282,0,0
959310000,55.00,55.25,53.88,54.63,238,0,0
959655600,54.94,55.19,54.31,54.94,177,0,0
959742000,54.13,55.94,54.13,55.44,232,0,0
959828400,55.50,57.75,55.31,56.81,358,0,0
959914800,59.94,61.00,59.25,61.00,245,0,0
960174000,59.25,59.50,58.00,59.25,301,0,0
960260400,57.38,57.69,56.13,56.75,250,0,0
960346800,56.69,57.94,56.13,57.81,251,0,0
960433200,57.44,57.44,56.63,56.75,94,0,0
960519600,56.94,57.44,55.69,56.00,257,0,0
960778800,56.00,56.75,55.94,56.47,116,0,0
960865200,56.44,56.56,55.56,55.69,126,0,0
960951600,55.69,56.00,54.94,55.31,175,0,0
961038000,55.56,55.56,51.19,51.94,513,0,0
961124400,52.19,52.25,46.50,48.00,732,0,0
961383600,47.63,49.31,47.44,48.38,300,0,0
961470000,49.19,49.63,48.00,48.50,258,0,0
961556400,48.38,48.56,46.25,47.63,388,0,0
961642800,47.06,47.50,46.13,47.00,269,0,0
961729200,48.50,48.56,47.25,47.38,151,0,0
961988400,48.31,48.75,47.19,47.94,276,0,0
962074800,47.13,47.75,46.00,47.00,338,0,0
962161200,47.06,47.13,45.25,45.42,213,0,0
962247600,45.38,46.25,45.13,45.44,219,0,0
962334000,45.19,45.38,42.98,43.00,262,0,0
962593200,43.75,45.25,43.63,45.00,200,0,0
962766000,45.06,46.25,45.06,45.31,214,0,0
962852400,46.06,46.19,44.75,45.81,264,0,0
962938800,46.44,47.69,46.13,47.44,213,0,0
963198000,47.75,48.00,47.31,47.44,108,0,0
963284400,47.44,47.69,46.75,46.94,139,0,0
963370800,47.50,47.88,46.69,47.00,189,0,0
963457200,47.00,47.13,45.81,46.19,184,0,0
963543600,46.44,47.81,46.31,47.50,195,0,0
963802800,47.63,48.56,46.75,46.88,288,0,0
963889200,47.25,47.31,45.94,46.25,175,0,0
963975600,46.56,46.56,45.75,46.19,126,0,0
964062000,46.13,48.50,46.13,48.38,250,0,0
964148400,48.38,49.13,47.44,48.75,302,0,0
964407600,47.13,48.31,46.69,47.44,294,0,0
964494000,48.00,48.44,47.69,48.25,126,0,0
964580400,48.00,48.06,46.63,47.06,193,0,0
964666800,47.06,47.69,46.00,46.75,308,0,0
964753200,47.13,47.19,45.81,46.50,214,0,0
965012400,46.44,47.44,46.06,47.38,183,0,0
965098800,47.69,48.13,47.00,47.69,227,0,0
965185200,47.69,48.50,47.13,47.19,225,0,0
965271600,46.81,49.31,46.69,49.06,300,0,0
965358000,50.50,52.69,50.06,52.50,327,0,0
965617200,52.56,52.81,51.56,52.38,233,0,0
965703600,52.06,52.50,51.63,51.94,163,0,0
965790000,51.94,53.75,50.75,53.06,489,0,0
965876400,53.19,54.56,52.75,53.44,338,0,0
965962800,53.38,54.31,53.00,54.06,195,0,0
966222000,53.50,55.00,53.00,55.00,251,0,0
966308400,54.81,54.88,54.19,54.31,89,0,0
966394800,54.38,54.69,53.00,53.50,251,0,0
966481200,53.56,54.19,53.38,53.56,163,0,0
966567600,53.31,54.00,53.31,53.75,95,0,0
966826800,53.75,54.56,53.25,53.88,250,0,0
966913200,53.88,54.94,53.50,54.44,233,0,0
966999600,54.44,54.88,53.38,54.06,263,0,0
967086000,53.75,53.94,52.25,52.50,214,0,0
967172400,52.50,53.13,51.56,51.75,240,0,0
967431600,51.69,52.88,51.38,51.69,301,0,0
967518000,51.88,51.88,50.19,50.88,239,0,0
967604400,50.38,51.88,50.25,50.88,277,0,0
967690800,51.00,53.75,50.88,53.58,317,0,0
967777200,53.56,53.75,52.25,52.50,195,0,0
