time,open,high,low,close,tick_volume,spread,real_volume
1336014000,32.308,32.338,32.283,32.338,81,0,0
1336100400,32.293,32.483,31.793,31.893,981,0,0
1336446000,31.705,32.010,31.052,31.142,1354,0,0
1336532400,31.198,31.371,30.745,31.160,1215,0,0
1336618800,31.295,31.363,30.622,30.912,1100,0,0
1336705200,30.933,31.356,30.775,31.338,758,0,0
1336964400,31.385,31.385,30.802,31.040,822,0,0
1337050800,31.323,31.323,30.850,31.153,777,0,0
1337137200,30.985,31.205,30.597,30.625,857,0,0
1337223600,30.628,30.811,30.460,30.716,615,0,0
1337310000,30.493,30.718,29.970,30.108,1112,0,0
1337569200,30.140,30.433,30.122,30.303,460,0,0
1337655600,30.383,30.596,30.068,30.438,1002,0,0
1337742000,30.265,30.398,29.902,29.995,723,0,0
1337828400,29.985,30.533,29.862,30.503,825,0,0
1337914800,30.480,30.565,30.185,30.465,746,0,0
1338174000,30.735,30.885,30.322,30.445,837,0,0
1338260400,30.538,30.816,30.233,30.338,967,0,0
1338346800,30.333,30.336,29.885,29.948,518,0,0
1339038000,31.018,31.086,30.780,30.843,438,0,0
1339124400,30.873,31.201,30.873,31.138,392,0,0
1339383600,31.538,31.673,30.925,31.023,982,0,0
1339470000,31.148,31.838,31.143,31.553,986,0,0
1339556400,31.878,31.883,31.480,31.735,664,0,0
1339642800,31.725,31.835,31.355,31.422,658,0,0
1339729200,31.305,31.443,31.002,31.250,828,0,0
1339988400,31.408,31.456,31.018,31.393,862,0,0
1340074800,31.473,32.096,31.225,31.986,1230,0,0
1340161200,31.948,32.266,31.638,32.266,939,0,0
1340247600,32.210,32.468,31.877,32.343,1050,0,0
1340334000,32.048,32.188,31.770,32.058,827,0,0
1340593200,31.928,32.138,31.813,31.833,556,0,0
1340679600,31.813,31.963,31.645,31.810,634,0,0
1340766000,31.970,32.380,31.892,32.295,652,0,0
1340852400,32.448,32.448,31.765,32.033,952,0,0
1340938800,32.485,32.880,32.225,32.460,1286,0,0
1341198000,32.488,32.973,32.438,32.971,588,0,0
1341284400,32.983,33.478,32.983,33.461,513,0,0
1341370800,33.438,33.716,33.375,33.556,565,0,0
1341457200,33.635,33.743,33.360,33.565,697,0,0
1341543600,33.463,33.646,33.263,33.556,674,0,0
1341802800,33.580,33.710,33.435,33.505,476,0,0
1341889200,33.600,34.015,33.432,33.883,884,0,0
1341975600,33.708,33.978,33.355,33.520,1059,0,0
1342062000,33.765,33.773,33.155,33.485,957,0,0
1342148400,33.518,33.828,33.435,33.773,532,0,0
1342407600,33.855,34.153,33.682,33.777,865,0,0
1342494000,33.863,34.093,33.510,33.570,874,0,0
1342580400,33.860,34.058,33.472,33.973,1060,0,0
1342666800,34.110,34.455,33.940,34.185,956,0,0
1342753200,34.070,34.203,33.752,33.775,608,0,0
1343012400,33.540,33.605,32.945,33.072,853,0,0
1343098800,33.218,33.301,32.868,33.148,797,0,0
1343185200,32.843,33.158,32.360,32.775,1529,0,0
1343271600,32.945,33.648,32.800,33.390,1252,0,0
1343358000,33.473,33.633,33.190,33.405,819,0,0
1343617200,33.345,34.025,33.172,33.975,1077,0,0
1343703600,33.948,34.361,33.810,34.141,910,0,0
1343790000,0.340,0.344,0.339,0.344,7,0,0
1343876400,0.347,0.350,0.343,0.347,15,0,0
1343962800,0.349,0.350,0.345,0.348,10,0,0
1344222000,0.351,0.352,0.346,0.347,9,0,0
1344308400,0.348,0.350,0.345,0.346,9,0,0
1344394800,34.575,34.800,34.350,34.450,776,0,0
1344481200,34.623,34.811,34.418,34.628,782,0,0
1344567600,34.608,34.898,34.368,34.753,916,0,0
1344826800,34.925,34.950,34.247,34.430,912,0,0
1344913200,34.725,34.760,34.360,34.455,531,0,0
1344999600,33.600,33.935,33.585,33.843,458,0,0
1345086000,33.800,34.115,33.235,33.455,1416,0,0
1345172400,33.730,33.748,33.077,33.220,833,0,0
1345431600,33.285,33.528,33.112,33.288,830,0,0
1345518000,33.215,33.650,33.197,33.550,572,0,0
1345604400,33.393,33.508,32.693,32.700,938,0,0
1345690800,32.988,33.201,32.620,33.166,985,0,0
1345777200,33.315,33.320,32.767,32.942,734,0,0
1346122800,32.975,33.285,32.775,33.063,933,0,0
1346209200,32.938,33.231,32.865,32.908,703,0,0
1346295600,32.853,33.413,32.745,33.313,877,0,0
1346382000,33.118,33.481,32.993,33.023,882,0,0
1346641200,32.905,33.375,32.892,33.283,589,0,0
1346727600,32.905,33.233,32.542,32.717,1195,0,0
1346814000,32.795,32.835,32.005,32.100,966,0,0
1346900400,31.950,32.528,31.872,32.413,850,0,0
1346986800,32.148,32.378,31.463,31.673,1356,0,0
1347246000,31.643,31.818,30.875,31.268,1512,0,0
1347332400,31.260,31.888,31.257,31.828,695,0,0
1347418800,31.798,31.813,31.158,31.293,806,0,0
1347505200,31.185,31.833,31.122,31.828,780,0,0
1347591600,32.128,32.183,31.420,31.648,1047,0,0
1347850800,31.475,31.730,31.422,31.548,544,0,0
1347937200,31.513,32.548,31.408,32.503,1291,0,0
1348023600,32.350,32.560,32.165,32.548,593,0,0
1348110000,32.365,32.598,32.150,32.380,882,0,0
1348196400,32.505,32.573,31.965,32.285,997,0,0
1348455600,32.178,32.221,31.880,32.070,575,0,0
1348542000,32.048,32.211,31.898,32.103,572,0,0
1348628400,31.970,32.238,31.832,32.098,685,0,0
1348714800,32.173,32.201,31.913,32.110,514,0,0
1348801200,32.133,32.221,31.703,31.708,612,0,0
1349060400,31.808,32.388,31.545,32.138,1357,0,0
1349146800,32.093,32.576,31.950,32.436,910,0,0
1349233200,32.310,32.805,32.247,32.698,729,0,0
1349319600,32.593,33.093,32.455,32.976,894,0,0
1349406000,33.043,33.273,32.818,33.061,893,0,0
1349665200,32.918,32.983,32.490,32.885,954,0,0
1349751600,32.853,32.891,31.983,32.140,1104,0,0
1349838000,32.173,32.318,31.980,32.033,537,0,0
1349924400,31.995,32.223,31.882,32.138,540,0,0
1350010800,32.165,32.395,31.957,32.142,854,0,0
1350270000,32.165,32.535,32.090,32.288,768,0,0
1350356400,32.545,32.545,32.205,32.427,563,0,0
1350442800,32.403,32.458,32.108,32.315,613,0,0
1350529200,32.370,32.370,31.840,32.105,796,0,0
1350615600,31.995,32.163,31.737,31.890,748,0,0
1350874800,32.113,32.276,32.088,32.158,332,0,0
1350961200,32.248,32.248,31.560,31.620,749,0,0
1351047600,31.580,31.688,31.202,31.577,970,0,0
1351134000,31.658,31.681,31.268,31.515,684,0,0
1351220400,31.300,31.413,30.982,31.393,770,0,0
1351476000,31.205,31.453,31.175,31.240,522,0,0
1351562400,31.325,31.370,31.050,31.062,378,0,0
1351648800,31.238,31.253,30.718,30.725,558,0,0
1351735200,30.795,30.830,30.630,30.712,318,0,0
1351821600,30.725,31.083,30.642,30.905,703,0,0
1352080800,30.928,31.458,30.760,31.261,1064,0,0
1352167200,31.263,31.643,31.110,31.486,844,0,0
1352253600,31.543,31.833,31.338,31.370,818,0,0
1352340000,31.520,32.033,31.355,31.778,1099,0,0
1352426400,31.933,32.111,31.795,32.063,503,0,0
1352685600,31.968,32.348,31.968,32.146,583,0,0
1352772000,32.048,32.298,31.878,32.181,708,0,0
1352858400,32.385,32.390,31.750,31.807,703,0,0
1352944800,31.740,31.740,31.192,31.320,677,0,0
1353031200,31.355,31.580,31.210,31.347,733,0,0
1353290400,31.540,32.145,31.410,32.145,866,0,0
1353376800,31.993,32.143,31.803,31.978,666,0,0
1353463200,31.905,32.185,31.810,32.105,551,0,0
1353549600,32.090,32.273,32.030,32.183,394,0,0
1353636000,32.295,32.428,32.157,32.275,523,0,0
1353895200,32.183,32.636,32.178,32.473,627,0,0
1353981600,32.745,32.885,32.552,32.813,599,0,0
1354068000,32.783,32.898,32.455,32.801,869,0,0
1354154400,32.833,32.976,32.675,32.808,578,0,0
1354500000,32.738,32.921,32.618,32.858,487,0,0
1354586400,32.995,33.300,32.847,33.220,682,0,0
1354672800,33.273,33.273,32.595,32.738,822,0,0
1354759200,32.925,32.925,32.507,32.517,429,0,0
1354845600,32.555,32.955,32.535,32.645,751,0,0
1355104800,32.628,32.866,32.560,32.683,558,0,0
1355191200,32.673,32.796,32.365,32.430,620,0,0
1355277600,32.523,32.666,32.405,32.495,495,0,0
1355364000,32.530,32.698,32.325,32.357,574,0,0
1355709600,32.490,32.613,31.925,31.932,819,0,0
1355796000,32.278,32.328,31.818,31.848,591,0,0
1355882400,31.898,32.063,30.983,31.003,1266,0,0
1355968800,31.118,31.418,31.063,31.153,676,0,0
1356055200,31.033,31.441,30.990,31.371,565,0,0
1356314400,31.290,31.340,30.875,30.987,628,0,0
1356573600,30.975,31.475,30.892,31.243,899,0,0
1356919200,31.125,31.413,31.027,31.143,755,0,0
1357092000,31.323,31.323,30.893,30.955,493,0,0
1357178400,31.080,31.325,30.920,31.238,653,0,0
1357264800,31.335,32.005,31.225,31.683,1213,0,0
