time,open,high,low,close,tick_volume,spread,real_volume
1336014000,4.8665,4.8925,4.8590,4.8685,651,0,0
1336100400,4.8220,5.1355,4.8095,5.0540,4201,0,0
1336359600,4.9115,5.3195,4.8830,5.3130,4716,0,0
1336446000,5.2930,5.4220,5.2090,5.2470,3801,0,0
1336532400,5.2715,5.2810,4.9025,5.0295,5151,0,0
1336618800,5.1200,5.3820,4.9950,5.3080,5861,0,0
1336705200,5.2320,5.3205,4.9840,5.2575,6476,0,0
1336964400,5.1225,5.1450,4.9770,5.0630,2766,0,0
1337050800,5.1070,5.1595,4.8565,4.8825,3816,0,0
1337137200,4.8650,5.0875,4.8020,4.8945,5416,0,0
1337223600,4.9705,4.9705,4.6470,4.7660,4426,0,0
1337310000,4.7380,5.0085,4.7050,4.9385,4066,0,0
1337569200,4.9125,4.9455,4.7925,4.9035,2971,0,0
1337655600,4.9320,5.0565,4.8750,5.0015,2936,0,0
1337742000,4.9090,4.9705,4.7855,4.8100,2711,0,0
1337828400,4.8375,4.9835,4.7380,4.9340,3946,0,0
1337914800,4.9420,5.0110,4.8385,4.9350,3381,0,0
1338174000,4.9165,4.9255,4.7345,4.7550,2206,0,0
1338260400,4.7785,4.7880,4.5870,4.6455,2691,0,0
1338346800,4.5375,4.7950,4.5110,4.6380,4676,0,0
1339038000,5.1760,5.2010,5.0345,5.1155,2726,0,0
1339124400,4.9590,5.1950,4.9345,5.1170,3631,0,0
1339383600,5.5665,5.5815,5.1790,5.2270,4656,0,0
1339470000,5.1120,5.2500,5.0560,5.1375,3626,0,0
1339556400,5.1500,5.2420,5.0540,5.1930,3331,0,0
1339642800,5.1790,5.2585,5.1300,5.2360,2001,0,0
1339729200,5.3020,5.3745,5.1530,5.1835,3246,0,0
1339988400,5.3765,5.3795,5.0080,5.0320,3986,0,0
1340074800,5.0310,5.1910,4.9310,5.1500,4011,0,0
1340161200,5.1870,5.3625,5.1525,5.3115,2956,0,0
1340247600,5.2755,5.4670,5.2150,5.2980,4816,0,0
1340334000,5.2680,5.5175,5.2500,5.3470,4561,0,0
1340593200,5.3415,5.3415,5.0590,5.0650,2886,0,0
1340679600,5.0765,5.1725,4.9630,4.9700,3126,0,0
1340766000,5.0055,5.0935,4.9450,5.0735,2291,0,0
1340852400,5.1130,5.1470,5.0020,5.1005,2776,0,0
1340938800,5.5140,5.5885,5.3665,5.5785,3796,0,0
1341198000,5.5680,5.7315,5.5610,5.6055,3036,0,0
1341284400,5.6340,5.7525,5.6030,5.7275,2056,0,0
1341370800,5.7560,5.7900,5.6520,5.7300,2501,0,0
1341457200,5.7215,5.7445,5.4150,5.4670,4046,0,0
1341543600,5.2435,5.2705,5.1360,5.1770,2026,0,0
1341802800,5.1635,5.2335,4.9645,5.1285,5031,0,0
1341889200,5.0975,5.1775,5.0000,5.0610,3186,0,0
1341975600,5.0425,5.1830,5.0320,5.1495,1951,0,0
1342062000,5.1190,5.1575,4.9825,5.0015,2326,0,0
1342148400,5.0650,5.1020,4.9740,5.0800,2411,0,0
1342407600,5.0185,5.0725,4.8910,4.9300,2746,0,0
1342494000,4.9435,5.0440,4.9125,4.9225,2421,0,0
1342580400,4.9600,4.9950,4.8740,4.9440,2261,0,0
1342666800,5.0125,5.0420,4.9285,5.0020,2166,0,0
1342753200,4.9750,5.0160,4.5980,4.6030,4641,0,0
1343012400,4.5050,4.7155,4.3045,4.6460,6811,0,0
1343098800,4.5085,4.5450,4.4000,4.4110,1926,0,0
1343185200,4.4900,4.5055,4.4095,4.4135,1156,0,0
1343271600,4.5080,4.8650,4.4725,4.8430,4501,0,0
1343358000,4.9425,5.0135,4.7570,4.8420,4126,0,0
