time,open,high,low,close,tick_volume,spread,real_volume
1439521200,25.33,25.33,25.33,25.33,1,0,0
1439780400,25.53,25.64,25.13,25.26,76,0,0
1439866800,25.12,25.47,25.01,25.06,87,0,0
1439953200,25.06,25.45,24.56,24.56,129,0,0
1440039600,24.56,24.64,24.30,24.40,53,0,0
1440126000,24.37,24.69,23.93,24.10,126,0,0
1440298800,23.54,23.56,23.54,23.55,4,0,0
1440385200,23.56,23.69,22.42,22.42,141,0,0
1440471600,22.43,23.40,22.42,23.26,114,0,0
1440558000,23.00,23.99,22.98,23.92,111,0,0
1440644400,24.19,24.42,24.11,24.12,56,0,0
1440730800,25.36,25.54,25.18,25.44,65,0,0
1440903600,25.33,25.38,25.33,25.35,9,0,0
1440990000,25.34,25.78,24.83,25.78,147,0,0
1441076400,25.78,25.89,24.35,24.37,168,0,0
1441162800,24.37,24.63,23.98,24.53,115,0,0
1441249200,25.14,25.16,24.36,24.87,134,0,0
1441335600,24.88,25.05,24.49,24.69,94,0,0
1441594800,24.57,24.57,23.93,24.52,124,0,0
1441681200,24.52,24.68,24.26,24.29,62,0,0
1441767600,24.31,24.65,24.22,24.63,55,0,0
1441854000,24.30,24.39,23.79,24.04,95,0,0
1441940400,24.00,24.10,23.63,23.68,63,0,0
1442199600,24.11,24.15,23.52,23.76,92,0,0
1493262000,23.87,24.20,23.79,23.86,82,0,0
1493348400,23.39,23.80,23.33,23.72,62,0,0
1493521200,23.71,23.72,23.71,23.72,2,0,0
1493607600,23.70,23.95,23.62,23.88,49,0,0
1493694000,23.79,23.97,23.52,23.52,64,0,0
1493780400,23.52,23.53,23.13,23.22,51,0,0
1493866800,23.02,23.30,22.93,23.24,53,0,0
1493953200,22.84,22.84,22.51,22.63,46,0,0
1494126000,22.61,23.18,22.61,23.17,59,0,0
1494212400,23.17,23.37,22.90,22.97,75,0,0
1494298800,23.07,23.40,22.89,23.40,70,0,0
1494385200,23.41,23.82,23.25,23.78,78,0,0
1494471600,23.77,23.95,23.48,23.79,93,0,0
1494558000,23.78,23.90,23.67,23.75,44,0,0
1494817200,23.66,24.04,23.51,24.03,70,0,0
1494903600,24.03,24.15,23.86,24.15,47,0,0
1494990000,24.09,24.09,23.83,23.83,27,0,0
1495162800,24.10,24.41,24.07,24.28,51,0,0
1495335600,24.26,24.26,24.24,24.24,3,0,0
1495422000,24.57,24.80,24.55,24.59,49,0,0
1495508400,24.58,24.69,24.23,24.30,65,0,0
1495681200,24.24,24.50,24.15,24.21,68,0,0
1495767600,24.22,24.29,23.76,24.01,86,0,0
1495940400,23.98,23.98,23.98,23.98,1,0,0
1496026800,23.99,24.08,23.78,23.85,47,0,0
1496113200,23.86,24.14,23.81,24.00,53,0,0
1496199600,24.00,24.10,23.57,23.57,64,0,0
1496286000,23.57,23.73,23.47,23.73,37,0,0
1496372400,23.81,24.13,23.80,24.07,41,0,0
1496545200,23.73,23.73,23.70,23.71,5,0,0
1496631600,23.65,23.77,23.53,23.64,48,0,0
1496804400,23.39,23.48,23.13,23.18,50,0,0
1496890800,23.09,23.38,22.97,23.38,54,0,0
1496977200,23.37,23.75,23.25,23.54,84,0,0
1497236400,23.67,23.67,23.67,23.67,1,0,0
1497322800,23.38,23.69,23.27,23.59,64,0,0
1497409200,23.58,24.00,23.55,23.68,81,0,0
1497495600,23.00,23.20,22.81,22.82,61,0,0
1497582000,22.83,23.17,22.77,23.00,64,0,0
1497754800,23.03,23.03,23.03,23.03,1,0,0
1497841200,22.79,23.12,22.79,23.09,37,0,0
1497927600,23.10,23.21,22.97,23.03,42,0,0
1498014000,22.40,22.41,22.07,22.10,39,0,0
1498100400,22.19,22.19,22.19,22.19,1,0,0
1498359600,22.41,22.41,22.41,22.41,1,0,0
1498446000,22.49,22.57,22.41,22.45,29,0,0
1498532400,22.42,22.52,22.16,22.47,68,0,0
1498618800,23.19,23.19,23.19,23.19,1,0,0
1498964400,23.31,23.31,23.14,23.14,18,0,0
1499050800,23.22,23.22,23.22,23.22,1,0,0
1499137200,23.75,23.75,23.75,23.75,1,0,0
1499223600,24.00,24.30,23.90,24.08,73,0,0
1499310000,24.07,24.41,24.07,24.17,59,0,0
1499655600,24.48,24.75,24.48,24.75,28,0,0
1499742000,24.99,24.99,24.99,24.99,1,0,0
1499828400,24.98,25.00,24.83,24.89,26,0,0
1499914800,25.01,25.07,24.85,24.90,34,0,0
1500001200,25.05,25.21,25.01,25.13,33,0,0
1500174000,25.09,25.09,25.09,25.09,1,0,0
1500260400,25.17,25.43,25.16,25.43,29,0,0
1500346800,25.43,25.53,25.01,25.09,71,0,0
1500433200,24.93,24.93,24.93,24.93,1,0,0
1500519600,24.92,25.11,24.60,24.61,72,0,0
1500606000,24.60,24.61,24.39,24.49,34,0,0
