time,open,high,low,close,tick_volume,spread,real_volume
1764172800,47.27,47.49,47.00,47.03,656,32,0
1764176400,47.03,47.29,46.94,47.09,1009,32,0
1764180000,47.09,47.61,47.09,47.56,785,32,0
1764183600,47.57,48.74,47.49,48.66,1017,32,0
1764187200,48.66,48.98,48.56,48.83,975,32,0
1764190800,48.83,48.86,48.61,48.73,752,32,0
1764194400,48.73,48.83,48.48,48.69,761,32,0
1764345600,50.41,50.45,49.76,50.01,687,32,0
1764349200,50.01,50.30,49.86,50.06,916,32,0
1764352800,50.06,50.07,49.25,49.27,996,32,0
1764356400,49.27,49.44,48.90,49.12,1013,32,0
1764604800,46.72,46.96,46.50,46.62,700,32,0
1764608400,46.62,46.65,45.39,45.86,1338,32,0
1764612000,45.86,46.27,45.50,45.79,1176,32,0
1764615600,45.79,46.17,45.72,46.01,962,32,0
1764619200,46.00,46.33,45.87,46.14,949,32,0
1764622800,46.14,46.20,45.81,46.05,960,32,0
1764626400,46.05,46.49,46.04,46.31,1020,32,0
1764691200,48.04,48.38,47.89,48.37,726,32,0
1764694800,48.37,49.40,48.37,49.23,1517,32,0
1764698400,49.25,49.44,48.88,49.18,1240,32,0
1764702000,49.18,49.86,49.17,49.57,1052,32,0
1764705600,49.57,49.97,49.54,49.83,954,32,0
1764709200,49.83,50.02,49.78,49.80,757,32,0
1764712800,49.81,49.83,49.19,49.34,887,32,0
1764777600,50.16,50.75,49.93,50.03,916,32,0
1764781200,50.06,50.40,49.81,50.06,1357,32,0
1764784800,50.05,50.26,49.73,49.98,1127,32,0
1764788400,49.98,50.43,49.96,50.37,952,32,0
1764792000,50.37,50.69,50.06,50.19,870,32,0
1764795600,50.16,50.45,50.14,50.41,769,32,0
1764799200,50.41,50.59,50.29,50.36,800,32,0
1764864000,50.27,50.27,49.73,49.79,716,32,0
1764867600,49.78,50.53,49.78,50.39,1215,32,0
1764871200,50.38,50.50,49.99,50.10,1049,32,0
1764874800,50.09,50.16,49.72,50.09,946,32,0
1764878400,50.09,50.17,49.82,49.94,862,32,0
1764882000,49.94,49.96,49.25,49.84,1180,32,0
1764885600,49.84,50.15,49.69,50.13,1028,32,0
1764950400,49.01,49.17,48.74,48.94,727,32,0
1764954000,48.93,49.56,48.92,49.02,1323,32,0
1764957600,49.02,49.04,47.76,48.13,1506,32,0
1764961200,48.13,48.52,48.04,48.43,1099,32,0
1764964800,48.42,48.69,48.19,48.20,993,32,0
1764968400,48.20,48.69,48.14,48.59,957,32,0
1764972000,48.59,48.65,48.34,48.40,702,32,0
1765209600,49.48,49.70,49.18,49.21,769,32,0
