time,open,high,low,close,tick_volume,spread,real_volume
1519696800,75.77,81.70,73.59,81.22,26913,0,0
1519783200,81.23,83.47,81.03,81.68,11071,0,0
1519869600,82.00,82.20,79.91,81.01,8958,0,0
1519956000,81.24,81.49,79.82,81.22,8299,0,0
1520215200,81.86,83.07,80.58,82.74,10199,0,0
1520301600,82.25,83.82,82.23,82.74,6726,0,0
1520388000,83.74,85.10,82.46,84.82,10528,0,0
1520474400,85.20,86.75,85.00,86.04,6675,0,0
1520560800,86.56,87.19,86.20,86.70,4607,0,0
1520647200,86.69,86.70,86.69,86.70,36,0,0
1520820000,87.00,88.72,86.48,88.30,7966,0,0
1520906400,89.12,89.19,85.70,86.30,10414,0,0
1520992800,86.96,88.08,86.48,87.76,6007,0,0
1521079200,88.02,88.44,86.82,88.27,7487,0,0
1521165600,87.10,88.24,86.26,87.04,9778,0,0
1521424800,86.70,86.88,84.97,86.07,7963,0,0
1521511200,86.23,86.64,84.62,85.81,9074,0,0
1521597600,85.87,86.64,84.85,86.04,8522,0,0
1521684000,86.12,86.18,83.65,83.66,6505,0,0
1521770400,83.90,85.48,82.23,82.99,13948,0,0
1522033200,84.41,85.73,83.16,85.57,9924,0,0
1522119600,85.82,85.82,82.32,82.86,10093,0,0
1522206000,82.23,83.25,80.93,82.31,11427,0,0
1522292400,81.79,83.75,81.67,83.40,6345,0,0
1522638000,82.71,83.10,80.42,81.19,9591,0,0
1522724400,81.27,83.17,81.27,82.72,5900,0,0
1522810800,80.92,83.28,80.56,83.02,8332,0,0
1522897200,83.82,84.11,82.35,82.45,5381,0,0
1522983600,82.80,83.85,80.93,80.99,10077,0,0
1523242800,82.74,83.51,81.23,82.40,10541,0,0
1523329200,83.38,83.49,82.31,83.35,5837,0,0
1523415600,83.22,84.15,82.76,83.82,5452,0,0
1523502000,83.28,84.09,83.02,83.10,4893,0,0
1523588400,83.32,84.43,83.02,83.39,6932,0,0
1523847600,83.62,84.70,83.31,84.06,5855,0,0
1523934000,84.43,87.73,84.29,86.28,12589,0,0
1524020400,87.78,88.12,86.26,88.12,8416,0,0
1524106800,87.11,87.54,85.76,85.98,6105,0,0
1524193200,86.37,87.46,84.47,84.52,10280,0,0
1524452400,86.32,86.32,84.48,84.70,5150,0,0
1524538800,86.74,86.74,82.18,82.67,12636,0,0
1524625200,82.40,83.92,81.36,83.92,8979,0,0
1524711600,83.98,85.88,83.30,85.56,8973,0,0
1524798000,86.68,86.82,84.94,85.71,7000,0,0
1525057200,85.52,87.71,85.34,86.48,9480,0,0
1525143600,86.89,87.79,86.43,86.65,6185,0,0
1525230000,87.20,87.45,85.88,85.88,4573,0,0
1525316400,86.44,86.53,84.60,86.34,9431,0,0
1525402800,85.25,87.21,84.75,87.05,7781,0,0
1525662000,87.52,88.05,86.91,87.94,4648,0,0
1525748400,88.30,88.42,85.74,86.94,10001,0,0
1525834800,88.08,88.70,80.34,81.40,25065,0,0
1525921200,82.20,83.89,81.37,83.18,10118,0,0
1526007600,83.46,84.10,82.42,82.42,5819,0,0
1526266800,83.16,83.16,82.18,82.60,3479,0,0
1526353200,82.28,82.95,81.47,82.00,6713,0,0
1526439600,82.40,83.70,82.27,82.59,6665,0,0
1526526000,83.42,83.93,82.58,83.16,6049,0,0
1526612400,84.08,84.08,81.59,82.71,9002,0,0
1526871600,82.87,83.13,82.41,82.94,3456,0,0
1526958000,82.80,83.24,82.61,82.84,3095,0,0
1527044400,82.61,83.45,82.10,83.36,4925,0,0
1527130800,83.12,83.80,83.00,83.75,2461,0,0
1527217200,83.31,84.80,83.31,84.43,4633,0,0
1527562800,84.21,84.28,82.16,83.03,7661,0,0
1527649200,82.79,84.62,82.70,83.76,7176,0,0
1527735600,84.68,84.97,83.74,84.10,4687,0,0
1527822000,84.88,85.42,84.63,85.11,3362,0,0
1528081200,85.58,85.95,85.00,85.05,3452,0,0
1528167600,85.46,85.92,85.12,85.82,3067,0,0
1528254000,85.41,86.44,85.14,86.11,4778,0,0
1528340400,86.10,86.33,84.89,85.36,5330,0,0
1528426800,85.20,85.76,84.82,85.74,3369,0,0
1528686000,85.81,85.83,84.84,85.03,3031,0,0
1528772400,85.87,85.87,84.92,85.49,3814,0,0
1528858800,85.44,85.76,84.12,84.37,5526,0,0
1528945200,84.44,85.15,84.02,84.98,4291,0,0
1529031600,85.00,85.73,84.42,85.53,5202,0,0
1529290800,84.90,86.14,84.76,85.54,5283,0,0
1529377200,85.44,86.05,84.69,85.35,6564,0,0
1529463600,85.96,86.61,85.49,85.96,5609,0,0
1529550000,86.03,86.40,84.71,84.73,5188,0,0
1529636400,84.40,85.27,83.76,84.13,6852,0,0
1529895600,83.86,84.31,81.00,81.21,9877,0,0
1529982000,81.59,82.52,80.86,80.86,6452,0,0
1530068400,81.28,82.52,78.70,79.90,15590,0,0
1530154800,79.55,81.39,79.25,81.09,6864,0,0
1530241200,81.20,82.26,79.99,82.26,8687,0,0
1530500400,80.58,82.41,79.74,82.02,9761,0,0
1530586800,82.26,82.92,81.60,81.60,4970,0,0
1530759600,82.30,83.12,81.99,82.81,4358,0,0
1530846000,82.22,83.94,82.20,83.56,5344,0,0
1531105200,84.09,84.09,82.97,82.98,2824,0,0
1531191600,83.00,83.51,81.97,81.97,5128,0,0
1531278000,82.40,82.60,81.10,82.27,7154,0,0
1531364400,82.58,82.81,81.66,82.42,5368,0,0
1531450800,82.51,82.51,80.62,81.36,6616,0,0
1531710000,80.98,81.37,79.72,79.72,5112,0,0
1531796400,80.01,81.87,79.92,81.03,7247,0,0
1531882800,80.59,81.39,80.37,80.96,4220,0,0
1531969200,80.82,81.01,79.75,80.56,5670,0,0
1532055600,80.19,81.11,79.92,80.19,5975,0,0
1532314800,80.30,80.56,79.05,80.14,7133,0,0
1532401200,80.40,81.98,80.01,81.96,5945,0,0
1532487600,80.81,83.26,80.80,81.94,9501,0,0
1532574000,82.08,85.37,81.86,84.74,10951,0,0
1532660400,84.88,85.34,82.42,82.84,9491,0,0
1532919600,84.20,84.20,81.05,81.30,8475,0,0
1533006000,82.60,82.60,80.32,81.12,7679,0,0
1533092400,81.58,81.97,80.44,80.68,5398,0,0
1533178800,79.96,81.51,79.81,81.39,4905,0,0
1533265200,82.60,82.60,80.85,81.11,5004,0,0
1533524400,80.56,84.13,80.56,83.21,11187,0,0
1533610800,82.72,84.36,82.72,83.37,6599,0,0
1533697200,83.96,83.96,79.30,80.62,14951,0,0
1533783600,82.81,82.81,74.09,77.50,30279,0,0
1533870000,76.54,76.72,75.40,75.81,4765,0,0
1534129200,76.34,76.56,74.07,74.23,7153,0,0
1534215600,74.59,74.83,72.86,73.30,6601,0,0
1534302000,73.09,74.87,72.58,74.42,8101,0,0
1534388400,74.80,75.39,72.52,72.89,9590,0,0
1534474800,72.87,73.80,72.62,73.56,4211,0,0
1534734000,72.62,75.14,72.62,74.96,6752,0,0
1534820400,74.56,76.37,74.47,74.88,8686,0,0
1534906800,76.13,77.04,75.69,76.59,5637,0,0
1534993200,77.06,77.21,75.50,76.00,5925,0,0
1535079600,76.28,76.76,76.05,76.15,3261,0,0
1535338800,76.04,77.79,76.01,77.56,5085,0,0
1535425200,77.49,78.40,77.03,77.43,6682,0,0
1535511600,77.57,78.22,77.11,78.20,3989,0,0
1535598000,77.18,78.45,77.09,78.20,4252,0,0
1535684400,78.20,79.03,77.50,78.15,7568,0,0
1536030000,78.01,78.09,76.68,76.69,3750,0,0
1536116400,77.18,77.18,75.57,76.53,6396,0,0
1536202800,75.94,77.18,74.84,76.36,10644,0,0
1536289200,77.00,77.00,74.96,76.20,8193,0,0
1536548400,76.64,76.79,74.48,74.48,6167,0,0
1536634800,74.66,75.52,73.87,75.10,7115,0,0
1536721200,75.04,75.51,74.08,74.08,4801,0,0
1536807600,74.09,76.29,74.07,75.30,8072,0,0
1536894000,74.08,77.00,74.08,77.00,7317,0,0
1537153200,76.81,77.40,74.54,75.31,10571,0,0
1537239600,77.12,77.27,75.56,77.20,8383,0,0
1537326000,76.59,77.53,75.61,77.36,7711,0,0
1537412400,77.20,78.53,77.18,78.33,3925,0,0
1537498800,78.26,78.53,77.54,78.10,4509,0,0
1537758000,77.87,78.93,77.01,78.34,8420,0,0
1537844400,77.64,79.04,77.64,78.88,3900,0,0
1537930800,78.12,79.46,77.47,78.38,9293,0,0
1538017200,78.58,79.65,78.38,78.64,6196,0,0
1538103600,78.49,79.70,78.49,79.36,3844,0,0
1538362800,80.51,80.71,79.47,79.56,3795,0,0
1538449200,79.42,80.14,79.02,79.92,4315,0,0
1538535600,79.98,79.98,78.70,79.25,4583,0,0
1538622000,78.30,78.77,77.17,77.36,5639,0,0
1538708400,77.71,77.77,76.00,76.00,4580,0,0
1538967600,75.46,76.65,75.23,75.66,6608,0,0
1539054000,75.72,76.63,73.93,73.93,9056,0,0
1539140400,74.10,74.77,70.68,70.68,11914,0,0
1539226800,70.23,72.35,70.23,71.03,8613,0,0
1539313200,72.73,73.42,71.69,73.42,6963,0,0
1539572400,71.70,73.06,71.56,72.22,6202,0,0
1539658800,73.01,73.45,72.14,72.14,4369,0,0
1539745200,73.34,74.43,72.91,74.43,4887,0,0
1539831600,74.12,74.30,72.34,73.27,7735,0,0
1539918000,72.88,73.38,71.41,71.41,6173,0,0
1540177200,72.84,74.06,72.23,73.00,8735,0,0
1540263600,72.31,73.68,71.48,72.29,10930,0,0
1540350000,72.51,73.85,69.91,71.08,16116,0,0
1540436400,70.94,72.93,70.45,71.06,12089,0,0
1540522800,71.09,72.05,70.05,71.05,9908,0,0
1540778400,71.00,73.61,70.37,70.94,16068,0,0
1540864800,71.58,73.98,70.91,73.50,10538,0,0
1540951200,73.84,75.93,73.50,74.02,11743,0,0
1541037600,75.40,76.31,74.78,75.67,6955,0,0
1541124000,77.29,77.42,74.04,74.90,10909,0,0
1541383200,74.20,80.92,73.55,79.68,23154,0,0
1541469600,79.66,80.32,76.97,77.65,11710,0,0
1541556000,78.00,80.61,77.65,80.18,9325,0,0
1541642400,80.30,80.73,77.98,79.87,12733,0,0
1541728800,78.85,78.95,76.81,76.86,5695,0,0
1541988000,77.28,77.59,75.65,76.99,9006,0,0
1542074400,77.03,77.24,76.00,77.12,5995,0,0
1542160800,77.14,77.39,75.38,75.45,5851,0,0
1542247200,76.20,76.20,73.69,74.69,8781,0,0
1542333600,74.66,75.48,73.28,73.41,7855,0,0
1542592800,74.48,75.02,70.83,70.97,12175,0,0
1542679200,71.94,71.94,69.08,69.70,8714,0,0
1542765600,69.68,71.56,69.48,71.12,6833,0,0
1542852000,70.51,70.51,70.51,70.51,1,0,0
1542938400,69.48,71.09,69.47,70.55,5414,0,0
1543197600,70.68,72.72,70.68,71.30,8665,0,0
1543284000,70.99,73.36,70.73,73.36,7196,0,0
1543370400,73.17,75.00,72.72,74.44,8261,0,0
1543456800,74.89,75.34,74.09,74.90,6259,0,0
1543543200,74.84,76.04,73.99,75.63,8294,0,0
1543802400,77.40,78.23,76.66,76.68,6045,0,0
1543888800,76.54,77.38,74.07,74.27,10901,0,0
1544061600,73.59,75.65,73.00,75.09,9482,0,0
1544148000,75.28,75.38,72.33,73.37,10500,0,0
1544234400,73.22,73.38,73.22,73.30,601,0,0
1544407200,73.15,74.13,72.47,73.31,7891,0,0
1544493600,74.17,75.01,73.46,74.09,7539,0,0
1544580000,74.34,75.88,73.68,74.39,10898,0,0
1544666400,74.39,75.28,72.84,73.31,9509,0,0
1544752800,72.73,73.35,71.90,72.65,7072,0,0
1545012000,71.96,72.19,68.19,70.23,15673,0,0
1545098400,70.23,71.95,69.25,70.18,13381,0,0
1545184800,70.59,72.28,68.16,69.97,19041,0,0
1545271200,69.61,69.99,67.31,68.50,10619,0,0
1545357600,68.41,68.60,64.89,65.70,11714,0,0
1545616800,66.90,66.90,64.27,64.70,7656,0,0
1545789600,65.16,69.27,64.61,67.87,16519,0,0
1545876000,67.87,69.08,66.60,68.49,10829,0,0
1545962400,68.49,69.39,68.09,68.40,6256,0,0
1546221600,68.54,69.79,68.47,68.93,5655,0,0
1546394400,67.51,69.49,67.21,68.85,8009,0,0
1546480800,68.54,68.54,66.31,67.07,7478,0,0
1546567200,66.97,69.47,66.77,68.60,9422,0,0
1546653600,68.64,68.65,68.60,68.60,149,0,0
1546826400,68.89,69.22,68.17,68.48,4229,0,0
1546912800,69.57,70.17,67.33,67.47,8960,0,0
1546999200,65.96,67.29,65.49,65.89,8819,0,0
1547085600,65.89,67.41,65.37,66.54,8615,0,0
1547172000,66.73,67.20,66.26,66.80,4543,0,0
1547431200,66.50,68.35,65.87,67.79,9162,0,0
1547517600,68.38,68.64,67.24,67.51,4836,0,0
1547604000,67.81,68.10,66.81,67.12,4673,0,0
1547690400,67.01,69.61,66.81,68.85,9365,0,0
1547776800,68.88,71.04,68.85,69.65,9046,0,0
1547863200,69.73,69.73,69.73,69.73,1,0,0
1548122400,69.77,70.90,67.64,69.18,14836,0,0
1548208800,69.18,69.86,68.63,69.62,5029,0,0
1548295200,69.30,72.21,69.30,71.79,8325,0,0
1548381600,71.83,73.46,71.73,72.19,7725,0,0
1548640800,71.88,73.36,71.25,71.51,9649,0,0
1548727200,71.51,73.01,71.50,72.82,4320,0,0
1548813600,72.82,73.57,72.20,72.50,6074,0,0
1548900000,72.70,74.09,72.70,73.13,5874,0,0
1548986400,73.81,74.48,72.76,73.43,7650,0,0
1549072800,72.83,72.83,72.83,72.83,1,0,0
1549245600,73.04,75.45,73.04,74.10,9438,0,0
1549332000,75.56,77.17,75.15,76.13,8648,0,0
1549418400,76.12,76.59,75.00,76.06,7818,0,0
1549504800,75.28,76.43,74.49,75.87,8198,0,0
1549591200,76.00,76.34,74.50,74.83,6271,0,0
1549850400,74.39,75.82,74.05,74.05,8028,0,0
1549936800,75.43,76.90,74.49,76.90,8372,0,0
1550023200,76.49,77.89,75.80,77.22,8607,0,0
1550109600,76.95,76.95,74.29,74.29,6641,0,0
1550196000,74.14,77.37,74.14,76.08,11323,0,0
1550541600,76.55,78.90,76.40,77.30,10620,0,0
1550628000,77.39,78.00,76.45,76.91,6530,0,0
1550714400,77.14,78.00,76.02,76.09,7279,0,0
1550800800,76.50,77.18,74.84,76.48,11630,0,0
1550887200,76.48,76.48,76.48,76.48,2,0,0
1551060000,76.70,77.92,75.01,75.62,11833,0,0
1551146400,75.39,76.78,74.95,76.41,6589,0,0
1551232800,76.36,78.07,67.94,69.20,32769,0,0
1551319200,69.30,70.50,67.68,67.77,10268,0,0
1551405600,67.79,69.04,67.75,68.62,4367,0,0
1551664800,68.99,69.59,67.62,67.93,7243,0,0
1551751200,67.64,70.19,67.64,70.15,6475,0,0
1551837600,70.12,70.63,69.22,70.09,6978,0,0
1551924000,70.01,70.34,68.09,69.08,8904,0,0
1552010400,68.73,68.73,68.73,68.73,1,0,0
1552096800,68.79,68.79,68.79,68.79,1,0,0
1552269600,68.95,69.21,67.74,69.21,6703,0,0
1552356000,68.58,69.72,67.57,69.28,8998,0,0
1552442400,69.32,70.79,69.01,70.51,5886,0,0
1552528800,70.39,71.31,69.49,69.79,7629,0,0
1552615200,69.87,70.78,69.44,70.06,6254,0,0
1552874400,70.13,70.90,69.72,70.40,5214,0,0
1552960800,70.74,71.52,69.44,70.38,9489,0,0
1553047200,70.43,71.23,70.03,71.20,4107,0,0
1553133600,70.79,71.39,70.20,70.69,5689,0,0
1553220000,70.94,70.94,68.44,68.73,7004,0,0
1553479200,69.63,70.64,68.30,70.64,9201,0,0
1553565600,69.38,71.34,69.38,70.42,7219,0,0
1553652000,70.42,71.45,69.56,69.56,7326,0,0
1553738400,70.26,70.66,68.87,69.28,6477,0,0
1553824800,70.58,70.58,69.32,70.50,6087,0,0
1554087600,70.90,71.10,69.68,71.10,6587,0,0
1554174000,70.45,71.10,69.75,70.48,6646,0,0
1554260400,71.27,71.84,70.59,70.62,4619,0,0
1554346800,70.59,71.64,70.13,71.26,5899,0,0
1554433200,70.65,71.64,70.06,70.81,7471,0,0
1554692400,70.22,71.75,70.22,71.56,4338,0,0
1554778800,70.22,71.88,70.22,71.72,4589,0,0
1554865200,71.45,72.45,70.91,72.39,5370,0,0
1554951600,72.00,72.92,71.90,72.62,3575,0,0
1555038000,72.56,74.37,72.30,73.57,7854,0,0
1555297200,74.00,75.12,73.05,73.81,9883,0,0
1555383600,73.89,74.55,72.08,73.63,11700,0,0
1555470000,73.72,74.26,73.31,73.40,3933,0,0
1555556400,74.00,75.50,73.01,73.41,10965,0,0
1555902000,75.70,75.70,73.36,73.76,6822,0,0
1555988400,73.59,75.80,73.59,75.59,6022,0,0
1556074800,76.56,76.56,73.59,75.34,11793,0,0
1556161200,76.50,76.50,73.52,73.62,7669,0,0
1556247600,74.75,75.30,73.98,75.22,5426,0,0
1556506800,75.60,75.60,73.75,74.86,7403,0,0
1556593200,74.83,75.57,74.00,74.33,6592,0,0
1556679600,74.68,75.12,72.81,72.86,7017,0,0
1556766000,71.76,73.76,71.20,72.42,11174,0,0
1556852400,71.87,74.09,71.87,74.09,5550,0,0
1557111600,70.73,73.47,70.46,71.69,12649,0,0
1557198000,72.03,72.35,70.36,70.36,5780,0,0
1557284400,69.59,71.43,68.94,69.28,11681,0,0
1557370800,68.35,73.02,67.25,72.20,19241,0,0
1557457200,73.43,73.94,70.63,73.31,16266,0,0
1557716400,71.83,73.89,69.38,70.69,19732,0,0
1557802800,70.84,73.08,70.39,71.90,10801,0,0
1557889200,71.55,72.05,69.43,71.56,13070,0,0
1557975600,71.55,72.69,70.08,72.18,11531,0,0
1558062000,70.81,72.86,70.75,72.53,6222,0,0
1558321200,70.47,71.54,69.78,70.26,8274,0,0
1558407600,71.02,71.41,68.90,71.30,11862,0,0
1558494000,70.00,71.09,69.34,69.58,7687,0,0
1558580400,69.80,70.73,68.20,68.73,10020,0,0
1558666800,69.26,69.84,66.57,66.76,10115,0,0
1559012400,67.73,69.22,67.41,67.41,8236,0,0
1559098800,66.24,68.78,66.14,67.45,10162,0,0
