time,open,high,low,close,tick_volume,spread,real_volume
946864800,17.44,17.50,16.63,16.63,94,0,0
946951200,16.63,16.63,15.62,15.88,128,0,0
947037600,15.75,15.75,15.00,15.75,151,0,0
947124000,15.75,16.25,15.75,16.00,76,0,0
947210400,15.88,16.25,15.75,15.88,101,0,0
947469600,16.50,16.50,16.00,16.00,51,0,0
947556000,16.12,16.88,16.00,16.44,145,0,0
947642400,16.50,17.12,16.50,17.12,63,0,0
947728800,17.25,17.50,16.88,16.94,94,0,0
947815200,17.00,17.75,16.88,17.50,125,0,0
948160800,17.75,18.25,17.75,18.00,76,0,0
948247200,18.00,18.38,17.94,18.25,64,0,0
948333600,18.25,18.25,17.38,17.50,100,0,0
948420000,17.44,17.50,17.25,17.38,45,0,0
948679200,17.50,17.50,17.00,17.12,63,0,0
948765600,17.12,17.50,17.06,17.25,76,0,0
948852000,17.25,17.50,17.25,17.44,32,0,0
948938400,17.44,18.00,17.44,17.50,107,0,0
949024800,17.62,17.62,17.31,17.38,39,0,0
949284000,17.12,17.50,17.12,17.50,39,0,0
949370400,17.38,17.75,17.38,17.75,38,0,0
949456800,18.00,18.13,17.87,17.94,47,0,0
949543200,18.06,18.13,17.94,18.00,33,0,0
949629600,18.13,18.56,18.13,18.44,56,0,0
949888800,18.44,18.56,18.38,18.50,31,0,0
949975200,18.50,18.88,18.50,18.56,71,0,0
950061600,18.75,18.75,18.38,18.38,38,0,0
950148000,18.50,18.50,17.87,17.87,64,0,0
950234400,17.87,18.00,17.87,17.94,20,0,0
950493600,18.06,18.06,17.87,18.00,33,0,0
950580000,17.87,18.00,17.87,17.87,27,0,0
950666400,17.87,18.50,17.87,18.50,64,0,0
950752800,18.50,18.69,18.31,18.38,65,0,0
950839200,18.38,18.56,18.38,18.50,25,0,0
951184800,18.62,18.81,18.56,18.56,45,0,0
951357600,18.88,19.12,18.88,19.00,37,0,0
951444000,19.00,19.25,19.00,19.25,26,0,0
951703200,19.25,20.12,19.25,20.12,88,0,0
951789600,21.75,21.88,21.62,21.88,40,0,0
951876000,22.50,22.75,21.75,21.75,126,0,0
951962400,22.00,22.25,22.00,22.06,45,0,0
952048800,22.12,22.12,22.06,22.12,13,0,0
952308000,22.06,22.25,22.06,22.06,39,0,0
952394400,22.12,22.12,21.75,22.00,63,0,0
952480800,22.00,22.19,22.00,22.00,39,0,0
952567200,21.88,22.00,21.75,22.00,39,0,0
952653600,22.00,22.12,21.94,22.12,25,0,0
952912800,22.37,23.12,22.25,22.88,124,0,0
952999200,22.88,23.00,22.88,22.88,25,0,0
953085600,23.12,24.13,22.63,24.13,200,0,0
953172000,24.13,25.00,24.13,24.38,150,0,0
953258400,23.38,24.75,23.38,24.75,138,0,0
953517600,24.00,24.25,23.87,24.00,77,0,0
953604000,23.75,24.00,23.75,24.00,26,0,0
953690400,23.75,23.75,22.63,22.63,113,0,0
953776800,22.63,22.63,22.50,22.50,14,0,0
953863200,22.50,22.50,22.37,22.44,21,0,0
954126000,22.19,22.19,22.00,22.06,26,0,0
954212400,22.06,22.06,19.75,20.00,257,0,0
954298800,19.75,19.88,19.75,19.75,27,0,0
954385200,19.81,20.50,19.81,20.44,76,0,0
954471600,20.44,20.44,20.25,20.25,20,0,0
954730800,20.25,20.69,20.25,20.62,52,0,0
954817200,20.62,20.87,20.62,20.75,38,0,0
954903600,20.75,21.44,20.62,21.44,96,0,0
954990000,21.38,22.44,21.13,22.37,164,0,0
955076400,22.25,24.44,22.25,24.25,239,0,0
955335600,24.25,24.25,24.00,24.00,26,0,0
955422000,24.13,24.13,24.00,24.06,20,0,0
955508400,24.00,24.00,23.81,23.87,26,0,0
955594800,23.75,23.75,23.38,23.38,38,0,0
955681200,23.25,23.25,23.00,23.00,26,0,0
955940400,22.88,22.88,22.37,22.44,59,0,0
956026800,22.31,22.31,21.88,21.94,50,0,0
956113200,21.81,21.94,21.00,21.00,108,0,0
956199600,21.00,21.16,20.94,21.13,32,0,0
956545200,21.06,21.62,21.00,21.62,69,0,0
956631600,21.88,24.50,21.69,24.00,351,0,0
956718000,24.25,24.25,23.81,24.13,77,0,0
956804400,24.00,24.38,24.00,24.31,46,0,0
956890800,24.50,26.00,24.38,26.00,175,0,0
957150000,26.25,26.50,24.00,24.00,276,0,0
957236400,24.13,24.13,23.75,23.81,45,0,0
957322800,23.56,24.38,23.56,24.25,96,0,0
957409200,24.00,24.00,23.62,23.62,39,0,0
957495600,23.50,23.87,23.50,23.69,56,0,0
957754800,23.56,24.13,23.50,24.00,83,0,0
957841200,24.13,24.38,24.06,24.38,40,0,0
957927600,24.50,25.06,24.38,25.06,81,0,0
958014000,25.12,25.75,25.12,25.25,114,0,0
958100400,25.00,25.75,24.88,25.75,100,0,0
958359600,25.75,26.50,25.63,25.75,175,0,0
958446000,25.81,26.50,25.63,26.25,131,0,0
958532400,26.38,26.50,26.25,26.38,51,0,0
958618800,26.38,26.38,26.06,26.19,46,0,0
958705200,26.19,26.19,26.00,26.12,32,0,0
958964400,26.00,26.00,25.81,25.81,20,0,0
959050800,25.37,25.37,23.75,23.75,163,0,0
