time,open,high,low,close,tick_volume,spread,real_volume
946864800,64.25,64.87,63.63,64.44,230,0,0
946951200,60.88,61.06,58.94,59.56,293,0,0
947037600,60.00,60.25,58.50,58.94,245,0,0
947124000,59.00,60.06,58.25,59.75,288,0,0
947210400,61.50,69.50,61.25,68.50,951,0,0
947469600,68.62,68.62,66.75,67.75,288,0,0
947556000,67.75,68.00,66.50,66.81,207,0,0
947642400,66.81,67.62,66.56,66.62,194,0,0
947728800,67.25,67.31,65.06,65.37,263,0,0
947815200,67.37,67.37,65.75,67.19,307,0,0
948160800,65.62,66.62,65.00,65.31,294,0,0
948247200,65.31,66.06,63.69,64.06,350,0,0
948333600,64.25,64.44,61.44,61.88,364,0,0
948420000,61.00,61.88,59.50,61.19,458,0,0
948679200,63.00,63.13,58.00,58.69,596,0,0
948765600,59.38,60.75,59.19,59.88,263,0,0
948852000,59.88,61.75,59.50,61.50,289,0,0
948938400,62.50,62.81,61.81,62.25,176,0,0
949024800,63.38,65.75,62.88,64.25,488,0,0
949284000,64.25,67.00,62.19,66.25,763,0,0
949370400,64.25,65.25,63.25,64.62,364,0,0
949456800,65.00,65.19,64.12,64.81,196,0,0
949543200,65.25,65.56,63.81,65.37,339,0,0
949629600,65.37,65.56,63.50,64.69,345,0,0
949888800,64.25,64.69,62.63,64.25,413,0,0
949975200,64.44,64.50,62.31,63.75,370,0,0
950061600,63.25,63.50,62.00,62.50,226,0,0
950148000,62.63,62.63,60.38,61.38,326,0,0
950234400,60.38,60.75,59.75,60.00,163,0,0
950493600,60.13,61.88,60.13,61.13,251,0,0
950580000,61.50,62.25,60.69,62.06,257,0,0
950666400,62.06,63.81,62.00,63.56,213,0,0
950752800,64.25,64.25,63.00,63.50,176,0,0
950839200,62.75,62.75,59.75,59.75,301,0,0
951184800,60.50,61.00,59.38,59.94,269,0,0
951271200,60.50,60.94,59.63,59.94,207,0,0
951357600,59.13,59.63,57.25,57.88,352,0,0
951444000,58.00,58.19,55.38,56.63,426,0,0
951703200,55.50,57.19,55.50,56.31,258,0,0
951789600,57.13,59.13,56.63,57.25,489,0,0
951876000,56.69,57.00,50.25,51.25,807,0,0
951962400,52.06,53.56,51.63,52.70,323,0,0
952048800,52.50,52.56,50.25,51.50,363,0,0
