time,open,high,low,close,tick_volume,spread,real_volume
1764118800,861.97,866.77,861.28,861.75,125,167,0
1764122400,861.75,865.51,861.07,862.92,832,167,0
1764126000,862.78,867.72,860.65,866.96,873,167,0
1764129600,867.07,869.07,864.41,864.41,718,167,0
1764133200,864.50,866.16,858.32,859.27,767,167,0
1764136800,859.46,860.56,856.96,858.00,616,167,0
1764140400,857.97,861.91,857.72,860.02,652,167,0
1764144000,859.99,862.03,858.00,861.43,671,167,0
1764147600,861.30,861.89,857.97,859.62,656,167,0
1764151200,859.62,859.94,855.61,855.85,672,167,0
1764154800,855.84,857.50,851.97,852.51,843,167,0
1764158400,852.51,857.83,852.51,857.63,675,167,0
1764162000,857.62,857.73,855.50,856.96,594,167,0
1764165600,856.87,857.55,850.90,854.88,937,167,0
1764169200,854.84,863.62,854.38,863.28,852,167,0
1764172800,863.27,864.52,856.97,858.54,1406,167,0
1764176400,858.73,867.39,858.27,864.17,1454,167,0
1764180000,864.12,871.93,864.12,871.07,1062,167,0
1764183600,871.14,889.51,871.14,887.29,1721,167,0
1764187200,887.35,893.99,887.35,893.78,1452,167,0
1764190800,893.74,896.27,890.57,895.72,947,167,0
1764194400,895.52,896.17,889.78,891.39,792,167,0
1764198000,891.31,892.69,888.47,890.18,743,150,0
1764201600,890.46,893.19,890.26,892.18,554,150,0
1764205200,892.19,894.99,888.99,890.97,807,167,0
1764208800,890.85,894.55,888.71,892.61,691,167,0
1764212400,892.61,897.53,891.74,897.08,764,167,0
1764216000,897.04,903.74,895.40,896.58,1103,167,0
1764219600,896.65,898.17,893.21,894.81,803,167,0
1764223200,894.84,898.37,894.57,895.05,606,167,0
1764226800,895.07,895.95,889.98,891.17,827,167,0
1764230400,891.17,894.41,891.17,893.59,519,167,0
1764234000,893.61,893.86,890.93,892.90,600,167,0
1764237600,892.84,893.09,888.88,891.85,645,167,0
1764241200,891.85,894.07,890.98,892.38,621,167,0
1764244800,892.38,895.15,890.49,893.63,514,167,0
1764248400,893.63,893.63,889.99,891.75,450,166,0
1764252000,891.95,893.23,884.49,884.49,718,166,0
1764255600,884.49,888.34,882.97,886.81,1021,167,0
1764259200,886.92,890.06,885.75,888.68,747,167,0
1764262800,888.68,893.34,887.41,892.38,774,150,0
1764266400,892.35,893.91,889.35,893.58,839,167,0
1764270000,893.40,893.77,891.06,892.37,622,167,0
1764273600,892.37,897.84,891.56,897.12,623,167,0
1764277200,896.87,897.07,893.57,895.55,475,167,0
1764280800,895.56,897.48,895.11,896.96,426,167,0
1764284400,896.78,897.89,894.57,895.75,461,150,0
1764288000,895.99,897.17,890.44,892.56,490,150,0
1764291600,892.56,895.88,891.97,894.98,580,167,0
1764295200,894.92,898.61,893.15,898.28,651,167,0
1764298800,898.28,898.98,889.03,890.77,966,167,0
1764302400,890.77,896.05,888.26,894.82,1051,167,0
1764306000,894.88,895.34,890.28,891.75,740,167,0
1764309600,891.64,895.53,891.25,894.14,577,167,0
1764313200,894.07,897.28,893.15,894.57,606,167,0
1764316800,894.58,894.84,887.40,888.14,594,167,0
1764320400,888.16,889.25,880.78,881.64,678,167,0
1764324000,881.63,895.42,881.63,891.57,925,167,0
1764327600,891.68,894.75,889.94,894.14,903,167,0
1764331200,894.10,897.47,892.17,897.08,683,167,0
1764334800,897.03,897.03,887.33,891.01,849,167,0
1764338400,890.97,892.32,888.67,888.80,620,167,0
1764342000,888.80,898.55,886.39,898.05,1005,167,0
1764345600,897.81,902.82,892.95,897.97,1414,167,0
1764349200,898.15,905.67,895.37,901.15,1327,167,0
1764352800,901.25,901.33,883.40,883.72,1397,167,0
1764356400,883.85,884.75,875.33,879.72,1643,150,0
1764360000,880.21,883.18,876.18,881.64,999,167,0
1764363600,881.64,886.56,881.29,885.44,616,167,0
1764367200,885.38,889.47,882.28,888.98,559,167,0
1764370800,889.11,889.62,884.83,885.06,550,150,0
1764439200,880.18,880.18,879.58,879.84,33,150,0
1764468000,872.10,874.47,872.10,874.47,364,167,0
1764471600,874.47,877.71,874.06,876.02,416,166,0
1764475200,876.10,878.12,873.06,873.14,379,167,0
1764478800,873.14,875.36,868.74,874.89,454,167,0
1764482400,874.87,876.04,873.03,873.50,446,167,0
1764486000,873.37,873.43,869.50,870.63,480,167,0
1764489600,870.49,873.46,869.98,871.60,466,167,0
1764493200,871.65,874.77,871.39,873.95,421,167,0
1764496800,873.95,877.77,873.58,876.52,699,167,0
1764500400,876.61,878.70,875.98,878.35,539,167,0
1764504000,878.29,878.86,875.70,876.37,434,167,0
1764507600,876.30,878.08,874.93,875.89,455,167,0
1764511200,875.89,882.83,874.94,881.75,638,167,0
1764514800,881.82,895.67,881.82,895.62,1241,167,0
1764518400,895.77,897.06,889.41,893.08,1073,167,0
1764522000,893.11,894.55,889.53,893.16,670,167,0
1764525600,893.08,898.92,893.03,898.29,697,167,0
1764529200,898.20,898.20,894.49,896.63,679,167,0
1764532800,896.65,896.65,892.02,895.08,509,167,0
1764536400,895.16,895.80,893.10,894.17,380,167,0
1764540000,894.40,896.17,892.05,894.50,438,167,0
1764543600,894.50,894.71,885.96,888.34,597,150,0
1764547200,888.36,889.15,884.92,887.55,463,150,0
1764550800,887.58,887.67,873.47,874.69,921,150,0
1764554400,874.48,876.29,833.45,833.67,2981,167,0
1764558000,833.57,844.13,833.39,837.08,2104,167,0
1764561600,836.99,841.67,833.74,835.18,1472,167,0
1764565200,835.32,836.16,826.81,828.67,1393,167,0
1764568800,828.57,828.82,821.19,822.34,1436,167,0
1764572400,822.27,823.80,819.90,822.47,987,167,0
1764576000,822.47,829.13,821.73,827.17,895,167,0
1764579600,827.20,832.05,824.53,831.61,1042,167,0
1764583200,832.07,832.55,826.87,829.08,875,167,0
1764586800,829.00,831.36,822.41,822.80,1031,167,0
1764590400,823.00,827.19,822.91,827.18,692,167,0
1764594000,827.10,827.10,822.97,824.04,633,167,0
1764597600,824.07,824.12,813.59,820.61,1272,167,0
1764601200,820.53,825.25,814.49,815.65,1301,167,0
1764604800,815.60,824.07,815.07,819.02,1748,150,0
1764608400,819.05,819.56,801.04,811.00,2367,150,0
1764612000,811.15,815.59,807.58,809.17,1781,150,0
1764615600,809.33,815.38,809.29,811.68,1348,167,0
1764619200,811.85,817.91,811.23,816.47,1215,167,0
1764622800,816.46,816.73,810.78,813.87,1078,167,0
1764626400,813.77,820.27,813.77,816.29,1207,167,0
1764630000,816.49,823.90,816.36,822.25,1018,150,0
1764633600,824.74,829.39,824.23,826.07,696,150,0
1764637200,826.12,830.94,825.78,825.78,824,167,0
1764640800,825.84,826.97,822.97,825.47,1094,167,0
1764644400,825.37,833.08,824.77,828.13,1447,167,0
1764648000,828.27,832.55,825.76,826.78,1185,167,0
1764651600,826.78,829.23,819.64,827.56,831,167,0
1764655200,827.38,831.86,827.37,831.76,818,167,0
1764658800,831.67,832.17,827.81,830.89,836,167,0
1764662400,830.81,832.11,828.44,830.91,722,167,0
1764666000,830.99,831.06,827.88,830.11,661,167,0
1764669600,829.99,830.23,824.44,828.16,866,167,0
1764673200,828.23,836.17,828.02,835.38,861,167,0
1764676800,835.32,842.32,833.20,840.14,664,167,0
1764680400,840.12,844.55,838.60,842.48,941,150,0
1764684000,842.65,842.95,839.00,840.85,976,150,0
1764687600,840.85,846.10,839.07,845.01,1415,150,0
1764691200,845.01,859.45,844.41,858.85,2583,150,0
1764694800,858.76,874.54,857.85,870.65,4076,150,0
