time,open,high,low,close,tick_volume,spread,real_volume
1764172800,86.82,87.22,86.30,86.36,660,32,0
1764176400,86.39,86.84,86.19,86.47,1349,32,0
1764180000,86.47,87.43,86.46,87.34,901,33,0
1764183600,87.34,89.50,87.21,89.36,1174,32,0
1764187200,89.36,89.93,89.05,89.66,912,32,0
1764190800,89.66,89.71,89.25,89.47,980,32,0
1764194400,89.47,89.64,89.02,89.40,1008,32,0
1764345600,92.45,92.47,91.34,91.75,796,32,0
1764349200,91.76,92.33,91.50,91.90,1057,32,0
1764352800,91.90,91.91,90.41,90.46,1167,32,0
1764356400,90.46,90.74,89.76,90.16,1315,32,0
1764604800,85.78,86.21,85.37,85.45,789,33,0
1764608400,85.45,85.67,83.34,84.20,1668,32,0
1764612000,84.20,84.96,83.57,84.08,1450,32,0
1764615600,84.09,84.79,83.98,84.46,1232,32,0
1764619200,84.48,85.08,84.25,84.72,1122,32,0
1764622800,84.72,84.83,84.12,84.56,1320,33,0
1764626400,84.56,85.36,84.56,85.05,1368,32,0
1764691200,88.20,88.82,87.87,88.82,909,32,0
1764694800,88.82,90.70,88.82,90.39,1707,32,0
1764698400,90.41,90.79,89.76,90.30,1307,32,0
1764702000,90.30,91.54,90.29,90.99,866,32,0
1764705600,90.99,91.75,90.97,91.49,913,32,0
1764709200,91.49,91.84,91.41,91.44,734,32,0
1764712800,91.44,91.49,90.30,90.63,1288,32,0
1764777600,92.10,93.19,91.67,91.83,1079,32,0
1764781200,91.83,92.52,91.44,91.89,1709,32,0
1764784800,91.89,92.28,91.30,91.76,1498,32,0
1764788400,91.76,92.58,91.70,92.49,1162,32,0
1764792000,92.49,93.05,91.89,92.14,1184,32,0
1764795600,92.14,92.62,92.05,92.55,1060,32,0
1764799200,92.55,92.88,92.36,92.48,1133,32,0
1764864000,92.29,92.29,91.32,91.41,899,32,0
1764867600,91.40,92.77,91.40,92.52,1561,32,0
1764871200,92.52,92.71,91.79,91.97,1358,32,0
1764874800,91.97,92.08,91.28,91.96,1336,32,0
1764878400,91.96,92.11,91.47,91.68,1221,32,0
1764882000,91.67,91.72,90.38,91.51,1531,32,0
1764885600,91.51,92.09,91.24,92.04,1220,32,0
1764950400,89.98,90.27,89.53,89.71,824,32,0
1764954000,89.71,91.00,89.71,90.00,1545,32,0
1764957600,90.01,90.05,87.66,88.39,1791,32,0
1764961200,88.40,89.07,88.20,88.91,1448,32,0
1764964800,88.91,89.40,88.48,88.51,1218,32,0
1764968400,88.51,89.39,88.41,89.23,1097,32,0
1764972000,89.23,89.34,88.72,88.87,969,32,0
1765209600,90.84,91.23,90.28,90.36,944,32,0
1765213200,90.38,90.49,89.10,89.46,1784,32,0
1765216800,89.46,89.98,89.17,89.47,1527,32,0
1765220400,89.47,89.85,89.19,89.77,1392,32,0
1765224000,89.76,90.03,89.22,89.42,1343,33,0
1765227600,89.42,89.89,89.35,89.62,1309,32,0
1765231200,89.63,90.42,89.63,90.31,1252,32,0
