time,open,high,low,close,tick_volume,spread,real_volume
1182481200,36.45,38.00,34.25,35.06,612,0,0
1182740400,35.74,35.77,31.90,32.44,445,0,0
1182826800,32.28,32.49,30.32,30.75,282,0,0
1182913200,30.40,30.75,29.13,29.92,277,0,0
1182999600,29.61,30.98,29.54,29.69,281,0,0
1183086000,30.00,30.20,28.75,29.27,218,0,0
1183345200,29.27,29.74,29.08,29.27,133,0,0
1183431600,29.50,29.88,29.42,29.72,71,0,0
1183604400,30.95,30.97,30.20,30.63,123,0,0
1183690800,30.90,31.70,30.80,31.50,121,0,0
1183950000,31.90,31.99,31.39,31.48,79,0,0
1184036400,31.28,31.34,29.84,29.93,166,0,0
1184122800,29.94,30.08,28.96,29.18,149,0,0
1184209200,29.50,30.29,29.31,30.00,147,0,0
1184295600,29.88,30.00,29.28,29.85,142,0,0
1184554800,29.85,29.98,29.33,29.69,115,0,0
1184641200,29.69,29.85,29.11,29.21,101,0,0
1184727600,29.00,29.10,28.00,28.40,161,0,0
1184814000,28.40,28.50,27.00,27.33,194,0,0
1184900400,27.00,27.11,25.63,25.95,192,0,0
1185159600,25.83,26.90,25.51,26.37,225,0,0
1185246000,25.91,26.45,25.60,25.71,151,0,0
1185332400,25.76,26.05,25.25,25.51,136,0,0
1185418800,25.18,25.95,23.27,25.70,485,0,0
1185505200,24.66,24.85,23.68,24.30,199,0,0
1185764400,24.42,24.88,23.55,24.48,261,0,0
1185850800,24.97,25.21,23.81,24.01,185,0,0
1185937200,24.34,24.50,23.60,24.31,178,0,0
1186023600,25.25,25.58,24.43,25.33,223,0,0
1186110000,25.39,25.47,24.20,24.39,155,0,0
1186369200,24.68,24.68,22.76,24.53,370,0,0
1186455600,24.50,25.98,24.01,24.90,355,0,0
1186542000,25.64,25.90,25.00,25.27,144,0,0
1186628400,24.99,25.39,24.50,24.92,172,0,0
1186714800,24.50,25.79,23.98,25.28,285,0,0
1186974000,27.26,27.26,25.65,25.71,168,0,0
1187060400,26.00,26.00,24.28,24.57,202,0,0
1187146800,24.40,24.69,23.60,23.69,148,0,0
1187233200,23.11,23.90,22.04,23.90,294,0,0
1187319600,24.71,25.38,23.90,24.08,234,0,0
1187578800,24.10,24.74,23.05,23.39,268,0,0
1187665200,23.50,23.76,23.11,23.51,130,0,0
1187751600,23.90,25.00,23.90,24.94,117,0,0
1187838000,25.23,25.66,24.86,25.27,157,0,0
1187924400,25.06,25.12,24.36,24.42,89,0,0
1188183600,24.42,24.55,23.65,23.80,119,0,0
1188270000,23.55,23.61,22.91,23.04,90,0,0
1188356400,23.38,23.44,22.87,22.98,75,0,0
1188442800,22.74,23.13,22.55,22.74,117,0,0
1188529200,23.12,23.27,22.80,23.13,94,0,0
1188874800,23.09,23.30,23.03,23.11,53,0,0
1188961200,23.00,23.00,21.95,21.98,109,0,0
1189047600,22.01,22.39,21.97,22.16,70,0,0
1189134000,21.69,21.89,21.30,21.54,104,0,0
1189393200,21.75,22.00,21.32,21.88,124,0,0
1189479600,22.34,23.00,22.20,22.89,106,0,0
1189566000,22.79,23.50,22.62,23.26,130,0,0
1189652400,23.49,23.74,23.31,23.41,79,0,0
1189738800,23.37,24.00,22.80,23.92,186,0,0
1189998000,23.70,24.35,23.55,23.65,156,0,0
1190084400,23.83,24.60,23.31,24.55,187,0,0
1190170800,24.73,26.00,24.57,25.66,194,0,0
1190257200,25.92,26.79,25.60,25.95,236,0,0
1190343600,26.48,26.50,25.01,25.32,183,0,0
1190602800,25.39,25.44,24.46,24.53,111,0,0
1190689200,24.42,24.67,24.00,24.39,132,0,0
1190775600,24.75,25.05,24.31,24.89,135,0,0
1190862000,25.00,25.35,24.58,25.11,144,0,0
1190948400,24.90,25.44,24.86,25.08,99,0,0
1191207600,24.72,25.74,24.70,25.58,123,0,0
1191294000,25.77,26.40,25.35,26.08,180,0,0
1191380400,26.00,27.65,25.98,27.17,218,0,0
1191466800,27.25,28.00,27.25,27.58,118,0,0
1191553200,28.05,29.10,27.86,29.08,146,0,0
1191812400,29.49,29.75,28.21,28.22,182,0,0
1191898800,28.61,28.64,28.02,28.45,109,0,0
1191985200,28.63,28.67,28.01,28.66,130,0,0
1192071600,29.00,29.38,28.08,28.35,196,0,0
1192158000,28.11,28.27,27.70,27.75,79,0,0
