time,open,high,low,close,tick_volume,spread,real_volume
1764097200,0.57211,0.57227,0.57194,0.57204,520,60,0
1764100800,0.57204,0.57217,0.57195,0.57196,155,60,0
1764104400,0.57231,0.57278,0.57230,0.57242,544,60,0
1764108000,0.57241,0.57278,0.57237,0.57263,637,60,0
1764111600,0.57270,0.57313,0.57188,0.57245,267,60,0
1764115200,0.57233,0.57243,0.57232,0.57243,41,60,0
1764118800,0.57238,0.57293,0.57229,0.57279,219,15,0
1764122400,0.57279,0.57294,0.57251,0.57275,1996,15,0
1764126000,0.57268,0.57326,0.57262,0.57282,3258,15,0
1764129600,0.57288,0.57304,0.57249,0.57258,2522,15,0
1764133200,0.57258,0.57271,0.57220,0.57243,2038,15,0
1764136800,0.57244,0.57269,0.57240,0.57254,1611,15,0
1764140400,0.57253,0.57262,0.57139,0.57157,1886,15,0
1764144000,0.57159,0.57217,0.57153,0.57192,2149,15,0
1764147600,0.57190,0.57274,0.57175,0.57269,3220,15,0
1764151200,0.57268,0.57292,0.57227,0.57263,3062,15,0
1764154800,0.57260,0.57284,0.57230,0.57267,2689,15,0
1764158400,0.57269,0.57269,0.57228,0.57256,2463,15,0
1764162000,0.57256,0.57273,0.57201,0.57259,3125,15,0
1764165600,0.57259,0.57276,0.57199,0.57261,4257,15,0
1764169200,0.57261,0.57343,0.57238,0.57319,5603,15,0
1764172800,0.57320,0.57333,0.57266,0.57297,4116,15,0
1764176400,0.57303,0.57354,0.57255,0.57304,5142,15,0
1764180000,0.57304,0.57309,0.57243,0.57272,3391,15,0
1764183600,0.57273,0.57291,0.57252,0.57252,2118,15,0
1764187200,0.57253,0.57289,0.57244,0.57278,1787,15,0
1764190800,0.57275,0.57300,0.57272,0.57278,1664,15,0
1764194400,0.57277,0.57291,0.57254,0.57278,1751,15,0
1764198000,0.57279,0.57298,0.57250,0.57254,1040,15,0
1764201600,0.57265,0.57300,0.57239,0.57276,259,41,0
1764205200,0.57260,0.57264,0.57232,0.57233,1105,15,0
1764208800,0.57230,0.57240,0.57202,0.57220,1178,15,0
1764212400,0.57221,0.57234,0.57207,0.57215,1952,15,0
1764216000,0.57213,0.57251,0.57210,0.57240,1483,15,0
1764219600,0.57239,0.57263,0.57235,0.57261,1619,15,0
1764223200,0.57262,0.57293,0.57250,0.57291,1346,15,0
1764226800,0.57292,0.57297,0.57259,0.57268,1567,15,0
1764230400,0.57268,0.57326,0.57259,0.57310,1603,15,0
1764234000,0.57310,0.57354,0.57308,0.57344,1851,15,0
1764237600,0.57344,0.57371,0.57336,0.57356,2316,15,0
1764241200,0.57357,0.57373,0.57344,0.57349,2125,15,0
1764244800,0.57352,0.57388,0.57345,0.57377,1670,15,0
1764248400,0.57378,0.57402,0.57358,0.57381,2139,15,0
1764252000,0.57382,0.57401,0.57368,0.57391,1921,15,0
1764255600,0.57391,0.57393,0.57315,0.57320,1945,15,0
1764259200,0.57320,0.57400,0.57318,0.57396,1893,15,0
1764262800,0.57395,0.57425,0.57384,0.57385,1925,15,0
1764266400,0.57384,0.57403,0.57353,0.57363,1508,15,0
1764270000,0.57363,0.57393,0.57358,0.57373,805,15,0
1764273600,0.57373,0.57396,0.57365,0.57383,659,14,0
1764277200,0.57384,0.57387,0.57375,0.57378,684,15,0
1764280800,0.57379,0.57386,0.57372,0.57375,1089,15,0
1764284400,0.57377,0.57379,0.57348,0.57348,414,14,0
1764288000,0.57343,0.57356,0.57323,0.57342,150,40,0
1764291600,0.57341,0.57363,0.57330,0.57359,311,15,0
1764295200,0.57359,0.57390,0.57336,0.57359,3258,15,0
1764298800,0.57357,0.57395,0.57355,0.57393,3094,15,0
1764302400,0.57392,0.57412,0.57348,0.57381,8045,15,0
1764306000,0.57383,0.57422,0.57261,0.57358,12693,15,0
1764309600,0.57357,0.57382,0.57318,0.57341,9849,15,0
1764313200,0.57339,0.57366,0.57313,0.57315,7685,15,0
1764316800,0.57316,0.57356,0.57302,0.57325,4726,17,0
1764320400,0.57327,0.57427,0.57269,0.57380,16739,15,0
1764324000,0.57380,0.57433,0.57261,0.57374,13021,15,0
1764327600,0.57347,0.57453,0.57242,0.57433,11481,15,0
1764331200,0.57431,0.57464,0.57373,0.57430,5989,15,0
1764334800,0.57430,0.57477,0.57409,0.57412,9628,15,0
1764338400,0.57412,0.57463,0.57372,0.57461,6399,15,0
1764342000,0.57462,0.57555,0.57451,0.57506,6812,15,0
1764345600,0.57507,0.57613,0.57468,0.57561,4850,15,0
1764349200,0.57561,0.57676,0.57560,0.57582,7201,15,0
1764352800,0.57581,0.57607,0.57479,0.57498,5335,15,0
1764356400,0.57499,0.57511,0.57444,0.57464,2666,15,0
1764360000,0.57465,0.57497,0.57444,0.57475,2670,15,0
1764363600,0.57475,0.57501,0.57462,0.57499,2759,15,0
1764367200,0.57501,0.57510,0.57469,0.57485,3158,15,0
1764370800,0.57485,0.57529,0.57426,0.57427,5954,15,0
1764547200,0.57509,0.57530,0.57479,0.57479,882,41,0
1764550800,0.57458,0.57522,0.57458,0.57502,1822,15,0
1764554400,0.57502,0.57507,0.57448,0.57476,2192,15,0
1764558000,0.57478,0.57511,0.57442,0.57501,2945,15,0
1764561600,0.57500,0.57514,0.57489,0.57505,2098,15,0
1764565200,0.57505,0.57524,0.57501,0.57515,1434,15,0
1764568800,0.57516,0.57522,0.57490,0.57508,1446,15,0
1764572400,0.57507,0.57514,0.57469,0.57510,1651,15,0
1764576000,0.57511,0.57526,0.57500,0.57509,1844,15,0
1764579600,0.57509,0.57520,0.57453,0.57476,3398,15,0
1764583200,0.57477,0.57482,0.57382,0.57412,5578,15,0
1764586800,0.57413,0.57414,0.57361,0.57404,3408,15,0
