time,open,high,low,close,tick_volume,spread,real_volume
1764118800,110.655,110.770,110.655,110.738,238,24,0
1764122400,110.737,110.859,110.674,110.817,3490,24,0
1764126000,110.810,110.982,110.633,110.690,6236,24,0
1764129600,110.691,110.757,110.565,110.652,4629,24,0
1764133200,110.653,110.768,110.631,110.763,2640,24,0
1764136800,110.765,110.901,110.763,110.835,2030,24,0
1764140400,110.833,110.943,110.830,110.913,2417,24,0
1764144000,110.914,111.047,110.910,110.972,3038,24,0
1764147600,110.970,111.174,110.939,111.140,3795,24,0
1764151200,111.138,111.175,111.028,111.106,3951,24,0
1764154800,111.106,111.128,111.007,111.088,3226,24,0
1764158400,111.087,111.099,111.015,111.080,2768,24,0
1764162000,111.079,111.150,111.006,111.052,3815,24,0
1764165600,111.055,111.112,110.997,111.032,4823,24,0
1764169200,111.032,111.149,110.996,111.126,7572,24,0
1764172800,111.126,111.205,111.063,111.177,5487,24,0
1764176400,111.175,111.339,111.139,111.262,6584,24,0
1764180000,111.261,111.306,111.191,111.282,4125,24,0
1764183600,111.280,111.387,111.251,111.349,2603,24,0
1764187200,111.352,111.461,111.296,111.435,3013,24,0
1764190800,111.434,111.483,111.408,111.426,2639,24,0
1764194400,111.425,111.448,111.398,111.406,2752,24,0
1764198000,111.404,111.450,111.388,111.389,1197,24,0
1764201600,111.349,111.411,111.349,111.406,553,51,0
1764205200,111.403,111.421,111.279,111.282,1495,24,0
1764208800,111.280,111.293,111.037,111.161,2774,24,0
1764212400,111.161,111.267,110.949,111.201,4363,24,0
1764216000,111.197,111.330,111.148,111.265,2305,24,0
1764219600,111.265,111.286,111.183,111.216,1653,24,0
1764223200,111.218,111.247,111.153,111.189,1492,24,0
1764226800,111.190,111.198,111.065,111.168,2656,24,0
1764230400,111.167,111.308,111.124,111.256,2722,24,0
1764234000,111.255,111.360,111.246,111.247,2066,24,0
1764237600,111.245,111.410,111.232,111.386,3017,24,0
1764241200,111.400,111.403,111.306,111.308,2544,24,0
1764244800,111.309,111.315,111.262,111.283,1821,24,0
1764248400,111.284,111.321,111.256,111.297,1932,24,0
1764252000,111.300,111.383,111.295,111.363,1653,24,0
1764255600,111.365,111.367,111.259,111.271,2274,24,0
1764259200,111.273,111.367,111.253,111.361,1903,24,0
1764262800,111.359,111.418,111.351,111.392,2157,24,0
1764266400,111.394,111.419,111.369,111.393,1330,24,0
1764270000,111.392,111.449,111.388,111.433,927,24,0
1764273600,111.434,111.466,111.429,111.439,496,24,0
1764277200,111.439,111.457,111.423,111.438,493,24,0
1764280800,111.437,111.442,111.397,111.411,586,24,0
1764284400,111.416,111.424,111.343,111.343,487,24,0
1764288000,111.330,111.378,111.321,111.347,290,45,0
1764291600,111.349,111.441,111.335,111.421,913,24,0
1764295200,111.420,111.579,111.339,111.485,5393,24,0
1764298800,111.482,111.497,111.417,111.424,3435,24,0
1764302400,111.423,111.447,111.267,111.370,19146,24,0
1764306000,111.369,111.418,111.217,111.351,27594,24,0
1764309600,111.349,111.398,111.263,111.296,25438,24,0
1764313200,111.294,111.428,111.286,111.379,20624,24,0
1764316800,111.382,111.439,111.345,111.385,23962,24,0
1764320400,111.387,111.434,111.295,111.311,28658,24,0
1764324000,111.312,111.391,111.263,111.381,24089,24,0
1764327600,111.381,111.418,111.289,111.334,24159,24,0
1764331200,111.334,111.377,111.223,111.224,13487,24,0
1764334800,111.220,111.309,111.199,111.280,15401,27,0
1764338400,111.283,111.358,111.234,111.347,10190,27,0
1764342000,111.348,111.576,111.304,111.457,12002,27,0
1764345600,111.456,111.819,111.437,111.751,7068,27,0
1764349200,111.750,111.994,111.737,111.918,10140,27,0
1764352800,111.916,111.972,111.730,111.738,6775,27,0
1764356400,111.737,111.795,111.651,111.772,4206,27,0
1764360000,111.774,111.802,111.661,111.724,3753,27,0
1764363600,111.721,111.735,111.668,111.722,3040,27,0
1764367200,111.721,111.752,111.678,111.744,4216,27,0
1764370800,111.747,111.801,111.661,111.677,6205,27,0
1764547200,111.619,111.708,111.610,111.639,1227,51,0
1764550800,111.619,111.764,111.578,111.591,2600,27,0
1764554400,111.593,111.598,111.370,111.477,4229,27,0
1764558000,111.475,111.614,111.284,111.388,7929,27,0
1764561600,111.389,111.399,111.159,111.213,3118,27,0
1764565200,111.210,111.258,111.148,111.191,1794,27,0
1764568800,111.192,111.291,111.141,111.239,1925,27,0
1764572400,111.238,111.256,111.092,111.236,2766,27,0
1764576000,111.236,111.306,111.209,111.214,2623,27,0
1764579600,111.216,111.277,111.086,111.135,3928,27,0
1764583200,111.134,111.217,111.047,111.177,5981,27,0
1764586800,111.177,111.177,111.013,111.029,4130,27,0
1764590400,111.024,111.044,110.951,111.014,3298,27,0
1764594000,111.015,111.085,110.945,110.978,3194,24,0
1764597600,110.977,111.026,110.863,110.885,4413,24,0
1764601200,110.884,110.924,110.809,110.887,5895,24,0
1764604800,110.886,111.055,110.884,110.980,6953,24,0
1764608400,110.945,111.141,110.868,111.052,8263,24,0
1764612000,111.053,111.105,110.998,111.055,5517,24,0
1764615600,111.056,111.122,111.044,111.099,3649,24,0
1764619200,111.097,111.140,111.068,111.127,2753,24,0
1764622800,111.125,111.129,111.041,111.073,3060,24,0
1764626400,111.074,111.088,111.016,111.017,2549,24,0
1764630000,111.019,111.075,111.011,111.032,1237,24,0
1764633600,111.009,111.056,110.980,111.022,225,24,0
1764637200,111.018,111.128,111.018,111.095,864,24,0
1764640800,111.095,111.177,111.033,111.148,2429,24,0
1764644400,111.149,111.230,111.110,111.149,2540,24,0
1764648000,111.150,111.213,111.108,111.174,1483,24,0
1764651600,111.173,111.217,111.110,111.169,1655,24,0
1764655200,111.171,111.206,111.126,111.174,1003,24,0
1764658800,111.175,111.233,111.172,111.192,1376,24,0
1764662400,111.190,111.286,111.178,111.266,1837,24,0
1764666000,111.266,111.335,111.233,111.272,2269,24,0
1764669600,111.273,111.438,111.273,111.432,3130,24,0
1764673200,111.430,111.449,111.328,111.333,3751,24,0
1764676800,111.333,111.395,111.318,111.391,2523,24,0
1764680400,111.392,111.401,111.258,111.266,2112,24,0
1764684000,111.263,111.414,111.262,111.412,2545,24,0
1764687600,111.414,111.466,111.404,111.422,3435,24,0
1764691200,111.424,111.532,111.413,111.505,5012,24,0
1764694800,111.505,111.706,111.458,111.482,6798,24,0
1764698400,111.483,111.537,111.301,111.448,5660,24,0
1764702000,111.446,111.589,111.446,111.494,3846,24,0
1764705600,111.492,111.565,111.473,111.563,3065,24,0
1764709200,111.563,111.595,111.517,111.569,2723,24,0
1764712800,111.570,111.573,111.463,111.471,2649,24,0
1764716400,111.470,111.568,111.458,111.480,1126,24,0
1764720000,111.492,111.525,111.457,111.520,404,48,0
1764723600,111.511,111.592,111.489,111.493,990,24,0
1764727200,111.493,111.525,111.397,111.509,2572,24,0
1764730800,111.510,111.526,111.410,111.448,2130,24,0
1764734400,111.447,111.532,111.439,111.475,1477,24,0
1764738000,111.475,111.481,111.407,111.424,1080,24,0
1764741600,111.422,111.487,111.420,111.425,1015,24,0
1764745200,111.427,111.463,111.383,111.425,1498,24,0
1764748800,111.422,111.423,111.312,111.391,2011,24,0
1764752400,111.391,111.453,111.361,111.428,2673,24,0
1764756000,111.428,111.541,111.425,111.497,2856,24,0
1764759600,111.497,111.511,111.426,111.510,2765,24,0
1764763200,111.509,111.583,111.493,111.504,2951,24,0
1764766800,111.502,111.522,111.439,111.439,2344,24,0
1764770400,111.437,111.493,111.417,111.428,2374,24,0
1764774000,111.427,111.493,111.293,111.488,5812,24,0
1764777600,111.490,111.501,111.258,111.262,8037,24,0
1764781200,111.268,111.450,111.195,111.263,9645,24,0
1764784800,111.262,111.294,111.141,111.212,5522,24,0
1764788400,111.212,111.271,111.169,111.240,2954,24,0
1764792000,111.242,111.267,111.185,111.211,2586,24,0
1764795600,111.211,111.245,111.185,111.231,2008,24,0
1764799200,111.229,111.290,111.189,111.259,1643,24,0
1764802800,111.261,111.301,111.235,111.254,922,24,0
1764806400,111.216,111.233,111.171,111.182,504,46,0
1764810000,111.185,111.284,111.147,111.168,1371,24,0
1764813600,111.168,111.254,111.087,111.151,2820,24,0
1764817200,111.150,111.318,111.135,111.211,3446,24,0
1764820800,111.207,111.314,111.206,111.304,2286,24,0
1764824400,111.303,111.364,111.284,111.294,2300,24,0
1764828000,111.292,111.374,111.264,111.370,1733,24,0
1764831600,111.371,111.388,111.156,111.187,3671,24,0
1764835200,111.185,111.282,111.173,111.203,2207,24,0
1764838800,111.203,111.264,111.133,111.185,3422,24,0
1764842400,111.185,111.194,110.858,110.980,6135,24,0
1764846000,110.982,111.016,110.884,110.905,3596,24,0
1764849600,110.906,110.931,110.788,110.794,3253,24,0
1764853200,110.796,110.830,110.591,110.615,3781,24,0
1764856800,110.614,110.763,110.604,110.700,3633,24,0
1764860400,110.693,110.965,110.692,110.834,6496,24,0
1764864000,110.835,110.954,110.753,110.919,6577,24,0
1764867600,110.898,111.039,110.898,110.992,6758,24,0
1764871200,110.990,111.140,110.942,111.123,5296,24,0
1764874800,111.125,111.137,111.056,111.105,3414,24,0
1764878400,111.105,111.124,111.061,111.107,3193,24,0
1764882000,111.106,111.118,111.027,111.113,3102,24,0
1764885600,111.110,111.150,111.084,111.130,3121,24,0
1764889200,111.130,111.152,111.114,111.116,1213,24,0
1764892800,111.082,111.103,111.035,111.080,339,27,0
1764896400,111.082,111.148,111.060,111.119,991,24,0
1764900000,111.119,111.203,111.028,111.039,2377,24,0
1764903600,111.040,111.151,111.033,111.107,2161,24,0
1764907200,111.107,111.150,111.101,111.131,1296,24,0
1764910800,111.131,111.164,111.109,111.147,914,24,0
1764914400,111.146,111.154,110.939,111.020,2525,24,0
1764918000,111.022,111.022,110.779,110.822,2345,24,0
1764921600,110.821,110.889,110.741,110.816,2255,24,0
1764925200,110.817,110.875,110.707,110.861,4525,24,0
1764928800,110.863,111.081,110.837,111.042,4230,24,0
1764932400,111.041,111.112,111.033,111.092,2369,24,0
1764936000,111.093,111.261,111.078,111.239,3026,24,0
1764939600,111.238,111.287,111.201,111.276,2186,24,0
1764943200,111.278,111.389,111.216,111.379,3338,24,0
1764946800,111.381,111.756,111.168,111.744,6993,24,0
1764950400,111.744,111.880,111.656,111.846,7640,24,0
1764954000,111.845,112.105,111.802,112.052,8687,24,0
1764957600,112.050,112.154,111.971,112.044,6893,24,0
1764961200,112.043,112.256,112.025,112.234,3550,24,0
1764964800,112.234,112.263,112.141,112.222,3135,24,0
