time,open,high,low,close,tick_volume,spread,real_volume
1476241200,74.99,74.99,74.33,74.62,96,0,0
1476327600,74.62,74.82,74.27,74.38,87,0,0
1476414000,74.39,74.79,74.39,74.58,62,0,0
1476586800,74.59,74.83,74.38,74.77,73,0,0
1476673200,74.76,74.99,73.80,74.10,173,0,0
1476759600,74.11,74.82,74.02,74.74,98,0,0
1476846000,74.73,75.08,74.63,74.83,81,0,0
1476932400,74.82,74.92,74.45,74.72,85,0,0
1477018800,74.73,74.98,74.39,74.90,102,0,0
1477191600,74.90,74.90,74.11,74.36,105,0,0
1477278000,74.36,75.23,74.11,75.20,141,0,0
1477364400,75.21,75.31,74.60,74.62,84,0,0
1477450800,74.63,74.65,73.79,74.16,126,0,0
1477537200,74.15,74.19,72.66,72.81,173,0,0
1477623600,72.81,72.96,72.30,72.72,124,0,0
1477796400,72.77,72.95,72.41,72.89,97,0,0
1477879200,72.87,73.65,72.63,72.74,192,0,0
1477965600,72.73,72.86,71.95,72.04,114,0,0
1478052000,72.03,72.27,71.46,72.02,162,0,0
1478138400,72.03,72.11,71.15,71.21,111,0,0
1478224800,71.20,71.30,70.85,70.99,70,0,0
1478397600,71.00,72.24,71.00,72.20,129,0,0
1478484000,72.20,72.79,71.47,71.47,192,0,0
1478570400,71.47,73.30,71.31,72.90,256,0,0
1478656800,72.90,73.84,69.65,73.01,828,0,0
1478743200,73.00,74.53,72.67,74.27,246,0,0
1478829600,74.26,75.74,74.20,75.74,161,0,0
1479002400,75.80,75.88,74.98,75.67,168,0,0
1479088800,75.67,76.19,75.54,75.78,120,0,0
1479175200,75.78,76.95,75.70,76.91,138,0,0
1479261600,76.91,77.24,75.92,76.36,210,0,0
1479348000,76.36,77.29,76.28,77.05,134,0,0
1479434400,77.04,77.10,76.62,76.86,79,0,0
1479607200,76.75,76.85,76.51,76.71,65,0,0
1479693600,76.71,77.43,76.26,77.29,177,0,0
1479780000,77.29,78.03,77.27,77.95,87,0,0
1479866400,77.94,79.05,77.78,78.61,188,0,0
1479952800,78.60,78.88,77.93,78.03,134,0,0
1480039200,78.03,78.49,77.95,78.17,95,0,0
1480212000,78.02,78.26,77.86,78.00,79,0,0
1480298400,78.00,78.14,76.87,77.63,218,0,0
1480384800,77.64,78.42,77.58,78.33,100,0,0
1480471200,78.32,79.05,78.07,78.95,134,0,0
1480557600,78.94,79.53,78.60,79.21,160,0,0
1480644000,79.21,79.42,78.65,78.66,100,0,0
1480816800,78.66,78.66,77.57,77.96,149,0,0
1480903200,77.95,78.53,77.38,78.19,207,0,0
1480989600,78.19,78.91,78.02,78.61,137,0,0
1481076000,78.60,80.08,78.54,79.98,171,0,0
1481162400,79.97,80.42,79.67,80.36,112,0,0
1481248800,80.37,80.92,80.33,80.69,87,0,0
1481421600,80.67,81.37,80.59,81.10,114,0,0
1481508000,81.11,81.31,80.32,80.50,138,0,0
1481594400,80.51,81.32,80.29,81.22,136,0,0
1481680800,81.22,81.34,80.88,81.27,88,0,0
1481767200,81.27,81.39,80.17,81.10,228,0,0
1481853600,81.09,81.14,80.23,81.06,180,0,0
1482026400,81.05,81.36,80.74,80.89,109,0,0
1482112800,80.89,82.24,80.77,82.11,173,0,0
1482199200,82.11,82.65,82.07,82.38,90,0,0
1482285600,82.38,82.75,82.01,82.18,129,0,0
1482372000,82.17,82.99,82.12,82.78,114,0,0
1482458400,82.77,82.96,82.45,82.54,80,0,0
1482804000,82.49,83.20,82.49,83.15,77,0,0
1482890400,83.14,83.49,82.54,82.94,171,0,0
1482976800,82.95,83.48,82.39,82.45,169,0,0
1483063200,82.45,82.91,82.40,82.51,97,0,0
1483322400,82.39,83.08,82.32,82.99,93,0,0
1483408800,82.98,83.60,82.74,83.54,117,0,0
1483495200,83.54,84.12,83.41,83.86,111,0,0
1483581600,83.86,83.98,83.59,83.87,78,0,0
1483668000,83.86,84.19,83.79,84.12,55,0,0
1483840800,84.08,84.50,84.08,84.47,46,0,0
1483927200,84.47,85.66,84.42,84.56,240,0,0
1484013600,84.55,85.09,84.50,84.73,101,0,0
1484100000,84.73,85.41,84.73,85.37,73,0,0
1484186400,85.38,85.60,83.89,83.97,202,0,0
1484272800,83.96,83.98,83.36,83.86,115,0,0
1484445600,84.15,84.42,83.77,83.79,95,0,0
1484532000,83.80,84.35,83.12,83.14,181,0,0
1484618400,83.15,83.54,82.27,82.42,182,0,0
1484704800,82.41,83.21,82.19,82.56,190,0,0
