time,open,high,low,close,tick_volume,spread,real_volume
1536361200,114.575,114.605,114.438,114.529,1267,16,0
1536537600,114.587,114.587,114.456,114.515,1191,44,0
1536541200,114.530,114.623,114.518,114.532,2360,30,0
1536544800,114.529,114.539,114.442,114.488,2119,17,0
1536548400,114.489,114.542,114.437,114.506,2900,8,0
1536552000,114.506,114.506,114.376,114.437,4297,10,0
1536555600,114.438,114.514,114.407,114.486,3558,13,0
1536559200,114.485,114.485,114.424,114.449,2587,9,0
1536562800,114.449,114.474,114.358,114.394,2010,14,0
1536566400,114.393,114.438,114.361,114.438,1359,15,0
1536570000,114.438,114.438,114.299,114.380,3316,13,0
1536573600,114.380,114.522,114.339,114.451,5432,9,0
1536577200,114.451,114.496,114.277,114.334,4787,12,0
1536580800,114.334,114.390,114.143,114.154,3738,9,0
1536584400,114.161,114.234,114.112,114.122,3464,11,0
1536588000,114.122,114.124,113.983,114.084,3397,8,0
1536591600,114.085,114.149,113.972,114.113,4224,9,0
1536595200,114.117,114.258,114.100,114.172,6287,8,0
1536598800,114.172,114.278,114.152,114.228,5316,12,0
1536602400,114.228,114.237,114.052,114.052,5209,8,0
1536606000,114.053,114.067,113.933,114.014,4151,8,0
1536609600,114.010,114.043,113.969,114.018,2696,13,0
1536613200,114.017,114.072,113.942,114.057,2067,14,0
1536616800,114.056,114.082,113.997,114.028,2095,15,0
1536620400,114.026,114.041,113.971,113.976,957,16,0
1536624000,113.916,113.977,113.850,113.938,1176,8,0
1536627600,113.943,114.037,113.934,114.020,999,25,0
1536631200,114.023,114.031,113.955,114.009,877,17,0
1536634800,114.013,114.236,114.000,114.187,3201,15,0
1536638400,114.186,114.243,114.118,114.226,3988,15,0
1536642000,114.225,114.260,114.166,114.212,2276,15,0
1536645600,114.211,114.304,114.186,114.296,2623,16,0
1536649200,114.296,114.325,114.252,114.272,1684,15,0
1536652800,114.271,114.402,114.267,114.332,2614,15,0
1536656400,114.331,114.369,114.208,114.274,3386,12,0
1536660000,114.277,114.599,114.273,114.509,4739,8,0
1536663600,114.509,114.590,114.292,114.332,4807,10,0
1536667200,114.332,114.364,114.218,114.261,4687,11,0
1536670800,114.258,114.401,114.229,114.393,3204,10,0
1536674400,114.392,114.421,114.314,114.352,3188,10,0
1536678000,114.353,114.390,114.204,114.350,4777,9,0
1536681600,114.351,114.451,114.333,114.432,4936,8,0
1536685200,114.431,114.581,114.389,114.415,5954,10,0
1536688800,114.414,114.560,114.414,114.554,4793,11,0
1536692400,114.551,114.684,114.539,114.621,3655,8,0
1536696000,114.620,114.667,114.581,114.612,3289,8,0
1536699600,114.612,114.652,114.574,114.620,2698,15,0
1536703200,114.616,114.706,114.583,114.705,2273,16,0
1536706800,114.708,114.779,114.690,114.751,1549,17,0
1536710400,114.728,114.779,114.670,114.714,2797,33,0
1536714000,114.708,114.775,114.701,114.755,1540,26,0
1536717600,114.746,114.756,114.663,114.714,1700,17,0
1536721200,114.715,114.715,114.518,114.572,3441,15,0
1536724800,114.572,114.609,114.460,114.477,3090,14,0
1536728400,114.480,114.492,114.443,114.492,2031,13,0
1536732000,114.492,114.515,114.446,114.447,1749,17,0
1536735600,114.447,114.462,114.416,114.446,1678,15,0
1536739200,114.448,114.512,114.397,114.445,2151,15,0
1536742800,114.445,114.608,114.444,114.514,2790,13,0
1536746400,114.512,114.546,114.418,114.424,3874,12,0
1536750000,114.423,114.499,114.349,114.407,4392,10,0
1536753600,114.407,114.556,114.390,114.521,3340,11,0
1536757200,114.519,114.593,114.499,114.516,2859,10,0
1536760800,114.515,114.621,114.403,114.463,4767,11,0
1536764400,114.462,114.521,114.339,114.341,4478,11,0
1536768000,114.341,114.475,114.315,114.464,4579,10,0
1536771600,114.464,114.683,114.453,114.553,6051,8,0
1536775200,114.551,114.810,114.551,114.686,7540,8,0
1536778800,114.686,114.765,114.612,114.693,4827,11,0
1536782400,114.690,114.722,114.581,114.647,3674,13,0
1536786000,114.647,114.676,114.608,114.655,3103,16,0
1536789600,114.652,114.679,114.618,114.633,2438,15,0
1536793200,114.631,114.674,114.574,114.609,1442,17,0
1536796800,114.590,114.667,114.489,114.635,5491,50,0
1536800400,114.635,114.658,114.610,114.647,1061,27,0
1536804000,114.654,114.675,114.613,114.626,1786,17,0
1536807600,114.624,114.845,114.579,114.833,3320,16,0
1536811200,114.833,114.930,114.801,114.834,2917,15,0
1536814800,114.835,114.890,114.782,114.883,2160,16,0
1536818400,114.884,114.945,114.874,114.909,1631,16,0
1536822000,114.908,114.963,114.874,114.874,1496,17,0
1536825600,114.873,114.977,114.870,114.911,1918,14,0
1536829200,114.915,115.009,114.880,114.948,2753,13,0
1536832800,114.948,115.038,114.917,114.923,3755,12,0
1536836400,114.927,114.970,114.895,114.904,3166,12,0
1536840000,114.904,114.961,114.861,114.880,3539,12,0
1536843600,114.886,115.034,114.881,115.005,2524,11,0
1536847200,115.007,115.162,115.000,115.072,4267,9,0
1536850800,115.072,115.340,114.992,115.338,7784,9,0
1536854400,115.340,115.500,115.243,115.431,8388,8,0
1536858000,115.431,115.733,115.431,115.568,9324,9,0
1536861600,115.569,115.684,115.532,115.625,5082,8,0
1536865200,115.626,115.646,115.590,115.613,3306,8,0
1536868800,115.611,115.788,115.609,115.767,3214,14,0
1536872400,115.771,115.856,115.729,115.840,2934,8,0
1536876000,115.838,115.994,115.835,115.963,2893,15,0
1536879600,115.962,115.997,115.843,115.918,1257,16,0
1536883200,115.881,115.920,115.600,115.858,6074,38,0
1536886800,115.858,116.066,115.816,116.062,2830,25,0
1536890400,116.058,116.082,115.911,115.929,2110,18,0
1536894000,115.930,115.990,115.875,115.969,3248,14,0
1536897600,115.969,115.980,115.890,115.901,2627,15,0
1536901200,115.903,115.967,115.838,115.901,2830,14,0
1536904800,115.902,115.959,115.893,115.908,2301,16,0
1536908400,115.908,115.914,115.839,115.891,1943,15,0
1536912000,115.890,115.927,115.868,115.914,1997,14,0
1536915600,115.917,116.005,115.881,115.936,3146,8,0
1536919200,115.938,116.044,115.868,116.006,3668,12,0
1536922800,116.003,116.097,115.981,115.990,3392,10,0
1536926400,115.988,116.043,115.924,115.941,2961,11,0
1536930000,115.940,115.975,115.892,115.975,2718,10,0
1536933600,115.976,116.084,115.936,115.944,3753,11,0
1536937200,115.943,116.066,115.911,115.964,5907,9,0
1536940800,115.961,115.985,115.840,115.890,6246,9,0
1536944400,115.889,116.054,115.851,116.039,6548,11,0
1536948000,116.039,116.073,115.939,115.970,5214,11,0
1536951600,115.971,115.981,115.701,115.872,7054,8,0
1536955200,115.868,115.869,115.766,115.852,4164,15,0
1536958800,115.851,115.872,115.801,115.850,2199,14,0
1536962400,115.851,115.885,115.768,115.804,2386,12,0
1536966000,115.801,115.838,115.767,115.825,1366,19,0
1537142400,115.714,115.826,115.684,115.701,571,86,0
1537146000,115.718,115.824,115.701,115.741,2130,25,0
1537149600,115.736,115.816,115.729,115.746,1650,16,0
1537153200,115.746,115.891,115.723,115.879,2743,15,0
1537156800,115.878,115.910,115.795,115.795,1727,16,0
1537160400,115.794,115.813,115.735,115.805,1728,16,0
1537164000,115.803,115.803,115.743,115.751,1386,15,0
1537167600,115.752,115.773,115.726,115.753,1514,15,0
1537171200,115.753,115.764,115.709,115.750,1089,14,0
1537174800,115.749,115.855,115.749,115.824,3420,12,0
1537178400,115.826,115.915,115.730,115.892,3988,9,0
1537182000,115.891,116.009,115.847,115.994,3867,9,0
1537185600,115.994,116.121,115.960,116.011,3130,8,0
1537189200,116.010,116.214,115.995,116.214,3373,13,0
1537192800,116.213,116.306,116.179,116.285,3635,8,0
1537196400,116.284,116.460,116.262,116.322,4754,8,0
1537200000,116.323,116.423,116.288,116.408,4497,8,0
1537203600,116.406,116.439,116.224,116.324,4819,12,0
1537207200,116.323,116.379,116.295,116.373,3791,12,0
1537210800,116.373,116.429,116.323,116.354,3036,8,0
1537214400,116.352,116.410,116.297,116.319,3807,11,0
1537218000,116.319,116.350,116.227,116.244,2466,14,0
1537221600,116.245,116.275,116.176,116.247,3816,16,0
1537225200,116.246,116.281,116.200,116.201,1893,17,0
1537228800,116.182,116.211,116.103,116.194,1364,19,0
1537232400,116.192,116.218,116.001,116.007,3814,18,0
1537236000,116.007,116.063,115.974,116.010,2599,17,0
1537239600,116.009,116.163,115.989,116.092,3378,14,0
1537243200,116.092,116.267,116.052,116.230,4699,14,0
1537246800,116.228,116.309,116.198,116.306,3172,14,0
1537250400,116.306,116.414,116.304,116.353,4761,8,0
1537254000,116.352,116.427,116.333,116.384,2626,15,0
1537257600,116.384,116.467,116.363,116.446,3039,8,0
1537261200,116.448,116.776,116.414,116.676,7649,11,0
1537264800,116.675,116.690,116.304,116.460,8550,11,0
1537268400,116.462,116.557,116.366,116.554,5035,12,0
1537272000,116.553,116.564,116.418,116.472,3494,12,0
1537275600,116.472,116.594,116.448,116.549,3985,8,0
1537279200,116.550,116.651,116.431,116.643,4462,9,0
1537282800,116.643,116.734,116.569,116.716,5846,9,0
1537286400,116.716,116.911,116.632,116.719,7794,8,0
1537290000,116.718,116.814,116.672,116.757,7793,12,0
1537293600,116.753,116.783,116.662,116.734,4985,10,0
1537297200,116.734,116.765,116.422,116.474,5114,11,0
1537300800,116.474,116.530,116.401,116.434,3549,11,0
1537304400,116.435,116.504,116.376,116.435,2882,14,0
1537308000,116.436,116.436,116.363,116.405,2827,16,0
1537311600,116.406,116.507,116.382,116.482,1273,14,0
1537315200,116.367,116.543,116.367,116.447,5095,37,0
1537318800,116.441,116.548,116.438,116.547,1744,27,0
1537322400,116.546,116.569,116.483,116.491,1599,17,0
1537326000,116.492,116.520,116.386,116.398,3379,15,0
1537329600,116.398,116.450,116.374,116.401,2685,16,0
1537333200,116.401,116.433,116.355,116.386,2533,16,0
1537336800,116.387,116.569,116.379,116.499,4406,14,0
1537340400,116.500,116.534,116.470,116.513,2348,15,0
1537344000,116.514,116.540,116.422,116.475,2144,12,0
1537347600,116.477,116.519,116.399,116.412,3372,9,0
1537351200,116.413,116.514,116.375,116.476,5072,12,0
1537354800,116.475,116.568,116.399,116.405,5837,12,0
1537358400,116.404,116.413,116.223,116.264,4716,8,0
1537362000,116.263,116.265,116.055,116.055,3423,8,0
1537365600,116.054,116.100,115.875,115.930,5369,9,0
1537369200,115.930,115.978,115.811,115.926,6027,9,0
1537372800,115.926,115.941,115.774,115.875,6379,11,0
1537376400,115.873,116.067,115.741,116.039,7484,8,0
1537380000,116.041,116.146,115.971,116.023,5902,11,0
1537383600,116.027,116.095,116.001,116.091,3340,11,0
1537387200,116.086,116.144,116.025,116.131,3275,15,0
1537390800,116.130,116.142,116.066,116.070,2343,14,0
1537394400,116.070,116.097,116.032,116.040,2072,16,0
1537398000,116.039,116.096,116.001,116.089,1519,16,0
1537401600,116.085,116.125,115.950,115.998,4641,49,0
1537405200,115.994,116.102,115.979,116.032,5666,9,0
1537408800,116.016,116.122,116.016,116.110,3370,19,0
1537412400,116.111,116.172,116.022,116.086,3523,16,0
1537416000,116.086,116.103,115.964,116.033,3275,13,0
1537419600,116.030,116.052,115.912,115.974,2826,16,0
1537423200,115.974,116.044,115.934,115.998,1705,16,0
1537426800,115.999,116.011,115.912,115.958,2299,16,0
1537430400,115.961,116.018,115.864,115.957,2718,16,0
1537434000,115.961,116.105,115.926,116.055,3452,13,0
1537437600,116.057,116.250,115.995,116.092,4948,12,0
1537441200,116.093,116.198,116.045,116.177,5362,12,0
1537444800,116.177,116.234,116.134,116.171,3723,12,0
1537448400,116.171,116.282,116.106,116.268,4593,13,0
1537452000,116.269,116.597,116.224,116.572,5786,12,0
1537455600,116.571,116.721,116.549,116.612,7537,10,0
1537459200,116.610,116.826,116.560,116.748,7372,11,0
1537462800,116.728,117.129,116.727,116.985,7089,11,0
1537466400,116.986,117.173,116.926,116.969,8047,10,0
1537470000,116.971,117.064,116.942,117.026,4800,12,0
1537473600,117.024,117.148,117.009,117.122,3638,15,0
1537477200,117.123,117.239,117.095,117.215,2771,15,0
1537480800,117.217,117.253,117.164,117.174,2608,15,0
1537484400,117.176,117.308,117.175,117.307,1180,8,0
1537488000,117.239,117.313,117.218,117.274,6739,38,0
1537491600,117.273,117.334,117.261,117.300,926,27,0
1537495200,117.297,117.320,117.244,117.315,1550,19,0
1537498800,117.317,117.405,117.305,117.361,3170,8,0
1537502400,117.360,117.403,117.325,117.351,2784,15,0
1537506000,117.350,117.577,117.350,117.567,3721,13,0
1537509600,117.569,117.644,117.538,117.608,3346,8,0
1537513200,117.610,117.623,117.509,117.552,2180,15,0
1537516800,117.554,117.668,117.554,117.618,2605,14,0
1537520400,117.619,117.713,117.603,117.636,4754,13,0
1537524000,117.637,117.974,117.616,117.694,8906,11,0
1537527600,117.698,117.953,117.670,117.898,5618,12,0
1537531200,117.903,118.058,117.875,117.938,4526,11,0
1537534800,117.939,118.007,117.795,117.809,4574,10,0
1537538400,117.810,118.026,117.805,117.969,4575,12,0
1537542000,117.970,118.047,117.824,117.863,6183,8,0
1537545600,117.863,117.865,117.644,117.682,8602,8,0
1537549200,117.682,117.714,117.469,117.469,6919,12,0
1537552800,117.471,117.538,117.360,117.407,5667,12,0
1537556400,117.408,117.443,117.321,117.388,3578,9,0
1537560000,117.385,117.453,117.365,117.412,2294,14,0
1537563600,117.413,117.464,117.370,117.379,2364,12,0
1537567200,117.380,117.405,117.333,117.399,1981,13,0
1537570800,117.399,117.533,117.340,117.400,1266,18,0
1537747200,117.196,117.393,117.161,117.325,778,47,0
1537750800,117.344,117.458,117.344,117.416,1631,35,0
1537754400,117.411,117.445,117.345,117.376,1118,18,0
1537758000,117.375,117.429,117.346,117.381,1288,15,0
1537761600,117.382,117.384,117.272,117.316,2126,15,0
1537765200,117.316,117.352,117.284,117.333,1343,15,0
1537768800,117.334,117.347,117.306,117.347,1031,15,0
1537772400,117.346,117.346,117.306,117.311,823,14,0
1537776000,117.312,117.330,117.255,117.268,1434,11,0
1537779600,117.268,117.271,117.116,117.243,3535,9,0
1537783200,117.243,117.329,117.211,117.215,4652,11,0
1537786800,117.216,117.475,117.216,117.458,4598,8,0
1537790400,117.457,117.557,117.417,117.487,3375,9,0
1537794000,117.487,117.524,117.401,117.408,3279,11,0
1537797600,117.409,117.432,117.336,117.347,3133,13,0
1537801200,117.348,117.422,117.251,117.272,3897,8,0
1537804800,117.270,117.550,117.263,117.352,8537,8,0
1537808400,117.350,117.354,117.050,117.191,7510,8,0
1537812000,117.190,117.240,116.990,117.054,5536,12,0
1537815600,117.054,117.132,117.045,117.078,2799,12,0
1537819200,117.076,117.086,117.023,117.057,2261,13,0
1537822800,117.058,117.104,116.982,117.009,1727,11,0
1537826400,117.009,117.009,116.842,116.852,1869,15,0
1537830000,116.851,116.955,116.851,116.889,1435,12,0
1537833600,117.051,117.092,116.848,116.877,5011,35,0
1537837200,116.877,116.941,116.877,116.893,2069,29,0
1537840800,116.889,116.984,116.886,116.908,2143,17,0
1537844400,116.907,117.112,116.906,117.029,3496,13,0
1537848000,117.028,117.061,116.858,116.877,2612,16,0
1537851600,116.877,116.893,116.762,116.798,2387,15,0
1537855200,116.799,116.799,116.711,116.754,1370,15,0
1537858800,116.753,116.828,116.746,116.800,1635,16,0
1537862400,116.800,116.851,116.783,116.797,2254,14,0
1537866000,116.796,116.934,116.772,116.858,5561,13,0
1537869600,116.859,117.015,116.773,116.978,7508,13,0
1537873200,116.977,116.995,116.720,116.773,6746,13,0
1537876800,116.772,116.823,116.703,116.805,4686,12,0
1537880400,116.806,116.888,116.759,116.834,3967,8,0
1537884000,116.833,116.854,116.728,116.804,5209,12,0
1537887600,116.804,116.810,116.710,116.789,4707,11,0
1537891200,116.788,116.977,116.761,116.881,5114,11,0
1537894800,116.880,117.121,116.873,117.109,6255,8,0
1537898400,117.107,117.115,116.923,117.017,4951,11,0
1537902000,117.017,117.153,116.990,117.128,2422,11,0
1537905600,117.126,117.171,117.054,117.056,3234,15,0
1537909200,117.056,117.086,117.017,117.031,2089,11,0
1537912800,117.030,117.061,117.024,117.044,1884,12,0
1537916400,117.042,117.063,117.017,117.055,863,16,0
1537920000,117.044,117.065,116.916,117.007,5399,35,0
1537923600,117.006,117.072,116.991,117.052,2147,33,0
1537927200,117.045,117.080,117.016,117.033,1046,18,0
1537930800,117.032,117.076,116.948,116.952,3190,16,0
1537934400,116.954,117.033,116.952,117.008,2892,15,0
1537938000,117.007,117.058,117.003,117.041,2380,16,0
1537941600,117.042,117.112,117.034,117.111,1860,16,0
1537945200,117.110,117.110,117.032,117.038,2034,14,0
1537948800,117.037,117.106,117.016,117.016,1856,15,0
1537952400,117.016,117.039,116.853,116.922,4089,12,0
1537956000,116.923,116.983,116.861,116.886,5017,13,0
1537959600,116.882,116.965,116.863,116.912,3956,12,0
1537963200,116.916,116.959,116.784,116.823,4276,10,0
1537966800,116.823,116.828,116.581,116.598,4584,11,0
1537970400,116.598,116.659,116.561,116.604,5111,9,0
1537974000,116.603,116.690,116.538,116.565,4255,8,0
1537977600,116.566,116.602,116.526,116.584,4801,11,0
1537981200,116.588,116.776,116.452,116.770,6426,8,0
1537984800,116.769,116.771,116.618,116.640,3976,11,0
1537988400,116.641,116.890,116.638,116.851,3281,9,0
1537992000,116.849,117.086,116.849,116.951,3815,8,0
1537995600,116.952,117.197,116.848,116.934,11987,13,0
1537999200,116.929,116.991,116.753,116.771,8013,10,0
1538002800,116.772,116.796,116.655,116.725,2624,17,0
1538006400,116.626,116.809,116.622,116.698,8472,33,0
1538010000,116.702,116.844,116.691,116.837,1935,8,0
1538013600,116.823,116.845,116.759,116.766,1495,8,0
1538017200,116.767,116.908,116.736,116.886,4233,16,0
1538020800,116.887,116.913,116.758,116.771,3735,16,0
1538024400,116.775,116.797,116.716,116.762,2215,17,0
1538028000,116.763,116.778,116.645,116.699,3184,16,0
1538031600,116.698,116.761,116.677,116.720,1971,16,0
1538035200,116.719,116.735,116.385,116.458,5402,8,0
1538038800,116.457,116.505,116.345,116.384,7007,13,0
1538042400,116.384,116.463,116.088,116.169,9973,8,0
1538046000,116.169,116.325,116.138,116.228,6720,8,0
1538049600,116.228,116.431,116.191,116.271,5328,13,0
1538053200,116.270,116.355,116.160,116.231,5485,8,0
1538056800,116.233,116.257,116.085,116.199,4753,8,0
1538060400,116.199,116.237,116.006,116.079,7393,8,0
1538064000,116.082,116.092,115.923,116.034,6753,9,0
1538067600,116.033,116.154,115.984,116.063,8621,10,0
