time,open,high,low,close,tick_volume,spread,real_volume
1438225200,7.915,8.228,7.907,8.180,378,0,0
1438311600,8.220,8.233,8.017,8.132,345,0,0
1438570800,8.115,8.258,8.077,8.215,263,0,0
1438657200,8.203,8.236,8.088,8.195,289,0,0
1438743600,8.220,8.423,8.207,8.395,258,0,0
1438830000,8.373,8.538,8.340,8.451,319,0,0
1438916400,8.430,8.463,8.302,8.360,253,0,0
1439175600,8.355,8.493,8.275,8.473,319,0,0
1439262000,8.448,8.468,8.318,8.353,206,0,0
1439348400,8.273,8.278,7.930,7.990,414,0,0
1439434800,8.090,8.165,7.937,8.075,442,0,0
1439521200,8.078,8.156,7.953,8.010,339,0,0
1439780400,8.055,8.078,7.807,7.920,408,0,0
1439866800,7.883,7.926,7.713,7.760,304,0,0
1439953200,7.705,7.728,7.557,7.562,200,0,0
1440039600,7.515,7.570,7.262,7.295,397,0,0
1440126000,7.143,7.348,6.978,6.980,578,0,0
1440385200,6.723,6.888,6.543,6.695,663,0,0
1440471600,6.795,7.033,6.757,7.023,325,0,0
1440558000,6.955,7.143,6.932,7.025,353,0,0
1440644400,7.130,7.243,7.052,7.213,300,0,0
1440730800,7.175,7.185,6.980,7.115,351,0,0
1440990000,7.130,7.178,7.005,7.027,244,0,0
1441076400,6.963,7.001,6.770,6.823,323,0,0
1441162800,6.798,6.863,6.733,6.763,226,0,0
1441249200,6.755,6.953,6.687,6.940,348,0,0
1441335600,6.835,6.865,6.587,6.647,369,0,0
1441594800,6.685,6.705,6.585,6.667,223,0,0
1441681200,6.733,6.833,6.693,6.763,251,0,0
1441767600,6.883,6.898,6.723,6.750,218,0,0
1441854000,6.665,6.678,6.545,6.620,222,0,0
1441940400,6.643,6.693,6.533,6.565,243,0,0
1442199600,6.560,6.615,6.455,6.505,266,0,0
1442286000,6.493,6.543,6.358,6.538,326,0,0
1442372400,6.568,6.766,6.568,6.761,204,0,0
1442458800,6.768,6.771,6.620,6.685,220,0,0
1442545200,6.643,6.656,6.378,6.460,374,0,0
1442804400,6.423,6.511,6.330,6.408,348,0,0
1442890800,6.403,6.413,6.105,6.205,419,0,0
1442977200,6.198,6.303,6.085,6.160,399,0,0
1443063600,6.108,6.118,5.788,5.803,356,0,0
1443150000,5.873,6.046,5.860,5.963,283,0,0
1443409200,5.930,5.940,5.765,5.775,196,0,0
1443495600,5.705,5.798,5.655,5.713,279,0,0
1443582000,5.793,5.818,5.678,5.808,266,0,0
1443668400,5.875,5.925,5.762,5.772,224,0,0
1443754800,5.835,6.003,5.797,5.953,295,0,0
1444014000,6.023,6.313,6.020,6.243,367,0,0
1444100400,6.275,6.338,6.162,6.305,323,0,0
1444186800,6.340,6.555,6.315,6.393,428,0,0
1444273200,6.393,6.433,6.313,6.330,178,0,0
1444359600,6.468,6.513,6.418,6.463,186,0,0
1444618800,6.475,6.665,6.465,6.478,398,0,0
1444705200,6.425,6.425,6.265,6.310,206,0,0
1444791600,6.290,6.433,6.207,6.298,445,0,0
1444878000,6.333,6.333,6.120,6.140,234,0,0
1444964400,6.158,6.168,5.873,5.928,361,0,0
1445223600,5.910,5.943,5.782,5.857,270,0,0
1445310000,5.803,5.846,5.688,5.818,302,0,0
1445396400,5.858,5.991,5.838,5.901,264,0,0
1445482800,5.875,6.128,5.837,6.110,348,0,0
1445569200,6.143,6.271,6.100,6.258,228,0,0
1445824800,6.265,6.283,6.172,6.177,135,0,0
1445911200,6.173,6.253,6.008,6.023,341,0,0
1445997600,6.028,6.228,5.998,6.181,308,0,0
1446084000,6.253,6.298,5.933,6.145,623,0,0
1446170400,6.178,6.231,6.138,6.175,184,0,0
1446429600,6.128,6.278,6.118,6.231,218,0,0
1446516000,6.233,6.368,6.213,6.336,208,0,0
1446602400,6.355,6.638,6.350,6.478,454,0,0
1446688800,6.493,6.528,6.338,6.400,288,0,0
1446775200,6.375,6.465,6.312,6.445,237,0,0
1447034400,6.450,6.623,6.395,6.400,407,0,0
1447120800,6.410,6.463,6.350,6.455,182,0,0
1447207200,6.480,6.623,6.452,6.467,330,0,0
1447293600,6.435,6.440,6.177,6.230,322,0,0
1447380000,6.178,6.363,6.173,6.293,266,0,0
1447639200,6.150,6.160,5.902,5.975,342,0,0
1447725600,6.010,6.115,5.975,6.043,248,0,0
1447812000,6.018,6.306,5.953,6.296,429,0,0
1447898400,6.333,6.368,6.198,6.308,316,0,0
1447984800,6.318,6.356,6.198,6.278,277,0,0
1448244000,6.288,6.568,6.233,6.493,466,0,0
1448330400,6.413,6.448,6.165,6.215,369,0,0
1448416800,6.253,6.593,6.203,6.551,483,0,0
1448503200,6.543,6.878,6.543,6.868,346,0,0
1448589600,6.838,6.851,6.755,6.820,175,0,0
1448848800,6.810,6.923,6.772,6.918,195,0,0
1448935200,6.950,7.028,6.840,6.840,267,0,0
