time,open,high,low,close,tick_volume,spread,real_volume
946864800,46.50,46.63,45.25,45.31,158,0,0
946951200,44.88,45.25,44.19,44.44,169,0,0
947037600,44.69,44.94,43.19,43.63,245,0,0
947124000,43.75,45.63,43.25,45.13,339,0,0
947210400,45.50,45.81,45.00,45.13,126,0,0
947469600,45.31,45.31,44.56,45.00,120,0,0
947556000,45.00,45.25,44.50,44.94,145,0,0
947642400,44.69,44.88,43.88,44.06,138,0,0
947728800,44.63,44.69,44.00,44.13,89,0,0
947815200,44.13,44.13,43.00,43.75,189,0,0
948160800,43.56,44.50,43.56,44.44,101,0,0
948247200,44.81,44.81,43.63,44.06,162,0,0
948333600,43.88,43.88,42.38,42.81,194,0,0
948420000,43.19,43.69,42.25,42.69,239,0,0
948679200,43.06,43.19,41.50,41.75,208,0,0
948765600,42.06,42.56,41.19,42.25,256,0,0
948852000,42.50,42.50,40.75,41.19,220,0,0
948938400,41.19,41.19,39.94,40.50,182,0,0
949024800,40.44,40.69,39.25,39.88,233,0,0
949284000,39.75,41.00,39.25,40.88,238,0,0
949370400,40.88,41.13,39.94,40.69,220,0,0
949456800,40.50,41.38,39.81,40.13,278,0,0
949543200,40.13,40.38,39.31,39.38,140,0,0
949629600,39.13,39.31,38.44,39.00,162,0,0
949888800,40.00,40.13,39.56,40.00,115,0,0
949975200,40.56,40.56,38.63,39.00,231,0,0
950061600,39.75,39.75,37.88,38.13,213,0,0
950148000,38.19,39.38,37.81,38.00,296,0,0
950234400,38.25,38.31,37.06,37.44,170,0,0
950493600,37.50,38.13,36.94,37.63,226,0,0
950580000,37.88,38.44,37.75,38.25,102,0,0
950666400,37.88,39.63,37.69,39.50,227,0,0
950752800,39.31,39.75,39.13,39.50,106,0,0
950839200,40.50,40.50,38.06,38.75,314,0,0
951184800,38.63,39.31,38.38,39.06,144,0,0
951271200,38.94,38.94,37.25,37.56,201,0,0
951357600,37.31,37.50,36.06,36.25,183,0,0
951444000,36.75,37.31,35.94,36.88,262,0,0
951703200,37.25,37.88,36.31,37.13,303,0,0
951789600,36.25,38.44,36.25,38.13,251,0,0
951876000,38.25,38.69,37.00,38.69,295,0,0
951962400,38.44,38.94,37.38,38.06,275,0,0
952048800,38.25,38.25,37.44,38.13,151,0,0
952308000,38.06,38.50,37.44,38.50,169,0,0
952394400,38.75,40.56,38.25,40.50,288,0,0
952480800,40.25,41.19,39.19,40.44,382,0,0
952567200,40.63,40.75,39.25,40.25,263,0,0
952653600,40.50,41.25,39.63,39.75,250,0,0
952912800,39.50,40.44,39.31,39.44,221,0,0
952999200,39.44,39.44,37.81,39.44,327,0,0
953085600,39.75,40.00,38.25,40.00,326,0,0
953172000,42.50,43.81,41.56,43.13,388,0,0
953258400,43.00,43.38,41.06,41.44,309,0,0
953517600,41.69,41.81,40.69,41.56,212,0,0
953604000,42.00,43.50,41.88,43.50,175,0,0
953690400,43.50,43.94,42.25,42.56,245,0,0
953776800,42.81,43.00,42.50,42.63,83,0,0
953863200,43.88,44.13,42.81,42.94,171,0,0
954126000,42.75,43.38,41.44,43.00,364,0,0
954212400,42.75,43.56,42.75,43.13,125,0,0
954298800,43.00,44.75,42.94,44.44,219,0,0
954385200,44.50,46.06,44.38,45.63,224,0,0
954471600,45.56,47.13,45.25,46.25,308,0,0
954730800,46.13,47.00,46.06,46.50,152,0,0
954817200,46.25,47.06,45.50,46.13,301,0,0
954903600,45.88,46.50,45.50,45.63,176,0,0
954990000,45.69,46.81,45.56,46.56,164,0,0
955076400,46.81,46.81,45.75,46.06,138,0,0
955335600,46.00,46.19,45.56,45.69,96,0,0
955422000,45.69,47.13,45.56,46.88,196,0,0
955508400,47.25,48.75,47.25,47.94,232,0,0
955594800,47.88,49.00,47.50,48.00,289,0,0
955681200,48.00,48.94,47.69,48.94,157,0,0
955940400,48.75,48.75,46.75,47.06,232,0,0
956026800,47.00,47.63,46.75,46.94,171,0,0
956113200,46.94,48.13,46.94,47.69,164,0,0
956199600,47.44,47.63,47.00,47.56,115,0,0
956545200,47.81,49.00,47.75,49.00,132,0,0
956631600,49.31,49.88,49.13,49.50,132,0,0
956718000,49.50,49.50,49.13,49.50,75,0,0
956804400,49.13,49.44,48.75,48.94,120,0,0
956890800,49.25,49.25,47.44,47.44,182,0,0
957150000,47.75,48.88,47.69,48.44,170,0,0
957236400,48.19,49.00,48.19,48.38,144,0,0
957322800,48.13,48.31,47.69,48.25,113,0,0
