time,open,high,low,close,tick_volume,spread,real_volume
946864800,91.06,91.06,87.94,89.00,419,0,0
946951200,88.94,89.12,83.94,84.12,555,0,0
947037600,84.44,85.87,83.69,85.56,325,0,0
947124000,86.62,89.12,86.50,87.28,459,0,0
947210400,86.87,93.25,86.81,93.06,670,0,0
947469600,93.06,95.06,91.81,95.00,457,0,0
947556000,94.25,95.12,91.50,91.62,462,0,0
947642400,93.12,94.50,89.87,91.50,765,0,0
947728800,92.56,96.12,90.87,94.94,813,0,0
947815200,48.13,50.25,48.00,49.06,358,0,0
948160800,48.75,51.75,48.25,51.25,451,0,0
948247200,51.94,53.13,50.13,51.88,595,0,0
948333600,52.38,53.13,50.00,50.00,389,0,0
948420000,51.44,51.50,48.00,48.50,407,0,0
948679200,48.19,51.25,46.50,47.00,832,0,0
948765600,47.56,49.75,45.75,49.69,588,0,0
948852000,49.13,52.00,48.69,50.44,532,0,0
948938400,50.56,51.38,46.50,48.94,815,0,0
949024800,48.63,49.75,45.88,46.00,512,0,0
949284000,46.06,49.50,45.00,48.94,613,0,0
949370400,49.31,52.13,48.00,51.88,570,0,0
949456800,52.00,54.00,51.00,53.94,407,0,0
949543200,54.00,55.00,53.25,54.19,332,0,0
949629600,54.75,55.19,52.63,53.00,338,0,0
949888800,52.00,52.25,51.00,51.25,176,0,0
949975200,51.94,53.75,51.75,53.06,289,0,0
950061600,52.00,53.00,51.44,52.88,225,0,0
950148000,52.81,52.88,51.88,52.13,133,0,0
950234400,52.13,52.31,51.00,51.69,219,0,0
950493600,51.56,51.63,50.00,50.75,246,0,0
950580000,50.06,50.50,48.50,49.38,333,0,0
950666400,49.19,49.31,46.38,47.75,443,0,0
950752800,48.00,48.00,43.50,44.00,501,0,0
950839200,43.75,45.94,41.88,44.94,694,0,0
951184800,44.81,45.25,42.63,44.00,444,0,0
951271200,44.38,45.25,43.64,44.56,305,0,0
951357600,44.70,45.06,43.00,44.38,381,0,0
951444000,44.25,48.34,43.75,47.56,588,0,0
951703200,47.25,50.63,47.25,48.94,508,0,0
951789600,48.88,50.00,48.13,49.63,300,0,0
951876000,49.44,49.81,46.13,46.50,443,0,0
951962400,47.56,51.88,47.50,49.63,670,0,0
952048800,50.19,51.25,48.88,49.94,450,0,0
952308000,49.88,50.25,49.13,50.13,200,0,0
952394400,50.03,50.06,45.00,45.38,548,0,0
952480800,46.31,46.38,42.38,45.63,733,0,0
952567200,45.50,45.56,43.69,44.56,281,0,0
952653600,44.69,46.25,43.94,44.13,407,0,0
952912800,44.00,45.00,42.38,43.00,425,0,0
952999200,43.50,45.50,43.13,43.31,456,0,0
953085600,43.19,50.50,43.00,49.81,839,0,0
953172000,48.88,56.06,48.25,55.95,856,0,0
953258400,54.75,54.88,52.25,53.94,446,0,0
953517600,53.75,53.88,51.00,52.31,433,0,0
953604000,52.13,53.25,52.00,52.19,245,0,0
953690400,52.31,55.00,52.13,52.88,518,0,0
953776800,52.75,54.00,52.00,53.63,313,0,0
953863200,53.81,55.06,53.31,53.88,344,0,0
954126000,53.25,54.63,52.75,53.44,358,0,0
954212400,53.25,55.69,50.25,51.13,877,0,0
954298800,51.19,51.19,49.44,50.50,282,0,0
954385200,50.28,52.31,49.75,50.25,510,0,0
954471600,51.31,52.75,49.50,52.56,526,0,0
954730800,51.50,53.25,49.94,52.50,563,0,0
954817200,53.94,55.25,49.75,54.06,1089,0,0
954903600,53.94,55.00,53.00,53.50,357,0,0
954990000,54.50,54.75,50.63,51.88,563,0,0
955076400,51.25,54.44,50.75,52.81,583,0,0
955335600,52.25,55.13,51.13,54.25,601,0,0
955422000,53.50,57.63,52.50,57.44,633,0,0
955508400,57.06,60.50,54.75,55.06,951,0,0
955594800,56.25,58.75,54.50,54.63,689,0,0
955681200,54.13,54.13,50.38,50.88,426,0,0
955940400,49.50,50.25,46.31,49.13,752,0,0
956026800,49.25,51.63,48.75,50.94,408,0,0
956113200,51.13,53.06,49.50,52.25,601,0,0
956199600,52.13,55.63,51.63,54.81,533,0,0
956545200,53.25,58.13,53.25,56.00,702,0,0
956631600,56.63,57.13,55.00,57.00,390,0,0
956718000,56.59,57.00,54.63,54.94,310,0,0
956804400,53.00,56.50,51.63,56.06,669,0,0
956890800,55.75,55.88,53.50,54.06,308,0,0
957150000,54.06,59.00,52.88,58.44,787,0,0
957236400,56.75,58.50,54.50,54.75,601,0,0
957322800,52.06,52.63,50.38,52.19,438,0,0
957409200,51.56,52.38,46.31,48.94,953,0,0
957495600,47.81,50.88,47.13,48.81,651,0,0
957754800,48.63,48.75,46.75,47.44,282,0,0
957841200,48.06,50.38,47.69,49.19,426,0,0
957927600,49.00,50.50,48.38,48.94,419,0,0
958014000,49.50,50.25,48.50,49.81,320,0,0
958100400,49.50,50.13,47.75,47.81,308,0,0
958359600,47.88,49.44,47.06,48.94,371,0,0
958446000,49.69,52.50,49.63,51.31,413,0,0
958532400,50.31,50.31,47.38,47.73,329,0,0
958618800,47.75,48.38,46.50,46.75,277,0,0
958705200,45.83,46.00,44.81,45.00,156,0,0
958964400,45.25,45.50,41.75,43.13,539,0,0
959050800,42.94,44.25,40.56,40.63,508,0,0
959137200,28.50,33.38,25.94,31.87,1152,0,0
959223600,32.00,32.50,29.69,30.00,363,0,0
959310000,30.62,31.37,30.06,30.87,238,0,0
959655600,31.75,32.88,31.31,32.50,240,0,0
959742000,32.50,32.81,31.62,31.94,183,0,0
959828400,32.69,32.69,31.87,32.38,134,0,0
959914800,32.94,34.44,32.38,34.25,282,0,0
960174000,34.25,34.31,33.00,33.25,163,0,0
960260400,33.00,33.06,31.75,31.75,138,0,0
960346800,32.06,33.50,32.00,32.75,232,0,0
960433200,32.81,32.88,31.94,32.06,114,0,0
960519600,32.38,32.69,31.75,32.31,182,0,0
960778800,32.25,32.25,31.31,31.44,108,0,0
960865200,31.44,34.69,31.25,32.13,620,0,0
960951600,32.50,33.50,32.00,32.56,295,0,0
961038000,32.88,33.56,32.00,33.19,282,0,0
961124400,33.38,33.44,32.25,32.50,151,0,0
961383600,32.25,32.94,31.94,32.00,176,0,0
961470000,32.56,32.63,31.37,31.62,159,0,0
961556400,31.62,33.00,31.50,32.38,225,0,0
961642800,32.44,33.36,31.94,32.00,241,0,0
961729200,32.00,32.50,31.50,32.00,201,0,0
961988400,32.19,32.25,31.75,31.87,69,0,0
962074800,31.87,33.19,31.81,33.00,164,0,0
962161200,33.00,33.13,32.06,32.31,146,0,0
