time,open,high,low,close,tick_volume,spread,real_volume
1632106800,3.00,3.02,2.88,2.94,23,0,0
1632193200,2.94,3.25,2.90,3.20,45,0,0
1632279600,3.17,3.30,3.16,3.29,17,0,0
1632366000,3.27,3.47,3.27,3.40,28,0,0
1632452400,3.41,3.51,3.31,3.32,32,0,0
1632711600,3.31,3.53,3.31,3.53,23,0,0
1632798000,3.52,3.55,3.47,3.51,16,0,0
1632884400,3.53,3.54,3.48,3.54,12,0,0
1632970800,3.53,3.56,3.42,3.42,18,0,0
1633057200,3.41,3.41,3.31,3.35,15,0,0
1633316400,3.35,3.48,3.35,3.43,19,0,0
1633402800,3.41,3.44,3.35,3.40,18,0,0
1633489200,3.42,3.44,3.38,3.39,10,0,0
1633575600,3.39,3.47,3.39,3.41,15,0,0
1633662000,3.41,3.43,3.34,3.42,18,0,0
1633921200,3.40,3.41,3.36,3.37,8,0,0
1634007600,3.35,3.38,3.33,3.37,9,0,0
1634094000,3.37,3.45,3.36,3.43,13,0,0
1634180400,3.44,3.46,3.41,3.45,10,0,0
1634266800,3.44,3.46,3.41,3.41,8,0,0
1634526000,3.42,3.42,3.36,3.36,7,0,0
1634612400,3.37,3.42,3.37,3.42,6,0,0
1634698800,3.42,3.44,3.40,3.40,7,0,0
1634785200,3.41,3.41,3.37,3.37,5,0,0
1634871600,3.38,3.40,3.37,3.39,6,0,0
1635130800,3.38,3.43,3.37,3.43,8,0,0
1635217200,3.42,3.43,3.40,3.42,7,0,0
1635303600,3.40,3.46,3.39,3.45,10,0,0
1635390000,3.43,3.49,3.42,3.48,10,0,0
1635476400,3.48,3.62,3.48,3.51,26,0,0
1635732000,3.48,3.49,3.42,3.47,14,0,0
1635818400,3.47,3.48,3.43,3.43,7,0,0
1635904800,3.43,3.48,3.43,3.47,7,0,0
1636077600,3.46,3.48,3.43,3.44,9,0,0
1636336800,3.44,3.47,3.41,3.43,12,0,0
1636423200,3.44,3.46,3.42,3.45,8,0,0
1636509600,3.44,3.46,3.44,3.46,3,0,0
1636596000,3.44,3.45,3.39,3.42,11,0,0
1636682400,3.43,3.46,3.41,3.41,9,0,0
1636941600,3.41,3.41,3.36,3.36,6,0,0
1637028000,3.39,3.43,3.38,3.42,8,0,0
1637114400,3.41,3.42,3.36,3.37,9,0,0
1637200800,3.36,3.38,3.34,3.37,8,0,0
1637287200,3.35,3.41,3.34,3.41,9,0,0
1637546400,3.38,3.40,3.35,3.38,11,0,0
1637632800,3.37,3.39,3.36,3.37,7,0,0
1637719200,3.36,3.42,3.36,3.41,8,0,0
1637805600,3.41,3.42,3.38,3.41,9,0,0
1637892000,3.40,3.40,3.35,3.36,7,0,0
1638151200,3.36,3.39,3.31,3.37,16,0,0
1638237600,3.37,3.38,3.34,3.36,8,0,0
1638324000,3.37,3.37,3.29,3.35,15,0,0
1638410400,3.37,3.38,3.32,3.36,12,0,0
1638496800,3.37,3.37,3.34,3.34,4,0,0
1638756000,3.33,3.38,3.33,3.37,7,0,0
1638842400,3.36,3.37,3.33,3.37,8,0,0
1638928800,3.37,3.39,3.36,3.38,6,0,0
1639015200,3.37,3.44,3.36,3.44,10,0,0
1639101600,3.42,3.47,3.41,3.47,8,0,0
1639360800,3.46,3.52,3.39,3.39,20,0,0
1639447200,3.40,3.45,3.39,3.44,9,0,0
1639533600,3.43,3.46,3.41,3.45,9,0,0
1639620000,3.44,3.46,3.41,3.45,10,0,0
1639706400,3.44,3.45,3.39,3.39,8,0,0
1639965600,3.38,3.38,3.35,3.36,5,0,0
1640052000,3.35,3.38,3.34,3.36,8,0,0
1640138400,3.35,3.40,3.35,3.38,8,0,0
1640224800,3.37,3.41,3.36,3.37,11,0,0
1640311200,3.38,3.39,3.37,3.38,5,0,0
1640570400,3.37,3.40,3.36,3.38,8,0,0
1640656800,3.37,3.40,3.36,3.40,6,0,0
1640743200,3.39,3.43,3.38,3.43,7,0,0
1640829600,3.42,3.43,3.40,3.41,6,0,0
1640916000,3.41,3.45,3.40,3.42,10,0,0
1641175200,3.41,3.49,3.41,3.49,9,0,0
1641261600,3.48,3.67,3.48,3.66,21,0,0
1641348000,3.68,3.77,3.58,3.59,30,0,0
1641434400,3.61,3.69,3.58,3.69,15,0,0
1641520800,3.68,3.70,3.60,3.61,14,0,0
1641780000,3.62,3.65,3.57,3.57,12,0,0
1641866400,3.56,3.64,3.51,3.63,20,0,0
1641952800,3.62,3.65,3.57,3.58,13,0,0
