time,open,high,low,close,tick_volume,spread,real_volume
1087959600,3.75,4.32,3.69,4.30,72,0,0
1088046000,4.39,4.42,4.12,4.19,41,0,0
1088132400,4.13,4.19,3.95,3.95,31,0,0
1088391600,4.00,4.05,3.86,4.00,39,0,0
1088478000,4.00,4.18,3.96,4.10,35,0,0
1088564400,4.10,4.24,4.01,4.02,39,0,0
1088650800,4.02,4.05,3.98,4.01,14,0,0
1088737200,4.02,4.24,4.01,4.24,25,0,0
1089082800,4.23,4.25,4.12,4.25,25,0,0
1089169200,4.22,4.22,4.01,4.08,29,0,0
1089255600,4.08,4.08,3.92,3.94,19,0,0
1089342000,3.98,4.14,3.98,4.10,21,0,0
1089601200,4.15,4.21,4.04,4.19,31,0,0
1089687600,4.18,4.18,4.02,4.02,17,0,0
1089774000,4.01,4.01,3.90,3.91,13,0,0
1089860400,3.94,3.95,3.74,3.84,33,0,0
1089946800,3.85,4.10,3.74,4.00,58,0,0
1090206000,4.01,4.04,3.96,4.00,16,0,0
1090292400,4.00,4.04,3.88,4.02,31,0,0
1090378800,4.02,4.02,2.76,2.92,143,0,0
1090465200,2.89,3.30,2.82,3.24,62,0,0
1090551600,3.24,3.38,3.19,3.26,37,0,0
1090810800,3.39,3.39,3.22,3.32,28,0,0
1090897200,3.34,3.36,3.28,3.28,11,0,0
1090983600,3.26,3.30,3.15,3.25,30,0,0
1091070000,3.25,3.34,3.24,3.24,20,0,0
1091156400,3.24,3.30,3.14,3.25,32,0,0
1091415600,3.24,3.27,3.14,3.20,23,0,0
1091502000,3.20,3.27,3.00,3.03,38,0,0
1091588400,3.03,3.04,2.99,3.00,8,0,0
1091674800,3.00,3.00,2.67,2.72,39,0,0
1091761200,2.72,2.75,2.68,2.69,12,0,0
1092020400,2.74,2.76,2.72,2.75,8,0,0
1092106800,2.75,2.76,2.72,2.75,9,0,0
1092193200,2.74,2.74,2.65,2.66,11,0,0
1092279600,2.68,2.68,2.48,2.50,23,0,0
1092366000,2.50,2.51,2.37,2.40,19,0,0
1092625200,2.40,2.46,2.25,2.43,40,0,0
