time,open,high,low,close,tick_volume,spread,real_volume
946864800,109.94,110.25,103.56,108.06,1151,0,0
946951200,105.50,107.00,101.75,102.00,701,0,0
947037600,100.06,104.50,97.25,101.69,1288,0,0
947124000,100.81,101.87,98.62,100.00,570,0,0
947210400,99.37,106.00,99.37,105.87,677,0,0
947469600,108.50,110.00,106.12,109.81,646,0,0
947556000,108.12,109.62,105.00,106.50,763,0,0
947642400,106.87,107.50,103.50,103.81,495,0,0
947728800,106.00,106.50,103.75,106.19,532,0,0
947815200,108.25,109.25,105.00,107.56,782,0,0
948160800,107.50,112.50,107.25,112.00,601,0,0
948247200,111.69,113.00,109.06,112.31,727,0,0
948333600,113.37,115.12,111.44,112.37,637,0,0
948420000,114.87,115.37,112.44,115.25,549,0,0
948679200,115.75,115.75,108.50,109.06,782,0,0
948765600,108.50,112.87,107.06,112.12,801,0,0
948852000,111.44,111.75,107.00,107.19,526,0,0
948938400,108.81,110.62,103.75,106.62,1156,0,0
949024800,106.56,109.37,103.00,103.87,1006,0,0
949284000,102.94,109.62,100.00,109.50,1269,0,0
949370400,109.78,118.12,109.56,117.81,910,0,0
949456800,116.12,117.75,113.00,113.87,726,0,0
949543200,114.87,118.62,114.50,117.81,531,0,0
949629600,119.56,122.50,118.62,121.12,621,0,0
949888800,124.06,125.37,122.56,125.19,450,0,0
949975200,127.87,128.00,123.69,125.81,657,0,0
950061600,133.25,135.00,126.44,128.81,1269,0,0
950148000,130.63,136.25,128.56,135.94,1008,0,0
950234400,133.13,133.63,128.13,130.94,882,0,0
950493600,132.94,132.94,126.94,130.50,957,0,0
950580000,129.75,130.13,125.31,128.00,790,0,0
950666400,127.87,129.50,126.75,127.17,481,0,0
950752800,128.94,130.63,127.62,130.50,447,0,0
950839200,130.69,130.81,125.56,125.81,563,0,0
951184800,126.56,127.06,121.25,123.94,901,0,0
951271200,127.00,139.00,126.31,138.63,1376,0,0
951357600,137.25,137.75,132.50,137.25,1051,0,0
951444000,136.63,137.25,131.06,132.75,851,0,0
951703200,130.77,133.19,127.62,130.56,1094,0,0
951789600,132.36,133.94,129.27,132.19,918,0,0
951876000,132.69,135.38,130.00,131.69,977,0,0
951962400,131.13,133.50,129.94,132.75,551,0,0
952048800,134.50,138.94,133.88,137.44,719,0,0
952308000,137.19,138.00,134.44,136.13,607,0,0
952394400,137.75,137.81,130.75,132.06,844,0,0
952480800,133.25,135.00,130.00,132.38,914,0,0
952567200,133.88,139.98,132.13,139.31,1028,0,0
952653600,139.13,141.88,136.06,136.38,890,0,0
952912800,135.00,140.03,134.00,136.19,1088,0,0
952999200,136.94,138.13,131.69,131.75,770,0,0
953085600,133.50,135.00,126.62,128.63,1190,0,0
953172000,129.75,133.38,124.31,131.67,1623,0,0
953258400,131.00,135.94,131.00,135.00,589,0,0
953517600,135.00,136.75,132.56,134.13,752,0,0
953604000,134.50,141.38,132.94,140.86,1053,0,0
953690400,141.63,146.75,138.88,144.38,1300,0,0
953776800,73.12,78.94,72.00,77.81,920,0,0
953863200,80.12,81.31,78.25,79.37,538,0,0
954126000,81.44,82.00,79.06,80.06,451,0,0
954212400,79.56,80.50,77.50,77.87,432,0,0
954298800,77.94,78.73,75.00,76.06,559,0,0
954385200,74.87,76.75,70.75,73.62,1076,0,0
954471600,74.36,77.81,72.25,77.31,818,0,0
954730800,76.87,77.00,72.00,72.94,608,0,0
954817200,74.00,74.50,64.00,73.12,2013,0,0
954903600,70.25,74.87,70.12,72.12,764,0,0
954990000,73.87,74.25,70.75,71.81,495,0,0
955076400,73.00,75.00,71.62,74.94,483,0,0
955335600,75.44,76.00,72.50,72.56,413,0,0
955422000,72.12,73.69,68.50,70.00,827,0,0
955508400,69.75,70.69,64.75,65.00,714,0,0
955594800,66.11,66.50,61.13,61.13,577,0,0
955681200,60.88,61.06,55.06,57.00,813,0,0
955940400,56.94,66.62,56.67,66.50,1035,0,0
956026800,68.12,69.50,67.00,69.25,388,0,0
956113200,69.75,70.00,65.87,66.12,464,0,0
956199600,66.75,67.69,64.56,65.12,464,0,0
956545200,61.56,63.75,59.25,63.44,713,0,0
956631600,65.12,66.06,63.06,66.00,513,0,0
956718000,66.31,69.00,65.87,66.75,583,0,0
956804400,64.25,69.12,64.00,69.00,550,0,0
956890800,69.37,70.00,68.06,69.33,385,0,0
957150000,69.87,71.87,69.50,71.44,318,0,0
957236400,71.00,71.69,67.62,68.00,515,0,0
957322800,67.56,67.62,63.63,66.06,649,0,0
957409200,65.44,66.50,63.50,63.63,420,0,0
957495600,63.81,67.98,63.50,67.75,503,0,0
957754800,64.06,64.62,62.13,62.75,368,0,0
957841200,63.53,63.69,60.81,62.75,499,0,0
957927600,60.50,61.50,58.13,58.50,475,0,0
958014000,59.88,61.13,58.06,60.25,578,0,0
958100400,60.13,63.00,58.75,59.94,832,0,0
958359600,59.44,60.13,57.00,60.00,571,0,0
958446000,61.13,62.27,58.75,60.56,648,0,0
958532400,59.25,59.63,58.00,58.00,202,0,0
958618800,58.00,58.31,55.13,55.38,375,0,0
958705200,53.98,55.06,52.44,53.44,471,0,0
958964400,53.19,55.50,50.00,55.25,895,0,0
959050800,55.13,55.63,50.25,50.55,619,0,0
959137200,50.50,55.50,50.19,55.13,600,0,0
959223600,56.06,58.44,54.06,54.50,721,0,0
959310000,54.63,55.94,52.63,54.94,632,0,0
959655600,57.48,60.00,57.00,59.88,361,0,0
959742000,58.94,60.25,56.38,56.94,575,0,0
959828400,58.58,61.13,57.88,60.94,415,0,0
959914800,64.56,65.75,63.44,64.37,444,0,0
960174000,63.69,65.06,62.44,63.25,481,0,0
960260400,62.75,63.81,61.13,61.31,393,0,0
960346800,61.63,63.50,61.13,62.88,350,0,0
960433200,63.81,65.00,62.75,63.69,439,0,0
960519600,64.50,65.00,64.00,64.37,188,0,0
960778800,64.50,64.75,62.13,62.13,288,0,0
960865200,62.38,65.00,61.50,65.00,439,0,0
960951600,64.81,66.50,64.12,65.19,439,0,0
961038000,65.50,66.62,64.62,66.50,301,0,0
961124400,66.75,67.94,65.80,67.81,323,0,0
961383600,67.00,69.25,66.25,68.94,407,0,0
961470000,68.69,69.56,66.62,67.12,432,0,0
961556400,65.81,67.75,65.75,67.44,238,0,0
961642800,67.06,67.12,64.44,64.56,287,0,0
961729200,64.56,65.94,62.50,62.63,496,0,0
961988400,63.08,63.63,61.06,62.81,488,0,0
962074800,62.56,65.25,62.13,62.25,594,0,0
962161200,62.81,64.44,62.13,63.56,388,0,0
962247600,62.69,63.52,60.50,61.19,455,0,0
962334000,60.81,63.69,60.13,63.56,438,0,0
962593200,63.38,64.87,63.13,64.62,225,0,0
962766000,63.81,64.75,61.44,61.88,470,0,0
962852400,62.25,64.87,60.88,64.75,549,0,0
962938800,64.62,65.94,63.63,65.37,388,0,0
963198000,64.25,65.62,63.00,63.13,413,0,0
963284400,63.00,64.56,61.63,62.13,500,0,0
963370800,63.38,64.62,62.09,63.88,457,0,0
963457200,64.06,67.11,63.88,65.25,528,0,0
