time,open,high,low,close,tick_volume,spread,real_volume
946864800,39.94,40.12,36.88,37.75,430,0,0
946951200,37.44,38.13,36.82,37.44,263,0,0
947037600,37.56,39.87,37.50,39.50,281,0,0
947124000,39.31,39.31,36.13,36.69,375,0,0
947210400,36.94,37.69,35.26,37.56,425,0,0
947469600,39.31,39.87,36.32,37.50,530,0,0
947556000,37.56,38.81,37.38,37.63,280,0,0
947642400,37.69,38.00,36.57,37.56,274,0,0
947728800,37.56,37.63,36.50,36.82,153,0,0
947815200,36.75,36.75,34.57,35.82,344,0,0
948160800,35.57,36.38,35.32,35.94,176,0,0
948247200,35.88,36.19,35.38,35.75,150,0,0
948333600,35.50,35.56,32.62,33.72,411,0,0
948420000,34.00,34.94,33.69,34.50,201,0,0
948679200,34.75,35.19,34.06,34.44,196,0,0
948765600,34.50,34.94,33.94,34.00,151,0,0
948852000,34.19,34.88,33.69,34.06,226,0,0
948938400,34.50,34.50,33.00,33.44,195,0,0
949024800,33.62,35.75,33.19,34.81,394,0,0
949284000,34.88,35.00,34.31,34.94,133,0,0
949370400,34.81,35.06,34.06,35.06,176,0,0
949456800,35.50,38.00,35.31,36.75,414,0,0
949543200,36.94,38.94,36.44,37.75,420,0,0
949629600,37.50,38.50,36.31,36.50,339,0,0
949888800,37.56,37.56,36.13,36.44,175,0,0
949975200,39.00,40.88,37.50,40.00,577,0,0
950061600,40.00,40.00,38.81,39.00,139,0,0
950148000,40.75,41.50,40.00,40.63,289,0,0
950234400,40.69,40.69,39.56,39.62,120,0,0
950493600,39.69,40.06,38.81,39.88,232,0,0
950580000,39.94,39.94,39.00,39.38,133,0,0
950666400,38.87,39.13,38.56,38.81,109,0,0
950752800,38.87,39.19,38.19,38.25,139,0,0
950839200,38.12,38.44,36.81,37.12,227,0,0
951184800,37.37,38.44,37.00,38.19,207,0,0
951357600,38.94,38.94,36.69,37.00,257,0,0
951444000,36.50,37.75,35.75,36.75,376,0,0
951703200,37.00,37.00,35.50,35.87,188,0,0
951789600,36.00,36.06,34.75,35.00,163,0,0
951876000,35.19,35.25,32.69,33.44,338,0,0
951962400,33.38,33.44,30.38,30.62,337,0,0
952048800,30.62,31.19,30.00,30.44,221,0,0
952308000,31.12,31.44,30.25,30.92,219,0,0
952394400,31.50,31.88,27.75,28.00,477,0,0
952480800,30.00,31.50,29.44,31.12,301,0,0
952567200,31.12,32.00,30.19,31.94,281,0,0
952653600,31.50,31.56,30.38,30.50,137,0,0
952912800,30.00,31.38,29.94,30.88,201,0,0
952999200,31.38,31.50,30.75,30.75,88,0,0
953085600,31.25,32.62,31.19,32.62,150,0,0
953172000,34.50,36.75,33.88,36.31,394,0,0
953258400,36.38,36.56,35.56,36.00,163,0,0
953517600,36.06,36.25,33.88,35.00,369,0,0
953604000,35.00,37.37,34.37,37.19,382,0,0
953690400,37.00,37.50,36.00,37.12,289,0,0
953776800,37.19,37.19,35.62,36.44,240,0,0
953863200,36.06,36.19,33.75,35.94,477,0,0
954126000,35.25,35.31,33.13,34.12,324,0,0
954212400,34.88,35.44,33.81,34.19,258,0,0
954298800,34.31,36.69,34.31,36.44,264,0,0
954385200,36.19,37.50,36.13,37.12,182,0,0
954471600,36.81,38.00,36.69,37.56,188,0,0
954730800,37.56,39.25,37.50,38.69,238,0,0
954817200,38.69,44.50,38.69,41.00,932,0,0
954903600,40.75,41.19,39.69,40.63,289,0,0
954990000,40.50,40.56,38.00,38.81,344,0,0
955076400,39.00,39.94,38.44,38.81,282,0,0
955335600,38.87,39.31,38.06,38.69,233,0,0
955422000,38.00,41.56,37.63,41.44,443,0,0
955508400,43.00,46.00,42.56,43.88,601,0,0
955594800,44.06,45.13,43.31,44.38,333,0,0
955681200,44.12,44.12,41.62,42.00,289,0,0
955940400,41.56,42.25,40.75,41.94,263,0,0
956026800,41.81,44.25,41.81,43.19,351,0,0
956113200,44.75,44.75,43.19,43.50,188,0,0
956199600,42.94,44.00,42.94,43.81,126,0,0
956545200,43.94,44.38,43.44,44.00,183,0,0
956631600,44.06,46.81,43.81,46.75,332,0,0
956718000,46.50,46.50,44.56,44.87,226,0,0
956804400,44.25,44.56,43.94,44.25,125,0,0
956890800,44.06,44.62,43.37,43.50,195,0,0
957150000,43.50,43.88,42.38,43.69,282,0,0
957236400,44.12,45.38,44.00,44.87,202,0,0
957322800,44.38,44.44,39.69,41.56,669,0,0
957409200,41.31,41.81,40.75,41.56,188,0,0
957495600,41.75,43.37,41.69,42.50,262,0,0
957754800,42.50,45.62,42.13,44.75,474,0,0
957841200,45.25,45.38,42.38,44.12,488,0,0
957927600,43.94,43.94,42.81,43.50,183,0,0
958014000,43.50,44.19,43.12,43.25,190,0,0
958100400,42.38,42.81,41.38,41.87,236,0,0
958359600,41.87,43.19,41.25,42.94,282,0,0
958446000,43.12,43.81,42.75,42.81,182,0,0
