time,open,high,low,close,tick_volume,spread,real_volume
1595818800,8352.50,8711.00,8352.50,8676.00,39351,0,0
1595905200,9350.50,9556.00,8816.00,9533.00,129751,0,0
1595991600,9474.50,9751.00,9469.50,9646.50,39101,0,0
1596078000,9484.50,9551.50,9417.00,9502.00,25151,0,0
1596164400,9407.00,9475.00,9288.50,9325.50,29151,0,0
1596423600,9253.00,9285.50,8944.50,9208.00,63701,0,0
1596510000,9220.00,9461.50,9111.50,9128.50,60851,0,0
1596596400,9156.00,9217.50,9081.00,9139.00,25601,0,0
1596682800,9156.50,9245.00,9093.50,9204.00,25551,0,0
1596769200,9230.00,9314.00,9153.00,9252.00,30001,0,0
1597114800,9230.50,9431.00,9189.50,9373.00,34051,0,0
1597201200,9415.50,9512.50,9279.50,9478.50,40301,0,0
1597287600,9555.00,9743.00,9525.00,9715.50,27551,0,0
1597374000,9770.50,9908.00,9739.50,9834.50,27301,0,0
1597633200,9750.50,9778.50,9637.50,9641.00,17251,0,0
1597719600,9626.50,9779.00,9613.00,9645.50,31301,0,0
1597806000,9718.50,9761.50,9611.00,9635.50,21801,0,0
1597892400,9567.50,9698.50,9559.50,9596.50,24901,0,0
1597978800,9674.50,9715.00,9562.50,9593.50,22401,0,0
1598238000,9551.50,9653.00,9551.50,9595.50,15901,0,0
1598324400,9635.50,9690.50,9590.50,9612.00,17651,0,0
1598410800,9501.50,9543.00,9437.50,9497.00,20651,0,0
1598497200,9540.50,9576.50,9448.50,9478.50,19401,0,0
1598583600,9608.50,9609.50,9146.50,9387.00,70451,0,0
1598842800,9345.50,9585.50,9345.00,9466.00,36051,0,0
1598929200,9596.50,9644.50,9472.00,9532.00,28051,0,0
1599015600,9425.50,9523.00,9418.50,9448.50,18601,0,0
1599102000,9607.50,9623.00,9429.00,9470.00,25051,0,0
1599188400,9334.50,9385.50,9242.00,9253.50,20601,0,0
1599447600,9213.50,9361.00,9165.00,9270.00,33551,0,0
1599534000,9294.00,9364.50,9238.00,9331.50,21551,0,0
1599620400,9341.50,9472.00,9269.50,9323.50,38701,0,0
1599706800,9383.50,9478.00,9372.00,9468.00,12751,0,0
1599793200,9639.50,9831.50,9523.00,9818.50,43801,0,0
1600052400,9784.50,9960.00,9728.00,9834.00,41451,0,0
1600138800,9786.50,9807.50,9701.50,9795.50,20301,0,0
1600225200,9919.50,10190.00,9882.50,10075.00,45951,0,0
1600311600,10007.50,10170.00,9968.50,10001.50,39701,0,0
1600398000,9939.50,9991.50,9632.50,9655.50,43401,0,0
1600830000,9795.50,9824.00,9553.50,9763.00,50851,0,0
1600916400,9761.50,9810.00,9704.00,9737.00,18751,0,0
1601002800,9766.50,9834.00,9715.00,9744.50,21601,0,0
1601262000,9825.00,9879.50,9732.00,9787.50,25751,0,0
1601348400,3236.50,3286.50,3175.50,3267.50,19101,0,0
1601434800,3308.50,3354.50,3237.50,3239.00,16451,0,0
1601521200,3266.50,3266.50,3266.50,3266.50,1,0,0
1601607600,3212.00,3218.00,3057.00,3070.00,18001,0,0
1601866800,3127.50,3151.50,3085.00,3092.50,9801,0,0
1601953200,3076.50,3105.00,3038.00,3086.00,12451,0,0
1602039600,3015.00,3038.00,2957.75,2972.50,11801,0,0
1602126000,2986.25,3015.00,2955.50,2987.75,11751,0,0
1602212400,3015.50,3015.50,2863.25,2881.50,17051,0,0
1602558000,2815.25,2852.75,2785.50,2823.50,12626,0,0
1602644400,2793.75,2811.25,2788.50,2803.50,3576,0,0
1602730800,2780.25,2796.50,2755.50,2761.50,6326,0,0
1602817200,2740.25,2745.75,2686.75,2701.50,7926,0,0
1603076400,2706.75,2769.00,2706.00,2753.75,7901,0,0
1603162800,2760.75,2763.50,2728.50,2743.25,5251,0,0
1603249200,2744.75,2778.50,2734.75,2762.00,7026,0,0
1603335600,2720.25,2731.25,2666.50,2698.25,10751,0,0
1603422000,2707.75,2712.75,2659.50,2691.75,9051,0,0
1603677600,2675.25,2714.75,2675.25,2682.50,7176,0,0
1603764000,2682.00,2682.00,2651.25,2677.25,5676,0,0
1603850400,2632.25,2678.25,2624.75,2655.25,8401,0,0
1603936800,2692.25,2759.75,2661.50,2723.50,16526,0,0
1604282400,2834.25,2886.75,2787.00,2872.00,16176,0,0
1604455200,2937.25,3019.50,2905.50,2999.25,16601,0,0
1604541600,3057.50,3189.00,3039.00,3184.00,17351,0,0
1604628000,3184.50,3235.00,3178.50,3189.00,10851,0,0
1604887200,3199.50,3344.50,3195.00,3344.00,15451,0,0
1604973600,3336.50,3357.50,3264.00,3357.50,16601,0,0
1605060000,3385.50,3459.50,3366.00,3459.50,11301,0,0
1605146400,3486.00,3535.00,3453.50,3501.00,14801,0,0
1605232800,3499.50,3502.00,3428.00,3449.50,9801,0,0
1605578400,3521.50,3539.50,3446.50,3528.50,17901,0,0
1605664800,3447.50,3533.50,3447.50,3511.50,10801,0,0
1605751200,3507.50,3599.50,3499.50,3595.50,11201,0,0
1605837600,3569.50,3591.00,3514.50,3535.50,11901,0,0
1606183200,3580.50,3679.50,3576.50,3651.50,13501,0,0
1606269600,3699.50,3799.00,3689.00,3697.50,21801,0,0
1606356000,3636.50,3769.50,3636.50,3764.50,13801,0,0
1606442400,3815.50,3948.50,3813.00,3885.00,20151,0,0
1606701600,3899.50,3944.00,3674.50,3685.00,32451,0,0
1606788000,3703.50,3743.50,3614.50,3672.50,22701,0,0
1606874400,3676.50,3712.50,3640.50,3652.00,11951,0,0
1606960800,3658.50,3697.50,3507.50,3522.00,24351,0,0
1607047200,3500.50,3515.00,3431.50,3451.00,11751,0,0
1607306400,3477.50,3511.50,3471.50,3486.00,7151,0,0
1607392800,3422.50,3457.00,3364.50,3378.00,14051,0,0
1607479200,3373.50,3408.50,3369.00,3403.50,4901,0,0
1607565600,3348.50,3402.50,3342.00,3392.00,7751,0,0
1607652000,3378.50,3402.50,3359.00,3387.50,7801,0,0
1607911200,3372.50,3416.50,3350.50,3350.50,11001,0,0
1607997600,3347.50,3462.00,3343.50,3415.00,16951,0,0
1608084000,3430.50,3519.50,3424.50,3505.00,11551,0,0
1608170400,3449.50,3456.00,3321.50,3348.00,16751,0,0
1608516000,3299.50,3368.00,3273.00,3312.50,17701,0,0
1608602400,3308.00,3343.00,3286.00,3303.00,10901,0,0
1608688800,3345.50,3421.00,3333.00,3398.50,12301,0,0
1608775200,3449.50,3454.00,3391.50,3401.50,7701,0,0
1608861600,3423.50,3423.50,3377.00,3379.50,4901,0,0
1609120800,3429.50,3484.50,3401.00,3465.00,13151,0,0
1609207200,3508.50,3611.50,3506.50,3593.00,12551,0,0
1609293600,3532.50,3588.00,3524.00,3542.50,11801,0,0
1609639200,4235.00,4235.00,3526.00,3564.50,74751,0,0
