time,open,high,low,close,tick_volume,spread,real_volume
1764118800,56.41,57.45,56.41,57.17,141,24,0
1764122400,57.15,60.00,57.12,58.26,1585,24,0
1764126000,58.28,58.51,57.62,57.81,1196,24,0
1764129600,57.81,59.18,57.62,58.78,1027,24,0
1764133200,58.71,59.72,57.80,58.09,1138,24,0
1764136800,58.15,59.43,58.15,58.76,1190,24,0
1764140400,58.75,63.18,58.68,60.23,1760,24,0
1764144000,60.28,61.34,59.26,59.87,1483,24,0
1764147600,59.79,60.56,59.71,60.11,1334,24,0
1764151200,60.09,60.48,58.89,58.91,1238,24,0
1764154800,58.92,58.92,58.05,58.37,1026,24,0
1764158400,58.38,59.25,58.16,58.23,1064,24,0
1764162000,58.24,58.72,57.68,58.04,946,24,0
1764165600,58.10,59.40,57.81,58.87,1454,24,0
1764169200,58.89,61.51,58.43,60.40,1669,24,0
1764172800,60.42,65.58,60.05,64.71,2424,24,0
1764176400,64.73,66.35,62.60,63.04,2557,24,0
1764180000,62.84,64.60,62.13,63.79,1944,24,0
1764183600,63.80,66.48,63.24,66.35,1918,24,0
1764187200,66.34,66.87,65.00,65.55,1710,24,0
1764190800,65.54,67.04,65.54,66.25,1709,24,0
1764194400,66.25,67.60,65.16,67.34,1757,24,0
1764198000,67.37,68.93,66.65,66.75,2012,24,0
1764201600,66.39,68.42,66.36,67.65,1498,24,0
1764205200,67.63,69.97,67.48,69.92,1721,24,0
1764208800,69.67,71.30,68.25,70.45,1882,24,0
1764212400,70.40,70.72,67.70,68.08,1713,24,0
1764216000,68.06,68.63,66.17,66.19,1431,24,0
1764219600,66.16,66.44,64.49,65.79,1490,24,0
1764223200,65.82,66.56,65.58,65.94,1160,24,0
1764226800,65.97,66.05,64.59,64.81,1163,24,0
1764230400,64.83,64.86,64.10,64.30,1064,24,0
1764234000,64.30,64.70,63.33,63.67,1135,24,0
1764237600,63.68,64.24,63.29,64.05,1153,24,0
1764241200,64.06,64.17,63.08,63.17,999,24,0
1764244800,63.17,63.79,62.84,63.14,803,24,0
1764248400,63.16,63.21,62.20,62.77,874,24,0
1764252000,62.79,63.50,62.65,63.47,1011,24,0
1764255600,63.45,64.32,62.96,63.04,1186,24,0
1764259200,63.05,64.04,63.04,63.82,1036,24,0
1764262800,63.80,64.93,63.37,64.76,1437,24,0
1764266400,64.52,64.86,63.73,64.61,1316,24,0
1764270000,64.63,65.48,64.14,64.57,1147,24,0
1764273600,64.54,64.75,63.96,64.05,869,24,0
1764277200,64.04,64.17,62.12,63.44,1099,24,0
1764280800,63.46,63.46,62.80,63.20,696,24,0
1764284400,63.20,63.25,62.52,62.69,668,24,0
1764288000,62.78,63.03,62.18,62.24,524,24,0
1764291600,62.23,62.23,61.35,61.68,861,24,0
1764295200,61.43,61.76,60.17,60.27,1158,24,0
1764298800,60.24,60.56,59.08,59.15,951,24,0
1764302400,59.17,59.28,57.08,58.14,1468,24,0
1764306000,58.13,58.46,57.76,57.96,979,24,0
1764309600,57.98,58.70,57.62,58.37,984,24,0
1764313200,58.36,59.17,58.25,58.92,854,24,0
1764316800,58.91,59.18,58.39,59.10,883,24,0
1764320400,59.09,59.20,58.62,58.89,861,24,0
1764324000,58.86,59.78,58.73,59.30,960,24,0
1764327600,59.32,60.34,59.14,59.62,1152,24,0
1764331200,59.61,59.70,59.17,59.38,853,24,0
1764334800,59.39,59.44,58.66,58.89,856,24,0
1764338400,58.89,59.12,58.12,58.27,765,24,0
1764342000,58.27,59.29,57.96,59.19,836,24,0
1764345600,59.19,59.55,58.82,59.15,1192,24,0
1764349200,59.10,60.05,58.79,59.34,1179,24,0
1764352800,59.25,59.25,57.97,58.46,1172,24,0
1764356400,58.46,59.11,58.01,58.06,1279,24,0
1764360000,58.10,58.29,57.38,58.10,1061,24,0
1764363600,58.11,58.30,57.75,58.09,767,24,0
1764367200,58.09,58.84,57.84,58.56,731,24,0
1764370800,58.58,58.72,57.82,57.94,736,24,0
1764439200,57.10,57.13,56.99,57.13,40,24,0
1764468000,56.62,56.84,56.45,56.68,507,24,0
1764471600,56.69,57.34,56.65,57.01,568,24,0
1764475200,57.01,57.18,56.29,56.30,556,24,0
1764478800,56.33,56.60,56.02,56.29,457,24,0
1764482400,56.33,56.55,56.06,56.08,464,24,0
1764486000,56.09,56.09,55.44,55.94,625,24,0
1764489600,55.94,56.30,55.85,55.92,563,24,0
1764493200,55.92,56.17,55.72,55.97,527,24,0
1764496800,55.97,56.18,55.51,55.75,658,24,0
1764500400,55.74,55.97,55.48,55.77,567,24,0
1764504000,55.76,55.86,55.40,55.48,460,24,0
1764507600,55.46,55.73,55.26,55.45,504,24,0
1764511200,55.46,55.95,54.93,55.84,689,24,0
1764514800,55.84,56.37,55.75,55.95,856,24,0
1764518400,55.94,55.97,55.24,55.45,569,24,0
1764522000,55.43,55.43,54.77,55.06,717,24,0
1764525600,55.06,55.56,54.96,55.23,687,24,0
1764529200,55.22,55.22,54.80,54.96,582,24,0
1764532800,54.96,55.05,54.55,54.82,521,24,0
1764536400,54.77,54.92,54.39,54.53,500,24,0
1764540000,54.51,54.97,54.48,54.55,484,24,0
1764543600,54.55,54.65,53.68,54.30,660,24,0
1764547200,54.32,54.75,54.09,54.35,425,24,0
1764550800,54.35,54.40,53.11,53.26,831,24,0
1764554400,53.27,53.35,49.23,49.26,2358,24,0
1764558000,49.26,50.28,48.94,49.00,1531,24,0
1764561600,49.01,49.91,49.01,49.11,1148,24,0
1764565200,49.12,49.28,47.98,48.09,1154,24,0
1764568800,48.09,48.35,47.00,47.34,1145,24,0
1764572400,47.34,47.43,46.54,47.24,1015,24,0
1764576000,47.24,48.74,47.13,48.02,1138,24,0
1764579600,48.02,48.50,47.48,47.86,997,24,0
1764583200,47.85,48.81,47.75,48.67,923,24,0
1764586800,48.67,49.55,48.62,49.55,943,24,0
1764590400,49.54,50.24,49.21,49.33,960,24,0
1764594000,49.33,49.51,48.57,48.66,743,24,0
1764597600,48.67,48.71,47.51,48.07,1057,23,0
1764601200,48.07,48.20,46.98,47.52,1206,24,0
1764604800,47.53,49.11,47.30,48.57,1634,24,0
1764608400,48.60,49.44,47.60,49.10,1860,24,0
1764612000,49.11,49.15,48.02,48.34,1210,24,0
1764615600,48.35,48.75,47.49,47.56,876,24,0
1764619200,47.57,47.99,47.40,47.83,848,24,0
1764622800,47.84,48.09,47.22,47.81,796,24,0
1764626400,47.79,48.50,47.78,47.86,905,24,0
1764630000,47.88,48.51,47.84,48.15,864,24,0
1764633600,48.37,48.40,48.01,48.16,415,24,0
1764637200,48.15,48.85,48.13,48.25,657,24,0
1764640800,48.24,48.73,48.03,48.31,694,24,0
1764644400,48.30,49.06,48.14,48.42,909,24,0
1764648000,48.44,48.73,48.14,48.18,710,24,0
1764651600,48.18,48.25,47.56,48.06,768,24,0
1764655200,48.05,48.10,47.21,47.34,643,24,0
1764658800,47.34,47.76,47.19,47.28,737,24,0
1764662400,47.28,47.90,47.18,47.88,619,24,0
1764666000,47.88,47.89,46.54,46.85,746,24,0
1764669600,46.87,46.98,45.99,46.25,761,24,0
1764673200,46.25,46.97,46.23,46.77,675,24,0
1764676800,46.77,47.16,46.56,46.85,674,24,0
1764680400,46.84,46.95,46.47,46.65,826,24,0
1764684000,46.65,46.71,46.02,46.53,743,24,0
1764687600,46.53,46.71,46.33,46.35,855,24,0
1764691200,46.34,47.75,46.20,47.71,1448,24,0
1764694800,47.71,50.97,47.71,50.33,2083,24,0
1764698400,50.28,50.37,48.45,48.72,1724,24,0
1764702000,48.71,49.81,48.66,48.84,1284,24,0
1764705600,48.82,48.93,47.93,48.51,1007,24,0
1764709200,48.51,48.73,46.91,47.00,772,24,0
1764712800,47.02,47.20,46.28,46.82,1166,24,0
1764716400,46.82,47.25,46.51,46.68,737,24,0
1764720000,46.67,47.67,46.10,47.45,619,24,0
1764723600,47.43,47.91,47.28,47.36,725,24,0
1764727200,47.36,47.53,46.54,46.93,791,24,0
1764730800,46.92,47.24,46.47,46.75,814,24,0
1764734400,46.76,47.63,46.52,47.08,895,24,0
1764738000,47.07,47.34,46.42,46.47,711,24,0
1764741600,46.47,47.85,46.17,47.32,1049,24,0
1764745200,47.32,48.68,47.14,48.06,1100,24,0
1764748800,48.10,49.08,47.40,47.79,994,24,0
1764752400,47.77,47.92,47.05,47.12,922,24,0
1764756000,47.14,48.12,47.14,47.90,800,24,0
1764759600,47.92,48.35,47.59,47.75,756,24,0
1764763200,47.77,48.99,47.50,47.52,834,24,0
1764766800,47.52,48.23,47.04,47.93,817,24,0
1764770400,47.94,48.54,47.62,48.50,972,24,0
1764774000,48.52,50.43,48.34,49.51,1258,24,0
1764777600,49.50,51.47,48.28,51.17,2250,24,0
1764781200,51.16,51.37,49.32,50.20,1729,24,0
1764784800,50.20,51.48,49.59,50.08,1683,24,0
1764788400,50.01,50.64,49.71,50.46,1101,24,0
1764792000,50.47,52.59,50.26,51.31,1653,24,0
1764795600,51.31,51.96,50.85,51.68,1355,24,0
1764799200,51.67,51.67,49.92,50.08,1164,24,0
1764802800,50.06,51.05,50.00,50.55,1017,24,0
1764806400,49.97,50.07,49.07,49.53,747,24,0
1764810000,49.53,49.81,48.52,48.63,772,24,0
1764813600,48.60,49.02,48.23,48.67,802,24,0
1764817200,48.68,49.67,48.68,49.01,851,24,0
1764820800,49.01,50.13,48.97,49.82,756,24,0
1764824400,49.81,50.18,49.61,49.96,837,24,0
1764828000,49.97,50.46,49.73,50.42,849,24,0
1764831600,50.43,50.91,49.56,49.63,969,24,0
1764835200,49.61,50.23,49.46,50.03,753,24,0
1764838800,50.04,50.20,49.37,49.69,781,24,0
1764842400,49.66,49.95,49.18,49.55,769,24,0
1764846000,49.59,49.95,49.13,49.13,698,24,0
1764849600,49.11,49.68,48.83,49.42,696,24,0
1764853200,49.41,50.70,49.29,50.69,956,24,0
1764856800,50.67,51.04,49.65,50.07,1100,24,0
1764860400,50.07,50.12,49.18,49.33,984,24,0
1764864000,49.33,49.76,48.63,48.76,1043,24,0
1764867600,48.75,49.66,48.73,49.53,1274,24,0
1764871200,49.53,49.55,48.84,48.97,998,24,0
1764874800,48.96,49.52,48.76,49.23,978,24,0
1764878400,49.22,49.51,48.60,48.65,857,24,0
1764882000,48.64,48.64,46.98,47.85,1412,24,0
1764885600,47.86,48.83,47.63,48.38,1019,24,0
1764889200,48.38,48.73,47.86,47.87,688,24,0
1764892800,48.32,49.05,48.32,48.82,543,23,0
1764896400,48.85,49.34,48.85,49.33,609,24,0
1764900000,49.33,52.34,49.27,51.30,1919,24,0
1764903600,51.33,51.86,50.53,50.69,1381,24,0
1764907200,50.68,52.17,50.44,51.59,1174,24,0
1764910800,51.61,51.99,50.32,50.60,973,24,0
1764914400,50.60,51.24,49.76,49.93,974,24,0
1764918000,49.91,50.19,49.09,49.47,734,24,0
1764921600,49.47,51.98,49.47,50.96,1229,24,0
1764925200,50.96,52.34,50.89,51.09,1217,24,0
1764928800,51.11,51.23,49.67,49.99,1025,24,0
1764932400,49.99,50.05,48.90,49.11,1228,24,0
1764936000,49.11,49.99,48.65,49.13,950,24,0
1764939600,49.16,49.23,48.44,49.21,829,24,0
1764943200,49.20,49.71,48.77,49.38,845,24,0
1764946800,49.39,49.77,48.45,48.70,1034,24,0
1764950400,48.69,48.86,47.96,48.05,1413,24,0
1764954000,48.01,49.18,47.99,48.20,1379,24,0
1764957600,48.19,48.19,46.40,46.87,1663,24,0
1764961200,46.86,47.63,46.83,47.50,1355,24,0
1764964800,47.49,48.04,46.56,46.82,1073,24,0
1764968400,46.83,47.58,46.53,47.28,984,24,0
1764972000,47.27,47.30,46.39,46.44,840,24,0
1764975600,46.44,46.92,46.42,46.66,753,24,0
1764986400,46.91,46.96,46.39,46.92,483,23,0
1764990000,46.91,46.91,46.45,46.68,447,23,0
1764993600,46.68,46.70,46.12,46.34,374,23,0
1764997200,46.33,47.07,46.29,46.86,354,24,0
1765000800,46.86,47.17,46.76,46.99,399,24,0
1765004400,47.01,47.58,46.81,47.07,451,24,0
1765008000,47.06,47.68,46.93,47.46,667,24,0
1765011600,47.47,48.91,47.36,48.66,1033,24,0
1765015200,48.64,48.64,47.18,47.26,902,24,0
1765018800,47.26,47.78,47.03,47.12,598,24,0
1765022400,47.12,47.25,46.81,46.90,623,24,0
1765026000,46.89,47.25,46.78,47.07,544,24,0
1765029600,47.08,47.10,46.76,46.95,501,24,0
1765033200,46.95,47.23,46.86,46.93,489,24,0
1765036800,46.93,47.77,46.84,47.33,743,24,0
1765040400,47.33,47.52,46.55,46.73,709,24,0
1765044000,46.72,47.37,46.72,46.95,682,24,0
1765047600,46.95,47.53,46.84,47.31,609,24,0
1765051200,47.32,48.24,46.97,47.39,711,24,0
1765054800,47.41,47.51,46.98,47.01,591,24,0
1765058400,47.00,47.23,46.77,46.80,437,24,0
1765062000,46.79,47.07,46.57,46.60,660,24,0
1765065600,46.60,47.18,46.57,47.18,461,24,0
1765069200,47.18,47.47,46.59,47.29,610,24,0
1765072800,47.28,47.48,46.96,46.96,785,24,0
1765076400,46.96,47.17,46.87,47.00,230,24,0
1765080000,46.76,47.37,46.72,47.17,501,24,0
1765083600,47.17,47.23,46.94,46.95,412,24,0
1765087200,46.93,47.06,46.67,46.95,383,24,0
1765090800,46.95,47.21,46.81,46.93,460,24,0
1765094400,46.93,47.20,46.72,47.06,465,24,0
1765098000,47.05,47.10,46.37,46.51,580,24,0
1765101600,46.51,46.53,45.44,45.50,822,24,0
1765105200,45.49,45.54,43.99,44.49,1014,24,0
1765108800,44.48,45.29,44.40,45.06,648,24,0
1765112400,45.07,45.41,44.70,44.80,680,24,0
1765116000,44.79,45.30,44.67,45.05,705,24,0
1765119600,45.08,45.38,44.79,44.97,869,24,0
1765123200,44.97,45.13,43.93,44.29,1164,24,0
1765126800,44.27,45.10,43.74,44.99,1209,24,0
1765130400,44.98,45.33,44.45,44.96,943,24,0
1765134000,44.98,45.86,44.63,45.81,1249,24,0
1765137600,45.79,46.13,45.71,45.73,808,24,0
1765141200,45.76,45.99,45.56,45.96,539,24,0
1765144800,46.01,46.02,45.70,45.81,447,23,0
1765148400,45.79,45.79,44.52,44.71,616,24,0
1765152000,44.27,44.50,43.29,44.10,935,23,0
1765155600,44.10,44.64,43.85,44.44,571,24,0
1765159200,44.43,45.43,44.23,45.07,781,24,0
1765162800,45.08,45.86,45.02,45.42,830,24,0
1765166400,45.41,45.83,45.25,45.65,685,24,0
1765170000,45.66,46.08,45.65,45.89,534,24,0
1765173600,45.92,46.47,45.92,46.28,640,24,0
1765177200,46.29,46.48,46.17,46.40,530,23,0
1765180800,46.40,46.86,46.04,46.78,521,24,0
1765184400,46.79,47.66,46.72,47.12,785,24,0
