time,open,high,low,close,tick_volume,spread,real_volume
1552960800,12475.00,12710.00,12415.00,12675.00,39001,0,0
1553047200,12578.00,12692.00,12550.00,12602.00,26001,0,0
1553220000,12680.00,12792.00,12612.00,12688.00,35201,0,0
1553479200,12420.00,12472.00,12185.00,12218.00,37201,0,0
1553565600,12522.00,12768.00,12420.00,12750.00,46801,0,0
1553652000,12815.00,12840.00,12665.00,12745.00,28001,0,0
1553738400,12670.00,12718.00,12460.00,12545.00,39101,0,0
1553824800,12835.00,13010.00,12760.00,12958.00,37701,0,0
1554087600,13145.00,13202.00,12872.00,12882.00,39701,0,0
1554174000,13112.00,13158.00,12952.00,13035.00,33501,0,0
1554260400,13078.00,13078.00,12818.00,12950.00,39201,0,0
1554346800,12978.00,13028.00,12905.00,13012.00,21201,0,0
1554433200,12890.00,13112.00,12888.00,13080.00,25801,0,0
1554692400,13192.00,13208.00,13108.00,13158.00,16601,0,0
1554778800,13238.00,13278.00,13118.00,13178.00,26001,0,0
1554865200,13090.00,13122.00,13088.00,13110.00,4801,0,0
1554951600,13015.00,13268.00,13015.00,13262.00,25901,0,0
1555038000,13405.00,13405.00,13162.00,13260.00,34101,0,0
1555297200,13455.00,13490.00,13235.00,13360.00,41501,0,0
1555383600,13205.00,13392.00,13205.00,13330.00,24901,0,0
1555470000,13370.00,13378.00,13192.00,13245.00,24701,0,0
1555556400,13305.00,13342.00,13202.00,13222.00,19701,0,0
1555642800,13235.00,13462.00,13228.00,13462.00,24101,0,0
1555902000,13525.00,13535.00,13390.00,13428.00,19301,0,0
1555988400,13430.00,13630.00,13410.00,13625.00,24501,0,0
1556074800,13645.00,13818.00,13588.00,13710.00,39501,0,0
1556161200,13722.00,13840.00,13642.00,13758.00,36001,0,0
1556247600,13722.00,14095.00,13610.00,14082.00,61001,0,0
1557198000,13842.00,13890.00,13752.00,13798.00,23201,0,0
1557284400,13622.00,13655.00,13258.00,13395.00,56701,0,0
1557370800,13262.00,13325.00,13098.00,13232.00,42401,0,0
1557457200,13238.00,13815.00,13238.00,13635.00,75701,0,0
1557716400,13692.00,13865.00,13468.00,13515.00,61701,0,0
1557802800,13142.00,13290.00,13038.00,13188.00,45801,0,0
1557889200,13308.00,13548.00,13202.00,13525.00,47501,0,0
1557975600,13572.00,13582.00,13385.00,13575.00,39101,0,0
1558062000,13755.00,13905.00,13652.00,13730.00,48101,0,0
1558321200,13892.00,14042.00,13810.00,14035.00,32101,0,0
1558407600,13932.00,13948.00,13655.00,13772.00,42601,0,0
1558494000,13888.00,13992.00,13832.00,13938.00,27001,0,0
1558580400,13895.00,13992.00,13792.00,13835.00,34001,0,0
1558666800,13602.00,13865.00,13602.00,13832.00,29601,0,0
1558926000,13835.00,13842.00,13602.00,13682.00,32701,0,0
1559012400,13772.00,13878.00,13680.00,13818.00,35001,0,0
1559098800,13802.00,13848.00,13588.00,13790.00,50801,0,0
1559185200,13612.00,13710.00,13595.00,13682.00,16001,0,0
1559271600,13612.00,13630.00,13208.00,13220.00,45201,0,0
1559530800,12908.00,13025.00,12865.00,13018.00,21001,0,0
1559617200,13012.00,13022.00,12718.00,12862.00,45801,0,0
1559703600,13228.00,13442.00,13185.00,13340.00,40201,0,0
1559790000,13358.00,13450.00,13310.00,13342.00,26401,0,0
1559876400,13478.00,13635.00,13422.00,13532.00,37201,0,0
1560135600,13622.00,13782.00,13518.00,13710.00,44001,0,0
1560222000,13752.00,13908.00,13708.00,13792.00,36001,0,0
1560308400,13712.00,13790.00,13682.00,13702.00,20601,0,0
1560394800,13510.00,13675.00,13502.00,13602.00,25401,0,0
1560481200,13658.00,13862.00,13582.00,13812.00,40601,0,0
1560740400,13898.00,13958.00,13832.00,13865.00,21901,0,0
1560826800,13760.00,13925.00,13690.00,13712.00,42201,0,0
1560913200,13912.00,14015.00,13858.00,13948.00,27801,0,0
1560999600,14045.00,14160.00,14002.00,14062.00,29901,0,0
1561086000,14000.00,14122.00,13815.00,13860.00,47401,0,0
1561345200,13872.00,13990.00,13842.00,13855.00,27901,0,0
1561431600,13898.00,13905.00,13762.00,13835.00,22301,0,0
1561518000,13790.00,13842.00,13658.00,13685.00,26301,0,0
1561604400,13882.00,14415.00,13855.00,14405.00,59701,0,0
1561690800,14408.00,14408.00,14038.00,14055.00,38701,0,0
1561950000,14352.00,14552.00,14288.00,14532.00,34801,0,0
1562036400,14538.00,14695.00,14425.00,14660.00,41801,0,0
1562122800,14788.00,14818.00,14672.00,14775.00,27901,0,0
1562209200,14742.00,14815.00,14722.00,14798.00,13001,0,0
1562295600,14770.00,14810.00,14638.00,14712.00,28601,0,0
1562554800,14572.00,14660.00,14452.00,14495.00,33901,0,0
1562641200,14410.00,14420.00,14290.00,14330.00,18001,0,0
1562727600,14122.00,14268.00,14065.00,14180.00,34801,0,0
1562814000,14130.00,14152.50,14032.50,14037.50,14751,0,0
1562900400,14107.50,14187.50,14082.50,14137.50,18001,0,0
1563246000,14255.00,14302.50,14042.50,14057.50,32251,0,0
1563332400,14100.00,14327.50,14047.50,14285.00,37501,0,0
1563418800,14182.50,14187.50,13767.50,13812.50,47001,0,0
1563505200,13927.50,14127.50,13880.00,14115.00,30751,0,0
1563764400,13985.00,13997.50,13857.50,13887.50,18251,0,0
1563850800,13702.50,13832.50,13607.50,13755.00,39751,0,0
