time,open,high,low,close,tick_volume,spread,real_volume
1764118800,0.15322,0.15453,0.15254,0.15264,234,60,0
1764122400,0.15268,0.15324,0.15224,0.15244,959,61,0
1764126000,0.15244,0.15374,0.15164,0.15273,957,61,0
1764129600,0.15273,0.15284,0.15144,0.15144,629,61,0
1764133200,0.15144,0.15183,0.15003,0.15024,595,60,0
1764136800,0.15024,0.15053,0.14973,0.15005,518,61,0
1764140400,0.15005,0.15142,0.15001,0.15134,594,60,0
1764144000,0.15135,0.15200,0.15070,0.15180,637,60,0
1764147600,0.15175,0.15214,0.15153,0.15204,616,60,0
1764151200,0.15204,0.15211,0.15074,0.15080,633,60,0
1764154800,0.15075,0.15112,0.14964,0.14980,796,60,0
1764158400,0.14982,0.15035,0.14934,0.15014,720,60,0
1764162000,0.15012,0.15014,0.14935,0.14954,594,60,0
1764165600,0.14954,0.14985,0.14833,0.14914,1040,60,0
1764169200,0.14911,0.15073,0.14891,0.15044,1005,60,0
1764172800,0.15042,0.15163,0.14941,0.14981,1565,60,0
1764176400,0.14984,0.15115,0.14944,0.15034,1529,60,0
1764180000,0.15039,0.15244,0.15034,0.15174,1146,60,0
1764183600,0.15175,0.15571,0.15170,0.15535,2386,60,0
1764187200,0.15539,0.15644,0.15504,0.15635,1734,60,0
1764190800,0.15635,0.15644,0.15530,0.15554,951,61,0
1764194400,0.15554,0.15602,0.15474,0.15504,835,60,0
1764198000,0.15506,0.15584,0.15441,0.15538,696,50,0
1764201600,0.15519,0.15593,0.15484,0.15495,586,51,0
1764205200,0.15494,0.15544,0.15394,0.15443,727,61,0
1764208800,0.15434,0.15464,0.15371,0.15414,653,61,0
1764212400,0.15414,0.15504,0.15380,0.15482,717,61,0
1764216000,0.15480,0.15525,0.15421,0.15434,763,61,0
1764219600,0.15432,0.15480,0.15344,0.15363,587,61,0
1764223200,0.15361,0.15454,0.15360,0.15440,476,61,0
1764226800,0.15435,0.15450,0.15342,0.15365,672,60,0
1764230400,0.15364,0.15432,0.15352,0.15393,516,61,0
1764234000,0.15394,0.15425,0.15354,0.15394,569,60,0
1764237600,0.15393,0.15394,0.15272,0.15342,683,60,0
1764241200,0.15342,0.15425,0.15314,0.15353,698,60,0
