time,open,high,low,close,tick_volume,spread,real_volume
1764118800,2.261,2.284,2.261,2.264,79,63,0
1764122400,2.264,2.273,2.256,2.258,357,62,0
1764126000,2.258,2.277,2.251,2.261,366,63,0
1764129600,2.261,2.267,2.255,2.256,234,62,0
1764133200,2.255,2.261,2.235,2.237,232,62,0
1764136800,2.237,2.243,2.231,2.236,200,62,0
1764140400,2.235,2.263,2.233,2.259,223,62,0
1764144000,2.259,2.271,2.251,2.268,249,62,0
1764147600,2.268,2.284,2.265,2.281,304,63,0
1764151200,2.280,2.286,2.260,2.260,285,63,0
1764154800,2.260,2.261,2.234,2.237,272,62,0
1764158400,2.237,2.243,2.225,2.240,236,62,0
1764162000,2.239,2.240,2.225,2.230,211,62,0
1764165600,2.230,2.234,2.208,2.223,390,63,0
1764169200,2.222,2.241,2.221,2.238,305,62,0
1764172800,2.238,2.261,2.229,2.231,508,62,0
1764176400,2.233,2.247,2.216,2.230,557,63,0
1764180000,2.229,2.266,2.229,2.251,376,63,0
1764183600,2.251,2.323,2.244,2.319,734,63,0
1764187200,2.320,2.339,2.309,2.337,647,63,0
1764190800,2.337,2.337,2.323,2.330,353,63,0
1764194400,2.330,2.332,2.311,2.322,337,62,0
1764198000,2.322,2.339,2.312,2.330,259,60,0
1764201600,2.326,2.335,2.317,2.320,233,60,0
1764205200,2.320,2.323,2.308,2.313,210,62,0
1764208800,2.313,2.317,2.299,2.307,297,62,0
1764212400,2.307,2.322,2.304,2.316,291,63,0
1764216000,2.316,2.329,2.307,2.308,333,63,0
1764219600,2.307,2.311,2.284,2.285,240,62,0
1764223200,2.285,2.301,2.284,2.297,181,62,0
1764226800,2.296,2.301,2.284,2.288,264,62,0
1764230400,2.288,2.311,2.287,2.307,197,62,0
1764234000,2.307,2.307,2.295,2.298,180,62,0
1764237600,2.298,2.311,2.286,2.310,259,62,0
1764241200,2.310,2.321,2.303,2.303,228,62,0
1764244800,2.301,2.306,2.293,2.305,179,62,0
1764248400,2.305,2.309,2.296,2.298,187,62,0
1764252000,2.298,2.301,2.277,2.280,283,63,0
1764255600,2.280,2.296,2.279,2.292,317,63,0
1764259200,2.292,2.303,2.286,2.303,269,62,0
1764262800,2.303,2.320,2.291,2.317,292,60,0
1764266400,2.317,2.343,2.313,2.340,394,61,0
1764270000,2.340,2.344,2.332,2.340,276,62,0
1764273600,2.340,2.353,2.333,2.348,259,63,0
1764277200,2.348,2.350,2.335,2.349,281,62,0
1764280800,2.350,2.351,2.340,2.346,210,62,0
1764284400,2.346,2.359,2.340,2.346,249,61,0
1764288000,2.346,2.346,2.305,2.311,268,60,0
1764291600,2.310,2.317,2.300,2.305,292,62,0
1764295200,2.305,2.314,2.300,2.307,263,62,0
1764298800,2.307,2.307,2.272,2.274,384,63,0
1764302400,2.275,2.285,2.261,2.281,496,63,0
1764306000,2.281,2.290,2.278,2.286,346,62,0
1764309600,2.286,2.294,2.280,2.280,221,62,0
1764313200,2.280,2.290,2.274,2.288,243,62,0
1764316800,2.287,2.288,2.270,2.276,200,60,0
1764320400,2.276,2.293,2.274,2.287,258,61,0
1764324000,2.286,2.342,2.286,2.340,582,63,0
1764327600,2.341,2.345,2.314,2.317,391,60,0
1764331200,2.317,2.318,2.309,2.313,209,60,0
1764334800,2.314,2.314,2.274,2.289,385,63,0
1764338400,2.288,2.294,2.284,2.288,251,62,0
1764342000,2.287,2.324,2.280,2.311,472,62,0
1764345600,2.310,2.323,2.292,2.303,609,62,0
1764349200,2.304,2.334,2.297,2.320,513,63,0
1764352800,2.319,2.319,2.269,2.270,649,63,0
1764356400,2.271,2.274,2.242,2.253,768,61,0
1764360000,2.252,2.266,2.229,2.257,522,63,0
1764363600,2.258,2.274,2.254,2.268,271,62,0
1764367200,2.267,2.271,2.255,2.264,278,62,0
1764370800,2.265,2.269,2.252,2.253,239,60,0
1764439200,2.242,2.242,2.238,2.238,15,60,0
1764468000,2.229,2.235,2.224,2.225,140,60,0
1764471600,2.225,2.235,2.223,2.228,173,62,0
1764475200,2.228,2.239,2.228,2.230,199,62,0
1764478800,2.231,2.239,2.213,2.239,275,62,0
1764482400,2.238,2.243,2.227,2.228,213,62,0
1764486000,2.228,2.228,2.217,2.224,213,62,0
1764489600,2.224,2.237,2.219,2.230,186,63,0
1764493200,2.230,2.235,2.229,2.235,159,62,0
1764496800,2.235,2.244,2.225,2.235,328,63,0
1764500400,2.235,2.242,2.232,2.240,249,62,0
1764504000,2.240,2.241,2.232,2.234,188,62,0
1764507600,2.234,2.241,2.223,2.224,202,62,0
1764511200,2.224,2.244,2.217,2.239,302,62,0
1764514800,2.240,2.261,2.237,2.256,371,63,0
1764518400,2.256,2.257,2.234,2.237,252,62,0
1764522000,2.236,2.237,2.224,2.230,230,62,0
1764525600,2.230,2.256,2.228,2.254,251,62,0
1764529200,2.254,2.254,2.239,2.247,221,62,0
1764532800,2.248,2.249,2.239,2.248,203,62,0
1764536400,2.247,2.250,2.235,2.238,173,62,0
1764540000,2.238,2.248,2.227,2.234,208,62,0
1764543600,2.234,2.236,2.220,2.232,236,61,0
1764547200,2.232,2.243,2.223,2.236,203,61,0
1764550800,2.236,2.236,2.173,2.178,462,60,0
1764554400,2.177,2.178,2.019,2.022,2396,63,0
1764558000,2.023,2.065,2.014,2.044,973,63,0
1764561600,2.045,2.057,2.032,2.034,561,62,0
1764565200,2.034,2.034,2.013,2.018,572,63,0
1764568800,2.017,2.022,1.975,1.978,602,63,0
1764572400,1.978,2.007,1.978,1.995,313,62,0
1764576000,1.996,2.003,1.984,1.987,273,63,0
1764579600,1.988,2.007,1.982,2.006,305,63,0
1764583200,2.005,2.023,2.004,2.017,274,62,0
1764586800,2.017,2.025,2.008,2.015,278,63,0
1764590400,2.015,2.026,2.015,2.018,153,62,0
1764594000,2.018,2.020,2.001,2.006,196,62,0
1764597600,2.006,2.009,1.969,1.999,490,63,0
1764601200,1.998,2.011,1.987,1.995,441,60,0
1764604800,1.996,2.018,1.990,1.994,639,61,0
1764608400,1.994,1.997,1.930,1.965,1089,61,0
1764612000,1.965,1.972,1.948,1.954,644,63,0
1764615600,1.955,1.972,1.951,1.956,509,63,0
1764619200,1.956,1.979,1.956,1.972,513,62,0
1764622800,1.973,1.973,1.956,1.964,296,63,0
1764626400,1.963,1.996,1.963,1.987,440,63,0
1764630000,1.986,2.008,1.986,2.001,429,61,0
1764633600,2.010,2.014,1.876,2.002,252,60,0
1764637200,2.003,2.018,2.003,2.010,241,62,0
1764640800,2.011,2.017,2.005,2.011,265,62,0
1764644400,2.010,2.033,2.005,2.006,399,63,0
1764648000,2.006,2.017,2.001,2.009,273,63,0
1764651600,2.010,2.027,2.001,2.025,254,62,0
1764655200,2.024,2.029,2.017,2.018,218,63,0
1764658800,2.018,2.026,1.897,2.025,195,62,0
1764662400,2.025,2.043,2.023,2.041,212,62,0
1764666000,2.042,2.042,2.033,2.036,178,62,0
1764669600,2.037,2.037,2.012,2.019,255,62,0
1764673200,2.020,2.033,2.018,2.029,252,62,0
1764676800,2.029,2.059,2.028,2.051,293,62,0
1764680400,2.051,2.091,2.048,2.065,417,61,0
1764684000,2.065,2.066,2.049,2.054,247,61,0
1764687600,2.054,2.084,2.047,2.079,375,62,0
1764691200,2.080,2.114,2.078,2.113,748,63,0
1764694800,2.113,2.220,2.113,2.213,1363,63,0
1764698400,2.214,2.251,2.213,2.246,1147,63,0
1764702000,2.245,2.254,2.216,2.216,653,63,0
1764705600,2.216,2.230,2.209,2.212,377,63,0
1764709200,2.213,2.218,2.200,2.202,265,62,0
1764712800,2.202,2.232,2.192,2.230,469,63,0
1764716400,2.231,2.233,2.215,2.224,297,61,0
1764720000,2.230,2.234,2.223,2.232,213,60,0
1764723600,2.231,2.233,2.213,2.218,200,62,0
1764727200,2.219,2.236,2.215,2.233,406,63,0
1764730800,2.232,2.245,2.228,2.242,341,63,0
1764734400,2.242,2.273,2.241,2.257,375,62,0
