time,open,high,low,close,tick_volume,spread,real_volume
1566529200,14.84,14.92,14.73,14.73,28,0,0
1566788400,14.66,14.85,14.66,14.82,23,0,0
1566874800,14.84,14.87,14.72,14.85,30,0,0
1566961200,14.84,14.99,14.84,14.92,23,0,0
1567047600,14.93,15.17,14.90,15.15,33,0,0
1567134000,15.18,15.25,15.14,15.15,20,0,0
1567393200,15.18,15.37,15.14,15.21,44,0,0
1567479600,15.24,15.28,15.14,15.19,24,0,0
1567566000,15.20,15.22,15.20,15.22,3,0,0
1567652400,15.29,15.29,15.02,15.13,39,0,0
1567738800,15.09,15.14,15.01,15.09,27,0,0
1567998000,15.12,15.19,15.02,15.05,28,0,0
1568084400,15.07,15.07,14.94,15.04,24,0,0
1568170800,15.12,15.12,14.94,15.06,31,0,0
1568257200,15.10,15.32,15.02,15.20,51,0,0
1568343600,15.20,15.22,15.09,15.10,17,0,0
1568602800,15.14,15.16,15.06,15.15,20,0,0
1568689200,15.13,15.23,15.10,15.14,26,0,0
1568775600,15.18,15.21,15.09,15.20,23,0,0
1568862000,15.21,15.30,15.17,15.25,23,0,0
1568948400,15.25,15.40,15.25,15.33,23,0,0
1569207600,15.38,15.42,15.29,15.39,26,0,0
1569294000,15.42,15.44,15.36,15.37,12,0,0
1569380400,15.33,15.40,15.22,15.29,33,0,0
1569466800,15.30,15.44,15.26,15.42,25,0,0
1569553200,15.42,15.48,15.36,15.36,19,0,0
1569812400,15.36,15.42,15.29,15.41,22,0,0
1569898800,15.39,15.47,15.28,15.31,31,0,0
1569985200,15.34,15.38,15.10,15.10,33,0,0
1570158000,15.05,15.13,15.00,15.13,19,0,0
1570417200,15.13,15.14,15.09,15.10,8,0,0
1570503600,15.25,15.32,15.20,15.21,21,0,0
1570590000,15.27,15.44,15.26,15.37,27,0,0
1570676400,15.35,15.40,15.25,15.33,29,0,0
1570762800,15.30,15.46,15.26,15.44,27,0,0
1571022000,15.46,15.53,15.43,15.50,17,0,0
1571108400,15.50,15.78,15.50,15.76,31,0,0
1571194800,15.72,15.77,15.57,15.76,37,0,0
1571281200,15.71,15.93,15.70,15.89,29,0,0
1571367600,15.84,15.92,15.77,15.91,24,0,0
1571626800,15.93,16.07,15.92,15.93,31,0,0
1571713200,15.98,16.16,15.94,16.14,29,0,0
1571799600,16.14,16.25,16.10,16.25,20,0,0
1571886000,16.25,16.25,15.96,15.99,33,0,0
1571972400,15.99,16.00,15.87,15.95,23,0,0
1572228000,16.01,16.01,15.91,15.91,11,0,0
1572314400,15.90,15.90,15.61,15.67,36,0,0
1572400800,15.72,15.77,15.64,15.72,27,0,0
1572487200,15.71,15.85,15.69,15.83,21,0,0
1572573600,15.87,15.88,15.59,15.61,33,0,0
1572832800,15.68,15.71,15.50,15.65,40,0,0
1572919200,15.68,15.69,15.56,15.65,24,0,0
1573005600,15.63,15.72,15.58,15.67,25,0,0
1573092000,15.46,15.46,15.08,15.27,58,0,0
1573178400,15.32,15.59,15.29,15.41,52,0,0
1573437600,15.30,15.36,15.26,15.33,18,0,0
1573524000,15.33,15.40,15.25,15.36,28,0,0
1573610400,15.35,15.41,15.25,15.26,24,0,0
1573696800,15.26,15.28,15.12,15.16,23,0,0
1573783200,15.21,15.23,15.09,15.17,25,0,0
1574042400,15.20,15.24,15.11,15.18,25,0,0
1574128800,15.22,15.25,15.10,15.13,22,0,0
