time,open,high,low,close,tick_volume,spread,real_volume
1639101600,29.17,30.25,27.91,30.16,370,0,0
1639360800,31.35,33.87,31.15,33.68,312,0,0
1639447200,34.49,35.08,32.55,33.12,370,0,0
1639533600,32.95,33.25,31.55,33.21,315,0,0
1639620000,34.15,34.20,32.60,32.79,185,0,0
1639706400,32.63,32.70,31.40,31.70,168,0,0
1639965600,31.05,31.05,30.08,30.59,149,0,0
1640052000,30.83,30.98,29.91,30.86,212,0,0
1640138400,30.98,31.02,30.12,30.89,172,0,0
1640224800,30.85,32.77,30.75,32.30,260,0,0
1640570400,32.69,32.69,31.48,32.24,198,0,0
1640656800,32.25,32.38,31.76,32.14,114,0,0
1640743200,32.13,32.59,32.03,32.41,85,0,0
1640829600,32.36,32.52,32.02,32.30,95,0,0
1641175200,32.48,32.68,31.80,32.06,135,0,0
1641261600,32.30,32.52,31.98,32.52,87,0,0
1641348000,32.35,32.70,31.84,32.40,168,0,0
1641434400,31.88,32.18,31.43,32.12,127,0,0
1641520800,31.93,32.34,31.70,32.10,112,0,0
1641780000,32.20,33.88,32.02,33.43,250,0,0
1641866400,34.00,34.54,33.85,34.51,88,0,0
1641952800,34.77,34.93,33.73,34.30,194,0,0
1642039200,34.35,34.50,33.85,34.03,99,0,0
1642125600,33.90,35.14,33.85,34.93,156,0,0
1642384800,35.35,35.76,35.30,35.62,66,0,0
1642471200,35.65,35.75,34.31,34.58,182,0,0
1642557600,34.45,34.85,32.81,33.42,306,0,0
1642644000,32.47,33.13,32.45,33.08,76,0,0
1642730400,32.70,32.85,32.09,32.69,152,0,0
1642989600,32.31,32.70,30.86,31.29,267,0,0
1643076000,32.03,32.43,31.26,32.03,235,0,0
1643162400,32.21,33.37,32.06,33.16,168,0,0
1643248800,32.38,33.13,32.07,32.30,205,0,0
1643335200,32.23,32.54,31.43,31.85,185,0,0
1643594400,32.25,32.39,31.38,31.70,148,0,0
1643680800,31.88,32.42,31.77,32.37,82,0,0
1643767200,32.56,32.56,31.79,31.93,92,0,0
1643853600,31.97,31.99,31.56,31.68,58,0,0
1643940000,31.80,31.95,31.14,31.86,157,0,0
1644199200,31.95,32.23,31.59,31.94,128,0,0
1644285600,31.94,32.57,31.64,32.50,131,0,0
1644372000,32.70,33.47,32.68,33.29,100,0,0
1644458400,33.38,33.83,32.49,32.83,214,0,0
1644544800,32.40,33.16,32.17,32.33,192,0,0
1644804000,31.60,31.60,30.71,31.58,177,0,0
1644890400,31.31,31.94,31.13,31.67,127,0,0
1644976800,31.81,32.09,31.45,31.66,114,0,0
1645063200,31.57,32.05,31.44,31.47,113,0,0
1645149600,31.43,31.66,30.99,31.17,109,0,0
