time,open,high,low,close,tick_volume,spread,real_volume
1384740000,18.050,18.435,17.935,18.405,646,0,0
1384826400,18.330,18.335,18.015,18.015,326,0,0
1384912800,17.980,18.155,17.955,18.090,291,0,0
1384999200,17.970,18.145,17.865,17.935,526,0,0
1385344800,18.000,18.010,17.755,17.835,346,0,0
1385431200,17.880,17.895,17.755,17.785,186,0,0
1385517600,17.780,17.815,17.685,17.730,211,0,0
1385604000,17.740,17.975,17.735,17.785,436,0,0
1385690400,17.750,17.865,17.750,17.785,196,0,0
1385949600,17.770,17.775,17.505,17.535,306,0,0
1386036000,17.560,17.595,17.255,17.255,376,0,0
1386122400,17.320,17.325,17.025,17.195,476,0,0
1386208800,17.110,17.195,16.905,16.915,386,0,0
1386295200,16.980,17.095,16.805,17.055,506,0,0
1386554400,17.060,17.165,17.015,17.135,226,0,0
1386640800,17.060,17.135,16.955,16.975,276,0,0
1386727200,16.900,16.915,16.530,16.555,426,0,0
1386813600,16.580,16.680,16.365,16.445,496,0,0
1387159200,16.305,16.635,16.205,16.615,551,0,0
1387245600,16.530,16.615,16.355,16.365,356,0,0
1387332000,16.410,16.535,16.365,16.535,216,0,0
1387418400,16.600,16.825,16.600,16.815,236,0,0
1387504800,16.990,17.045,16.915,17.045,206,0,0
1387764000,17.120,17.305,16.975,17.295,486,0,0
1388109600,17.470,17.515,17.365,17.515,256,0,0
1388368800,17.570,17.595,17.485,17.525,176,0,0
1388628000,17.570,17.645,17.325,17.345,416,0,0
1388714400,17.380,17.535,17.355,17.535,206,0,0
1388973600,17.560,17.665,17.525,17.565,276,0,0
1389060000,17.580,17.675,17.495,17.665,276,0,0
1389146400,17.660,17.670,17.315,17.315,366,0,0
1389232800,17.400,17.545,17.255,17.275,456,0,0
1389319200,17.340,17.475,17.315,17.435,226,0,0
1389578400,17.480,17.485,17.275,17.295,236,0,0
1389664800,17.250,17.265,17.135,17.250,261,0,0
1389751200,17.160,17.290,17.105,17.285,246,0,0
1389837600,17.275,17.295,17.185,17.215,161,0,0
1389924000,17.190,17.285,17.145,17.255,216,0,0
1390183200,17.200,17.345,17.165,17.345,216,0,0
1390269600,17.410,17.575,17.375,17.445,366,0,0
1390356000,17.490,17.555,17.445,17.545,166,0,0
1390442400,17.530,17.675,17.365,17.375,466,0,0
1390528800,17.380,17.435,16.955,16.965,546,0,0
1390788000,16.950,17.075,16.870,16.945,406,0,0
1390874400,17.020,17.035,16.835,16.925,306,0,0
1390960800,16.960,17.035,16.615,16.785,666,0,0
1391047200,16.720,16.945,16.715,16.895,286,0,0
1391133600,16.890,16.920,16.605,16.755,496,0,0
1391392800,16.810,16.925,16.505,16.515,546,0,0
1391479200,16.460,16.535,16.355,16.425,326,0,0
1391565600,16.375,16.405,16.205,16.225,251,0,0
1391652000,16.315,16.465,16.235,16.450,326,0,0
1391738400,16.450,16.475,16.225,16.465,486,0,0
1391997600,16.590,16.615,16.445,16.555,306,0,0
1392084000,16.620,16.875,16.605,16.815,346,0,0
1392170400,16.800,17.105,16.755,17.035,466,0,0
1392256800,17.110,17.185,16.825,16.995,606,0,0
1392343200,17.080,17.295,16.975,17.295,426,0,0
1392775200,17.230,17.395,17.165,17.365,326,0,0
1392861600,17.190,17.345,17.180,17.285,236,0,0
1392948000,17.315,17.345,17.225,17.335,221,0,0
1393207200,17.295,17.395,17.195,17.385,311,0,0
1393293600,17.365,17.485,17.335,17.475,191,0,0
1393380000,17.445,17.475,17.365,17.445,221,0,0
1393466400,17.440,17.460,17.245,17.395,386,0,0
1393552800,17.440,17.495,17.395,17.465,176,0,0
1393812000,17.250,17.385,17.155,17.175,386,0,0
1393898400,17.290,17.525,17.265,17.505,306,0,0
1393984800,17.460,17.625,17.435,17.585,256,0,0
1394071200,17.560,17.645,17.465,17.465,266,0,0
