time,open,high,low,close,tick_volume,spread,real_volume
1764118800,14.126,14.207,14.104,14.126,145,72,0
1764122400,14.127,14.139,14.052,14.069,700,72,0
1764126000,14.065,14.146,14.024,14.084,835,73,0
1764129600,14.088,14.108,14.031,14.033,596,72,0
1764133200,14.032,14.058,13.952,13.988,614,72,0
1764136800,13.979,14.009,13.916,13.940,509,72,0
1764140400,13.939,14.019,13.932,14.002,524,72,0
1764144000,14.001,14.058,13.963,14.041,524,72,0
1764147600,14.041,14.059,14.001,14.027,524,62,0
1764151200,14.029,14.032,13.932,13.934,573,72,0
1764154800,13.928,13.949,13.862,13.882,618,72,0
1764158400,13.883,13.919,13.833,13.868,651,72,0
1764162000,13.863,13.889,13.804,13.815,514,72,0
1764165600,13.811,13.815,13.718,13.761,949,72,0
1764169200,13.760,13.865,13.754,13.851,835,72,0
1764172800,13.850,13.906,13.761,13.781,1574,64,0
1764176400,13.786,13.858,13.733,13.813,1701,72,0
1764180000,13.812,13.964,13.596,13.696,1793,72,0
1764183600,13.696,13.988,13.645,13.983,2596,62,0
1764187200,13.984,14.094,13.955,14.073,1950,72,0
1764190800,14.073,14.079,13.993,14.029,1041,72,0
1764194400,14.034,14.058,13.973,14.005,853,72,0
1764198000,14.007,14.142,13.990,14.068,768,59,0
1764201600,14.058,14.141,14.053,14.113,707,60,0
1764205200,14.111,14.129,14.065,14.086,685,72,0
1764208800,14.085,14.122,14.011,14.075,895,72,0
1764212400,14.074,14.143,14.050,14.115,861,72,0
1764216000,14.118,14.154,14.053,14.075,1161,72,0
1764219600,14.078,14.096,13.976,13.984,790,72,0
1764223200,13.986,14.039,13.976,14.015,654,72,0
1764226800,14.014,14.025,13.897,13.915,752,72,0
1764230400,13.916,13.999,13.916,13.999,557,60,0
1764234000,13.999,14.009,13.955,13.964,605,72,0
1764237600,13.964,13.969,13.912,13.942,580,72,0
1764241200,13.944,14.024,13.913,13.951,769,72,0
1764244800,13.951,13.959,13.895,13.949,581,72,0
1764248400,13.947,13.947,13.862,13.871,517,72,0
1764252000,13.871,13.899,13.791,13.804,717,71,0
1764255600,13.803,13.863,13.795,13.840,942,72,0
