time,open,high,low,close,tick_volume,spread,real_volume
1594375200,236.20,237.57,235.69,236.88,1171,187,0
1594378800,236.88,239.27,236.83,238.00,2014,186,0
1594382400,238.00,238.26,237.20,238.19,1337,187,0
1594386000,238.18,238.53,237.04,237.82,1225,187,0
1594389600,237.82,238.68,236.74,236.87,1433,187,0
1594393200,236.87,238.43,236.87,238.13,1283,186,0
1594396800,238.13,238.61,237.31,238.23,1357,187,0
1594400400,238.23,238.92,237.17,238.33,1587,187,0
1594404000,238.33,239.79,238.07,239.64,1646,187,0
1594407600,239.63,239.82,237.97,238.59,1310,187,0
1594411200,238.59,238.72,237.45,238.46,869,187,0
1594414800,238.44,238.44,237.53,238.02,829,187,0
1594418400,238.03,238.91,237.99,238.59,540,187,0
1594422000,238.59,239.02,238.12,238.27,713,187,0
1594598400,235.18,238.46,235.13,238.13,9699,187,0
1594602000,238.13,240.30,238.09,239.80,2575,187,0
1594605600,239.82,242.15,239.19,241.93,3881,187,0
1594609200,241.94,242.74,240.30,240.87,2822,187,0
1594612800,240.87,241.77,240.47,240.73,1936,187,0
1594616400,240.71,241.19,240.43,241.04,1018,187,0
1594620000,241.04,241.24,240.39,240.70,947,187,0
1594623600,240.68,241.23,240.35,240.99,750,187,0
1594627200,240.99,241.99,240.96,241.94,905,187,0
1594630800,241.94,242.31,240.67,240.96,1137,187,0
1594634400,240.96,242.04,240.95,241.85,1225,187,0
1594638000,241.84,243.62,241.84,242.99,1760,187,0
1594641600,243.00,243.23,241.84,242.57,906,187,0
1594645200,242.60,243.14,242.00,242.84,1116,187,0
1594648800,242.84,244.28,242.74,243.64,1709,187,0
1594652400,243.63,244.36,242.06,243.81,1699,187,0
1594656000,243.80,244.03,242.77,243.26,1173,187,0
1594659600,243.24,243.55,238.42,242.11,1199,187,0
1594663200,242.11,242.87,241.04,241.74,1390,187,0
1594666800,241.73,242.64,241.61,242.47,1245,187,0
1594670400,242.46,242.84,241.94,242.33,1341,187,0
1594674000,242.32,242.32,239.05,240.39,2378,187,0
1594677600,240.35,240.35,236.12,237.34,3701,187,0
1594681200,237.30,238.47,236.62,237.88,1783,187,0
1594684800,235.02,239.05,235.01,239.01,7079,187,0
1594688400,239.01,239.01,238.00,238.68,1685,187,0
1594692000,238.69,239.06,237.53,238.40,1461,187,0
1594695600,238.39,238.70,237.49,237.73,964,187,0
1594699200,237.72,239.09,237.18,238.50,896,187,0
1594702800,238.49,238.89,237.87,238.27,993,187,0
1594706400,238.26,238.64,237.49,237.65,798,187,0
1594710000,237.64,237.76,235.67,236.80,1643,187,0
1594713600,236.80,237.19,236.23,237.08,1063,187,0
1594717200,237.02,237.86,236.70,237.35,897,187,0
1594720800,237.31,237.77,236.87,237.33,737,187,0
1594724400,237.32,238.00,237.21,237.58,530,187,0
1594728000,237.56,238.09,237.49,237.81,509,187,0
1594731600,237.80,237.96,236.86,237.88,804,187,0
1594735200,237.88,239.73,236.47,239.54,2915,187,0
1594738800,239.54,240.26,238.35,238.54,1190,187,0
1594742400,238.54,239.16,237.68,238.00,1742,186,0
1594746000,238.04,238.78,237.41,238.24,1412,187,0
1594749600,238.24,239.76,238.14,239.34,1801,187,0
1594753200,239.34,239.62,238.44,239.06,1236,187,0
1594756800,239.09,240.77,238.82,240.15,1450,187,0
1594760400,240.15,240.56,239.64,240.10,1294,187,0
1594764000,240.08,240.68,239.60,240.54,1047,187,0
1594767600,240.56,241.20,240.12,240.36,1654,187,0
1594771200,238.00,240.63,237.99,239.34,6884,187,0
1594774800,239.31,240.20,239.31,239.50,1218,187,0
1594778400,239.49,240.32,239.39,239.54,656,187,0
1594782000,239.51,240.62,239.51,239.86,805,187,0
1594785600,239.85,240.13,238.87,239.58,996,186,0
1594789200,239.58,239.70,238.86,239.48,1421,186,0
1594792800,239.47,239.63,238.25,238.29,483,187,0
1594796400,238.27,239.21,237.68,239.08,719,187,0
1594800000,239.07,239.38,238.65,239.24,758,186,0
1594803600,239.21,239.22,238.22,238.72,372,186,0
1594807200,238.71,238.79,238.01,238.72,586,187,0
1594810800,238.71,238.71,237.88,238.43,588,186,0
1594814400,238.42,238.86,237.15,238.17,1556,187,0
1594818000,238.16,239.11,237.79,238.87,858,187,0
1594821600,238.88,239.15,237.98,238.13,706,187,0
1594825200,238.12,238.79,237.85,238.77,693,187,0
1594828800,238.74,238.89,238.20,238.52,1282,186,0
1594832400,238.49,239.01,238.29,238.82,677,186,0
1594836000,238.83,238.97,236.71,236.94,1676,186,0
1594839600,236.88,237.61,235.53,237.00,1699,187,0
1594843200,236.91,237.33,236.48,236.58,946,187,0
1594846800,236.58,237.32,235.74,236.06,1064,187,0
1594850400,236.05,236.73,235.50,236.31,1286,187,0
1594854000,236.32,237.42,236.16,236.80,1184,187,0
1594857600,234.53,237.65,234.42,237.65,4307,187,0
1594861200,237.65,237.93,237.11,237.25,1480,186,0
1594864800,237.24,237.83,236.78,237.46,549,187,0
1594868400,237.46,237.78,236.69,237.70,779,187,0
1594872000,237.71,238.32,236.93,237.93,863,186,0
1594875600,237.93,238.25,236.96,237.31,709,187,0
1594879200,237.31,237.53,236.82,237.20,597,187,0
1594882800,237.22,237.67,237.04,237.19,395,187,0
1594886400,237.21,237.69,236.37,237.19,1026,186,0
1594890000,237.19,237.44,231.67,234.03,1855,187,0
1594893600,234.02,234.02,228.61,231.26,3327,187,0
1594897200,231.22,232.05,230.38,231.44,1662,187,0
1594900800,231.44,231.44,229.49,229.90,2271,187,0
1594904400,229.89,230.73,228.88,230.71,1924,187,0
1594908000,230.70,231.21,230.25,230.41,960,186,0
1594911600,230.41,231.69,230.29,230.84,1222,187,0
1594915200,230.87,231.39,230.50,231.08,1062,187,0
1594918800,231.08,231.88,230.58,231.56,958,187,0
1594922400,231.58,232.32,231.23,232.05,1231,187,0
1594926000,232.04,232.80,231.52,231.61,997,187,0
1594929600,231.60,232.43,231.60,232.26,1181,187,0
1594933200,232.27,233.37,231.68,231.90,1782,187,0
1594936800,231.89,232.06,230.63,231.24,2062,187,0
1594940400,231.24,231.99,230.65,231.65,883,187,0
1594944000,229.11,232.58,229.02,231.77,5683,187,0
1594947600,231.80,232.53,231.75,232.37,7090,187,0
1594951200,232.37,233.13,232.03,232.55,1545,187,0
1594954800,232.55,232.94,231.76,231.87,881,186,0
1594958400,231.88,233.44,231.83,232.52,1609,187,0
1594962000,232.49,233.20,232.42,232.48,887,187,0
1594965600,232.48,232.77,231.66,232.11,872,187,0
1594969200,232.11,232.50,230.62,231.08,1181,187,0
1594972800,231.08,231.84,230.56,231.65,1097,187,0
1594976400,231.66,232.82,231.66,232.05,934,187,0
1594980000,232.06,232.57,231.78,232.00,930,187,0
1594983600,231.98,232.45,231.18,231.77,1166,187,0
1594987200,231.77,232.31,231.33,232.11,937,187,0
1594990800,232.13,232.56,231.61,231.81,978,187,0
1594994400,231.81,232.31,230.75,232.23,1165,187,0
1594998000,232.25,233.72,232.23,232.54,1985,186,0
1595001600,232.54,232.95,231.97,232.28,720,187,0
1595005200,232.28,232.29,231.59,232.22,1176,187,0
1595008800,232.24,232.74,231.71,232.14,707,187,0
1595012400,232.14,232.59,231.73,232.25,537,187,0
1595016000,232.25,232.32,231.34,231.92,648,187,0
1595019600,231.91,232.59,231.79,232.26,253,187,0
1595023200,232.14,232.46,231.87,232.06,684,187,0
1595026800,232.06,232.65,231.45,231.46,706,187,0
1595203200,232.32,234.91,232.32,234.73,7917,187,0
1595206800,234.73,237.33,234.62,236.98,3657,187,0
1595210400,236.98,239.04,236.98,238.29,3781,186,0
1595214000,238.33,238.94,237.74,237.80,1601,187,0
1595217600,237.78,238.27,237.21,237.30,903,186,0
1595221200,237.30,237.85,236.78,237.74,946,187,0
1595224800,237.65,238.12,237.43,237.75,927,187,0
1595228400,237.75,237.97,237.30,237.64,738,187,0
1595232000,237.64,238.36,237.48,238.32,593,187,0
1595235600,238.32,238.33,237.24,237.45,822,187,0
1595239200,237.44,237.90,237.33,237.65,717,187,0
1595242800,237.65,238.12,237.54,238.12,585,187,0
1595246400,238.14,238.53,237.80,237.88,740,187,0
1595250000,237.79,237.89,236.04,236.72,1564,187,0
1595253600,236.71,237.22,236.29,236.66,1045,187,0
1595257200,236.65,237.38,236.34,237.19,869,187,0
1595260800,237.28,237.30,236.32,236.49,898,187,0
1595264400,236.49,237.24,236.36,236.69,1166,187,0
1595268000,236.67,237.16,236.30,237.03,622,187,0
1595271600,237.01,237.29,236.31,237.19,912,187,0
1595275200,237.20,238.07,237.18,237.56,879,187,0
1595278800,237.60,237.87,236.70,237.13,635,187,0
1595282400,237.14,237.14,233.10,234.39,2109,187,0
1595286000,234.39,235.51,234.08,235.43,1638,187,0
1595289600,232.77,235.34,232.72,235.05,9583,187,0
1595293200,235.07,235.45,234.57,235.24,2459,187,0
1595296800,235.24,235.96,235.08,235.18,707,187,0
1595300400,235.19,235.93,234.68,235.84,932,187,0
1595304000,235.87,236.53,235.80,236.11,1107,186,0
1595307600,236.09,236.30,235.72,235.99,819,186,0
1595311200,235.99,236.21,235.33,236.09,958,187,0
