time,open,high,low,close,tick_volume,spread,real_volume
1594292400,245.72,245.78,244.77,245.22,1261,187,0
1594296000,245.24,245.76,244.34,245.17,1273,187,0
1594299600,245.16,245.34,243.63,243.84,1818,187,0
1594303200,243.83,245.75,243.38,245.58,1727,187,0
1594306800,245.56,246.72,245.27,246.36,2308,187,0
1594310400,246.37,246.52,243.92,244.72,3046,187,0
1594314000,244.69,244.72,239.87,241.42,3672,187,0
1594317600,241.40,241.40,236.64,238.83,4552,187,0
1594321200,238.90,239.92,238.21,239.39,3199,187,0
1594324800,239.36,239.98,238.47,239.21,1287,187,0
1594328400,239.21,239.95,238.93,239.58,1147,187,0
1594332000,239.56,239.67,237.44,239.09,1777,187,0
1594335600,239.09,240.77,238.57,240.37,1858,187,0
1594339200,238.33,240.99,238.09,240.91,4489,187,0
1594342800,240.89,241.21,239.91,240.81,1567,187,0
1594346400,240.82,241.23,239.96,241.06,902,187,0
1594350000,241.02,241.25,239.52,239.67,1640,187,0
1594353600,239.66,240.31,239.16,239.89,1290,187,0
1594357200,239.87,240.06,238.86,239.78,1570,187,0
1594360800,239.77,240.19,238.97,239.52,953,187,0
1594364400,239.52,239.54,234.70,235.90,2029,187,0
1594368000,235.90,237.06,234.53,236.75,1999,186,0
1594371600,236.71,237.23,236.18,236.21,1092,187,0
1594375200,236.20,237.57,235.69,236.88,1171,187,0
1594378800,236.88,239.27,236.83,238.00,2014,186,0
1594382400,238.00,238.26,237.20,238.19,1337,187,0
1594386000,238.18,238.53,237.04,237.82,1225,187,0
1594389600,237.82,238.68,236.74,236.87,1433,187,0
1594393200,236.87,238.43,236.87,238.13,1283,186,0
1594396800,238.13,238.61,237.31,238.23,1357,187,0
1594400400,238.23,238.92,237.17,238.33,1587,187,0
1594404000,238.33,239.79,238.07,239.64,1646,187,0
1594407600,239.63,239.82,237.97,238.59,1310,187,0
1594411200,238.59,238.72,237.45,238.46,869,187,0
1594414800,238.44,238.44,237.53,238.02,829,187,0
1594418400,238.03,238.91,237.99,238.59,540,187,0
1594422000,238.59,239.02,238.12,238.27,713,187,0
1594598400,235.18,238.46,235.13,238.13,9699,187,0
1594602000,238.13,240.30,238.09,239.80,2575,187,0
1594605600,239.82,242.15,239.19,241.93,3881,187,0
1594609200,241.94,242.74,240.30,240.87,2822,187,0
1594612800,240.87,241.77,240.47,240.73,1936,187,0
1594616400,240.71,241.19,240.43,241.04,1018,187,0
1594620000,241.04,241.24,240.39,240.70,947,187,0
1594623600,240.68,241.23,240.35,240.99,750,187,0
1594627200,240.99,241.99,240.96,241.94,905,187,0
1594630800,241.94,242.31,240.67,240.96,1137,187,0
1594634400,240.96,242.04,240.95,241.85,1225,187,0
1594638000,241.84,243.62,241.84,242.99,1760,187,0
1594641600,243.00,243.23,241.84,242.57,906,187,0
1594645200,242.60,243.14,242.00,242.84,1116,187,0
1594648800,242.84,244.28,242.74,243.64,1709,187,0
1594652400,243.63,244.36,242.06,243.81,1699,187,0
1594656000,243.80,244.03,242.77,243.26,1173,187,0
1594659600,243.24,243.55,238.42,242.11,1199,187,0
1594663200,242.11,242.87,241.04,241.74,1390,187,0
1594666800,241.73,242.64,241.61,242.47,1245,187,0
1594670400,242.46,242.84,241.94,242.33,1341,187,0
1594674000,242.32,242.32,239.05,240.39,2378,187,0
1594677600,240.35,240.35,236.12,237.34,3701,187,0
1594681200,237.30,238.47,236.62,237.88,1783,187,0
1594684800,235.02,239.05,235.01,239.01,7079,187,0
1594688400,239.01,239.01,238.00,238.68,1685,187,0
1594692000,238.69,239.06,237.53,238.40,1461,187,0
1594695600,238.39,238.70,237.49,237.73,964,187,0
1594699200,237.72,239.09,237.18,238.50,896,187,0
1594702800,238.49,238.89,237.87,238.27,993,187,0
1594706400,238.26,238.64,237.49,237.65,798,187,0
1594710000,237.64,237.76,235.67,236.80,1643,187,0
1594713600,236.80,237.19,236.23,237.08,1063,187,0
1594717200,237.02,237.86,236.70,237.35,897,187,0
1594720800,237.31,237.77,236.87,237.33,737,187,0
1594724400,237.32,238.00,237.21,237.58,530,187,0
1594728000,237.56,238.09,237.49,237.81,509,187,0
1594731600,237.80,237.96,236.86,237.88,804,187,0
1594735200,237.88,239.73,236.47,239.54,2915,187,0
1594738800,239.54,240.26,238.35,238.54,1190,187,0
1594742400,238.54,239.16,237.68,238.00,1742,186,0
