time,open,high,low,close,tick_volume,spread,real_volume
1536570000,1.62360,1.62459,1.62248,1.62435,5493,8,0
1536573600,1.62436,1.62622,1.62376,1.62398,5679,8,0
1536577200,1.62398,1.62629,1.62365,1.62445,5041,7,0
1536580800,1.62445,1.62642,1.62425,1.62551,4032,8,0
1536584400,1.62550,1.62602,1.62439,1.62450,3919,8,0
1536588000,1.62450,1.62607,1.62446,1.62554,3913,8,0
1536591600,1.62557,1.62784,1.62535,1.62781,5793,8,0
1536595200,1.62780,1.62925,1.62763,1.62811,6778,8,0
1536598800,1.62810,1.63065,1.62759,1.63022,5777,8,0
1536602400,1.63022,1.63049,1.62917,1.63020,4325,8,0
1536606000,1.63020,1.63169,1.63007,1.63131,3458,8,0
1536609600,1.63131,1.63200,1.63104,1.63133,2695,8,0
1536613200,1.63133,1.63161,1.63073,1.63092,2559,8,0
1536616800,1.63095,1.63106,1.62992,1.63028,2730,8,0
1536620400,1.63028,1.63049,1.62981,1.62994,1989,8,0
1536624000,1.62885,1.63032,1.62871,1.62972,3609,15,0
1536627600,1.62972,1.63018,1.62954,1.62978,2960,17,0
1536631200,1.62977,1.63087,1.62944,1.63072,1614,8,0
1536634800,1.63072,1.63136,1.62972,1.63050,3357,8,0
1536638400,1.63049,1.63245,1.62915,1.62950,5059,8,0
1536642000,1.62950,1.63096,1.62915,1.62924,3453,8,0
1536645600,1.62923,1.62947,1.62832,1.62899,3475,8,0
1536649200,1.62896,1.62901,1.62817,1.62872,2145,8,0
1536652800,1.62874,1.62986,1.62874,1.62964,2636,8,0
1536656400,1.62965,1.63285,1.62933,1.63194,4662,8,0
1536660000,1.63195,1.63467,1.63167,1.63236,5463,8,0
1536663600,1.63235,1.63342,1.63113,1.63281,6812,8,0
1536667200,1.63279,1.63371,1.63211,1.63214,5644,8,0
1536670800,1.63217,1.63239,1.63078,1.63140,5350,8,0
1536674400,1.63140,1.63181,1.63047,1.63092,4238,8,0
1536678000,1.63093,1.63264,1.63037,1.63243,7940,8,0
1536681600,1.63244,1.63421,1.63243,1.63386,6728,8,0
1536685200,1.63388,1.63540,1.63266,1.63270,7088,8,0
1536688800,1.63261,1.63291,1.63127,1.63160,5236,8,0
1536692400,1.63159,1.63185,1.63056,1.63141,3245,8,0
1536696000,1.63141,1.63232,1.63126,1.63207,3116,8,0
1536699600,1.63207,1.63231,1.63126,1.63162,2703,8,0
1536703200,1.63160,1.63160,1.63023,1.63026,2854,8,0
1536706800,1.63034,1.63034,1.62836,1.62959,3595,8,0
1536710400,1.62914,1.63004,1.62829,1.62973,2005,32,0
1536714000,1.62973,1.63027,1.62958,1.62979,2474,8,0
1536717600,1.62980,1.63088,1.62912,1.63070,2387,8,0
1536721200,1.63070,1.63386,1.63061,1.63223,3861,8,0
1536724800,1.63223,1.63402,1.63216,1.63336,3466,8,0
1536728400,1.63339,1.63390,1.63210,1.63212,2530,8,0
1536732000,1.63212,1.63304,1.63198,1.63222,2927,8,0
1536735600,1.63222,1.63297,1.63175,1.63176,1407,8,0
1536739200,1.63176,1.63216,1.63032,1.63096,3147,8,0
1536742800,1.63096,1.63183,1.63029,1.63030,4757,8,0
1536746400,1.63034,1.63067,1.62929,1.62973,5452,8,0
1536750000,1.62973,1.63021,1.62609,1.62716,6631,8,0
1536753600,1.62715,1.62931,1.62661,1.62838,5636,8,0
1536757200,1.62839,1.62852,1.62730,1.62744,4858,8,0
1536760800,1.62750,1.62866,1.62686,1.62748,6848,8,0
1536764400,1.62730,1.62775,1.62603,1.62731,6536,8,0
1536768000,1.62731,1.62866,1.62695,1.62760,6365,8,0
1536771600,1.62759,1.62950,1.62660,1.62866,7992,8,0
1536775200,1.62866,1.62971,1.62137,1.62361,10083,8,0
1536778800,1.62361,1.62361,1.62071,1.62269,5900,8,0
1536782400,1.62269,1.62310,1.62200,1.62227,5327,8,0
1536786000,1.62228,1.62228,1.61970,1.62050,4465,8,0
1536789600,1.62050,1.62090,1.62006,1.62084,5007,8,0
1536793200,1.62085,1.62184,1.62043,1.62089,1626,8,0
1536796800,1.62112,1.62196,1.62056,1.62088,1974,37,0
1536800400,1.62089,1.62205,1.62084,1.62145,2612,8,0
1536804000,1.62148,1.62160,1.62051,1.62121,1695,8,0
1536807600,1.62123,1.62251,1.62109,1.62164,4447,8,0
1536811200,1.62163,1.62227,1.61692,1.61849,3598,8,0
1536814800,1.61850,1.62032,1.61831,1.61898,2841,8,0
1536818400,1.61897,1.61942,1.61788,1.61839,1937,8,0
1536822000,1.61839,1.61894,1.61761,1.61797,1724,8,0
1536825600,1.61796,1.61900,1.61772,1.61855,2603,8,0
1536829200,1.61849,1.61924,1.61712,1.61767,3742,8,0
1536832800,1.61770,1.61806,1.61540,1.61638,4054,7,0
1536836400,1.61639,1.61841,1.61597,1.61630,3638,8,0
1536840000,1.61624,1.61890,1.61528,1.61874,3810,8,0
1536843600,1.61873,1.61928,1.61704,1.61717,3023,8,0
1536847200,1.61713,1.61792,1.61543,1.61684,4963,8,0
1536850800,1.61684,1.61789,1.61373,1.61675,9210,8,0
1536854400,1.61681,1.62050,1.61630,1.61857,8652,8,0
1536858000,1.61852,1.62500,1.61765,1.62431,8932,8,0
1536861600,1.62431,1.62473,1.62290,1.62301,5391,8,0
1536865200,1.62301,1.62348,1.62147,1.62288,3067,8,0
1536868800,1.62287,1.62419,1.62252,1.62344,3055,8,0
1536872400,1.62343,1.62525,1.62307,1.62504,2984,8,0
1536876000,1.62504,1.62596,1.62480,1.62513,3224,8,0
1536879600,1.62517,1.62632,1.62517,1.62550,1629,8,0
1536883200,1.62430,1.62579,1.62411,1.62572,3690,33,0
1536886800,1.62572,1.62605,1.62472,1.62552,2571,10,0
1536890400,1.62557,1.62681,1.62535,1.62671,1809,8,0
1536894000,1.62672,1.62700,1.62540,1.62586,2740,8,0
1536897600,1.62590,1.62863,1.62556,1.62744,2536,8,0
1536901200,1.62743,1.62746,1.62608,1.62610,2344,8,0
1536904800,1.62610,1.62640,1.62532,1.62543,1646,8,0
1536908400,1.62544,1.62577,1.62487,1.62532,1544,8,0
1536912000,1.62532,1.62534,1.62299,1.62402,1914,8,0
1536915600,1.62397,1.62514,1.62347,1.62449,4338,8,0
1536919200,1.62448,1.62499,1.62365,1.62488,4513,8,0
1536922800,1.62487,1.62562,1.62389,1.62454,4072,8,0
1536926400,1.62455,1.62583,1.62390,1.62469,3526,8,0
1536930000,1.62469,1.62601,1.62419,1.62574,3422,7,0
1536933600,1.62573,1.62733,1.62519,1.62596,4072,8,0
1536937200,1.62594,1.62752,1.62544,1.62626,7058,7,0
1536940800,1.62622,1.62640,1.62437,1.62474,6137,8,0
1536944400,1.62474,1.62609,1.62431,1.62452,6937,8,0
1536948000,1.62452,1.62487,1.62269,1.62372,4400,8,0
1536951600,1.62372,1.62770,1.62368,1.62484,7186,8,0
1536955200,1.62484,1.62547,1.62348,1.62381,4342,8,0
1536958800,1.62381,1.62457,1.62322,1.62334,3186,8,0
1536962400,1.62333,1.62557,1.62302,1.62557,4153,8,0
1536966000,1.62557,1.62559,1.62394,1.62439,1888,8,0
1537142400,1.62399,1.62548,1.62399,1.62499,632,18,0
1537146000,1.62499,1.62583,1.62468,1.62581,2189,8,0
1537149600,1.62581,1.62735,1.62502,1.62728,2888,8,0
1537153200,1.62727,1.62751,1.62514,1.62531,4208,8,0
1537156800,1.62528,1.62620,1.62511,1.62592,3375,8,0
1537160400,1.62591,1.62654,1.62507,1.62586,2925,8,0
1537164000,1.62586,1.62644,1.62544,1.62586,2620,8,0
1537167600,1.62588,1.62592,1.62493,1.62588,2100,8,0
1537171200,1.62589,1.62656,1.62474,1.62490,2513,8,0
1537174800,1.62493,1.62546,1.62424,1.62504,4115,8,0
1537178400,1.62503,1.62563,1.62383,1.62488,4429,8,0
1537182000,1.62486,1.62561,1.62417,1.62463,4731,8,0
1537185600,1.62458,1.62512,1.62362,1.62379,3613,8,0
1537189200,1.62378,1.62552,1.62370,1.62547,4353,8,0
1537192800,1.62547,1.62621,1.62472,1.62485,4871,8,0
1537196400,1.62487,1.62663,1.62482,1.62568,6570,8,0
1537200000,1.62571,1.62623,1.62469,1.62618,6201,8,0
1537203600,1.62617,1.62803,1.62472,1.62797,5963,8,0
1537207200,1.62796,1.62832,1.62624,1.62636,5001,8,0
1537210800,1.62636,1.62694,1.62560,1.62635,3493,8,0
1537214400,1.62633,1.62663,1.62586,1.62623,2933,8,0
1537218000,1.62622,1.62734,1.62588,1.62711,2189,8,0
1537221600,1.62710,1.62813,1.62682,1.62785,5921,8,0
1537225200,1.62787,1.62817,1.62738,1.62746,2915,9,0
1537228800,1.62560,1.62790,1.62557,1.62700,2062,23,0
1537232400,1.62700,1.63152,1.62684,1.63147,6619,9,0
1537236000,1.63159,1.63320,1.63076,1.63315,3057,8,0
1537239600,1.63315,1.63333,1.62919,1.62944,3849,8,0
1537243200,1.62944,1.63069,1.62760,1.62903,4194,8,0
1537246800,1.62903,1.62921,1.62668,1.62690,2889,8,0
1537250400,1.62690,1.62743,1.62266,1.62563,5987,8,0
1537254000,1.62563,1.62685,1.62434,1.62564,3575,8,0
1537257600,1.62562,1.62583,1.62313,1.62318,4770,8,0
1537261200,1.62317,1.62357,1.62090,1.62097,7036,8,0
1537264800,1.62096,1.62419,1.62084,1.62247,9234,7,0
1537268400,1.62246,1.62270,1.62100,1.62190,5124,8,0
1537272000,1.62190,1.62205,1.61949,1.62047,4390,8,0
1537275600,1.62047,1.62156,1.62021,1.62126,4992,8,0
1537279200,1.62126,1.62519,1.62115,1.62503,5175,8,0
1537282800,1.62503,1.62610,1.62390,1.62598,6848,8,0
1537286400,1.62596,1.62659,1.62262,1.62289,8001,8,0
1537290000,1.62292,1.62416,1.62230,1.62305,7305,8,0
1537293600,1.62300,1.62327,1.61935,1.61974,5204,8,0
1537297200,1.61975,1.61992,1.61688,1.61797,5833,8,0
1537300800,1.61796,1.61801,1.61718,1.61776,4218,8,0
1537304400,1.61775,1.61784,1.61648,1.61683,3400,8,0
1537308000,1.61681,1.61683,1.61556,1.61645,3317,8,0
1537311600,1.61646,1.61688,1.61583,1.61583,2006,8,0
1537315200,1.61570,1.61743,1.61509,1.61557,4293,17,0
1537318800,1.61549,1.61581,1.61469,1.61565,3822,8,0
1537322400,1.61562,1.61652,1.61534,1.61640,1447,8,0
1537326000,1.61640,1.61675,1.61504,1.61628,3763,8,0
1537329600,1.61635,1.61645,1.61534,1.61559,3856,8,0
1537333200,1.61560,1.61577,1.61342,1.61376,2840,7,0
1537336800,1.61375,1.61435,1.60911,1.61256,4904,8,0
1537340400,1.61259,1.61333,1.61190,1.61252,3314,8,0
1537344000,1.61253,1.61301,1.61147,1.61251,4154,8,0
1537347600,1.61249,1.61396,1.61067,1.61279,5100,8,0
1537351200,1.61281,1.61600,1.61185,1.61531,5998,8,0
1537354800,1.61530,1.61640,1.61489,1.61522,6196,8,0
1537358400,1.61522,1.61548,1.61240,1.61351,5451,8,0
