time,open,high,low,close,tick_volume,spread,real_volume
1536577200,1.12142,1.12396,1.12108,1.12379,3882,6,0
1536580800,1.12378,1.12709,1.12364,1.12682,3270,6,0
1536584400,1.12676,1.12705,1.12614,1.12695,2948,6,0
1536588000,1.12695,1.12832,1.12652,1.12677,3085,6,0
1536591600,1.12677,1.12996,1.12660,1.12986,4306,6,0
1536595200,1.12985,1.13024,1.12866,1.12931,5590,6,0
1536598800,1.12931,1.12974,1.12832,1.12879,4661,6,0
1536602400,1.12886,1.13017,1.12832,1.13015,3144,7,0
1536606000,1.13014,1.13153,1.12985,1.13065,2513,6,0
1536609600,1.13066,1.13098,1.13009,1.13035,1650,7,0
1536613200,1.13035,1.13101,1.13010,1.13053,1239,7,0
1536616800,1.13052,1.13070,1.13042,1.13061,1009,7,0
1536620400,1.13061,1.13066,1.13008,1.13034,1149,8,0
1536624000,1.12995,1.13041,1.12968,1.13001,364,19,0
1536627600,1.12978,1.13005,1.12971,1.12989,1401,14,0
1536631200,1.12989,1.13020,1.12985,1.13007,401,10,0
1536634800,1.13006,1.13120,1.13001,1.13056,936,8,0
1536638400,1.13056,1.13065,1.12981,1.13049,1516,7,0
1536642000,1.13048,1.13059,1.12974,1.12997,982,6,0
1536645600,1.12997,1.13094,1.12989,1.13080,1302,7,0
1536649200,1.13080,1.13096,1.13063,1.13081,742,9,0
1536652800,1.13080,1.13174,1.13059,1.13172,1032,8,0
1536656400,1.13172,1.13431,1.13148,1.13387,3315,7,0
1536660000,1.13386,1.13386,1.13239,1.13271,4190,6,0
1536663600,1.13271,1.13318,1.13043,1.13144,4486,6,0
1536667200,1.13143,1.13153,1.12972,1.13031,4617,7,0
1536670800,1.13031,1.13064,1.12802,1.12827,4242,7,0
1536674400,1.12824,1.12849,1.12732,1.12767,3094,6,0
1536678000,1.12768,1.12845,1.12634,1.12785,5373,7,0
1536681600,1.12785,1.12878,1.12746,1.12848,4460,6,0
1536685200,1.12849,1.12947,1.12786,1.12841,5183,6,0
1536688800,1.12839,1.12887,1.12815,1.12863,3076,7,0
1536692400,1.12864,1.12871,1.12813,1.12834,1883,6,0
1536696000,1.12834,1.12845,1.12787,1.12810,1666,7,0
1536699600,1.12810,1.12815,1.12755,1.12783,1485,8,0
1536703200,1.12784,1.12823,1.12744,1.12751,1263,8,0
1536706800,1.12754,1.12873,1.12745,1.12844,1823,8,0
1536710400,1.12783,1.12836,1.12781,1.12817,287,35,0
1536714000,1.12827,1.12849,1.12816,1.12839,732,9,0
1536717600,1.12839,1.12855,1.12824,1.12825,549,13,0
1536721200,1.12828,1.12891,1.12801,1.12884,950,9,0
1536724800,1.12884,1.12888,1.12833,1.12868,823,10,0
1536728400,1.12870,1.12890,1.12832,1.12848,709,10,0
1536732000,1.12849,1.12866,1.12810,1.12843,578,10,0
1536735600,1.12841,1.12894,1.12840,1.12880,416,9,0
1536739200,1.12880,1.12900,1.12835,1.12859,936,8,0
1536742800,1.12859,1.12889,1.12684,1.12686,3609,7,0
1536746400,1.12685,1.12992,1.12685,1.12978,3917,6,0
1536750000,1.12978,1.13036,1.12853,1.12923,4617,6,0
1536753600,1.12924,1.12924,1.12813,1.12828,4030,8,0
1536757200,1.12828,1.12828,1.12736,1.12739,2977,8,0
1536760800,1.12741,1.12873,1.12685,1.12774,4576,7,0
1536764400,1.12774,1.12831,1.12716,1.12824,4437,8,0
1536768000,1.12825,1.12842,1.12728,1.12746,4019,6,0
1536771600,1.12746,1.12900,1.12714,1.12895,5023,6,0
1536775200,1.12895,1.13110,1.12810,1.12814,5672,6,0
1536778800,1.12816,1.12851,1.12760,1.12848,3163,6,0
1536782400,1.12849,1.12877,1.12829,1.12859,3250,8,0
1536786000,1.12859,1.12871,1.12830,1.12833,2856,8,0
1536789600,1.12834,1.12835,1.12793,1.12811,1454,7,0
1536793200,1.12811,1.12834,1.12803,1.12830,849,10,0
1536796800,1.12809,1.12882,1.12745,1.12804,2404,35,0
1536800400,1.12805,1.12852,1.12776,1.12802,1422,13,0
1536804000,1.12802,1.12827,1.12789,1.12790,392,8,0
1536807600,1.12791,1.12882,1.12788,1.12881,914,7,0
1536811200,1.12879,1.12891,1.12841,1.12858,978,9,0
1536814800,1.12858,1.12861,1.12768,1.12774,1006,8,0
1536818400,1.12775,1.12794,1.12765,1.12782,940,7,0
1536822000,1.12782,1.12803,1.12731,1.12733,713,7,0
1536825600,1.12732,1.12760,1.12653,1.12668,1238,8,0
1536829200,1.12666,1.12746,1.12615,1.12693,2641,7,0
1536832800,1.12694,1.12735,1.12620,1.12661,3124,6,0
1536836400,1.12663,1.12748,1.12649,1.12696,2503,7,0
1536840000,1.12694,1.12716,1.12649,1.12696,3175,6,0
1536843600,1.12697,1.12704,1.12624,1.12661,2472,6,0
1536847200,1.12660,1.12773,1.12628,1.12678,3510,7,0
1536850800,1.12678,1.12963,1.12630,1.12871,7068,6,0
1536854400,1.12875,1.13151,1.12841,1.13029,6667,7,0
1536858000,1.13025,1.13103,1.12895,1.12995,6656,6,0
1536861600,1.12995,1.13035,1.12960,1.12983,3947,7,0
1536865200,1.12983,1.13028,1.12942,1.12986,1462,8,0
1536868800,1.12987,1.12989,1.12879,1.12891,1858,7,0
1536872400,1.12892,1.12948,1.12877,1.12920,2810,7,0
1536876000,1.12921,1.12934,1.12863,1.12875,1987,6,0
1536879600,1.12875,1.12893,1.12839,1.12863,1627,9,0
1536883200,1.12828,1.12900,1.12806,1.12880,1520,26,0
1536886800,1.12889,1.12892,1.12821,1.12840,1995,11,0
1536890400,1.12840,1.12968,1.12837,1.12968,759,10,0
1536894000,1.12968,1.12976,1.12930,1.12954,1096,10,0
1536897600,1.12954,1.12958,1.12909,1.12910,716,11,0
1536901200,1.12911,1.12937,1.12846,1.12848,761,9,0
1536904800,1.12850,1.12874,1.12807,1.12809,585,7,0
1536908400,1.12810,1.12862,1.12803,1.12861,983,9,0
1536912000,1.12860,1.12882,1.12828,1.12847,771,8,0
1536915600,1.12847,1.13034,1.12842,1.12996,3538,6,0
1536919200,1.12996,1.13037,1.12922,1.12963,3928,7,0
1536922800,1.12963,1.12969,1.12796,1.12859,3913,7,0
1536926400,1.12859,1.12869,1.12759,1.12809,3332,6,0
1536930000,1.12809,1.12839,1.12778,1.12810,2928,6,0
1536933600,1.12811,1.12813,1.12727,1.12745,3447,7,0
1536937200,1.12745,1.12794,1.12694,1.12717,5701,6,0
1536940800,1.12716,1.12809,1.12639,1.12762,4547,7,0
1536944400,1.12764,1.12814,1.12607,1.12699,4734,6,0
1536948000,1.12701,1.12713,1.12652,1.12656,3417,8,0
1536951600,1.12656,1.12666,1.12444,1.12509,4855,6,0
1536955200,1.12509,1.12519,1.12444,1.12475,2193,7,0
1536958800,1.12475,1.12491,1.12451,1.12468,1355,8,0
1536962400,1.12467,1.12488,1.12423,1.12450,1059,8,0
1536966000,1.12450,1.12452,1.12405,1.12416,524,10,0
1537142400,1.12436,1.12529,1.12408,1.12465,589,56,0
1537146000,1.12475,1.12475,1.12406,1.12447,1978,15,0
1537149600,1.12446,1.12450,1.12404,1.12426,415,7,0
1537153200,1.12428,1.12491,1.12416,1.12491,776,7,0
1537156800,1.12492,1.12503,1.12450,1.12452,885,7,0
1537160400,1.12452,1.12518,1.12441,1.12516,747,10,0
1537164000,1.12516,1.12541,1.12507,1.12541,792,10,0
1537167600,1.12542,1.12553,1.12520,1.12550,700,9,0
1537171200,1.12550,1.12570,1.12535,1.12543,829,11,0
1537174800,1.12544,1.12551,1.12398,1.12440,2656,8,0
1537178400,1.12439,1.12504,1.12316,1.12390,3763,7,0
1537182000,1.12390,1.12599,1.12370,1.12465,4146,6,0
1537185600,1.12457,1.12480,1.12325,1.12441,3367,6,0
1537189200,1.12441,1.12488,1.12408,1.12408,3727,6,0
1537192800,1.12408,1.12456,1.12351,1.12365,3782,7,0
1537196400,1.12366,1.12507,1.12302,1.12489,5066,8,0
1537200000,1.12489,1.12581,1.12450,1.12475,4263,8,0
1537203600,1.12476,1.12512,1.12381,1.12486,4221,7,0
1537207200,1.12487,1.12547,1.12413,1.12414,2698,7,0
1537210800,1.12414,1.12567,1.12409,1.12552,1845,7,0
1537214400,1.12553,1.12558,1.12427,1.12463,1826,7,0
1537218000,1.12462,1.12482,1.12442,1.12461,1065,7,0
1537221600,1.12459,1.12461,1.12369,1.12384,2728,9,0
1537225200,1.12384,1.12441,1.12360,1.12436,1232,10,0
1537228800,1.12407,1.12474,1.12400,1.12438,955,37,0
1537232400,1.12440,1.12475,1.12333,1.12334,5466,9,0
1537236000,1.12330,1.12362,1.12324,1.12332,801,11,0
1537239600,1.12332,1.12404,1.12325,1.12377,1139,9,0
1537243200,1.12377,1.12442,1.12363,1.12425,1491,10,0
