time,open,high,low,close,tick_volume,spread,real_volume
1536656400,0.88966,0.89078,0.88932,0.89050,3334,6,0
1536660000,0.89050,0.89101,0.88956,0.89009,3728,6,0
1536663600,0.89009,0.89373,0.88877,0.89051,4759,6,0
1536667200,0.89051,0.89127,0.88945,0.88955,3239,6,0
1536670800,0.88955,0.89017,0.88867,0.89007,2602,6,0
1536674400,0.89007,0.89085,0.88921,0.88998,2780,6,0
1536678000,0.88998,0.89247,0.88750,0.89173,5993,6,0
1536681600,0.89173,0.89190,0.89086,0.89140,4022,6,0
1536685200,0.89140,0.89197,0.89086,0.89114,5214,6,0
1536688800,0.89113,0.89184,0.89047,0.89059,3243,6,0
1536692400,0.89058,0.89101,0.89026,0.89087,2108,6,0
1536696000,0.89087,0.89093,0.89030,0.89069,1922,7,0
1536699600,0.89068,0.89072,0.89036,0.89060,1732,7,0
1536703200,0.89058,0.89072,0.89026,0.89034,1445,7,0
1536706800,0.89033,0.89072,0.88966,0.89044,2246,6,0
1536710400,0.88987,0.89136,0.88987,0.89092,3102,11,0
1536714000,0.89093,0.89113,0.89076,0.89106,1620,6,0
1536717600,0.89106,0.89113,0.89081,0.89081,811,7,0
1536721200,0.89081,0.89084,0.89055,0.89078,1326,7,0
1536724800,0.89078,0.89086,0.89057,0.89074,1107,7,0
1536728400,0.89073,0.89100,0.89067,0.89089,660,7,0
1536732000,0.89089,0.89114,0.89062,0.89062,882,7,0
1536735600,0.89062,0.89085,0.89056,0.89063,896,7,0
1536739200,0.89062,0.89097,0.89052,0.89072,1143,7,0
1536742800,0.89071,0.89162,0.89020,0.89032,2298,6,0
1536746400,0.89032,0.89096,0.88963,0.88993,3835,6,0
1536750000,0.88993,0.89012,0.88875,0.88982,4483,6,0
1536753600,0.88982,0.89039,0.88930,0.88952,3872,6,0
1536757200,0.88951,0.89190,0.88947,0.89178,3135,6,0
1536760800,0.89179,0.89220,0.89065,0.89075,4165,6,0
1536764400,0.89072,0.89123,0.89016,0.89108,3416,6,0
1536768000,0.89109,0.89208,0.89084,0.89181,3222,6,0
1536771600,0.89180,0.89285,0.89172,0.89274,3974,6,0
1536775200,0.89275,0.89362,0.89219,0.89236,5154,6,0
1536778800,0.89236,0.89237,0.88799,0.89044,3305,6,0
1536782400,0.89043,0.89094,0.89023,0.89050,3013,7,0
1536786000,0.89050,0.89120,0.89041,0.89093,2238,6,0
1536789600,0.89092,0.89110,0.89069,0.89086,1549,6,0
1536793200,0.89087,0.89121,0.89065,0.89097,1186,7,0
1536796800,0.89018,0.89150,0.89018,0.89108,1062,16,0
1536800400,0.89108,0.89128,0.89098,0.89109,2236,7,0
1536804000,0.89109,0.89129,0.89089,0.89115,896,6,0
1536807600,0.89115,0.89182,0.89113,0.89170,2109,6,0
1536811200,0.89170,0.89216,0.89157,0.89213,1754,7,0
1536814800,0.89212,0.89214,0.89191,0.89197,1307,7,0
1536818400,0.89197,0.89201,0.89146,0.89151,1142,7,0
1536822000,0.89152,0.89178,0.89111,0.89111,690,7,0
1536825600,0.89112,0.89179,0.89096,0.89166,1832,7,0
1536829200,0.89161,0.89239,0.89157,0.89164,1965,6,0
1536832800,0.89164,0.89175,0.89047,0.89087,2044,6,0
1536836400,0.89087,0.89110,0.89045,0.89045,1798,6,0
1536840000,0.89045,0.89047,0.88951,0.88996,2745,6,0
1536843600,0.88996,0.89051,0.88926,0.88936,1901,6,0
1536847200,0.88936,0.89167,0.88922,0.89075,3683,6,0
1536850800,0.89074,0.89247,0.88980,0.89215,6281,6,0
1536854400,0.89217,0.89299,0.89091,0.89174,6016,6,0
1536858000,0.89173,0.89217,0.89100,0.89159,4932,6,0
1536861600,0.89160,0.89181,0.89067,0.89071,3681,6,0
1536865200,0.89071,0.89119,0.89047,0.89085,2027,6,0
1536868800,0.89084,0.89164,0.89058,0.89137,2196,7,0
1536872400,0.89136,0.89187,0.89125,0.89168,1859,7,0
1536876000,0.89168,0.89209,0.89159,0.89174,2378,7,0
1536879600,0.89174,0.89204,0.89164,0.89191,1131,7,0
1536883200,0.89165,0.89193,0.89148,0.89180,892,27,0
1536886800,0.89182,0.89195,0.89160,0.89164,1884,7,0
1536890400,0.89165,0.89180,0.89153,0.89169,1191,7,0
1536894000,0.89169,0.89170,0.89096,0.89141,1778,7,0
1536897600,0.89141,0.89183,0.89141,0.89151,1256,7,0
1536901200,0.89151,0.89191,0.89151,0.89162,822,7,0
1536904800,0.89162,0.89175,0.89130,0.89132,1012,7,0
1536908400,0.89132,0.89158,0.89127,0.89151,1004,7,0
1536912000,0.89150,0.89183,0.89127,0.89178,1039,7,0
1536915600,0.89179,0.89267,0.89163,0.89243,2913,6,0
1536919200,0.89243,0.89270,0.89193,0.89223,3152,6,0
1536922800,0.89223,0.89274,0.89114,0.89133,2335,6,0
1536926400,0.89133,0.89215,0.89109,0.89146,2268,6,0
1536930000,0.89147,0.89191,0.89097,0.89161,2432,6,0
1536933600,0.89161,0.89324,0.89133,0.89301,3008,6,0
1536937200,0.89301,0.89316,0.88862,0.89143,5287,6,0
1536940800,0.89142,0.89164,0.89014,0.89129,3235,6,0
1536944400,0.89126,0.89236,0.89079,0.89221,3478,6,0
1536948000,0.89222,0.89228,0.89072,0.89088,3331,6,0
1536951600,0.89088,0.89111,0.88954,0.89016,4711,6,0
1536955200,0.89015,0.89015,0.88943,0.88977,2152,6,0
1536958800,0.88977,0.89025,0.88974,0.89022,1537,7,0
1536962400,0.89023,0.89042,0.88984,0.88998,1189,7,0
1536966000,0.88997,0.89004,0.88914,0.88914,1225,7,0
1537142400,0.88893,0.88959,0.88887,0.88925,524,8,0
1537146000,0.88925,0.88938,0.88894,0.88897,1657,12,0
1537149600,0.88896,0.88933,0.88893,0.88919,880,7,0
1537153200,0.88919,0.88948,0.88915,0.88922,1505,7,0
1537156800,0.88922,0.88972,0.88922,0.88929,1306,7,0
1537160400,0.88929,0.88938,0.88910,0.88929,1294,8,0
1537164000,0.88928,0.88964,0.88918,0.88944,956,8,0
1537167600,0.88945,0.88957,0.88923,0.88942,1018,7,0
1537171200,0.88942,0.88944,0.88895,0.88903,1167,7,0
1537174800,0.88903,0.88931,0.88832,0.88899,2215,6,0
1537178400,0.88899,0.88999,0.88863,0.88995,2867,6,0
1537182000,0.88995,0.89036,0.88924,0.88938,2931,6,0
1537185600,0.88927,0.88987,0.88913,0.88933,2139,6,0
1537189200,0.88928,0.89033,0.88921,0.88966,2619,6,0
1537192800,0.88966,0.88981,0.88878,0.88882,3330,6,0
1537196400,0.88883,0.88930,0.88853,0.88884,4744,6,0
1537200000,0.88884,0.88952,0.88848,0.88881,3104,6,0
1537203600,0.88881,0.88944,0.88852,0.88888,3177,6,0
1537207200,0.88888,0.88959,0.88874,0.88899,3416,6,0
1537210800,0.88900,0.88907,0.88860,0.88880,2103,6,0
1537214400,0.88879,0.88883,0.88787,0.88788,2110,6,0
1537218000,0.88788,0.88812,0.88777,0.88777,1068,7,0
1537221600,0.88778,0.88793,0.88753,0.88770,2467,7,0
1537225200,0.88770,0.88796,0.88767,0.88781,967,7,0
1537228800,0.88737,0.88810,0.88737,0.88806,1206,12,0
1537232400,0.88813,0.88818,0.88735,0.88742,5420,8,0
