time,open,high,low,close,tick_volume,spread,real_volume
1187740800,10.50520,10.51460,10.50400,10.51220,279,0,0
1187744400,10.51630,10.51900,10.50500,10.50730,292,0,0
1187748000,10.50770,10.50800,10.49910,10.50450,291,0,0
1187751600,10.50320,10.51450,10.50140,10.51450,296,0,0
1187755200,10.51270,10.51630,10.50960,10.51310,269,0,0
1187758800,10.51320,10.52190,10.51030,10.52150,317,0,0
1187762400,10.52160,10.52750,10.51660,10.52340,320,0,0
1187766000,10.52430,10.53650,10.52050,10.53280,381,0,0
1187769600,10.53420,10.53620,10.52880,10.53210,325,0,0
1187773200,10.53060,10.53620,10.52980,10.53280,341,0,0
1187776800,10.53320,10.53500,10.52540,10.52970,341,0,0
1187780400,10.52960,10.53230,10.52400,10.53150,384,0,0
1187784000,10.53130,10.54370,10.52930,10.53240,477,0,0
1187787600,10.53230,10.53490,10.52090,10.52410,460,0,0
1187791200,10.52450,10.53740,10.51470,10.53500,505,0,0
1187794800,10.53300,10.55660,10.53280,10.55420,664,0,0
1187798400,10.55440,10.57710,10.54920,10.56920,609,0,0
1187802000,10.56580,10.57220,10.55800,10.56490,316,0,0
1187805600,10.56620,10.56900,10.56170,10.56720,330,0,0
1187809200,10.56730,10.57160,10.56550,10.56690,286,0,0
1187812800,10.56780,10.57600,10.56550,10.57250,257,0,0
1187816400,10.57170,10.57790,10.56830,10.57510,236,0,0
1187820000,10.57650,10.58160,10.57320,10.58160,234,0,0
1187823600,10.58080,10.58700,10.57560,10.57780,288,0,0
1187827200,10.57790,10.58260,10.57280,10.57870,345,0,0
1187830800,10.57920,10.59180,10.57540,10.58770,367,0,0
1187834400,10.58750,10.59020,10.58500,10.58760,273,0,0
1187838000,10.58820,10.58900,10.58310,10.58570,208,0,0
1187841600,10.58450,10.59260,10.58310,10.58670,325,0,0
1187845200,10.58720,10.58890,10.58200,10.58240,257,0,0
1187848800,10.58180,10.58460,10.57430,10.58420,369,0,0
1187852400,10.58430,10.59030,10.58210,10.58210,361,0,0
1187856000,10.58170,10.58230,10.57020,10.57540,361,0,0
1187859600,10.57490,10.58970,10.57320,10.58350,383,0,0
1187863200,10.58430,10.60190,10.57930,10.59990,422,0,0
1187866800,10.59660,10.61510,10.59660,10.61070,505,0,0
1187870400,10.61080,10.61720,10.60780,10.60850,467,0,0
1187874000,10.60880,10.61580,10.59030,10.59080,547,0,0
1187877600,10.59110,10.59430,10.58370,10.58730,605,0,0
1187881200,10.58770,10.60270,10.58080,10.60250,589,0,0
1187884800,10.60300,10.60300,10.58870,10.59050,426,0,0
1187888400,10.59000,10.59680,10.58960,10.59160,332,0,0
1187892000,10.59120,10.59420,10.58690,10.59090,330,0,0
1187895600,10.59210,10.59650,10.58670,10.58750,347,0,0
1187899200,10.58800,10.59220,10.58540,10.58830,284,0,0
1187902800,10.58740,10.59590,10.58630,10.59130,228,0,0
1187906400,10.59140,10.59620,10.58930,10.59280,214,0,0
1187910000,10.59300,10.60100,10.58290,10.58330,244,0,0
1187913600,10.58350,10.59360,10.58270,10.59050,332,0,0
1187917200,10.59060,10.59380,10.58430,10.58930,425,0,0
1187920800,10.58910,10.59830,10.58620,10.59830,283,0,0
1187924400,10.59660,10.59980,10.59540,10.59810,311,0,0
1187928000,10.59900,10.59930,10.59390,10.59540,209,0,0
1187931600,10.59470,10.59770,10.58950,10.59380,334,0,0
1187935200,10.59510,10.59760,10.59080,10.59440,285,0,0
1187938800,10.59480,10.59630,10.58460,10.58670,399,0,0
1187942400,10.58560,10.60000,10.58200,10.59900,371,0,0
1187946000,10.59780,10.62250,10.59690,10.61610,488,0,0
1187949600,10.61510,10.61750,10.60880,10.60900,315,0,0
1187953200,10.60850,10.61300,10.60350,10.61190,386,0,0
1187956800,10.61240,10.63430,10.61240,10.62520,618,0,0
1187960400,10.62640,10.63700,10.61420,10.63700,593,0,0
1187964000,10.63670,10.64060,10.61550,10.63450,820,0,0
1187967600,10.63430,10.64860,10.63410,10.64110,578,0,0
1187971200,10.64090,10.64350,10.63120,10.64350,340,0,0
1187974800,10.64340,10.67160,10.63660,10.66560,440,0,0
1187978400,10.66250,10.67060,10.65860,10.66540,375,0,0
1187982000,10.66560,10.66680,10.65780,10.66320,293,0,0
1187985600,10.66210,10.66620,10.65750,10.65880,240,0,0
1187989200,10.65930,10.66740,10.65470,10.66670,224,0,0
1188172800,10.66560,10.67460,10.66560,10.67390,255,0,0
1188176400,10.67310,10.67790,10.67230,10.67480,299,0,0
1188180000,10.67320,10.67580,10.66220,10.66720,274,0,0
1188183600,10.66710,10.67590,10.66560,10.66970,257,0,0
1188187200,10.66990,10.67150,10.66760,10.67150,183,0,0
1188190800,10.67120,10.67220,10.66540,10.66730,214,0,0
1188194400,10.66840,10.67640,10.66420,10.67500,235,0,0
1188198000,10.67530,10.67530,10.66780,10.67100,323,0,0
1188201600,10.66960,10.67170,10.65620,10.65620,262,0,0
1188205200,10.65700,10.66340,10.65230,10.65590,304,0,0
1188208800,10.65520,10.66040,10.65340,10.65960,279,0,0
1188212400,10.65940,10.66730,10.65680,10.66420,253,0,0
1188216000,10.66490,10.66680,10.65640,10.65860,301,0,0
1188219600,10.65820,10.66100,10.65250,10.65470,300,0,0
1188223200,10.65490,10.65750,10.64910,10.65530,274,0,0
1188226800,10.65460,10.65730,10.63810,10.64190,396,0,0
1188230400,10.64250,10.65010,10.63880,10.64810,316,0,0
1188234000,10.64830,10.65610,10.64440,10.65500,271,0,0
1188237600,10.65540,10.66170,10.64760,10.65010,286,0,0
1188241200,10.65000,10.65930,10.64940,10.65530,276,0,0
1188244800,10.65630,10.65680,10.64780,10.64790,236,0,0
1188248400,10.64750,10.65070,10.64340,10.64840,223,0,0
1188252000,10.64660,10.65140,10.64250,10.64610,231,0,0
1188255600,10.64670,10.64830,10.63760,10.64070,303,0,0
1188259200,10.64150,10.64480,10.63800,10.64060,307,0,0
1188262800,10.64000,10.64410,10.63050,10.63210,336,0,0
1188266400,10.63200,10.64020,10.63060,10.63540,339,0,0
1188270000,10.63580,10.63960,10.63380,10.63740,240,0,0
1188273600,10.63750,10.63900,10.63050,10.63290,288,0,0
1188277200,10.63460,10.63490,10.63020,10.63300,266,0,0
1188280800,10.63340,10.63460,10.62910,10.63220,265,0,0
1188284400,10.63200,10.63510,10.62490,10.62970,387,0,0
1188288000,10.63000,10.64480,10.62570,10.64020,376,0,0
1188291600,10.64010,10.64820,10.64010,10.64380,349,0,0
1188295200,10.64390,10.65180,10.64070,10.65180,328,0,0
1188298800,10.65080,10.67160,10.65080,10.66400,452,0,0
1188302400,10.66390,10.66660,10.66060,10.66090,350,0,0
1188306000,10.66030,10.66310,10.65020,10.65600,354,0,0
1188309600,10.65520,10.65680,10.63980,10.64490,448,0,0
1188313200,10.64470,10.64950,10.63850,10.64260,585,0,0
1188316800,10.64240,10.64240,10.62050,10.62770,452,0,0
1188320400,10.62790,10.63600,10.62720,10.63410,300,0,0
1188324000,10.63360,10.63540,10.62810,10.63020,294,0,0
1188327600,10.62810,10.63310,10.62400,10.63200,330,0,0
1188331200,10.63330,10.63330,10.60750,10.61330,359,0,0
1188334800,10.61180,10.61840,10.60620,10.60960,294,0,0
1188338400,10.60910,10.61180,10.60530,10.60820,271,0,0
1188342000,10.60740,10.61370,10.60240,10.60430,322,0,0
1188345600,10.60370,10.60800,10.58550,10.58810,416,0,0
1188349200,10.58710,10.58980,10.57980,10.58310,326,0,0
1188352800,10.58260,10.58320,10.57220,10.58080,329,0,0
1188356400,10.58220,10.58600,10.57870,10.58520,288,0,0
1188360000,10.58600,10.59660,10.58210,10.59630,254,0,0
1188363600,10.59620,10.60730,10.59410,10.60480,354,0,0
1188367200,10.60460,10.60460,10.59160,10.59240,298,0,0
1188370800,10.59280,10.60530,10.58950,10.59570,474,0,0
1188374400,10.59610,10.60810,10.58340,10.60540,425,0,0
1188378000,10.60490,10.61350,10.59920,10.60160,354,0,0
1188381600,10.60080,10.61260,10.59910,10.60780,437,0,0
1188385200,10.60790,10.63290,10.60680,10.62980,407,0,0
1188388800,10.62920,10.63080,10.62010,10.62380,553,0,0
1188392400,10.62500,10.63910,10.62470,10.63890,463,0,0
1188396000,10.63940,10.65510,10.63920,10.64680,579,0,0
1188399600,10.64650,10.64930,10.64150,10.64710,473,0,0
1188403200,10.64690,10.67220,10.64670,10.67200,474,0,0
1188406800,10.67180,10.67280,10.66100,10.66250,350,0,0
1188410400,10.66210,10.66580,10.65580,10.65920,349,0,0
1188414000,10.65970,10.66460,10.65390,10.65550,364,0,0
1188417600,10.65510,10.66530,10.65370,10.66470,339,0,0
1188421200,10.66550,10.67080,10.66240,10.66980,311,0,0
1188424800,10.66940,10.67210,10.66610,10.66680,240,0,0
1188428400,10.66770,10.67040,10.66090,10.66420,247,0,0
1188432000,10.66370,10.66890,10.65820,10.66420,272,0,0
1188435600,10.66400,10.66580,10.64690,10.65170,331,0,0
1188439200,10.65050,10.65830,10.64770,10.65550,272,0,0
1188442800,10.65440,10.66210,10.65400,10.65820,329,0,0
1188446400,10.65810,10.65910,10.65400,10.65880,252,0,0
1188450000,10.65770,10.65990,10.65110,10.65280,248,0,0
1188453600,10.65400,10.65700,10.64580,10.65550,310,0,0
1188457200,10.65540,10.66730,10.65050,10.65690,425,0,0
1188460800,10.65520,10.65690,10.63490,10.64030,523,0,0
1188464400,10.64040,10.64560,10.63550,10.64000,433,0,0
1188468000,10.63970,10.63970,10.61300,10.61420,457,0,0
1188471600,10.61460,10.62000,10.60790,10.61830,435,0,0
1188475200,10.61820,10.62240,10.60000,10.61460,412,0,0
1188478800,10.61520,10.63080,10.60980,10.62600,634,0,0
1188482400,10.62570,10.62830,10.61560,10.62020,547,0,0
1188486000,10.61910,10.63450,10.61730,10.63300,519,0,0
1188489600,10.63250,10.65100,10.63230,10.64300,495,0,0
1188493200,10.64260,10.65030,10.63570,10.65030,400,0,0
1188496800,10.64840,10.65060,10.64230,10.64520,370,0,0
1188500400,10.64650,10.64730,10.63290,10.63400,356,0,0
1188504000,10.63340,10.63570,10.61880,10.62010,346,0,0
1188507600,10.61980,10.62860,10.61930,10.62430,241,0,0
1188511200,10.62370,10.64000,10.62290,10.63250,237,0,0
1188514800,10.63180,10.64430,10.63180,10.63750,175,0,0
1188518400,10.63900,10.66210,10.63510,10.66120,308,0,0
1188522000,10.66070,10.66280,10.64980,10.65210,401,0,0
1188525600,10.65170,10.65770,10.64910,10.65540,246,0,0
1188529200,10.65580,10.65790,10.65290,10.65490,271,0,0
1188532800,10.65500,10.66050,10.65370,10.66000,234,0,0
1188536400,10.65930,10.66030,10.64570,10.64810,265,0,0
1188540000,10.64770,10.65680,10.64390,10.65610,335,0,0
1188543600,10.65570,10.66250,10.64840,10.66250,428,0,0
1188547200,10.66310,10.66360,10.65050,10.65360,415,0,0
1188550800,10.65300,10.65340,10.64430,10.65220,321,0,0
1188554400,10.65170,10.65850,10.64880,10.65390,332,0,0
1188558000,10.65470,10.65950,10.65040,10.65600,341,0,0
1188561600,10.65640,10.69370,10.65440,10.69230,566,0,0
1188565200,10.69270,10.69820,10.67660,10.68200,565,0,0
1188568800,10.67970,10.68250,10.65450,10.65590,572,0,0
1188572400,10.65430,10.65510,10.62760,10.62910,730,0,0
1188576000,10.62900,10.63840,10.62450,10.63560,557,0,0
1188579600,10.63530,10.64010,10.62890,10.63140,442,0,0
1188583200,10.63270,10.63440,10.62290,10.62340,306,0,0
1188586800,10.62490,10.62760,10.62030,10.62440,295,0,0
1188590400,10.62410,10.63010,10.62130,10.62210,302,0,0
1188594000,10.62320,10.63010,10.61830,10.62600,300,0,0
1188777600,10.62830,10.63200,10.62700,10.62990,242,0,0
1188781200,10.62920,10.63340,10.62290,10.63270,299,0,0
1188784800,10.63170,10.63370,10.62770,10.63300,248,0,0
1188788400,10.63330,10.63330,10.62760,10.63070,218,0,0
1188792000,10.63020,10.63520,10.62690,10.63400,212,0,0
1188795600,10.63430,10.63480,10.62810,10.63130,254,0,0
1188799200,10.63190,10.63740,10.62650,10.63700,244,0,0
1188802800,10.63680,10.64030,10.63230,10.64030,343,0,0
1188806400,10.64020,10.64100,10.62800,10.64010,351,0,0
1188810000,10.63980,10.64170,10.63380,10.63580,314,0,0
1188813600,10.63550,10.64000,10.62840,10.63230,278,0,0
1188817200,10.63220,10.63640,10.62800,10.62990,251,0,0
1188820800,10.62950,10.62980,10.61900,10.62680,286,0,0
1188824400,10.62660,10.62960,10.62100,10.62490,315,0,0
1188828000,10.62430,10.62620,10.61850,10.61850,305,0,0
1188831600,10.61860,10.62170,10.60800,10.60870,306,0,0
1188835200,10.60960,10.61260,10.60600,10.60710,317,0,0
1188838800,10.60790,10.61910,10.60390,10.61910,265,0,0
1188842400,10.61890,10.61890,10.61120,10.61340,248,0,0
1188846000,10.61280,10.61970,10.61270,10.61880,143,0,0
1188849600,10.61930,10.62280,10.61450,10.61930,257,0,0
1188853200,10.61940,10.61940,10.60420,10.61810,194,0,0
1188856800,10.61730,10.61880,10.61210,10.61780,214,0,0
1188860400,10.61810,10.62060,10.60910,10.61000,237,0,0
1188864000,10.60850,10.61420,10.60800,10.61060,328,0,0
1188867600,10.61180,10.61420,10.60730,10.61030,267,0,0
1188871200,10.61010,10.61890,10.60520,10.61580,306,0,0
1188874800,10.61410,10.61700,10.60860,10.61120,242,0,0
1188878400,10.61140,10.61430,10.60670,10.60860,271,0,0
1188882000,10.60930,10.61610,10.60740,10.61470,259,0,0
1188885600,10.61430,10.62260,10.61230,10.62260,297,0,0
1188889200,10.62160,10.62270,10.61320,10.61560,310,0,0
1188892800,10.61490,10.61590,10.60290,10.60420,456,0,0
1188896400,10.60400,10.60770,10.59540,10.60150,394,0,0
1188900000,10.60140,10.60330,10.59360,10.60110,373,0,0
1188903600,10.60090,10.60090,10.58310,10.58720,388,0,0
1188907200,10.58750,10.59370,10.58140,10.59100,335,0,0
1188910800,10.59070,10.59330,10.56470,10.56620,440,0,0
1188914400,10.56410,10.57950,10.56400,10.57940,370,0,0
1188918000,10.57870,10.59110,10.56980,10.59050,464,0,0
1188921600,10.59030,10.60860,10.58720,10.60480,408,0,0
1188925200,10.60560,10.61040,10.60200,10.60850,322,0,0
