time,open,high,low,close,tick_volume,spread,real_volume
1536674400,129.074,129.077,128.928,128.966,3660,8,0
1536678000,128.969,128.986,128.767,128.977,6692,8,0
1536681600,128.977,129.187,128.939,129.150,6514,8,0
1536685200,129.149,129.392,129.111,129.120,8350,8,0
1536688800,129.117,129.304,129.114,129.303,5424,8,0
1536692400,129.303,129.392,129.255,129.338,3383,8,0
1536696000,129.338,129.380,129.276,129.306,3722,8,0
1536699600,129.307,129.324,129.248,129.280,3295,8,0
1536703200,129.279,129.360,129.270,129.344,3214,8,0
1536706800,129.350,129.564,129.324,129.497,2750,8,0
1536710400,129.461,129.535,129.406,129.457,3631,21,0
1536714000,129.460,129.539,129.450,129.510,2189,10,0
1536717600,129.510,129.510,129.406,129.439,2515,8,0
1536721200,129.440,129.440,129.250,129.349,5123,8,0
1536724800,129.348,129.368,129.184,129.221,4151,8,0
1536728400,129.224,129.251,129.164,129.217,2387,8,0
1536732000,129.217,129.247,129.147,129.160,2333,8,0
1536735600,129.160,129.209,129.155,129.202,1708,8,0
1536739200,129.202,129.300,129.102,129.179,2889,8,0
1536742800,129.179,129.384,129.039,129.054,4167,8,0
1536746400,129.054,129.365,129.039,129.289,5257,8,0
1536750000,129.288,129.343,129.065,129.205,5359,8,0
1536753600,129.205,129.270,129.111,129.221,4087,8,0
1536757200,129.221,129.250,129.120,129.120,3658,8,0
1536760800,129.127,129.331,128.999,129.094,5465,8,0
1536764400,129.081,129.151,129.003,129.013,5847,8,0
1536768000,129.012,129.105,128.932,129.062,6051,8,0
1536771600,129.062,129.383,129.054,129.334,7242,8,0
1536775200,129.333,129.806,129.328,129.391,9774,8,0
1536778800,129.390,129.510,129.338,129.439,5746,8,0
1536782400,129.439,129.495,129.308,129.405,4664,8,0
1536786000,129.404,129.427,129.334,129.384,3653,8,0
1536789600,129.383,129.383,129.318,129.329,3994,8,0
1536793200,129.330,129.380,129.314,129.339,1683,8,0
1536796800,129.379,129.394,129.248,129.358,4930,22,0
1536800400,129.358,129.393,129.324,129.346,1969,10,0
1536804000,129.347,129.371,129.290,129.295,2731,9,0
1536807600,129.292,129.646,129.253,129.641,4958,8,0
1536811200,129.642,129.750,129.555,129.611,4709,8,0
1536814800,129.612,129.629,129.501,129.567,3256,8,0
1536818400,129.568,129.644,129.556,129.607,2553,8,0
1536822000,129.607,129.686,129.504,129.504,2338,8,0
1536825600,129.504,129.577,129.446,129.447,2540,8,0
1536829200,129.446,129.634,129.434,129.557,3698,8,0
1536832800,129.558,129.621,129.477,129.484,4165,7,0
1536836400,129.486,129.591,129.468,129.505,2753,8,0
1536840000,129.501,129.535,129.434,129.477,4146,8,0
1536843600,129.476,129.623,129.455,129.577,3020,8,0
1536847200,129.577,129.810,129.560,129.667,4763,8,0
1536850800,129.668,130.207,129.596,130.192,8900,8,0
1536854400,130.197,130.606,130.071,130.489,9427,8,0
1536858000,130.486,130.817,130.465,130.595,9329,8,0
1536861600,130.595,130.755,130.543,130.643,5177,8,0
1536865200,130.643,130.689,130.589,130.637,3868,8,0
1536868800,130.637,130.742,130.596,130.704,3219,8,0
1536872400,130.704,130.824,130.681,130.814,3150,8,0
1536876000,130.813,130.938,130.793,130.900,3684,8,0
1536879600,130.900,130.933,130.845,130.846,1812,8,0
1536883200,130.832,130.855,130.776,130.834,6493,19,0
1536886800,130.834,130.990,130.809,130.984,7226,8,0
1536890400,130.983,130.992,130.919,130.976,2538,8,0
1536894000,130.978,131.035,130.901,131.002,4229,8,0
1536897600,131.003,131.011,130.869,130.880,4700,8,0
1536901200,130.880,130.943,130.788,130.801,3275,8,0
1536904800,130.800,130.873,130.743,130.763,2827,8,0
1536908400,130.764,130.808,130.705,130.808,2129,8,0
1536912000,130.808,130.862,130.758,130.816,2009,8,0
1536915600,130.817,131.076,130.785,131.010,3963,8,0
1536919200,131.011,131.087,130.871,131.056,4625,8,0
1536922800,131.055,131.111,130.881,130.916,4001,8,0
1536926400,130.916,130.951,130.778,130.803,3889,8,0
1536930000,130.803,130.837,130.724,130.837,3179,8,0
1536933600,130.837,130.931,130.712,130.728,3761,8,0
1536937200,130.727,130.872,130.707,130.730,6679,8,0
1536940800,130.731,130.753,130.594,130.699,6062,8,0
1536944400,130.701,130.800,130.545,130.783,7155,8,0
1536948000,130.785,130.802,130.642,130.655,5938,8,0
1536951600,130.655,130.669,130.197,130.373,9183,8,0
1536955200,130.372,130.375,130.224,130.315,5166,8,0
1536958800,130.316,130.323,130.238,130.303,3629,8,0
1536962400,130.303,130.344,130.174,130.231,3474,8,0
1536966000,130.231,130.258,130.180,130.258,1810,8,0
1537142400,130.200,130.300,130.177,130.233,595,13,0
1537146000,130.231,130.277,130.120,130.165,4319,8,0
1537149600,130.161,130.210,130.131,130.137,1597,9,0
1537153200,130.137,130.368,130.115,130.366,3383,8,0
1537156800,130.365,130.403,130.225,130.226,3246,8,0
1537160400,130.226,130.310,130.160,130.309,3394,8,0
1537164000,130.310,130.310,130.234,130.284,2101,8,0
1537167600,130.285,130.308,130.255,130.296,1952,8,0
1537171200,130.295,130.306,130.248,130.286,2142,8,0
1537174800,130.286,130.340,130.192,130.242,5365,8,0
1537178400,130.241,130.290,130.096,130.269,5353,8,0
1537182000,130.269,130.554,130.260,130.471,4873,8,0
1537185600,130.467,130.484,130.375,130.459,3419,8,0
1537189200,130.459,130.674,130.443,130.646,4768,8,0
1537192800,130.646,130.704,130.615,130.679,4347,8,0
1537196400,130.680,130.879,130.679,130.866,6462,8,0
1537200000,130.867,130.994,130.812,130.942,5814,8,0
1537203600,130.942,130.971,130.756,130.859,6426,8,0
1537207200,130.859,130.949,130.824,130.829,5423,8,0
1537210800,130.829,130.991,130.829,130.967,3431,8,0
1537214400,130.968,131.040,130.770,130.829,4837,8,0
1537218000,130.828,130.865,130.714,130.742,2741,8,0
1537221600,130.741,130.753,130.571,130.654,5944,8,0
1537225200,130.652,130.694,130.627,130.679,3615,8,0
1537228800,130.651,130.698,130.620,130.689,1728,20,0
1537232400,130.689,130.717,130.322,130.334,6925,8,0
1537236000,130.334,130.403,130.299,130.324,3587,8,0
1537239600,130.324,130.559,130.295,130.474,4267,8,0
1537243200,130.473,130.715,130.414,130.686,6107,8,0
1537246800,130.686,130.805,130.648,130.804,3707,8,0
1537250400,130.804,131.023,130.803,130.917,7055,8,0
1537254000,130.917,131.013,130.894,130.936,3998,8,0
1537257600,130.936,131.020,130.856,130.991,4474,8,0
1537261200,130.989,131.478,130.935,131.302,9453,8,0
1537264800,131.299,131.300,130.665,130.793,8969,8,0
1537268400,130.793,130.891,130.676,130.847,4922,8,0
1537272000,130.846,130.882,130.704,130.782,4025,8,0
1537275600,130.781,131.035,130.765,130.998,4505,8,0
1537279200,130.998,131.264,130.890,131.245,4835,8,0
1537282800,131.245,131.358,131.083,131.323,7555,8,0
1537286400,131.321,131.492,131.222,131.378,9768,8,0
1537290000,131.379,131.493,131.262,131.408,9127,8,0
1537293600,131.408,131.434,131.246,131.321,5776,8,0
1537297200,131.322,131.367,130.871,130.988,5881,8,0
1537300800,130.988,131.072,130.922,131.055,3777,8,0
1537304400,131.057,131.164,131.029,131.084,2767,8,0
1537308000,131.085,131.105,130.994,131.085,3203,8,0
1537311600,131.085,131.145,131.034,131.084,1642,8,0
1537315200,131.044,131.152,131.007,131.136,6187,15,0
1537318800,131.136,131.225,131.102,131.218,2931,8,0
1537322400,131.215,131.240,131.116,131.116,1670,8,0
1537326000,131.116,131.136,130.972,130.975,3522,8,0
1537329600,130.975,131.052,130.913,130.953,3753,8,0
1537333200,130.953,131.050,130.911,131.020,2933,8,0
1537336800,131.017,131.250,131.014,131.174,4903,8,0
1537340400,131.174,131.210,131.109,131.161,2768,8,0
1537344000,131.162,131.220,131.124,131.211,2481,8,0
1537347600,131.211,131.320,131.161,131.185,3744,8,0
