time,open,high,low,close,tick_volume,spread,real_volume
1764118800,21.2772,21.2784,21.2661,21.2667,106,45,0
1764122400,21.2671,21.2726,21.2566,21.2593,2274,42,0
1764126000,21.2591,21.2727,21.2521,21.2586,3769,45,0
1764129600,21.2627,21.2772,21.2584,21.2725,2719,47,0
1764133200,21.2727,21.2857,21.2698,21.2840,1552,42,0
1764136800,21.2842,21.2866,21.2673,21.2718,1803,48,0
1764140400,21.2719,21.2852,21.2687,21.2796,1800,46,0
1764144000,21.2794,21.2893,21.2736,21.2786,2388,43,0
1764147600,21.2788,21.3019,21.2788,21.2873,5832,41,0
1764151200,21.2874,21.2957,21.2717,21.2813,4835,37,0
1764154800,21.2779,21.3143,21.2773,21.2909,5138,33,0
1764158400,21.2913,21.2954,21.2783,21.2849,5069,38,0
1764162000,21.2850,21.2867,21.2545,21.2620,6602,38,0
1764165600,21.2628,21.2880,21.2415,21.2593,11194,32,0
1764169200,21.2596,21.2831,21.2229,21.2402,15195,31,0
1764172800,21.2395,21.2751,21.2139,21.2661,11402,31,0
1764176400,21.2670,21.3042,21.2583,21.2679,11344,32,0
1764180000,21.2676,21.2874,21.2604,21.2609,6561,31,0
1764183600,21.2611,21.2706,21.2491,21.2650,4174,35,0
1764187200,21.2651,21.2809,21.2594,21.2664,3234,34,0
1764190800,21.2666,21.2727,21.2567,21.2697,2563,34,0
1764194400,21.2699,21.2752,21.2620,21.2696,3449,36,0
1764198000,21.2639,21.2728,21.2488,21.2723,1146,113,0
1764201600,21.2549,21.2703,21.2535,21.2627,305,350,0
1764205200,21.2741,21.2862,21.2671,21.2753,594,36,0
1764208800,21.2756,21.2857,21.2728,21.2787,3349,49,0
1764212400,21.2787,21.2922,21.2720,21.2845,4408,45,0
1764216000,21.2853,21.2901,21.2721,21.2776,2626,40,0
1764219600,21.2778,21.2816,21.2708,21.2744,1255,31,0
1764223200,21.2743,21.2782,21.2629,21.2727,1879,33,0
1764226800,21.2727,21.2816,21.2710,21.2724,2687,38,0
1764230400,21.2724,21.2846,21.2663,21.2724,3009,42,0
1764234000,21.2723,21.2788,21.2628,21.2671,2969,37,0
1764237600,21.2672,21.2774,21.2629,21.2757,4266,37,0
1764241200,21.2722,21.2747,21.2390,21.2390,4990,37,0
1764244800,21.2426,21.2565,21.2426,21.2457,4202,40,0
1764248400,21.2455,21.2554,21.2377,21.2501,4354,35,0
1764252000,21.2502,21.2603,21.2443,21.2513,4671,36,0
1764255600,21.2513,21.2788,21.2441,21.2755,4501,34,0
1764259200,21.2756,21.2826,21.2574,21.2730,3377,31,0
1764262800,21.2724,21.2834,21.2595,21.2599,3353,31,0
1764266400,21.2606,21.2830,21.2588,21.2726,2853,31,0
1764270000,21.2726,21.2803,21.2610,21.2643,1258,31,0
1764273600,21.2641,21.2695,21.2619,21.2634,772,31,0
1764277200,21.2631,21.2749,21.2624,21.2744,1051,31,0
1764280800,21.2744,21.2833,21.2642,21.2796,2614,31,0
1764284400,21.2679,21.2803,21.2638,21.2772,1325,118,0
1764288000,21.2606,21.2797,21.2577,21.2797,327,120,0
1764291600,21.2795,21.2838,21.2733,21.2778,476,40,0
1764295200,21.2767,21.2809,21.2658,21.2695,3156,35,0
1764298800,21.2690,21.2814,21.2638,21.2663,3671,44,0
1764302400,21.2665,21.2766,21.2474,21.2741,14739,36,0
1764306000,21.2746,21.2973,21.2541,21.2841,21080,58,0
1764309600,21.2831,21.3054,21.2647,21.2877,32422,36,0
1764313200,21.2877,21.2990,21.2592,21.2897,41729,57,0
1764316800,21.2895,21.2947,21.2611,21.2705,25775,58,0
1764320400,21.2710,21.2906,21.2557,21.2728,17482,63,0
1764324000,21.2723,21.2790,21.2427,21.2486,22461,63,0
1764327600,21.2488,21.2583,21.2127,21.2227,26752,55,0
1764331200,21.2241,21.2294,21.1870,21.1970,18088,54,0
1764334800,21.1970,21.2152,21.1878,21.2064,17995,43,0
1764338400,21.2065,21.2323,21.1900,21.2014,23849,44,0
1764342000,21.2011,21.2278,21.1934,21.2102,12561,31,0
1764345600,21.2104,21.2390,21.2039,21.2288,7489,33,0
1764349200,21.2291,21.2701,21.2004,21.2694,11532,31,0
1764352800,21.2696,21.2712,21.2067,21.2203,7654,31,0
1764356400,21.2203,21.2375,21.2115,21.2286,3632,35,0
1764360000,21.2287,21.2339,21.2174,21.2291,2712,31,0
1764363600,21.2287,21.2460,21.2235,21.2278,2197,31,0
1764367200,21.2274,21.2414,21.2213,21.2284,3157,31,0
1764370800,21.2216,21.2300,21.1903,21.1951,3700,170,0
1764547200,21.2490,21.2490,21.1918,21.2005,794,163,0
1764550800,21.2147,21.2229,21.2058,21.2135,1765,34,0
1764554400,21.2125,21.2334,21.2088,21.2264,2966,44,0
1764558000,21.2263,21.2466,21.2198,21.2220,7480,40,0
1764561600,21.2221,21.2335,21.2039,21.2225,6719,40,0
1764565200,21.2223,21.2362,21.2135,21.2237,2798,37,0
1764568800,21.2235,21.2332,21.2179,21.2263,3636,42,0
1764572400,21.2250,21.2387,21.2215,21.2302,2975,42,0
1764576000,21.2301,21.2332,21.2182,21.2220,5081,36,0
1764579600,21.2222,21.2457,21.2198,21.2246,7167,38,0
1764583200,21.2259,21.2437,21.2223,21.2409,5792,35,0
1764586800,21.2408,21.2516,21.2308,21.2455,5490,38,0
1764590400,21.2456,21.2570,21.2384,21.2509,6206,38,0
1764594000,21.2511,21.2611,21.2467,21.2556,6716,31,0
1764597600,21.2558,21.2927,21.2530,21.2833,9255,31,0
1764601200,21.2833,21.2952,21.2352,21.2807,10671,31,0
1764604800,21.2807,21.2815,21.2324,21.2401,11392,31,0
1764608400,21.2425,21.2617,21.2247,21.2334,11303,31,0
1764612000,21.2335,21.2561,21.2311,21.2479,8212,33,0
1764615600,21.2477,21.2635,21.2437,21.2514,7292,31,0
1764619200,21.2514,21.2560,21.2360,21.2462,6558,32,0
1764622800,21.2462,21.2519,21.2427,21.2495,6356,34,0
1764626400,21.2496,21.2632,21.2484,21.2504,5545,35,0
1764630000,21.2443,21.2479,21.2332,21.2443,1763,115,0
1764633600,21.2276,21.2408,21.2260,21.2390,139,341,0
1764637200,21.2503,21.2526,21.2443,21.2464,817,38,0
1764640800,21.2465,21.2533,21.2447,21.2466,3678,41,0
1764644400,21.2465,21.2554,21.2448,21.2523,3134,32,0
1764648000,21.2523,21.2558,21.2495,21.2539,2025,31,0
1764651600,21.2541,21.2610,21.2479,21.2581,1840,35,0
1764655200,21.2579,21.2608,21.2518,21.2543,1676,35,0
1764658800,21.2540,21.2577,21.2503,21.2538,1471,31,0
1764662400,21.2536,21.2557,21.2460,21.2527,2424,32,0
1764666000,21.2523,21.2601,21.2492,21.2528,3230,38,0
1764669600,21.2533,21.2625,21.2505,21.2585,4739,32,0
1764673200,21.2585,21.2677,21.2546,21.2603,5077,39,0
1764676800,21.2600,21.2650,21.2515,21.2544,5372,34,0
1764680400,21.2551,21.2736,21.2496,21.2723,4930,36,0
1764684000,21.2722,21.2741,21.2578,21.2638,5556,31,0
1764687600,21.2643,21.2676,21.2443,21.2521,5779,31,0
1764691200,21.2517,21.2558,21.2398,21.2411,9018,31,0
1764694800,21.2411,21.2473,21.2162,21.2203,10614,31,0
1764698400,21.2203,21.2384,21.2128,21.2208,8763,31,0
1764702000,21.2206,21.2449,21.2114,21.2444,6150,34,0
1764705600,21.2445,21.2515,21.2368,21.2409,5094,33,0
