time,open,high,low,close,tick_volume,spread,real_volume
1536339600,1.76548,1.76725,1.76495,1.76698,9082,15,0
1536343200,1.76699,1.76734,1.76515,1.76710,7167,15,0
1536346800,1.76708,1.76919,1.76651,1.76796,8360,16,0
1536350400,1.76794,1.76958,1.76768,1.76936,5197,16,0
1536354000,1.76936,1.76948,1.76843,1.76935,3485,17,0
1536357600,1.76933,1.77011,1.76870,1.76942,2546,14,0
1536361200,1.76944,1.76984,1.76840,1.76840,1515,22,0
1536537600,1.76738,1.76883,1.76702,1.76766,1212,28,0
1536541200,1.76768,1.76950,1.76707,1.76948,1727,34,0
1536544800,1.76945,1.76958,1.76830,1.76855,1650,22,0
1536548400,1.76860,1.77093,1.76846,1.77012,3027,16,0
1536552000,1.77009,1.77315,1.76965,1.77213,3808,13,0
1536555600,1.77213,1.77350,1.77176,1.77252,3374,14,0
1536559200,1.77252,1.77301,1.77154,1.77202,3137,15,0
1536562800,1.77205,1.77206,1.77105,1.77146,2167,15,0
1536566400,1.77146,1.77170,1.76967,1.76970,2344,15,0
1536570000,1.76970,1.76993,1.76662,1.76884,4607,11,0
1536573600,1.76886,1.77075,1.76847,1.76989,6954,14,0
1536577200,1.76990,1.77200,1.76927,1.77112,5704,14,0
1536580800,1.77111,1.77244,1.77025,1.77086,4576,13,0
1536584400,1.77086,1.77121,1.77006,1.77072,3880,15,0
1536588000,1.77071,1.77119,1.76948,1.76994,3615,15,0
1536591600,1.76996,1.77363,1.76996,1.77340,4968,16,0
1536595200,1.77340,1.77521,1.77244,1.77273,5945,10,0
1536598800,1.77272,1.77492,1.77237,1.77487,5334,10,0
1536602400,1.77486,1.77552,1.77356,1.77507,3922,17,0
1536606000,1.77507,1.77697,1.77484,1.77640,2881,10,0
1536609600,1.77638,1.77873,1.77637,1.77759,2929,14,0
1536613200,1.77759,1.77834,1.77728,1.77758,2320,19,0
1536616800,1.77774,1.77866,1.77748,1.77819,1935,22,0
1536620400,1.77814,1.77822,1.77699,1.77709,994,11,0
1536624000,1.77607,1.77718,1.77607,1.77685,1528,44,0
1536627600,1.77685,1.77776,1.77683,1.77705,1265,25,0
1536631200,1.77687,1.77821,1.77659,1.77786,1334,19,0
1536634800,1.77786,1.77831,1.77669,1.77696,2571,15,0
1536638400,1.77695,1.77695,1.77429,1.77429,3853,11,0
1536642000,1.77429,1.77661,1.77429,1.77520,2954,15,0
1536645600,1.77521,1.77689,1.77491,1.77665,3362,16,0
1536649200,1.77666,1.77723,1.77593,1.77668,2041,16,0
1536652800,1.77669,1.77764,1.77653,1.77718,2592,11,0
1536656400,1.77717,1.77877,1.77691,1.77783,4914,17,0
1536660000,1.77783,1.78061,1.77743,1.78018,5947,15,0
1536663600,1.78018,1.78090,1.77671,1.77908,6938,17,0
1536667200,1.77905,1.77965,1.77746,1.77751,6477,16,0
1536670800,1.77750,1.77924,1.77749,1.77844,4948,16,0
1536674400,1.77843,1.77883,1.77753,1.77777,3954,16,0
1536678000,1.77778,1.78013,1.77671,1.77984,7565,16,0
1536681600,1.77984,1.78120,1.77923,1.78001,5646,14,0
1536685200,1.78003,1.78248,1.77987,1.78049,6381,10,0
1536688800,1.78045,1.78131,1.77963,1.77988,4301,14,0
1536692400,1.77988,1.78069,1.77892,1.78001,3346,15,0
1536696000,1.77998,1.78093,1.77988,1.78037,3611,16,0
1536699600,1.78038,1.78075,1.77970,1.78025,3081,13,0
1536703200,1.78025,1.78036,1.77926,1.77968,2118,18,0
1536706800,1.77976,1.77976,1.77786,1.77810,3119,22,0
1536710400,1.77723,1.77873,1.77650,1.77838,2029,45,0
1536714000,1.77843,1.77958,1.77765,1.77918,1192,31,0
1536717600,1.77914,1.78023,1.77815,1.77985,1218,23,0
1536721200,1.77989,1.78223,1.77963,1.78112,2909,17,0
1536724800,1.78113,1.78209,1.77974,1.78010,2297,15,0
1536728400,1.78010,1.78034,1.77862,1.77865,1816,16,0
1536732000,1.77866,1.77986,1.77864,1.77967,1605,10,0
1536735600,1.77968,1.78030,1.77910,1.77912,1662,20,0
1536739200,1.77911,1.77931,1.77801,1.77823,2741,15,0
1536742800,1.77824,1.78069,1.77821,1.77882,5897,12,0
1536746400,1.77882,1.78035,1.77857,1.77943,6276,17,0
1536750000,1.77942,1.77970,1.77456,1.77580,6079,10,0
1536753600,1.77580,1.77804,1.77572,1.77703,4953,15,0
1536757200,1.77702,1.77832,1.77642,1.77768,4616,16,0
1536760800,1.77768,1.77909,1.77667,1.77746,7824,14,0
1536764400,1.77747,1.77775,1.77618,1.77715,6409,15,0
1536768000,1.77717,1.77836,1.77642,1.77700,6363,14,0
1536771600,1.77699,1.77861,1.77570,1.77679,8080,10,0
1536775200,1.77679,1.77910,1.77332,1.77394,10185,10,0
1536778800,1.77394,1.77396,1.77193,1.77389,5139,11,0
1536782400,1.77385,1.77453,1.77277,1.77297,4423,13,0
1536786000,1.77296,1.77341,1.77189,1.77228,2830,15,0
1536789600,1.77250,1.77267,1.77122,1.77185,2600,9,0
1536793200,1.77174,1.77323,1.77138,1.77283,1366,21,0
